Programme,Sub-Program,"Approved Budget
(Kshs.)","Actual Expenditure
(Kshs.)",Absorption (%),page_number,table_index
501003260,"General Administration, Planning
and Support services","1,000,000.00","54,600.00",5,494,0
502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,494,0
,Education Fund,"268,000,000.00","20,261,000.00",8,494,0
502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,494,0
501003260,"General Administration, Planning
and Support services","268,000,000.00","20,261,000.00",8,494,0
,Energy,-,-,-,494,0
501003260,"General Administration, Planning
and Support services",-,-,-,494,0
502003260,"Early Childhood Education and
Youth Training Development
Programme",-,-,-,494,0
,Headquarters,"336,510,500.00","43,381,916.00",13,494,0
402003260,Health Development Programme,"210,338,500.00",-,-,494,0
706003260,"General Administration, Planning,
Internal Audit & Support Services",-,-,-,495,0
401003260,"Administration and Support
Services","126,172,000.00","43,381,916.00",34,495,0
704003260,"General Administration and
Management of County Affairs",-,-,-,495,0
,Wesu Hospital,"12,547,260.00","3,239,201.00",26,495,0
401003260,"Administration and Support
Services","12,547,260.00","3,239,201.00",26,495,0
,Moi Referral Hospital,"95,223,373.00","20,027,939.00",21,495,0
401003260,"Administration and Support
Services","95,223,373.00","20,027,939.00",21,495,0
,Mwatate Hospital,-,-,-,495,0
401003260,"Administration and Support
Services",-,-,-,495,0
,,-,-,-,495,0
401003260,"Administration and Support
Services",-,-,-,495,0
,,"18,888,916.00","4,473,333.00",24,495,0
401003260,"Administration and Support
Services","18,888,916.00","4,473,333.00",24,495,0
,,-,-,-,495,0
401003260,"Administration and Support
Services",-,-,-,495,0
,,-,-,-,495,0
401003260,"Administration and Support
Services",-,-,-,495,0
,,"13,689,992.00","5,275,740.00",39,495,0
401003260,"Administration and Support
Services","13,689,992.00","5,275,740.00",39,495,0
,,"28,014,769.00","8,026,231.00",29,495,0
401003260,"Administration and Support
Services","28,014,769.00","8,026,231.00",29,495,0
,,"8,318,135.00","2,290,283.00",28,495,0
401003260,"Administration and Support
Services","8,318,135.00","2,290,283.00",28,495,0
402003260,Health Development Programme,-,-,-,495,0
,Headquarters,"106,835,000.00",-,-,495,0
302003260,Trade Development programme.,"105,100,000.00",-,-,495,0
301003260,"General Administration and
Support Services Programme","1,735,000.00",-,-,495,0
,Trade,-,-,-,495,0
302003260,Trade Development programme.,-,-,-,495,0
301003260,"General Administration and
Support Services Programme",-,-,-,496,0
,Sports,-,-,-,496,0
302003260,Trade Development programme.,-,-,-,496,0
301003260,"General Administration and
Support Services Programme",-,-,-,496,0
,Gender,-,-,-,496,0
302003260,Trade Development programme.,-,-,-,496,0
301003260,"General Administration and
Support Services Programme",-,-,-,496,0
,Cooperative,"1,014,271.00",-,-,496,0
302003260,Trade Development programme.,-,-,-,496,0
301003260,"General Administration and
Support Services Programme","1,014,271.00",-,-,496,0
,Youth Development,-,-,-,496,0
302003260,Trade Development programme.,-,-,-,496,0
301003260,"General Administration and
Support Services Programme",-,-,-,496,0
,Culture,-,-,-,496,0
302003260,Trade Development programme.,-,-,-,496,0
301003260,"General Administration and
Support Services Programme",-,-,-,496,0
,Markets,"3,157,760.00","666,416.00",21,496,0
302003260,Trade Development programme.,"2,000,000.00",-,-,496,0
301003260,"General Administration and
Support Services Programme","1,157,760.00","666,416.00",58,496,0
,,"200,000.00",-,-,496,0
302003260,Trade Development programme.,-,-,-,496,0
301003260,"General Administration and
Support Services Programme","200,000.00",-,-,496,0
,Weights and Measures,"200,760.00",-,-,496,0
301003260,"General Administration and
Support Services Programme","200,760.00",-,-,496,0
,,-,-,-,496,0
301003260,"General Administration and
Support Services Programme",-,-,-,496,0
-,-,-,-,-,496,0
-,-,"2,000,000.00",-,-,497,0
-,-,"2,000,000.00",-,-,497,0
-,-,"518,850.00",-,-,497,0
-,-,"518,850.00",-,-,497,0
-,-,-,-,-,497,0
-,-,"10,480,000.00","1,393,657.00",13,497,0
-,-,-,-,-,497,0
-,-,"10,480,000.00","1,393,657.00",13,497,0
-,-,"3,090,000.00","37,400.00",1,497,0
-,-,"3,090,000.00","37,400.00",1,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,"151,650,000.00","3,084,400.00",2,497,0
-,-,-,-,-,497,0
-,-,"147,600,000.00","2,987,000.00",2,497,0
-,-,"4,050,000.00","97,400.00",2,497,0
-,-,"100,000.00","3,700.00",4,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,"100,000.00","3,700.00",4,497,0
-,-,"300,000.00","35,000.00",12,497,0
-,-,"300,000.00","35,000.00",12,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,-,-,-,497,0
-,-,"61,625,000.00","503,413.00",1,497,0
-,-,"56,550,000.00",-,-,497,0
1003003260,"Natural Resources Support
Programme",-,-,-,497,0
101003260,"Administration Planning and
Support Services","5,075,000.00","503,413.00",10,497,0
301003260,"General Administration and
Support Services Programme",-,-,-,498,0
,"Mwatate Municipal
Administration","1,650,000.00","95,500.00",6,498,0
1003003260,"Natural Resources Support
Programme",-,-,-,498,0
102003260,Development programme,-,-,-,498,0
101003260,"Administration Planning and
Support Services","1,650,000.00","95,500.00",6,498,0
,,"14,541,169.00",-,-,498,0
102003260,Development programme,"13,646,169.00",-,-,498,0
1003003260,"Natural Resources Support
Programme",-,-,-,498,0
101003260,"Administration Planning and
Support Services","895,000.00",-,-,498,0
,,-,-,-,498,0
102003260,Development programme,-,-,-,498,0
101003260,"Administration Planning and
Support Services",-,-,-,498,0
,"Environment and Natural
Resources","720,000.00","112,500.00",16,498,0
1003003260,"Natural Resources Support
Programme",-,-,-,498,0
101003260,"Administration Planning and
Support Services","720,000.00","112,500.00",16,498,0
,,"98,178,600.00",-,-,498,0
301003260,"General Administration and
Support Services Programme","4,678,600.00",-,-,498,0
102003260,Development programme,"93,500,000.00",-,-,498,0
103003260,"Infrastructure Development
programme",-,-,-,498,0
,Headquarters,-,-,-,498,0
1003003260,"Natural Resources Support
Programme",-,-,-,498,0
1002003260,"General Administration, Support
and Support Services",-,-,-,498,0
301003260,"General Administration and
Support Services Programme",-,-,-,498,0
Grand Total,,"7,482,200,592.00","1,107,415,158.00",15,498,0
