Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"Culture, Social Services, Gender, Sports & Youth Affairs",,,,,,374,0
"0901004210 P1
General Adminis-
tration Planning
and Support Ser-
vices","0901014210 SP1 General Admin-
istration Planning and Support
Services","29,478,992","26,053,061","3,425,931",88.4,374,0
,Subtotal,"29,478,992","26,053,061","3,425,931",88.4,374,0
"0902004210 P2
Culture and social
Services develop-
ment","0902014210 SP1 Conservation of
Heritage","928,000","927,140",860,99.9,374,0
,"0902024210 SP2 Development and
Promotion of Culture","33,177,932","10,013,645","23,164,287",30.2,374,0
,"0902034210 SP3 Social Welfare
and Gender","27,438,000","20,984,406","6,453,594",76.5,374,0
,"0902044210 SP4 Community Mo-
bilization and Development","6,006,692","5,870,607","136,085",97.7,374,0
,Subtotal,"67,550,624","37,795,798","29,754,826",56.0,374,0
"0903004210 P3
Promotion of oth-
er sports activities","0903014210 SP1 Development and
Management of Sports Facilities","34,512,581","6,400,930","28,111,651",18.5,374,0
,Subtotal,"34,512,581","6,400,930","28,111,651",18.5,374,0
"0503004210 P3
Sports Develop-
ment","0503034210 SP3 Sports Develop-
ment, Training and Competition","27,552,800","27,440,006","112,794",99.6,374,0
,Subtotal,"27,552,800","27,440,006","112,794",99.6,374,0
