Programme,Sub- Programme,"Approved Budget
(Kshs)",col_3,"Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index,col_5
,"Strategic Food Security Ser-
vice/AMS","97,457,157",,"15,162,125","82,295,032",15.6,222,0,
"Livestock Resourc-
es Management &
Development","Animal Health and Disease
Management and Control","400,248,513",,"173,069,816","227,178,697",43.2,222,0,
,"Livestock Resource Develop-
ment and Management","2,384,630",,"741,000.00","1,643,630",31.07,222,0,
"Fisheries Develop-
ment","Fisheries Development and
Management","615,863",,"437,212.00","178,651",70.99,222,0,
Sub-total,,"597,320,707",,"234,861,847","362,458,860",39.3,222,0,
Finance & Economic Planning,,,,,,,222,0,
"General Adminis-
tration & Planning
Services","Headquarter administration
services","50,000,000",,"36,107,937",,72.2,222,0,"13,892,063"
"Administration,
Planning & Support
Services",Personnel Services,"2,450,000",,"1,935,200",,79.0,222,0,"514,800"
,"General Administration
Support","90,230,477",,"88,525,719",,98.1,222,0,"1,704,758"
,Infrastructural Services,"666,137",,"17,637,080",,2647.7,222,0,"-16,970,943"
"Public Finance Man-
agement Services",Internal Audit Services,"9,000,000",,"7,610,258",,84.6,222,0,"1,389,742"
,"County Treasury Administra-
tive Services","703,000,000",,"540,026,952",,76.82,222,0,"162,973,048"
,Revenue collection services,"41,000,000",,"39,300,000",,95.9,222,0,"1,700,000"
,Fleet and Logistics,"5,800,000",,"5,228,037",,90.1,222,0,"571,963"
,"Supply chain management
services","14,394,223",,"10,715,699",,74.4,222,0,"3,678,524"
