Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,"General Administration and sup-
port services","1,567,905,614","1,239,507,410","328,398,204",79.1,158,0
,financial management services,"214,816,429","187,605,421","27,211,008",87.3,158,0
"0704004060 Public Finance
Management and Economic
Policy and Strategy",Economic planning services,"10,000,000","4,673,853","5,326,147",46.7,158,0
,,"1,792,722,043","1,431,786,684","360,935,359",79.9,158,0
902004060 ICT Services,ICT Services,"40,249,021",0,"40,249,021",0.0,158,0
,,"40,249,021",0,"40,249,021",0.0,158,0
,Sub Total,"1,832,971,064","1,431,786,684","401,184,380",78.1,158,0
"Administration, and Pub-
lic Service and Communi-
cation",,,,,,158,0
,"General administration and sup-
port services","695,032,289","638,972,938","56,059,351",91.9,158,0
"0705004060 Admin & co-
ord of county affairs, HR
Dev, Management, Capacity
Building","Human resource development
and management","2,000,000",0,"2,000,000",0.0,158,0
,,"697,032,289","638,972,938","58,059,351",91.7,158,0
"0703004060 Leadership and
Admin of HR management
and development in County
Public Service","Leadership and Admin of HR
management and development in
County Public Service","13,835,529","10,029,264","3,806,265",72.5,158,0
,,"13,835,529","10,029,264","3,806,265",72.5,158,0
,Sub Total,"710,867,818","649,002,202","61,865,616",91.3,158,0
Youth and Sports,,,,,,158,0
"0901004060 Promotion
and development of sports;
Youth services","General administration and sup-
port services","266,120,000","108,077,398","158,042,602",40.6,158,0
,,"266,120,000","108,077,398","158,042,602",40.6,158,0
902004060 ICT Services,ICT Services,"25,695,300","17,229,400","8,465,900",67.1,158,0
,,"25,695,300","17,229,400","8,465,900",67.1,158,0
,Sub Total,"291,815,300","125,306,798","166,508,502",42.9,158,0
