Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),Absorption Rate (%),page_number,table_index
"Human Resource Manage-
ment","Human Resource
Management","13,800,000","2,885,450","10,914,550",20.9%,299,0
"Governance and Account-
ability","Governance and Ac-
countability","3,100,000","629,675","2,470,325",20.3%,299,0
"General Administration
Planning and support Ser-
vices","General Adminis-
tration Planning and
support Services","27,738,485","25,172,485","8,158,000",90.7%,299,0
,Sub Total,"44,638,485","28,687,610","21,542,875",64.3%,299,0
County Assembly,,,,,,299,0
"Legislation and representa-
tion","Legislation and rep-
resentation","316,900,000","305,610,552","11,289,448",96.4%,299,0
oversight,oversight,"220,350,000","207,192,282","13,157,718",94.0%,299,0
"Administration support and
planning","Administration sup-
port and planning","297,893,240","217,457,189","80,436,051",73.0%,299,0
,Sub Total,"835,143,240","730,260,023","104,883,217",87.4%,299,0
Grand Total,,"8,884,912,813","7,718,183,539","1,172,321,274",86.9%,299,0
