Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
DEPARTMENT OF EDUCATION AND VOCATIONAL TRAINING,,,,,,72,0
"CP 17: General Admin-
istration and Support
services","CSP 17.1: Administrative
support service","450,078,587.26","426,814,636","23,263,951.26",95%,72,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of
infrastructure in E.C.D.E
Centers",-,-,-,0%,72,0
,"CSP 18.2 E.C.D.E Capita-
tion",-,-,-,0%,72,0
,CSP 18.3: Child nutrition,-,-,-,0%,72,0
"CP 19: Tertiary/Voca-
tional Training Devel-
opment","CSP 19.1: Infrastructure
development","33,057,600.00","10,591,427","22,466,173.00",32%,72,0
"CP 20: Education
support","CSP 20.1: Education sup-
port scheme","144,866,534.00","63,731,825","81,134,709.00",44%,72,0
"CP 21: Other Develop-
ment Projects","CSP 21.1 Other Develop-
ment Projects","121,442,008.00","60,261,241","61,180,767.00",50%,72,0
Total for Vote,,"749,444,729.26","561,399,129.00","188,045,600.26",75%,72,0
"DEPARTMENT OF COMMUNITY DEVELOPMENT, TOURISM AND CULTURE.",,,,,,72,0
"CP 26: General Admin-
istration and Support
services","CSP 26.1: Administrative
support service","86,381,359.83","81,787,634","4,593,725.83",95%,72,0
CP 27: Social services,"CSP 27.1: Infrastructural
development",-,-,-,,72,0
,"CSP 27.2: Community
Support",-,-,-,,72,0
"CP 28: Youth and
Empowerment Devel-
opment","CSP 28.1 Equipping and
Operationalization of
youth empowerment","5,000,000.00",-,"5,000,000.00",0%,72,0
"CP 29: Promotion and
development of sports","CSP 29.1: Infrastructural
development","5,000,000.00","3,794,967.00","1,205,033.00",76%,72,0
,"CSP 29.2: Sports promo-
tion",-,-,-,,72,0
"CP 30: Child care and
protection","CSP 30.1: Rehabilitation
and custody","5,000,000.00","1,260,967.95","3,739,032.05",25%,72,0
"CP 31: Culture Promo-
tion and Development","CSP 31.1: Cultural infra-
structural development","21,400,000.00","385,426.15","21,014,573.85",2%,72,0
"CP 32: Promotion and
development of Local
tourism in the County","CSP 32.1: Tourism devel-
opment","3,000,000.00","802,312.00","2,197,688.00",27%,72,0
"CP 33: Alcoholic Drinks
and Drugs control","CSP 33.1: Infrastructure
development",-,-,-,,72,0
"CP 34: Other Develop-
ment Projects","CSP 34.1: Other Develop-
ment projects","58,639,200.00","29,268,550.00","29,370,650.00",50%,73,0
Total for Vote,,"184,420,560","117,299,857","67,120,703",64%,73,0
"DEPARTMENT OF PUBLIC WORKS, ROAD AND ENERGY",,,,,,73,0
"CP 35: General Admin-
istration and support
services","CSP 35.1: Administrative
support service","137,820,995.62","131,525,911","6,295,084.62",95%,73,0
"CP 36: Development and
Maintenance of Roads","CSP 36.1: Routine mainte-
nance of roads","396,794,499.00","314,709,080","82,085,419.00",79%,73,0
,"CSP 36.2: Development of
Roads","342,074,250.00","197,999,922","144,074,328.00",58%,73,0
"CP 37: Building Infra-
structure Development","CSP 37.1: Infrastructure
Development","3,000,000.00",-,"3,000,000.00",0%,73,0
"CP 38: Energy Develop-
ment",CSP 38.1 Energy Services,"16,910,000.00",-,"16,910,000.00",0%,73,0
,"CSP 38.2: Solar Energy
Exploration",-,-,-,,73,0
,"CSP 38.3: Renewable en-
ergy",-,-,-,,73,0
"CP 39: Alternative
Transport infrastructure
Development","CSP 39.1: Road safety
campaign",-,-,-,,73,0
"CP 40: Other Develop-
ment Projects","CSP 40.1: Other Develop-
ment Projects","593,499,887.00","228,844,825","364,655,062.00",39%,73,0
Total for Vote,,"1,490,099,632","873,079,738","617,019,894",59%,73,0
DEPARTMENT OF PUBLIC SERVICE MANAGEMENT,,,,,,73,0
"CP 41: General Admin-
istration and support
services","CSP 41.1: Administrative
support services","450,477,490.34","358,888,338","91,589,152.34",80%,73,0
Total for Vote,,"450,477,490.34","358,888,338.00","91,589,152.34",79.67,73,0
County Public Service Board,,,,,,73,0
"CP 41: General Admin-
istration and support
services","CSP 41.1: Administrative
support services","74,955,241","72,689,742","2,265,499.19",97%,73,0
Total for Vote,,"74,955,241.19","72,689,742.00","2,265,499.19",97%,73,0
DEPARTMENT OF LANDS AND URBAN DEVELOPMENT,,,,,,73,0
"CP 42: General Admin-
istration and support
services","CSP 42.1: Administrative
support services","146,331,813.94","143,011,356","3,320,457.94",98%,73,0
"CP 43: County Land
Administration and
planning","CSP 43.1: Land use plan-
ning","5,000,000.00",-,"5,000,000.00",0%,73,0
"CP 44: Housing develop-
ment and management","CSP 44.1: Housing Devel-
opment","5,000,000.00","2,751,724.00","2,248,276.00",55%,73,0
"CP 45: County Urban
management and Devel-
opment","CSP 45.1: Urban manage-
ment","265,224,248.00","33,336,361.00","231,887,887.00",13%,73,0
,"CSP 45.2: Urban Develop-
ment","20,000,000.00","8,117,894.00","11,882,106.00",41%,73,0
"CP 46: Other Develop-
ment Projects","CSP 46.1: Other Develop-
ment Projects","42,250,000.00","15,681,500.00","26,568,500.00",37%,73,0
Total for Vote,,"483,806,062","202,898,835","280,907,227",42%,73,0
"DEPARTMENT OF WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,73,0
"CP 48: Water Supply
Services","CSP 48.1: Urban water
supply and sewerage","111,565,425.00","14,119,468","97,445,957.00",13%,74,0
,"CSP 48.2: Rural water sup-
ply","4,000,000.00",-,"4,000,000.00",0%,74,0
"CP 49: Environment
Management and Pro-
tection","CSP 49.1 Environmental
management","203,127,734.00","97,881,420","105,246,314.00",48%,74,0
"CP 50: Small Holder
Irrigation and Drainage","CSP 50.1: Irrigation infra-
structure development","2,310,000.00",-,"2,310,000.00",0%,74,0
"CP 51: Forest develop-
ment and management","CSP 51.1: Rehabilitation
and Restoration degraded
landscape","13,770,000.00","5,855,962","7,914,038.00",43%,74,0
"CP 52: Water Tower
Protection and Climate
Change Mitigation","CSP 52.1: Water Tower
Protection and Climate
Change Mitigation",-,-,-,,74,0
"CP53: Other Develop-
ment Projects","CSP 53.1 Other Develop-
ment Projects","365,665,556.00","155,459,235","210,206,321.00",43%,74,0
Total for Vote,,"824,463,903","395,749,132","428,714,771",48%,74,0
DEPARTMENT OF HEALTH AND SANITATION,,,,,,74,0
"CP 54: General Admin-
istration and support
services","CSP 54.1: Administrative
support service","1,870,705,822.78","1,668,336,570","202,369,252.78",89%,74,0
"CP 55: Curative Health
Services","CSP 55.1: Infrastructure
development","384,005,854.00","147,507,231","236,498,623.00",38%,74,0
,"CSP 55.2: Hospital equip-
ment","23,275,000.00","3,639,620","19,635,379.85",16%,74,0
"CP 56: Preventive and
Promotive Health
services","CSP 56.1: Infrastructure
development","26,000,000.00","1,010,996","24,989,004.00",4%,74,0
,"CSP 56.2: Lower level hos-
pital equipment","1,000,000.00",-,"1,000,000.00",0%,74,0
,"CSP 56.3: Preventive Ser-
vices","29,500,000.00","494,000","29,006,000.00",2%,74,0
,"CSP 56.4: Health promo-
tion unit","127,268,263.50","90,533,767","36,734,496.50",71%,74,0
"CP 57: Other Develop-
ment Projects","CSP 57.1: Other Develop-
ment projects","132,747,823.00","28,588,410","104,159,413.00",22%,74,0
Total for Vote,,"2,594,502,763","1,940,110,594","654,392,169",75%,74,0
OFFICE OF THE GOVERNOR,,,,,,74,0
"CP 59: General Admin-
istration and support
services","CSP 59.1: Administrative
support service","369,922,571","365,666,195","4,256,376.17",99%,74,0
"CP 60: Disaster Risk
Management","CSP 60.1: Disaster pre-
paredness","69,550,000.00","7,339,538.00","62,210,462.00",11%,74,0
"CP 61: Information dis-
semination and knowl-
edge management","CSP 60.1: Communication
Services","9,160,000.00","5,357,017.00","3,802,983.00",58%,74,0
"CP 62: Other Develop-
ment Projects","CSP 62.1: Other Develop-
ment projects","3,600,000.00","2,425,681.55","1,174,318.45",67%,74,0
Total,,"452,232,571","380,788,432","71,444,140",84%,74,0
COUNTY ASSEMBLY,,,,,,74,0
"CP 63: General Admin-
istration and Support
Services","CP 63: General Adminis-
tration and Support Ser-
vices","738,972,659.00","734,807,978.01","4,164,680.99",99.4,74,0
"CP 64: Infrastructure
Development","CP 64: Infrastructure De-
velopment","66,000,000.00","63,895,753.92","2,104,246.08",96.8,75,0
Subtotals,,"804,972,659.00","798,703,731.93","6,268,927.07",99.2,75,0
GRAND TOTAL,,"10,433,769,307","7,474,457,173","2,959,312,134",71.6,75,0
