Sub Program,Name of the Programme,"Approved Esti-
mates FY 2020/21","Expendi-
ture 1/7/20-
30/06/21(Kshs)",Variance (Kshs.),"Implementation
Status (% )",page_number,table_index
,"Modern Physical Markets Infrastruc-
ture","39,619,427","34,512,054","5,107,373",87.1,428,0
303014110,"Construction & Development of Mod-
ern Physical Market","3,142,862","3,647,219","-504,357",116.1,428,0
303024110,"Co-operative Marketing, Value Addi-
tion, Surveys & Research","4,707,650","3,613,150","1,094,500",76.8,428,0
303034110,"Co-operative Education, Training, Ex-
change and Ushirika Day Celeb","2,900,600","2,190,600","710,000",75.5,428,0
303044110,"Strengthening of Key Dormant Co-op-
erative Societies","6,018,380","2,994,360","3,024,020",49.8,428,0
303054110,"Formulation of Cooperative Policy and
Legal Frame Work","1,920,690","1,137,480","783,210",59.2,428,0
303064110,Cooperative Development Fund,"20,929,245","20,929,245",0,100,428,0
,General Administration,"86,985,267","97,576,778","-10,591,511",112.2,428,0
307014110,General Administration,"86,985,267","97,576,778","-10,591,511",112.2,428,0
,Gender Promotion,"10,587,500","9,068,540","1,518,960",85.7,428,0
308014110,Gender Empowerment and advocacy,"5,717,500","4,363,200","1,354,300",76.3,428,0
308024110,"Gender Mainstreaming and Coordina-
tion","2,345,000","2,711,440","-366,440",115.6,428,0
308034110,Legal Compliance and Redress,"445,000","1,030,000","-585,000",231.5,428,0
,,(Kshs.),,,,429,0
308044110,"Promotion of Gender Equality and Em-
powerment","2,080,000","963,900","1,116,100",46.3,429,0
,Youth Affairs Development,"55,754,100","47,241,135","8,512,966",84.7,429,0
309014110,"Youth Coordination and Representa-
tion","14,947,150","10,468,200","4,478,950",70,429,0
309024110,Youth Employment Scheme,"11,295,900","8,403,103","2,892,798",74.4,429,0
309034110,Youth Rare skills,"7,511,050","6,369,832","1,141,218",84.8,429,0
309044110,Youth and Women Fund,"22,000,000","22,000,000",0,100,429,0
,"General Administration, Planning
and support services","622,231,279","419,195,679","203,035,600",67.4,429,0
401014110,"General Administration, Planning and
support services","397,319,801","382,832,688","14,487,113",96.4,429,0
401074110,Health Facilities,"224,911,478","36,362,991","188,548,487",16.2,429,0
,Support to Health Programs,"402,195,036","79,680,474","322,514,562",19.8,429,0
402114110,Health promotion,"372,057,536","58,773,474","313,284,062",15.8,429,0
402134110,"Emergency preparedness & disaster re-
sponse","29,480,000","20,907,000","8,573,000",70.9,429,0
402164110,mainstreaming,"657,500",0,"657,500",-,429,0
,Curative Health Services,0,0,0,,429,0
409014110,Curative Health Services,0,0,0,,429,0
,,"93,035,000","52,283,590","40,751,410",56.2,429,0
410024110,Blood Transfusion Services,"1,800,000","1,742,520","57,480",96.8,429,0
410044110,Referrals & Emergency Services,"2,600,000","834,800","1,765,200",32.1,429,0
410094110,Rural Health Facility Support,"45,000,000","45,000,000",0,100,429,0
410104110,Sub county Health Facilities Support,"43,635,000","4,706,270","38,928,730",10.8,429,0
,,"15,799,000","4,465,050","11,333,950",28.3,429,0
411014110,LCRH Devt,"6,799,000","4,465,050","2,333,950",65.7,429,0
411024110,LCRH Devt,"9,000,000",0,"9,000,000",-,429,0
,,"241,000,000","208,868,663","32,131,337",86.7,429,0
412014110,Medical Supplies,"241,000,000","208,868,663","32,131,337",86.7,429,0
,,"31,410,000","30,791,251","618,749",98,429,0
413014110,Health Information & Mgt,"1,440,000","925,500","514,500",64.3,429,0
413034110,Universal Health Care,"29,970,000","29,865,751","104,249",99.7,429,0
,,"3,368,000","464,460","2,903,540",13.8,429,0
414014110,Rehabilitation & Treatment,"1,400,000","353,700","1,046,300",25.3,429,0
414034110,Liquor Licensing,"1,968,000","110,760","1,857,240",5.6,429,0
,"Social protection programs/ Affirma-
tive Action","62,902,535","31,188,151","31,714,384",49.6,429,0
503024110,"Construction of PWDs multi-purpose
resource center","24,370,000","11,714,011","12,655,989",48.1,429,0
503074110,"Marginalized and Minority groups sup-
port","3,160,000","253,820","2,906,180",8,429,0
503084110,Child Rescue Centre,"9,000,000","1,964,500","7,035,500",21.8,429,0
503094110,Child Care & Protection,"26,372,535","17,255,820","9,116,715",65.4,429,0
,Sports and arts programme,"20,281,224","5,068,705","15,212,519",25,429,0
504014110,Construction of sport Stadia,"14,282,668","5,068,705","9,213,963",35.5,429,0
504044110,Stadia,"5,998,556",0,"5,998,556",-,429,0
,General Administration,"557,255,746","532,251,598","25,004,148",95.5,429,0
506014110,ral Administration,"278,255,746","253,251,598","25,004,148",91,429,0
506024110,"Turkana Education and Skill Develop-
ment Fund","279,000,000","279,000,000",0,100,429,0
,Vocational Training,"43,376,413","19,648,717","23,727,696",45.3,429,0
508014110,Youth Polytechnic Infrastructure,"17,903,732","7,703,570","10,200,162",43,429,0
508024110,Training and Development,"9,467,999","4,977,000","4,490,999",52.6,429,0
508034110,Co-Cirricular Activities,"3,294,788","613,200","2,681,588",18.6,429,0
508044110,Youth Polytechnics- Conditional,"12,709,894","6,354,947","6,354,947",50,429,0
,Public Relations,"3,528,000","344,700","3,183,300",9.8,429,0
,,(Kshs.),,,,430,0
509014110,Publicity,"1,620,000","344,700","1,275,300",21.3,430,0
509024110,Research and Sensitization,"1,908,000",0,"1,908,000",-,430,0
,Early Childhood Education,"386,212,417","209,329,561","176,882,856",54.2,430,0
510014110,School Feeding,"121,620,000","121,940,750","-320,750",100.3,430,0
510024110,Quality Improvement,"7,008,595","3,117,044","3,891,552",44.5,430,0
510034110,Infrastructure Development,"249,653,822","82,674,667","166,979,155",33.1,430,0
510044110,Support to Pre-Primary Training,"7,930,000","1,597,100","6,332,900",20.1,430,0
,"General Administration, Planning
and Support Services","5,359,713,756","4,588,220,638","771,493,118",85.6,430,0
701014110,General Administration Services,"277,573,678","172,550,954","105,022,724",62.2,430,0
701094110,"General Administration - Economic
planning","65,182,968","51,093,293","14,089,675",78.4,430,0
701154110,General Admin Planning & Support,"36,696,750","9,160,116","27,536,634",25,430,0
701164110,"General Administration, Planning and
Support Services-Public Ser","4,340,858,164","3,982,417,906","358,440,259",91.7,430,0
701174110,"General Administration, Planning and
Support Services-Administration","55,424,600","50,736,346","4,688,254",91.5,430,0
701194110,"General Administration, Planning and
Support Services- Office of","310,647,047","241,659,146","68,987,901",77.8,430,0
701204110,"General Administration, Planning and
Support Services- Liaison Office","38,030,000","16,296,563","21,733,437",42.9,430,0
701214110,General Admin Planning & Support,"22,616,375","13,430,505","9,185,870",59.4,430,0
701224110,COVID-19 Emergency Response Fund,"212,684,174","50,875,810","161,808,364",23.9,430,0
,Governor's Residence,"10,565,012","4,525,866","6,039,146",42.8,430,0
702014110,Construction of Governor’s residence,"2,268,591","1,253,535","1,015,056",55.3,430,0
702024110,"Documentation, communication poli-
cy and strategy","1,674,789","898,508","776,282",53.7,430,0
702034110,"Civic Education and Public Sensitiza-
tion","5,923,182","1,685,373","4,237,809",28.5,430,0
702044110,"Production of County Newspaper and
Newsletter","698,450","688,450","10,000",98.6,430,0
,Donor/ Investor engagement,"15,616,867","9,740,855","5,876,012",62.4,430,0
703014110,"Public-Private Partnership Initiatives
(PPPs)","2,656,867","2,266,057","390,810",85.3,430,0
703024110,"Political and Intergovernmental Advi-
sory Services","1,440,000","99,963","1,340,037",6.9,430,0
703034110,Legal Advisory Services,"1,440,000","974,760","465,240",67.7,430,0
703044110,"Security and cross border Advisory
Services","1,440,000","951,980","488,020",66.1,430,0
703054110,Oil And Gas Advisory Service,"1,440,000","925,240","514,760",64.3,430,0
703064110,"Gender and Partnership Advisory Ser-
vices","1,440,000","872,310","567,690",60.6,430,0
703074110,Special Interest groups,"1,440,000","623,580","816,420",43.3,430,0
703084110,Climate Change advisory services,"1,440,000","1,080,000","360,000",75,430,0
703094110,Education and youth Advisory services,"1,440,000","908,900","531,100",63.1,430,0
703104110,"Culture, Arts and Heritage advisory
services","1,440,000","1,038,065","401,935",72.1,430,0
,Security and Peace Building,"90,970,274","43,705,765","47,264,509",48,430,0
704014110,"Community Cohesion and Resettle-
ment","10,288,800","6,403,370","3,885,430",62.2,430,0
704024110,"Operationalization of peace building
structures and institutions","17,460,986","10,575,135","6,885,851",60.6,430,0
704034110,"Resettlement Infrastructural Pro-
gramme","32,000,000","3,986,280","28,013,720",12.5,430,0
704044110,"Cross Border peace dividends pro-
gramme","31,220,488","22,740,980","8,479,508",72.8,430,0
,,(Kshs.),,,,431,0
,"Government Communication and
Media relations","20,423,767","20,610,078","-186,311",100.9,431,0
705014110,"Acquiring & development of communi-
cation systems/equipment","2,806,767","706,144","2,100,623",25.2,431,0
705024110,Bills,"3,000,000","3,000,000",0,100,431,0
705034110,Policies,"12,370,240","14,903,934","-2,533,694",120.5,431,0
705044110,"Development and Implementation of
ICT Policy and Regulations","246,760",0,"246,760",-,431,0
705054110,"Acquisition of Information Systems
and Equipment","2,000,000","2,000,000",0,100,431,0
,Revenue Collection Systems,"28,190,952","15,712,799","12,478,153",55.7,431,0
706014110,Automated Revenue Collection,"4,087,230","3,388,494","698,736",82.9,431,0
706024110,Feasibility Study on Revenue Base,"6,806,076","5,535,230","1,270,846",81.3,431,0
706034110,Awareness and Campaigns on Revenue.,"2,223,266","1,093,540","1,129,726",49.2,431,0
706044110,Motorbikes for Revenue Officers 30 No.,"2,296,500",0,"2,296,500",-,431,0
706054110,Strengthening Revenue Systems,"11,669,080","4,786,085","6,882,995",41,431,0
706064110,"Revenue Forecast and Revenue Budget
Preparation","1,108,800","909,450","199,350",82,431,0
,Accountability and Transparency,"159,927,222","17,181,457","142,745,765",10.7,431,0
707014110,Internal Audit,"5,548,344","3,853,832","1,694,512",69.5,431,0
707024110,Procurement systems,"29,469,712","4,397,000","25,072,712",14.9,431,0
707044110,IFMIS training,"3,370,000","3,287,700","82,300",97.6,431,0
707054110,Consultancy Services,"13,973,766",0,"13,973,766",-,431,0
707064110,"Financial Reporting/Research and De-
velopment","7,565,400","5,642,925","1,922,475",74.6,431,0
707074110,"Modern Fencing, Gate and Parking
Yards for County Treasury Office","100,000,000",0,"100,000,000",-,431,0
,Social and Financial Security,"13,839,782","6,281,735","7,558,047",45.4,431,0
708014110,"Assurance and Insurance of Govt. As-
sets","3,656,182","1,460,900","2,195,282",40,431,0
708024110,Liability and Debt Management,"3,383,000","2,393,700","989,300",70.8,431,0
708034110,Turkana SACCO Seed Capital,"6,800,600","2,427,135","4,373,465",35.7,431,0
,Planning and Policy formulation,"104,106,827","50,218,876","53,887,951",48.2,431,0
709014110,"Economic Policy formulation and Dis-
semination","7,534,183","6,201,443","1,332,740",82.3,431,0
709024110,CIDP review and Dissemination,"2,278,204","1,757,354","520,850",77.1,431,0
709034110,Budget preparation and Dissemination,"45,000,000",0,"45,000,000",-,431,0
709054110,County Budget and Economic Forums,"39,300,000","34,140,783","5,159,217",86.9,431,0
709064110,"Public Participation and Access to In-
formation","5,214,540","3,395,143","1,819,397",65.1,431,0
709074110,Waste Management,"2,257,740","1,957,242","300,498",86.7,431,0
709104110,Sector Plans Devt,"2,522,160","2,766,910","-244,750",109.7,431,0
