Programme,Sub- Programme,"FY 2020/21
Approved Budget
(Kshs)","Actual Pay-
ments in FY
2020/21 (Kshs)","Variance
(Kshs.)","Absorption rate in
FY 2020/21 (%)",page_number,table_index
"Water Resources Develop-
ment and Management","Water Resources Develop-
ment and Management","11,843,697","11,843,697",-,100.0%,382,0
,Sub total,"11,843,697","11,843,697",-,100.0%,382,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","317,948,704","245,097,467","72,851,237",77.1%,382,0
,Sub total,"317,948,704","245,097,467","72,851,237",77.1%,382,0
"Environment and Natural
Resources Conservation and
Management","Environment and Natural
Resources Conservation and
Management","2,115,930","2,115,930",-,100.0%,382,0
,Sub total,"2,115,930","2,115,930",-,100.0%,382,0
"EDUCATION, YOUTH AFFAIRS, GENDER AND SOCIAL SERVICES",,,,,,382,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","674,921,011","519,273,468","155,647,543",76.9%,382,0
,Sub total,"674,921,011","519,273,468","155,647,543",76.9%,382,0
"County Pre Primary Educa-
tion","County Pre Primary Educa-
tion","4,758,930","4,758,930",-,100.0%,382,0
,Sub total,"4,758,930","4,758,930",-,100.0%,382,0
"Vocational Education and
Training Development","Vocational Education and
Training Development","2,404,458","2,404,458",-,100.0%,382,0
,Sub total,"2,404,458","2,404,458",-,100.0%,382,0
"County Social Security and
Services","County Social Security and
Services","16,740,871","16,740,871",-,100.0%,382,0
,Sub total,"16,740,871","16,740,871",-,100.0%,382,0
COUNTY HEALTH SERVICES,,,,,,382,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","2,008,319,384","1,953,160,864","55,158,520",97.3%,382,0
,Sub total,"2,008,319,384","1,953,160,864","55,158,520",97.3%,382,0
"Curative and Rehabilitative
Health Care Services","Curative and Rehabilitative
Health Care Services","156,342,739","109,700,204","46,642,535",70.2%,383,0
,Sub total,"156,342,739","109,700,204","46,642,535",70.2%,383,0
"Preventive and Promotive
Health Services","Preventive and Promotive
Health Services","62,587,926","62,587,926",-,100.0%,383,0
,Sub total,"62,587,926","62,587,926",-,100.0%,383,0
,,,,,,383,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,383,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","154,845,387","106,498,206","48,347,181",68.8%,383,0
,Sub total,"154,845,387","106,498,206","48,347,181",68.8%,383,0
Land Use Planning,Land Use Planning,"1,900,000","1,900,000",-,100.0%,383,0
,Sub total,"1,900,000","1,900,000",-,100.0%,383,0
"County Land Administra-
tion and Surveying","County Land Administration
and Surveying","2,225,001","2,225,001",-,100.0%,383,0
,Sub total,"2,225,001","2,225,001",-,100.0%,383,0
"Housing and Urban Devel-
opment","Housing and Urban Develop-
ment","2,490,001","2,490,001",-,100.0%,383,0
,Sub total,"2,490,001","2,490,001",-,100.0%,383,0
Siaya Municipal Board,Siaya Municipal Board,"16,228,001","16,228,001",-,100.0%,383,0
,Sub total,"16,228,001","16,228,001",-,100.0%,383,0
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,383,0
"Transport Infrastructure De-
velopment","Transport Infrastructure De-
velopment","1,466,645,275","927,248,616","539,396,659",63.2%,383,0
,Sub total,"1,466,645,275","927,248,616","539,396,659",63.2%,383,0
"County Government Build-
ing Services","County Government Build-
ing Services","243,202","243,202",-,100.0%,383,0
,Sub total,"243,202","243,202",-,100.0%,383,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","809,795","809,795",-,100.0%,383,0
,Sub total,"809,795","809,795",-,100.0%,383,0
ENTERPRISES AND INDUSTRIAL DEVELOPMENT,,,,,,383,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","265,505,213","235,127,021","30,378,192",88.6%,383,0
,Sub total,"265,505,213","235,127,021","30,378,192",88.6%,383,0
"Trade Development and
Promotion","Trade Development and Pro-
motion","1,970,000","1,970,000",-,100.0%,383,0
,Sub total,"1,970,000","1,970,000",-,100.0%,383,0
"Fair Trade Practices and
Consumer Protection Ser-
vices","Fair Trade Practices and Con-
sumer Protection Services","2,089,533","2,089,533",-,100.0%,383,0
,Sub total,"2,089,533","2,089,533",-,100.0%,383,0
Alcoholic Drinks Control,Alcoholic Drinks Control,"1,240,000","1,240,000",-,100.0%,383,0
,Sub total,"1,240,000","1,240,000",-,100.0%,383,0
"Co-operatives Development
and Management","Co-operatives Development
and Management","2,190,000","2,190,000",-,100.0%,383,0
,Sub total,"2,190,000","2,190,000",-,100.0%,383,0
"TOURISM, CULTURE SPORTS AND ARTS",,,,,,383,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support Ser-
vices","145,818,092","192,293,496","(46,475,404)",131.9%,383,0
,Sub total,"145,818,092","192,293,496","(46,475,404)",131.9%,383,0
Sports and Arts,Sports and Arts,"7,085,000","7,085,000",-,100.0%,383,0
,Sub total,"7,085,000","7,085,000",-,100.0%,383,0
