"County Depart-
ment","Name of the
Programme",Sub-Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,Sub-total,,"96,438,810","68,950,833","27,487,977",71.5,361,0
Health Services,"County Health
Services","Administration,
planning and support
services","2,304,209,190","2,116,106,009","188,103,181",91.8,362,0
,"Nyeri Level V
Referral Hospital","Administration,
planning and support
services","484,361,272","469,241,697","15,119,575",96.9,362,0
,"Karatina District
Hospital","Administration,
planning and support
services","40,000,000","32,088,058","7,911,942",80.2,362,0
,"Mukurweini
District Hospital","Administration,
planning and support
services","13,000,000","11,947,650","1,052,350",91.9,362,0
,"Othaya District
Hospital","Administration,
planning and support
services","17,000,000","14,000,000","3,000,000",82.4,362,0
,"Mt Kenya Hos-
pital","Administration,
planning and support
services","17,000,000","9,635,038","7,364,962",56.7,362,0
,"Health Centres
and Dispensa-
ries","Administration,
planning and support
services","130,703,831","82,726,011","47,977,820",63.3,362,0
,Sub-total,,"3,006,274,293","2,735,744,463","270,529,830",91.0,362,0
"Education and
Sports","Education Man-
agement","Administrative Sup-
port Services","260,388,573","257,712,513","2,676,060",99.0,362,0
,"ECDE Manage-
ment",ECDE Management,"24,517,496","21,661,884","2,855,612",88.4,362,0
,Youth Training,"Administrative Sup-
port Services","65,171,639","31,271,075","33,900,564",48.0,362,0
,"County Sports
Development","Search and nurture
talents","49,869,566","19,275,361","30,594,205",38.7,362,0
,Sub-total,,"399,947,274","329,920,833","70,026,441",82.5,362,0
"Office of the
Governor and
Deputy Gover-
nor","Management
and Co-ordina-
tion of county
affairs","Administration,
planning and support
services","115,114,004","113,740,548","1,373,456",98.8,362,0
,,Service Delivery,"3,370,000","3,328,537","41,463",98.8,362,0
,,"Management of coun-
ty affairs","10,868,333","10,069,215","799,118",92.7,362,0
,Sub-total,,"129,352,337","127,138,300","2,214,037",98.3,362,0
"Office of the
County Secretary","Coordination
of County
Functions and
Public Service
Management","Administration,
planning and support
services","356,652,672","343,614,366","13,038,306",96.3,362,0
,,"Coordination of func-
tions of the County
Executive Committee","1,270,000","1,134,732","135,268",89.4,362,0
,Sub-total,,"357,922,672","344,749,098","13,173,574",96.3,362,0
"Finance and Eco-
nomic Planning","Executive ser-
vices","Administration and
personnel services","807,574,744","758,349,511","49,225,233",93.9,363,0
,"Economic Plan-
ning","Economic Planning
and Policy Formu-
lation","13,584,046","10,271,604","3,312,442",75.6,363,0
,,Budget Management,"417,645,843","388,775,067","28,870,776",93.1,363,0
,"Public Finance
Management",Financial Accounting,"13,059,187","12,259,700","799,487",93.9,363,0
,,"Procurement Compli-
ance and Reporting","11,907,249","10,744,953","1,162,296",90.2,363,0
,,Internal Audit,"8,747,881","7,847,119","900,762",89.7,363,0
,"Revenue Mobili-
zation",Revenue Mobilization,"24,211,483","21,693,413","2,518,070",89.6,363,0
,"Intra and Inter-
governmental
Relation","Administration and
personnel services","15,869,599","13,481,330","2,388,269",85.0,363,0
,KDSP,"Administration and
personnel services","81,800,000","15,278,600","66,521,400",18.7,363,0
,"Monitoring and
Evaluation","Administration and
personnel services","5,402,500","4,699,950","702,550",87.0,363,0
,Sub-total,,"1,399,802,532","1,243,401,247","156,401,285",88.8,363,0
"County Assem-
bly","General admin-
istration, Policy
Development
and implemen-
tation","Administration and
planning services","756,085,232","700,783,174","55,302,058",92.7,363,0
,,,,,0,,363,0
"County Public
Service and Solid
Waste Manage-
ment","Human resourc-
es management","Administration
Planning and Support
Services","59,277,027","56,429,636","2,847,391",95.2,363,0
,"Environmental
Management","Environment Conser-
vation, Protection and
Management","24,105,027","19,874,113","4,230,914",82.5,363,0
,"Sanitation man-
agement","Administrative Sup-
port Services","63,895,754","46,535,866","17,359,888",72.8,363,0
,Sub-total,,"147,277,808","122,839,615","24,438,193",83.4,363,0
"County Public
Service Board","General Ad-
ministration
and Planning
services","Administration and
Personnel Services","52,559,278","47,262,079","5,297,199",89.9,363,0
,,,,,0,,363,0
"Gender, Youth
and Social Ser-
vices","General Ad-
ministration
and Planning
services","Administration and
personnel services","119,017,436","95,916,309","23,101,127",80.6,363,0
,"Social develop-
ment","Administration and
planning services","3,502,001","3,000,879","501,122",85.7,363,0
,"Disaster Man-
agement","Administration and
planning services","6,990,537","6,867,256","123,281",98.2,363,0
,Sub-total,,"129,509,974","105,784,444","23,725,530",81.7,363,0
"Water and Irriga-
tion Services","Water Manage-
ment","Administrative Sup-
port Services","133,286,048","119,692,465","13,593,583",89.8,363,0
,Grand Total,,"9,098,018,004","7,750,919,943","1,347,098,061",85.2,363,0
