"Vote Code
Title",Programme,"Programme Code
And Title","Supplementary
Budget Estimates
(Kshs.)","Total Payment
(Kshs.)","s Variance
(Kshs.)",Absorption (%),page_number,table_index,"Total Payments
(Kshs.)","Variance
(Kshs.)"
,,"0208040 SP 2.4 E-Gov-
ernment Services","216,468,857",,,48.2,307,0,"104,280,854","112,188,003"
,"0210005310 ICT
Infrastructure Devel-
opment","0210010 SP1: ICT
Infrastructure Connec-
tivity","77,275,622",,,5.2,307,0,"4,031,580","73,244,042"
,,"0210035310 sp 3:Infor-
mation Security","4,141,008",,,57.6,307,0,"2,384,100","1,756,908"
,,"Total 5313000000 ICT,
E-GOVT & Public
Communications","482,608,289",,,52.4,307,0,"252,754,325","229,853,964"
"5314000000
FINANCE &
ECONOMIC
PLANNING","0701005310
Public Financial
Management","0701015310 Assets
Management Services","250,767,230",,,54.1,308,0,"135,696,850","115,070,380"
,,"0701065310 sp1.6
Accounting Services","1,039,466,796",,,99.3,308,0,"1,031,909,401","7,557,395"
,,"0701075310 sp1.7
Budget Formulation
Coordination and mgt","188,982,713",,,63.9,308,0,"120,770,468","68,212,246"
,,"0701085310 sp1.8 Re-
source Mobilisation","827,132,093",,,93.8,308,0,"775,885,713","51,246,380"
,,"070115310 Debt Man-
agement Services","7,278,421,450",,,61.4,308,0,"4,467,529,478","2,810,891,972"
,,"0718085310 Sp8 Sup-
ply Chain Management","106,379,986",,,91.4,308,0,"97,237,575","9,142,411"
,,"5314001101 County
Budget & Economic
Forum","4,585,300",,,52.7,308,0,"2,414,790","2,170,510"
,"0718005310 Gen-
eral Administrative
Services","0718015310 Sp1 Gen-
eral Administration &
Support Services","369,094,353",,,92.9,308,0,"342,791,579","26,302,774"
,,"5314001001 Kenya
Devolution Support
Programme (KDSP)","75,000,000",,,100.0,308,0,"75,000,000",0
,"0719000 P3: Eco-
nomic and Financial
Policy Formulation
and Management","0719010 SP 3.1 Fiscal
Policy Formulation,
Development and
Management","164,289,056",,,73.1,308,0,"120,090,563","44,198,493"
,,"Total 5314000000
Finance & Economic
Planning","10,304,118,977",,,69.6,308,0,"7,169,326,416","3,134,792,561"
"5315000000
HEALTH","0404005310 Gener-
al administration,
planning and support
services","0404015310 Sp4.1 Ad-
ministration/Human
Resource for Health","1,072,723,303",,,56.3,308,0,"603,575,869","469,147,434"
,,"Total 5315000000
HEALTH","1,072,723,303",,,56.3,308,0,"603,575,869","469,147,434"
"5316000000
URBAN PLAN-
NING AND
LANDS","0106000 P 6 Gen-
eral Administration
Planning and Support
Services","0106010 SP.6.1 Admin-
istration, Planning &
Support Services","217,959,431",,,65.1,308,0,"141,804,169","76,155,262"
,,"Total 5316000000
Urban Planning and
Lands","217,959,431",,,65.1,308,0,"141,804,169","76,155,262"
"5317000000
PUBLIC
WORKS,
TRANSPORT
& INFRA-
STRUCTURE","0207000 P1: Gen-
eral Administration
Planning and Support
Services","0207010 SP 1: Gen-
eral Administration,
Planning And Support
Services","840,303,332",,,50.0,308,0,"420,239,626","420,063,706"
,,"Total 5317000000 Pub-
lic Works ,Transport &
Infrastructure","840,303,332",,,50.0,308,0,"420,239,626","420,063,706"
"5318000000
EDUCA-
TION,YOUTH
AFFAIRS,
SPORTS,
CULTURE &
SOCIAL SER-
VICES","0508005310 Gener-
al administration,
planning and support
services","0508025310 sp 8.2
General Adminis-
tration & Support
Services","1,320,401,093",,,98.6,309,0,"1,301,305,804","19,095,289"
,"0509005310 P9 Edu-
cation services","0509015310 sp 9.1
Quality Assurance and
Co-curriculum","492,600",,,82.6,309,0,"407,100","85,500"
,,"0509025310 sp 9.2 Ear-
ly Childhood Develop-
ment Centres","246,170,910",,,44.5,309,0,"109,535,423","136,635,487"
,,"0509035310 sp 9.3
Technical and Voca-
tional Training","41,631,686",,,77.6,309,0,"32,295,581","9,336,105"
,"0902005310 2.1 Social
Services","0902015310 General
Administration &
Support Services","177,525,552",,,94.7,309,0,"168,121,640","9,403,912"
,,"0902025310 Sp.2.2
Gender and Commu-
nity Empowerment","1,326,730",,,34.8,309,0,"461,200","865,530"
,,"0902035310 Sp2.3
Development and
promotion of culture/
heritage","28,334,315",,,86.3,309,0,"24,455,830","3,878,485"
,,"0902045310 Sp2.4
Development and
promotion of sports","1,089,136",,,27.5,309,0,"300,000","789,136"
,,"0902055310 Sp2.5
Youth Empowerment
and Promotion","15,563,180",,,86.7,309,0,"13,495,400","2,067,780"
,,"0902065310 Sp 2.6
Social welfare and care
for the Aged","30,448,410",,,19.3,309,0,"5,876,445","24,571,965"
,,"0902085310 Sp.2 8
Rescue and Rehabil-
itation of Children
Services","7,334,190",,,64.7,309,0,"4,747,906","2,586,284"
,,"Total 5318000000
Education, Youth
Affairs, Sports, Culture
& Social Services","1,870,317,802",,,88.8,309,0,"1,661,002,330","209,315,472"
"5319000000
TRADE,COM-
MER-
CE,TOURISM
& COOPERA-
TIVES","0301000 P.1 Gener-
al Administration
Planning and Support
Services","0301010 SP1 Gen-
eral Administration
Planning and Support
Services","257,570,195",,,86.5,309,0,"222,905,511","34,664,684"
,"0310005310 P.10
Co-operative Devel-
opment and Audit
Services","0310015310 sp 10.1
Cooperative Develop-
ment Services","7,966,730",,,77.7,309,0,"6,188,920","1,777,810"
,,"0310025310 sp 10.2
Cooperative Audit
Services","2,745,120",,,31.3,309,0,"860,060","1,885,060"
,"0311005310 P.11
Tourism Promotion
and Marketing","0311015310 sp 11.1
Tourism Development","9,298,078",,,53.5,309,0,"4,976,842","4,321,236"
,"0312005310 P.12
Trade development
and Market Services","0312015310 sp 12.1
Trade Development","135,108,930",,,10.6,310,0,"14,274,090","120,834,840"
,,"0312025310 sp 12.2
Market Services","392,763,949",,,44.0,310,0,"172,671,062","220,092,887"
,,"0313025310 sp 13.2
Weights & Measures
Services","21,796,840",,,13.5,310,0,"2,951,800","18,845,040"
,,"0313035310 sp 13.3
Trade Licensing
Services","7,905,900",,,69.8,310,0,"5,518,583","2,387,317"
,,"0313045310 sp 13.4
Betting & Gaming
Services","5,971,100",,,57.3,310,0,"3,421,050","2,550,050"
,,"Total 5319000000
Trade, Commerce,
Tourism & Coopera-
tives","841,126,842",,,51.6,310,0,"433,767,919","407,358,923"
"5320000000
PUBLIC SER-
VICE MAN-
AGEMENT","0701000 P1 Gener-
al Administration
Planning and Support
Services","0701010 SP.1.1 Gen-
eral Administration
Planning and Support
Services","419,197,533",,,82.9,310,0,"347,327,711","71,869,822"
,"0710000 P 5: Public
Service Transforma-
tion","0710010 S.P.5.1
Human Resource
Management","915,185,050",,,95.7,310,0,"875,905,274","39,279,776"
,,"0710020 S.P.5.2
Human Resource
Development","64,765,830",,,79.1,310,0,"51,227,597","13,538,233"
,"0723005310 P 23
Performance Man-
agement and Public
Service Delivery","0723015310 sp 23.1
Performance Contract-
ing management","1,974,980",,,25.1,310,0,"495,200","1,479,780"
,,"0723025310 sp 23.2
Governance Monitor-
ing and Evaluation","2,586,180",,,26.6,310,0,"687,851","1,898,329"
,,"0723035310 sp 23.3
Quality Management
Systems and ISO certi-
fication","892,610",,,0.0,310,0,0,"892,610"
,,"Total 5320000000
Public Service Man-
agement","1,404,602,183",,,90.8,310,0,"1,275,643,633","128,958,550"
"5321000000
AGRICUL-
TURE, LIVE-
STOCK DE-
VELOPMENT,
FISHERIES &
FORESTRY","0106000 P 6 Gen-
eral Administration
Planning and Support
Services","0106010 SP.6.1 Admin-
istration, Planning &
Support Services","203,211,201",,,96.3,310,0,"195,687,372","7,523,829"
,"P;0119005310:Urban
Agriculture Promo-
tion & Regulation","019015310: Crop
Development and
Management","7,399,528",,,45.2,311,0,"3,340,930","4,058,598"
,,"0119025310: Fisheries
Development and
management","22,084,694",,,6.0,311,0,"1,319,250","20,765,444"
,,"0119035310: Livestock
Resources manage-
ment and development","14,002,578",,,11.0,311,0,"1,541,705","12,460,873"
,"0116005310 P.10:An-
imal Health, Safety
and Quality Assur-
ance","0116015310 sp 10.1
Animal Research,
Diseases, Pest Control
& Quality Assurance","47,509,499",,,11.4,311,0,"5,422,345","42,087,154"
,"0117005310 P.11:A-
forestation","0117015310 sp 11.1
Forestry Services","6,591,109",,,53.2,311,0,"3,507,800","3,083,309"
,"0118015310 Food
Systems and Surveil-
lance","0118015310 sp18:1
Food Systems and Sur-
veillance Services","6,067,800",,,35.9,311,0,"2,175,950","3,891,850"
,"5321000801 Agricul-
tural Development
Support Project","5321000801 Agricul-
tural Development
Support Project","69,451,519",,,37.3,311,0,"25,875,034","43,576,485"
,,"Total 5321000000
AGRICULTURE,
LIVESTOCK DEVEL-
OPMENT, FISHERIES
& FORESTRY","376,317,928",,,63.5,311,0,"238,870,386","137,447,542"
"5323000000
ENVIRO-
MENT,WA-
TER,ENERGY
& NATURAL
RESOURCES","1001005310 P1 Gen-
eral Administration &
Support Services","1001015310 Sp1 Gen-
eral Administration &
Support Services","54,179,373",,,91.1,311,0,"49,377,219","4,802,154"
,"1002005310 P2 En-
vironment Manage-
ment and Protection.","1002035310 sp 2.3 Sol-
id waste management","1,100,000,000",,,74.6,311,0,"820,260,475","279,739,525"
,,"Total 5323000000
Environment, Water,
Energy & Natural
Resources","1,154,179,373",,,75.3,311,0,"869,637,694","284,541,679"
"5324000000
URBAN RE-
NEWAL AND
HOUSING","0106000 P 6 Gen-
eral Administration
Planning and Support
Services","0106010 SP.6.1 Admin-
istration, Planning &
Support Services","33,516,488",,,43.5,311,0,"14,583,103","18,933,385"
,,"Total 5324000000
Urban Renewal And
Housing","33,516,488",,,43.5,311,0,"14,583,103","18,933,385"
"5325000000
WARD
DEVELOP-
MENT PRO-
GRAMMES","0214005310 P8:Ward
Development","0214015310 sp 8.1
Ward Development &
Administration","383,385,123",,,21.2,311,0,"81,158,558","302,226,565"
,,"Total 5325000000
Ward Development
Fund","383,385,123",,,21.2,311,0,"81,158,558","302,226,565"
"5326000000
EMERGENCY
FUND","0718005310 Gen-
eral Administrative
Services","0718015310 Sp1 Gen-
eral Administration &
Support Services","330,000,000",,,91.1,311,0,"300,495,060","29,504,940"
,,"5326000000 EMER-
GENCY FUND","330,000,000",,,91.1,311,0,"300,495,060","29,504,940"
