Programme,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Physical Planning
Section","Land Policy And Manage-
ment","16,410,725","7,163,300","9,247,425",43.7,442,0
,,"16,410,725","7,163,300","9,247,425",43.7,442,0
Survey Section,"Land Policy And Manage-
ment","14,342,039","3,856,336","10,485,703",26.9,442,0
,,"14,342,039","3,856,336","10,485,703",26.9,442,0
Housing Section,"Land Policy And Manage-
ment","63,140,095","32,281,094","30,859,001",51.1,442,0
,,"63,140,095","32,281,094","30,859,001",51.1,442,0
"Administration- Water,
Environment, Energy
and Natural resources",Water Supply Services,"157,406,009","129,616,481","27,789,528",82.3,442,0
,,"157,406,009","129,616,481","27,789,528",82.3,442,0
Environment Section,,"152,790,000","98,990,000","53,800,000",64.8,442,0
,,"152,790,000","98,990,000","53,800,000",64.8,442,0
Water Section,Water Supply Services,"429,048,078","158,500,815","270,547,264",36.9,442,0
,,"429,048,078","158,500,815","270,547,264",36.9,442,0
Energy Section,"Tourism Development And
Marketing","13,591,390","8,535,640","5,055,750",62.8,442,0
,,"13,591,390","8,535,640","5,055,750",62.8,442,0
"Administration- Health
Services",Curative Health Services,"124,750,000","6,114,451","118,635,549",4.9,442,0
,Health Infrastructure,"233,494,706","183,413,679","50,081,027",78.6,442,0
,"Administration And Sup-
port Services","2,300,583,995","2,147,063,887","153,520,108",93.3,442,0
,,"2,658,828,701","2,336,592,017","322,236,684",87.9,442,0
Clinical Services,Clinical Services,"248,183,873","22,576,100","225,607,773",9.1,442,0
,"Administration And Sup-
port Services","125,653,176","89,388,636","36,264,540",71.1,442,0
,Health Infrastructure,"3,700,000",-,"3,700,000",-,442,0
,,"377,537,049","111,964,736","265,572,313",29.7,442,0
"Prevention and Health
Promotion","Administration And Sup-
port Services","749,785","355,800","393,985",47.5,442,0
,,"749,785","355,800","393,985",47.5,442,0
"Administration- Agri-
culture, Livestock and
Fisheries","Administration Support
Services","236,355,060","233,818,880","2,536,180",98.9,443,0
,,"236,355,060","233,818,880","2,536,180",98.9,443,0
Agriculture,"Crop Development And
Management","476,576,539","403,964,426","72,612,113",84.8,443,0
,,"476,576,539","403,964,426","72,612,113",84.8,443,0
"Chebororwa Training
Canter","Agricultural Training Ser-
vices - Chebororwa","24,645,443","13,644,132","11,001,311",55.4,443,0
,,"24,645,443","13,644,132","11,001,311",55.4,443,0
"Agricultural Machinery
Service","Agricultural Mechanization
Services","44,322,968","26,313,718","18,009,250",59.4,443,0
,,"44,322,968","26,313,718","18,009,250",59.4,443,0
"Administration- Trade,
Cooperatives, Tourism
and Wildlife","Administration And Sup-
port Services","17,506,144","14,672,391","2,833,753",83.8,443,0
,,"17,506,144","14,672,391","2,833,753",83.8,443,0
Trade Department,"Trade Development And In-
vestment","135,793,621","68,207,151","67,586,470",50.2,443,0
,Market Services,"109,100,000","50,988,963","58,111,037",46.7,443,0
,,"244,893,621","119,196,114","125,697,507",48.7,443,0
"Weights and Measures
Department",Weights And Measurements,"300,000",-,"300,000",-,443,0
,,"300,000",-,"300,000",-,443,0
"Administration - Edu-
cation, Social Cultural,
Youth and Sports","Administration And Sup-
port Services","418,776,008","418,344,942","431,066",99.9,443,0
,,"418,776,008","418,344,942","431,066",99.9,443,0
Education Department,Basic Education,"106,426,679","99,172,200","7,254,479",93.2,443,0
,"Administration And Sup-
port Services","1,548,772","346,000","1,202,772",22.3,443,0
,,"107,975,451","99,518,200","8,457,251",92.2,443,0
Department of Culture,"Administration And Sup-
port Services","20,300,000","20,053,000","247,000",98.8,443,0
,,"20,300,000","20,053,000","247,000",98.8,443,0
"Social Service Depart-
ment","Administration And Sup-
port Services","4,670,702","4,658,814","11,888",99.7,443,0
,"Social Development Ser-
vices","1,000,000","993,420","6,580",99.3,443,0
,"Youth Training And Devel-
opment","6,600,839","4,402,818","2,198,021",66.7,443,0
,"Community Development
Services","30,000,000",-,"30,000,000",-,443,0
,,"42,271,541","42,271,541","42,271,541",100.0,443,0
"Headquarters - County
Public Service Board","Administration And Sup-
port Services","53,614,234","48,968,442","4,645,792",91.3,443,0
,,"53,614,234","48,968,442","4,645,792",91.3,443,0
Headquarters,"County Planning And Eco-
nomic Policy Management","946,014,946","554,777,017","391,237,929",58.6,444,0
,"Administration Support
Services",-,"2,340,900","(2,340,900)",-,444,0
,,"946,014,946","557,117,917","388,897,029",58.9,444,0
,"County Planning And Eco-
nomic Policy Management","64,390,178","63,370,614","1,019,564",98.4,444,0
,,"64,390,178","63,370,614","1,019,564",98.4,444,0
,"County Planning And Eco-
nomic Policy Management","14,000,000","9,460,520","4,539,480",67.6,444,0
,,"14,000,000","9,460,520","4,539,480",67.6,444,0
,"Administration Support
Services","96,500,000","82,831,143","13,668,857",85.8,444,0
,Public Works Services,"17,358,355","11,088,147","6,270,208",63.9,444,0
,"Administration And Sup-
port Services","51,502,103","46,628,399","4,873,704",90.5,444,0
,,"165,360,458","140,547,689","24,812,769",85.0,444,0
,"Administration And Sup-
port Services","9,876,915","9,615,408","261,507",97.4,444,0
,"Administration And Sup-
port Services","13,139,760","9,140,500","3,999,260",69.6,444,0
,,"23,016,675","18,755,908","4,260,767",81.5,444,0
"Youth and Gender Af-
fairs Department","Youth Training And Devel-
opment","58,840,419","55,183,753","3,656,666",93.8,444,0
,"Administration And Sup-
port Services","8,240,000","8,118,115","121,885",98.5,444,0
,,"67,080,419","63,301,868","3,778,551",94.4,444,0
,"Administration And Sup-
port Services","6,600,000","6,539,510","60,490",99.1,444,0
,"Management And Develop-
ment Of Sports And Sports
Facilities","55,100,000","26,934,375","28,165,626",48.9,444,0
"Tourism, Marketing and
Cooperatives Develop-
ment","Tourism Development And
Marketing","42,987,690","36,177,302","6,810,388",84.2,444,0
,,"104,687,690","69,651,187","35,036,503",66.5,444,0
,"Cooperatives Development
And Marketing","27,039,098","22,098,505","4,940,593",81.7,444,0
,,"27,039,098","22,098,505","4,940,593",81.7,444,0
,Weights And Measurements,"23,400,000","14,500,000","8,900,000",62.0,444,0
,,"23,400,000","14,500,000","8,900,000",62.0,444,0
"Livestock Development
and Fisheries","Livestock Resource Manage-
ment And Development","52,299,955","23,441,030","28,858,925",44.8,444,0
,"Crop Development And
Management","11,074,227","10,130,815","943,412",91.5,444,0
,,"63,374,182","33,571,845","29,802,337",53.0,444,0
,Fisheries Development,"11,028,960","7,354,660","3,674,300",66.7,444,0
,,"11,028,960","7,354,660","3,674,300",66.7,444,0
,"Livestock Resource Manage-
ment And Development","99,613,253","55,128,818","44,484,435",55.3,444,0
,,"99,613,253","55,128,818","44,484,435",55.3,444,0
Housing Development,Housing Development,"11,430,815","9,872,370","1,558,445",86.4,444,0
,,"11,430,815","9,872,370","1,558,445",86.4,444,0
,Housing Development,"50,578,104","38,759,319","11,818,785",76.6,444,0
,,"50,578,104","38,759,319","11,818,785",76.6,444,0
