Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,Procurement,"14,110,497","13,630,709","479,788",96.6,320,0
,Public finance and Accounting,"17,669,300","16,422,393","1,246,907",92.9,320,0
,Debt Management,"331,302,823","142,942,549","188,360,273",43.1,320,0
,,"212,811,833","209,250,159","3,561,674",98.3,320,0
Fiscal Planning,Fiscal Planning,"205,356,477","201,919,790","3,436,687",98.3,320,0
"Monitoring & Evaluation
/Statistical Data Manage-
ment","Monitoring & Evaluation /Statistical
Data Management","7,455,356","7,330,369","124,987",98.3,320,0
,,"1,607,344,534","1,535,227,577","72,116,957",95.5,320,0
Administration Services,Administration Services,"1,607,344,534","1,535,227,577","72,116,957",95.5,320,0
,Financial Services,-,-,-,-,320,0
,"Coordination of Public and Special
Community Programmes",-,-,-,-,320,0
,ICT Support Services,-,-,-,-,320,0
,,"77,622,304","51,491,505","26,130,799",66.3,320,0
"Legal Service to County
Government & Public","Legal Service to County Govern-
ment & Public","25,734,015","22,169,364","3,564,651",86.1,320,0
,Rehabilitation of Sub-County Offices,"51,888,289","29,322,141","22,566,148",56.5,320,0
,,"21,250,000","17,038,173","4,211,828",80.2,320,0
"Public Sector Manage-
ment",Public Sector Management,"21,250,000","17,038,173","4,211,828",80.2,320,0
,,"624,795,160","308,883,083","315,912,077",49.4,320,0
"Procedures and Commit-
tee Services",Procedures and Committee Services,"624,795,160","308,883,083","315,912,077",49.4,320,0
,County Ward Offices,-,-,-,-,320,0
,Hansard Services,-,-,-,-,320,0
,,"639,613,366","286,090,004","353,523,362",44.7,320,0
Finance and Budget,Finance and Budget,"639,613,366","286,090,004","353,523,362",44.7,320,0
,,"278,727,434","248,011,708","30,715,726",89.0,320,0
"Administration and Co-
ordination of County
Affairs","Administration and Coordination of
County Affairs","278,727,434","248,011,708","30,715,726",89.0,321,0
,,"33,022,400","24,948,625","8,073,775",75.6,321,0
"County Planning and
Development Coordina-
tion Services","County Planning and Development
Coordination Services",-,-,-,-,321,0
,Organisation of County Business,"33,022,400","24,948,625","8,073,775",75.6,321,0
,,"94,976,716","29,522,615","65,454,101",31.1,321,0
"Economic, Social and Po-
litical Advisory Services","Economic, Social and Political Advi-
sory Services","94,976,716","29,522,615","65,454,101",31.1,321,0
,,"280,984,636","255,765,798","25,218,838",91.0,321,0
Administration,Administration,"280,984,636","255,765,798","25,218,838",91.0,321,0
,,"16,244,014","14,113,220","2,130,794",86.9,321,0
"Pollution Control &
Monitoring",Pollution Control & Monitoring,"16,244,014","14,113,220","2,130,794",86.9,321,0
,,"5,535,000","3,778,566","1,756,434",68.3,321,0
"Forest Resources Man-
agement & Climate
Change","Forest Resources Management &
Climate Change","5,535,000","3,778,566","1,756,434",68.3,321,0
,,"1,205,230,075","642,758,908","562,471,167",53.3,321,0
"Water Provision & Drill-
ing of Boreholes","Water Provision & Drilling of Bore-
holes","1,205,230,075","642,758,908","562,471,167",53.3,321,0
,"Water Resources & Sewerage Ser-
vices",-,-,-,-,321,0
,,"25,561,890","11,642,146","13,919,744",45.5,321,0
"Rehabilitation of Council
Houses",Rehabilitation of Council Houses,"20,561,890","11,642,146","8,919,744",56.6,321,0
"Housing Technology
Transfer",Housing Technology Transfer,"5,000,000",-,"5,000,000",-,321,0
,,"82,940,000","77,463,700","5,476,300",93.4,321,0
"Cultural Development
Services",Cultural Development Services,-,-,-,-,321,0
,"Promotion of Culture, Arts and Tal-
ents","11,180,000","9,460,226","1,719,774",84.6,321,0
,Social Development Programs,"33,880,000","32,272,818","1,607,182",95.3,321,0
,"Rehabilitation of Social Halls, Li-
braries, Parks and Academies","37,880,000","35,730,656","2,149,344",94.3,321,0
,,-,-,-,-,321,0
Rehabilitation of Stadia,Rehabilitation of Stadia,-,-,-,-,321,0
,,"10,000,000","4,997,450","5,002,550",50.0,321,0
"Strategic Project Mon-
itoring and interven-
tion(Ending Drought
Emer","Strategic Project Monitoring and in-
tervention(Ending Drought Emer","10,000,000","4,997,450","5,002,550",50.0,321,0
,,-,-,-,-,321,0
"Electric Fence Installa-
tion Initiative",Electric Fence Installation Initiative,-,-,-,-,321,0
,Grand Total,"19,976,420,389","12,314,321,641","7,662,098,747",61.6,321,0
