Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","73,772,012","73,772,012",-,100.0%,270,0
Meru Town Municipality,Meru Town Municipality,"436,019,800","230,966,387","205,053,413",53.0%,270,0
"Spatial, Planning, Survey and
Mapping","Spatial, Planning, Survey
and Mapping","44,600,000","44,600,000",-,100.0%,270,0
Public Works,Public Works,"156,462,844","56,462,844","100,000,000",36.1%,270,0
,,"710,854,656","405,801,243","305,053,413",57.1%,270,0
"Public Service Administra-
tion and Legal Affairs",,-,,-,,270,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","53,053,525","53,053,525",-,100.0%,270,0
"Coordination of County Gov-
ernment Function","Coordination of County
Government Function","11,685,270","11,685,270",-,100.0%,270,0
County Enforcement Services,"County Law Enforce-
ment Service","50,758,250","50,758,250",-,100.0%,270,0
,"Conservancy Ranger
Service",-,-,-,0.0%,270,0
"Human Resource Manage-
ment","Human Resource Man-
agement","810,160,338","487,128,924","323,031,414",60.1%,270,0
"Legal Representation and Ad-
visory Services","Legal Representation and
Advisory Services","46,279,250","46,279,250",-,100.0%,270,0
"Town Management & Admin-
istration","Town Management &
Administration","8,214,829","1,358,800","6,856,029",16.5%,270,0
,,"980,151,462","650,264,019","329,887,443",66.3%,270,0
"Road, Transport and Energy",,,,,,270,0
"General Administration,
Planning and Support Ser-
vices","General Administration,
Planning and Support
Services","73,644,479","73,644,479",-,100.0%,270,0
"Electrification and Street
Lighting","Electrification and Street
Lighting","38,311,122","19,065,723","19,245,399",49.8%,270,0
Road Transport,Road Transport,"1,186,858,268","1,018,935,322","167,922,946",85.9%,270,0
,,"1,298,813,869","1,111,645,524","187,168,345",85.6%,270,0
