Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"Housing and Urban Develop-
ment",Housing improvement services,"5,500,000",-,"5,500,000",-,109,0
,"Smart settlement services (Equip-
ping of Ndhiwa ABTC)","3,100,000",-,"3,100,000",-,109,0
,"Delineation and Establishment of
urban institutions","2,550,172",-,"2,550,172",-,109,0
,"Kenya Urban Support Programme
(UDG)","15,800,000",-,"15,800,000",-,109,0
,Slum Upgrading Programme,"5,000,000",-,"5,000,000",-,109,0
,Subtotal,"31,950,172",-,"31,950,172",-,109,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,109,0
"Planning and Administrative
services",Administrative and Support Services,"122,144,244","121,784,396","359,848",99.7,109,0
,"Policy Development and Implemen-
tation Services","7,561,570","6,899,866","661,704",91.2,109,0
,Subtotal,"129,705,814","128,684,262","1,021,552",99.2,109,0
"Trade, Cooperative and En-
trepreneurship Development
Service",Cooperative Development Services,-,-,-,-,109,0
,"Enterprise Development and Pro-
motion Services",-,-,-,-,109,0
,"Trade Infrastructure Development
Services","51,152,794","34,000,000","17,152,794",66.5,109,0
,Subtotal,"51,152,794","34,000,000","17,152,794",66.5,109,0
"Industrial Development and
Investment Services",Value Chain Development Services,"45,809,660",-,"45,809,660",-,109,0
,Financial and Investment Services,-,-,-,-,109,0
,Subtotal,"45,809,660",-,"45,809,660",0.0%,109,0
