Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
,Administrative Service,"318,693,001","305,743,558","12,949,443",95.9,452,0
"Vocational Education and
Training",,"127,312,919","109,918,635","17,394,284",86.3,452,0
,"Youth Polytechnic Devel-
opment","127,312,919","109,918,635","17,394,284",86.3,452,0
"Early Childhood Develop-
ment",,"152,515,025","191,677,690","- 39,162,665",125.7,452,0
,ECD Development,"152,515,025","160,233,304","- 7,718,279",105.1,452,0
"Administration, Planning
and Support Service",,"1,708,448,105","1,662,608,304","45,839,802",97.3,452,0
,Personnel Services,-,-,-,0,452,0
,Administrative Service,"1,672,321,064","1,629,203,744","43,117,321",97.4,452,0
,Financial Services,-,-,-,0,452,0
,County Administration,"13,577,441","9,763,814","3,813,627",71.9,452,0
,"County Radio Informa-
tion Services","22,549,600","23,640,746","- 1,091,146",104.8,452,0
"Public Finance Manage-
ment",,"45,089,021","43,434,450","1,654,571",96.3,452,0
,"Public Finance Manage-
ment","6,830,000","6,663,300","166,700",97.6,452,0
,Accounting Services,"4,147,721","3,494,280","653,441",84.2,452,0
,Audit Services,"7,620,700","7,181,750","438,950",94.2,452,0
,"Budget Formulation Co-
ordination","9,824,600","9,730,100","94,500",99,452,0
,Resource Mobilization,"10,106,000","9,838,400","267,600",97.4,452,0
,"Budget Expenditure Man-
agement","6,560,000","6,526,620","33,380",99.5,452,0
County Planning Services,,"85,519,000","50,822,452","34,696,548",59.4,452,0
,"Monitoring and Evalua-
tion","79,704,000","45,910,672","33,793,328",57.6,452,0
,"Coordination of Policy
Formulation and Plans","5,815,000","4,911,780","903,220",84.5,452,0
"Management and Adminis-
tration of County Services",,"30,848,850","24,424,669","6,424,181",79.2,452,0
,County Secretary,"19,048,850","16,733,819","2,315,031",87.8,452,0
,Legal Services,"11,800,000","7,690,850","4,109,150",65.2,452,0
Legislation and Oversight,,"315,350,224","287,994,791","27,355,433",91.3,452,0
,Legislation and Oversight,"315,350,224","287,994,791","27,355,433",91.3,452,0
"Administration, Planning
and Support Service",,"88,377,204","74,712,757","13,664,447",84.5,452,0
,Administrative Service,"83,931,024","70,500,957","13,430,067",84,452,0
,Technical Conferences,"250,000","249,000","1,000",99.6,452,0
,Elderly Fund,"4,196,180","3,962,800","233,380",94.4,452,0
Sports Management,,"51,386,500","3,876,200","47,510,300",7.5,452,0
,Promotion of Sports,"45,550,000","2,194,600","43,355,400",4.8,452,0
,"Promotion of Culture and
Heritage","5,836,500","1,681,600","4,154,900",28.8,452,0
Social Services,,"8,750,000","4,115,370","4,634,630",47,452,0
,Social Protection,"150,000",-,"150,000",0,452,0
,"Gender, Children, Youth
and People with Disability","8,600,000","4,115,370","4,484,630",47.9,452,0
"Administration, Planning
and Support Service",,"217,483,898","184,238,467","33,245,431",84.7,452,0
,Administrative Service,"217,483,898","184,238,467","33,245,431",84.7,452,0
Water Management,,"33,200,000","36,982,743","- 3,782,743",111.4,452,0
,"Water Supply Manage-
ment","33,200,000","36,982,743","- 3,782,743",111.4,452,0
"Environmental Protection
and Conservation",,"19,200,039","11,654,762","7,545,277",60.7,453,0
,"Environmental Protection
and Conservation","19,200,039","11,654,762","7,545,277",60.7,453,0
Forest Management,Forest Management,"7,000,000","2,648,294","4,351,706",37.8,453,0
,Farm Forest Management,"7,000,000","2,648,294","4,351,706",37.8,453,0
Grand Total,,"6,584,548,248","5,744,935,250","839,612,998",87.2,453,0
