Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
"Economic development plan-
ning and coordination services",,"86,937,068","77,402,149","9,534,919",89.0%,62,0
"Monitoring and evaluation
services",,"46,204,160","45,979,522","224,639",99.5%,62,0
Public finance management,,"51,514,695","21,144,020","30,370,675",41.0%,62,0
"General administration, plan-
ning, policy coordination and
support services",,"1,023,638,759","995,563,570","28,075,189",97.3%,62,0
,TOTAL,"1,208,294,682","1,140,089,261","68,205,421",94.4%,62,0
PUBLIC ADMINISTRATION & COUNTY SECRETARY,,,,-,,62,0
"Public service Management
and Administration",,-,-,-,,62,0
"General administration, plan-
ning and support services","General administration,
planning and support ser-
vices","287,927,967","281,137,248","6,790,719",97.6%,62,0
"Public Participation, Civic Ed-
ucation and outreach services","Public Participation, Civic
Education and outreach ser-
vices","30,672,000","24,153,902","6,518,098",78.7%,62,0
"Service Delivery And Organi-
zational Transformation","Service Delivery And Orga-
nizational Transformation","38,562,688","35,676,563","2,886,125",92.5%,62,0
,,"357,162,655","340,967,713","16,194,942",95.5%,62,0
"Office of the County Secre-
tary and ICT",,,,,,62,0
"General administration, plan-
ning and support services","General administration,
planning and support ser-
vices","205,960,962","204,008,318","1,952,644",99.1%,62,0
"Kenya Devolution Support
Programme","Kenya Devolution Support
Programme","370,700,931","156,157,659","214,543,272",42.1%,62,0
"ICT and information manage-
ment services","ICT and information man-
agement services","35,059,741","13,467,055","21,592,686",38.4%,62,0
"Agriculture, Livestock and Cooperative Development",,,,,,63,0
Total,,"611,721,634","373,633,031","238,088,603",61.1%,63,0
,TOTAL,"968,884,289","714,600,744","254,283,545",73.8%,63,0
GENDER & YOUTH SPORT,,,,-,,63,0
"General administration, plan-
ning and support services",Administrative services,"77,322,869","71,606,278","5,716,591",92.6%,63,0
,Payment of utilities,"1,040,000",-,"1,040,000",0.0%,63,0
,"Human Resource Manage-
ment & administration","38,608,488","36,028,982","2,579,506",93.3%,63,0
"Cultural Development and
management","Development Historical and
cultural sites","932,129",-,"932,129",0.0%,63,0
"Gender Equality And Empow-
erment Of Vulnerable Groups",Gender mainstreaming,"2,000,000","2,000,000",-,100.0%,63,0
