county,year,quarter,ordinary_osr_target,fif_aia_target,total_revenue_target,osr_actual_realised,fif_aia_actual,actual_revenue,performance_percent
homa bay,2022_23,01,,,191080752.0,,,17088303.0,8.9
isiolo,2022_23,01,,,113686337.0,,,55651320.0,49.0
kajiado,2022_23,01,,,1503946728.0,,,51554854.0,3.4
kakamega,2022_23,01,,,2000000000.0,,,171572120.0,8.6
kericho,2022_23,01,,,325071600.0,,,32324528.0,9.9
kiambu,2022_23,01,,,4136821507.0,,,527229350.0,12.7
kilifi,2022_23,01,,,1467500000.0,,,85644197.0,5.8
kirinyaga,2022_23,01,,,500000000.0,,,58734841.0,11.7
kisii,2022_23,01,,,650000000.0,,,43942574.0,6.8
kisumu,2022_23,01,,,1762226587.0,,,186694958.0,10.6
kitui,2022_23,01,,,600000000.0,,,61599535.0,10.3
kwale,2022_23,01,,,315000000.0,,,47585418.0,15.1
laikipia,2022_23,01,,,1295719999.0,,,147062178.0,11.3
lamu,2022_23,01,,,120000000.0,,,8951607.0,7.5
machakos,2022_23,01,,,1690079199.0,,,197858345.0,11.7
makueni,2022_23,01,,,850000000.0,,,144238232.0,17.0
mandera,2022_23,01,,,255436786.0,,,25705461.0,10.1
marsabit,2022_23,01,,,170000000.0,,,25908505.0,15.2
meru,2022_23,01,,,600000000.0,,,44042860.0,7.3
migori,2022_23,01,,,350000000.0,,,70372899.0,20.1
mombasa,2022_23,01,,,4814500985.0,,,568869104.0,11.8
muranga,2022_23,01,,,1500000000.0,,,60091547.0,4.0
nairobi city,2022_23,01,,,18027834347.0,,,1192463509.0,6.6
nakuru,2022_23,01,,,1980000000.0,,,183979358.0,9.3
nandi,2022_23,01,,,321234445.0,,,37693881.0,11.7
narok,2022_23,01,,,2430830000.0,,,941516291.0,38.7
nyamira,2022_23,01,,,265000000.0,,,11884623.0,4.5
nyandarua,2022_23,01,,,660000000.0,,,74893061.0,11.3
nyeri,2022_23,01,,,700000000.0,,,183760356.0,26.3
samburu,2022_23,01,,,240330500.0,,,80018319.0,33.3
siaya,2022_23,01,,,580998234.0,,,98579902.0,17.0
taita taveta,2022_23,01,,,400000000.0,,,51661000.0,12.9
tana river,2022_23,01,,,87846000.0,,,7323600.0,8.3
tharaka nithi,2022_23,01,,,350000000.0,,,37721462.0,10.8
trans nzoia,2022_23,01,,,629500000.0,,,101696395.0,16.2
turkana,2022_23,01,,,198000000.0,,,34017165.0,17.2
uasin gishu,2022_23,01,,,1400471850.0,,,111023536.0,7.9
vihiga,2022_23,01,,,158470489.0,,,44113746.0,27.8
wajir,2022_23,01,,,100000000.0,,,9897300.0,9.9
west pokot,2022_23,01,,,170000000.0,,,18966451.0,11.2
baringo,2022_23,02,,,312474282.0,,,114959139.0,36.8
bomet,2022_23,02,,,300000000.0,,,64980829.0,21.7
bungoma,2022_23,02,,,500000000.0,,,134842273.0,27.0
busia,2022_23,02,,,469163025.0,,,99678025.0,21.2
elgeyo marakwet,2022_23,02,,,246239212.0,,,75542470.0,30.7
embu,2022_23,02,,,950000000.0,,,209719908.0,22.1
garissa,2022_23,02,,,150000000.0,,,33678610.0,22.5
homa bay,2022_23,02,,,472957301.0,,,70939417.0,15.0
isiolo,2022_23,02,,,180401768.0,,,81286646.0,45.1
kajiado,2022_23,02,,,1503946728.0,,,139514500.0,9.3
kakamega,2022_23,02,,,2000000000.0,,,350933571.0,17.5
kericho,2022_23,02,,,853268053.0,,,143547070.0,16.8
kiambu,2022_23,02,,,4136821507.0,,,1100674142.0,26.6
kilifi,2022_23,02,,,1467500000.0,,,200459790.0,13.7
kirinyaga,2022_23,02,,,550000000.0,,,139176495.0,25.3
kisii,2022_23,02,,,650000000.0,,,90053080.0,13.9
kisumu,2022_23,02,,,1762226587.0,,,420076764.0,23.8
kitui,2022_23,02,,,400000000.0,,,142380991.0,35.6
kwale,2022_23,02,,,557116564.0,,,116107417.0,20.8
laikipia,2022_23,02,,,1297000000.0,,,331934597.0,25.6
lamu,2022_23,02,,,131000000.0,,,54839243.0,41.9
machakos,2022_23,02,,,1690079199.0,,,459698366.0,27.2
makueni,2022_23,02,,,795000000.0,,,131217159.0,16.5
mandera,2022_23,02,,,255436786.0,,,48602787.0,19.0
marsabit,2022_23,02,,,170000000.0,,,59633884.0,35.1
meru,2022_23,02,,,600000000.0,,,104723190.0,17.5
migori,2022_23,02,,,450000000.0,,,153401873.0,34.1
mombasa,2022_23,02,,,4814500985.0,,,1401454864.0,29.1
muranga,2022_23,02,,,1500000000.0,,,175413877.0,11.7
nairobi city,2022_23,02,,,18027834347.0,,,2624062889.0,14.6
nakuru,2022_23,02,,,2280000000.0,,,210198346.0,9.2
nandi,2022_23,02,,,373234444.0,,,74880408.0,20.1
narok,2022_23,02,,,2430830000.0,,,1789113084.0,73.6
nyamira,2022_23,02,,,265000000.0,,,22615955.0,8.5
nyandarua,2022_23,02,,,660000000.0,,,163537626.0,24.8
nyeri,2022_23,02,,,800000000.0,,,413307839.0,51.7
samburu,2022_23,02,,,240330500.0,,,112215668.0,46.7
siaya,2022_23,02,,,580988234.0,,,190426199.0,32.8
taita taveta,2022_23,02,,,389402624.0,,,98664000.0,25.3
tana river,2022_23,02,,,87846000.0,,,18668999.0,21.3
tharaka nithi,2022_23,02,,,350000000.0,,,78583238.0,22.5
trans nzoia,2022_23,02,,,629500000.0,,,189857399.0,30.2
turkana,2022_23,02,,,198000000.0,,,71104194.0,35.9
uasin gishu,2022_23,02,,,1400471850.0,,,271491977.0,19.4
vihiga,2022_23,02,,,193470488.0,,,63858652.0,33.0
wajir,2022_23,02,,,100000000.0,,,19539773.0,19.5
west pokot,2022_23,02,,,170000000.0,,,49829161.0,29.3
baringo,2022_23,03,,,312474282.0,,,214431602.0,68.6
bomet,2022_23,03,,,300000000.0,,,193624195.0,64.5
bungoma,2022_23,03,,,500000000.0,,,290966562.0,58.2
busia,2022_23,03,,,469163025.0,,,194603213.0,41.5
elgeyo marakwet,2022_23,03,,,246239213.0,,,152949534.0,62.1
embu,2022_23,03,,,950000000.0,,,457118937.0,48.1
garissa,2022_23,03,,,150000000.0,,,59458601.0,39.6
homa bay,2022_23,03,,,472957301.0,,,159559985.0,33.7
isiolo,2022_23,03,,,180401769.0,,,119421953.0,66.2
kajiado,2022_23,03,,,1503946728.0,,,481613459.0,32.0
kakamega,2022_23,03,,,2000000000.0,,,906830970.0,45.3
kericho,2022_23,03,,,1033268053.0,,,289256783.0,28.0
kiambu,2022_23,03,,,4136821507.0,,,2441291932.0,59.0
kilifi,2022_23,03,,,1271385905.0,,,661686660.0,52.0
kirinyaga,2022_23,03,,,550000000.0,,,439870608.0,80.0
kisii,2022_23,03,,,750000000.0,,,252067641.0,33.6
kisumu,2022_23,03,,,1762226587.0,,,823626923.0,46.7
kitui,2022_23,03,,,400000000.0,,,338546086.0,84.6
kwale,2022_23,03,,,557116564.0,,,272086203.0,48.8
laikipia,2022_23,03,,,1297000000.0,,,648178629.0,50.0
lamu,2022_23,03,,,131000000.0,,,84202182.0,64.3
machakos,2022_23,03,,,1690079199.0,,,848466003.0,50.2
makueni,2022_23,03,,,795000000.0,,,268843575.0,33.8
mandera,2022_23,03,,,255436786.0,,,89102787.0,34.9
marsabit,2022_23,03,,,170000000.0,,,104515926.0,61.5
meru,2022_23,03,,,600000000.0,,,308111474.0,51.4
migori,2022_23,03,,,450000000.0,,,288255786.0,64.1
mombasa,2022_23,03,,,4814500985.0,,,2974881568.0,61.8
muranga,2022_23,03,,,1500000000.0,,,453667424.0,30.2
nairobi city,2022_23,03,,,17890130299.0,,,7124974887.0,39.8
nakuru,2022_23,03,,,3580000000.0,,,1092303921.0,30.5
nandi,2022_23,03,,,373234444.0,,,136313307.0,36.5
narok,2022_23,03,,,4690625651.0,,,2446759031.0,52.2
nyamira,2022_23,03,,,280000000.0,,,65494749.0,23.4
nyandarua,2022_23,03,,,660000000.0,,,346946995.0,52.6
nyeri,2022_23,03,,,800000000.0,,,438793355.0,54.8
samburu,2022_23,03,,,240330500.0,,,167647771.0,69.8
siaya,2022_23,03,,,700998234.0,,,358741602.0,51.2
taita taveta,2022_23,03,,,389402624.0,,,171935581.0,44.2
tana river,2022_23,03,,,87846000.0,,,33713304.0,38.4
tharaka nithi,2022_23,03,,,380000000.0,,,164548562.0,43.3
trans nzoia,2022_23,03,,,629500000.0,,,348425969.0,55.3
turkana,2022_23,03,,,198000000.0,,,137051226.0,69.2
uasin gishu,2022_23,03,,,1400471851.0,,,729312963.0,52.1
vihiga,2022_23,03,,,284073208.0,,,219241295.0,77.2
wajir,2022_23,03,,,100000000.0,,,34829403.0,34.8
west pokot,2022_23,03,,,170000000.0,,,107178285.0,63.0
baringo,2022_23,04,,,387429514.0,,,313351637.0,80.9
bomet,2022_23,04,,,300000000.0,,,242395023.0,80.8
bungoma,2022_23,04,,,500000000.0,,,379716358.0,75.9
busia,2022_23,04,,,310711243.0,,,201772364.0,64.9
elgeyo marakwet,2022_23,04,,,246239213.0,,,217350490.0,88.3
embu,2022_23,04,,,514140000.0,,,383178337.0,74.5
garissa,2022_23,04,,,100000000.0,,,81361298.0,81.4
homa bay,2022_23,04,,,818315811.0,,,491496550.0,60.1
isiolo,2022_23,04,,,178097913.0,,,151805623.0,85.2
