county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
nandi,2019_20,01,"Preventive and Promotive Health
Services",Sub total,553721800.0,106167938.0
nandi,2019_20,01,Curative Health Services,"Curative Health Management
Services",411942186.0,23992625.0
nandi,2019_20,01,Curative Health Services,Sub total,411942186.0,23992625.0
nandi,2019_20,01,"Health Sector Programme
Support (DANIDA FUNDS)","County Health Facility Support
(DANIDA)",16031250.0,
narok,2019_20,01,Preventive &Promotive Health Services,,501512500.0,10217560.0
narok,2019_20,01,Health Promotion,,501512500.0,10217560.0
narok,2019_20,01,Curative Health Services,,187053885.0,
narok,2019_20,01,"Health Policy, Planning and Financing",,1873610455.0,424209978.0
narok,2019_20,01,Administrative Services,,744233828.0,79937896.0
nyandarua,2019_20,01,"General administration, planning and
support services","Emergency Response & Prepar-
edness",5000000.0,874905.0
nyandarua,2019_20,01,Curative Services,"Curative Services (including uni-
versal health care and grants)",475755836.0,49127934.0
samburu,2019_20,01,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,
samburu,2019_20,01,"Preventive and
Promotive Health
Services",Environmental & Health promotion,74608471.5,31502258.0
samburu,2019_20,01,"Preventive and
Promotive Health
Services",Nutrition,14144518.0,123231.0
samburu,2019_20,01,"Preventive and
Promotive Health
Services",Communicable Disease Control,83111734.0,40254375.0
samburu,2019_20,01,"Preventive and
Promotive Health
Services","Non-communicable Disease Preven-
tion & Control",35870935.63,12351646.0
samburu,2019_20,01,"Preventive and
Promotive Health
Services","Reproductive, Maternal, Neonatal,
child and Adolescent Health",61112750.25,17515106.0
samburu,2019_20,01,"Preventive and
Promotive Health
Services",Sub total,268848409.38,101746616.0
samburu,2019_20,01,Curative Health,Hospital and Referral Services,344950857.98,121023476.0
samburu,2019_20,01,Curative Health,Free Primary Health Services,136200280.25,8103200.0
samburu,2019_20,01,Curative Health,Sub total,481151138.23,129126676.0
turkana,2019_20,01,Electrical Services,,2000000.0,
turkana,2019_20,01,"Preventive and Pro-
motive Health care
Services",,152382986.0,
turkana,2019_20,01,"Preventive and Pro-
motive Health care
Services",Family Health,89487314.0,
turkana,2019_20,01,"Preventive and Pro-
motive Health care
Services",Public Health,49610832.0,
turkana,2019_20,01,"Preventive and Pro-
motive Health care
Services","Health Promotion and Disease
Control",13284840.0,
turkana,2019_20,01,Medical Services,,22450000.0,
turkana,2019_20,01,Medical Services,Laboratory Services,2250000.0,
turkana,2019_20,01,Medical Services,Blood Transfusion Services,2400000.0,
turkana,2019_20,01,Medical Services,Rehabilitative Services,2500000.0,
turkana,2019_20,01,Medical Services,Referrals & Emergency Services,2500000.0,
turkana,2019_20,01,Medical Services,Dental Services,2100000.0,
