county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
migori,2022_23,02,"Preventive, promotive
Health services and
Disease Control","Non Communicable Diseases,
Violence and Injuries",6760000.0,1987690.0
migori,2022_23,02,"Curative, Rehabilitative
and Referral services",Hospital Services,3065200.0,533745.0
migori,2022_23,02,Public health,,,
migori,2022_23,02,Public health,,,
migori,2022_23,02,"Preventive and promotive
health services",Community health services,5520000.0,
migori,2022_23,02,"Preventive and promotive
health services","Sanitation and environmental
health services",4428000.0,1750000.0
migori,2022_23,02,"Preventive and promotive
health services",Human nutrition and dietetics,2688000.0,1900000.0
migori,2022_23,02,"Preventive and promotive
health services",HIV and AIDS management,3300000.0,
migori,2022_23,02,"Preventive and promotive
health services",Disease surveillance,3208000.0,2384000.0
migori,2022_23,02,"Preventive and promotive
health services","Emergency preparedness and
response",4500000.0,
migori,2022_23,02,"Preventive and promotive
health services",Health promotion,2350000.0,
migori,2022_23,02,"Preventive and promotive
health services",Family& reproductive health,3143000.0,
migori,2022_23,02,"Preventive and promotive
health services","Non-communicable diseases
(NCDs)",4478000.0,
migori,2022_23,02,"Preventive and promotive
health services","Maternal child and adolescence
health services",11388000.0,7886604.0
migori,2022_23,02,LINDA MAMA,"Health Centres and dispensaries
Linda Mama reimbursement (140
facilities)",13760000.0,
migori,2022_23,02,LINDA MAMA,"Hospital Linda Mama reimburse-
ment (14 hospitals)",26500000.0,
migori,2022_23,02,"Curative, rehabilitative
and referral services","Pharmaceutical and non-phar-
maceutical commodities",151437385.0,
migori,2022_23,02,"Curative, rehabilitative
and referral services",Emergency and referral services,5556000.0,
migori,2022_23,02,External Funding,"THS Transforming Health sys-
tems Donor Grant",48944473.0,
mombasa,2022_23,02,3017 Health Services,Curative/Clinical Health Services,231789182.0,171094140.0
mombasa,2022_23,02,3017 Health Services,Special Programs,51796920.0,
nairobi,2022_23,02,"0402065310 sp.2.6 County
Referral Hospitals",,,
nakuru,2022_23,02,Department of Health Services,,,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2:1: Primary Health Care,606620683.0,58863739.0
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services","SP 2.2: Environmental
Health and Sanitation",2000000.0,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2:3: Human Resource,17049940.0,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services","SP 2.4: Disease Surveillance and
Emergency Response",1897550.0,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2.5: Health Promotive,1000000.0,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2:6: HIV Programme,2000000.0,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2:7: Nutrition,29980932.0,825640.0
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2:8 Reproductive Health,1750000.0,
nakuru,2022_23,02,"Programme 2:
Health Preventive
and Promotive
Services",SP 2:9 Immunization,1825775.0,
nakuru,2022_23,02,"Programme 3:
Health Curative
and Rehabilitative
Services","SP 3:1: Provision of Essential
Health Services at all levels",1865973897.0,523159786.0
nakuru,2022_23,02,"Programme 3:
Health Curative
and Rehabilitative
Services","SP 3.2: Elimination of
communicable and non-
communicable diseases",2200000.0,
nakuru,2022_23,02,"Programme 3:
Health Curative
and Rehabilitative
Services",SP 3:3: Human Resource,322427403.0,168083162.0
narok,2022_23,02,401004610.0,"Preventive &Promotive Health
Services",981400000.0,205189235.0
narok,2022_23,02,401004610.0,"Preventive &Promotive Health
Services",,
nyamira,2022_23,02,Curative health services,,,
nyamira,2022_23,02,Curative health services,,,
nyamira,2022_23,02,Curative health services,,,
nyandarua,2022_23,02,Curative Services,Curative Services,250452000.0,121278057.0
nyandarua,2022_23,02,Curative Services,Universal health care and grants,191381098.0,43580056.0
nyandarua,2022_23,02,"General administration, plan-
ning and support services","Emergency Response & Prepared-
ness",8862200.0,2417790.0
samburu,2022_23,02,"Preventive and Promotive
Health Services",Health Promotive Services,99874639.0,59596999.0
samburu,2022_23,02,"Preventive and Promotive
Health Services","Communicable Dis-
ease Control",63881391.0,50341224.0
samburu,2022_23,02,"Preventive and Promotive
Health Services","Non-Communicable Disease
& prevention control",25814512.0,16716492.0
samburu,2022_23,02,"Preventive and Promotive
Health Services",Maternal Health Services,40567382.0,34392753.0
samburu,2022_23,02,"Preventive and Promotive
Health Services",,591478816.0,367009134.0
samburu,2022_23,02,Health curative Services,County Referral Services,447931057.0,347002414.0
samburu,2022_23,02,Health curative Services,Free Primary Healthcare,124862138.0,10985128.0
samburu,2022_23,02,Health curative Services,,400169335.0,178914979.0
tana,2022_23,02,"Trade & Tour-
ism",Curative and Rehabilitative,153775000.0,5048200.0
tana,2022_23,02,"Trade & Tour-
ism",Medical Supplies,71325000.0,1170000.0
tana,2022_23,02,"Trade & Tour-
ism",Ambulance Services,4350000.0,1731500.0
tharaka,2022_23,02,Medical Services,,,
tharaka,2022_23,02,"P: Curative and Reha-
bilitative Services",SP: Medical Supplies,173000000.0,85294293.0
tharaka,2022_23,02,"P: Preventive and Pro-
motive Health Services",SP: Disease Surveillance,6000000.0,800640.0
tharaka,2022_23,02,"P: Preventive and Pro-
motive Health Services",SP: Environmental Health services,32987000.0,7244750.0
tharaka,2022_23,02,"P: Preventive and Pro-
motive Health Services","SP: Health Promotion and Disease
Control",414321272.0,125014669.0
tharaka,2022_23,02,"P: Preventive and Pro-
motive Health Services","SP: Reproductive Maternal and
Child Health Services",2500000.0,150000.0
trans,2022_23,02,Health Services,,10000000.0,
trans,2022_23,02,Sp1.1,Preventive Health Services,390227415.0,
turkana,2022_23,02,"Support to Health
Programs","HIV and AIDS, including
community-based HIV inter-
ventions",800000.0,
turkana,2022_23,02,"Support to Health
Programs",Nutrition,642500.0,
turkana,2022_23,02,"Support to Health
Programs",Reproductive health,630000.0,
turkana,2022_23,02,"Support to Health
Programs",Disease surveillance,850000.0,
turkana,2022_23,02,"Support to Health
Programs",EPI/outreaches,500000.0,
turkana,2022_23,02,"Support to Health
Programs",Health promotion,400000.0,
turkana,2022_23,02,"Support to Health
Programs",Environmental health services,600000.0,45000.0
turkana,2022_23,02,"Support to Health
Programs","Emergency preparedness and
disaster response",600000.0,
turkana,2022_23,02,"Support to Health
Programs",mainstreaming,400000.0,
turkana,2022_23,02,"Support to Health
Programs",Community Health Services,80568000.0,35320470.0
turkana,2022_23,02,"Support to Health
Programs",,,
turkana,2022_23,02,Laboratory Services,Blood Transfusion Services,1550000.0,
turkana,2022_23,02,Laboratory Services,Rehabilitative Services,650000.0,
turkana,2022_23,02,Laboratory Services,"Referrals and Emergency
Services",1100000.0,
turkana,2022_23,02,"Health Information
and Management",Policy & Planning Services,300000.0,
turkana,2022_23,02,"Health Information
and Management",Rehabilitation & Treatment,2300000.0,
turkana,2022_23,02,"Social protection
programs/ Affirma-
tive Action",Child Rescue Centres,44572923.0,
turkana,2022_23,02,"Social protection
programs/ Affirma-
tive Action",Child Care and Protection,15244498.0,666000.0
wajir,2022_23,02,Public Health,Public Health,42172950.0,3816700.0
wajir,2022_23,02,Public Health,"Preventive and promotive ser-
vices",42172950.0,3816700.0
wajir,2022_23,02,Public Health,"General Administration and
Support Services",,
wajir,2022_23,02,Public Health,Reproductive Health Services,,
wajir,2022_23,02,Public Health,Curative Services,,
wajir,2022_23,02,Medical Services,Medical Services,584460153.0,208187344.0
wajir,2022_23,02,Medical Services,Curative Services,584460153.0,208187344.0
wajir,2022_23,02,Medical Services,"General Administration and
Support Services",,
wajir,2022_23,02,"Emergency Referral
Services",Emergency Referral Services,30252000.0,5536660.0
wajir,2022_23,02,"Emergency Referral
Services",Curative Services,30252000.0,5536660.0
wajir,2022_23,02,Health Shared Services,Health Shared Services,1853899444.0,845703014.0
wajir,2022_23,02,Health Shared Services,Curative Services,110000000.0,
wajir,2022_23,02,Health Shared Services,"General Administration and
Support Services",1743899444.0,845703014.0
wajir,2022_23,02,Social Services,Social Services,44184400.0,1136000.0
wajir,2022_23,02,Public Service,Public Service,361074480.0,165117804.0
west,2022_23,02,SP 2-(Preventive Health Services),,86816000.0,19601547.35
baringo,2022_23,03,County Health Services,General Administration,847255034.0,350480897.0
baringo,2022_23,03,County Health Services,"Curative and Rehabilitative
Services",32102225.0,12345768.0
baringo,2022_23,03,County Health Services,"Preventive and Promotive
Health Services",400412477.0,131961191.0
baringo,2022_23,03,County Health Services,Health/preventive services,21000000.0,
baringo,2022_23,03,County Health Services,Medical Drugs,156000000.0,132469868.0
bomet,2022_23,03,Medical Services and Public Health,,,
bomet,2022_23,03,"Medical
Services and
Public Health","Administration,
Planning and Support
Services",1181011077.0,847606854.0
bomet,2022_23,03,"Medical
Services and
Public Health",Policy Development,3000000.0,
bomet,2022_23,03,"Medical
Services and
Public Health","Healthcare financing
– transfers to health
facilities",233687921.0,170896000.0
bomet,2022_23,03,"Medical
Services and
Public Health",Curative Services,249629649.0,64053048.0
bomet,2022_23,03,"Medical
Services and
Public Health","Preventive and Promo-
tive Services",75605950.0,11947960.0
bomet,2022_23,03,"Medical
Services and
Public Health","Reproductive Health
Services",15000000.0,
bomet,2022_23,03,"Medical
Services and
Public Health","Health Infrastructure
Development",,
bomet,2022_23,03,"Medical
Services and
Public Health",Sub total,1757934597.0,1094503862.0
bomet,2022_23,03,"Medical
Services and
Public Health",,,
busia,2022_23,03,"CP 54: Curative
Health Services",CSP 54.2: Hospital equipment,101500000.0,
busia,2022_23,03,"CP 55: Preventive and
Promotive Health Ser-
vices","CSP 55.1: Infrastructure devel-
opment",62500000.0,
busia,2022_23,03,"CP 55: Preventive and
Promotive Health Ser-
vices","CSP 55.2: Lower-level hospital
equipment",10000000.0,
busia,2022_23,03,"CP 55: Preventive and
Promotive Health Ser-
vices",CSP 55.3: Preventive Services,8000000.0,
busia,2022_23,03,"CP 55: Preventive and
Promotive Health Ser-
vices",CSP 55.4: Health promotion unit,69500000.0,3751628.0
elgeyo,2022_23,03,"Preventive and Promo-
tive health","Community and Envi-
ronmental Health",11429042.0,
elgeyo,2022_23,03,"Curative and Rehabili-
tative Health",County Hospitals,273251056.0,4997050.0
elgeyo,2022_23,03,"Curative and Rehabili-
tative Health",Primary Care Units,159467062.0,31691745.0
elgeyo,2022_23,03,"Curative and Rehabili-
tative Health","Emergency Medical
Services",8480000.0,
elgeyo,2022_23,03,"Curative and Rehabili-
tative Health",,,
garissa,2022_23,03,"Curative
Service",Curative,133507400.0,260000000.0
garissa,2022_23,03,"Preventive
Service","Health Promotion
and Campaign",274000000.0,
garissa,2022_23,03,"Public Service
and Human
Resource",Sub Total,634177474.0,60000000.0
homa,2022_23,03,Department of Public Health And Medical Services,,,
homa,2022_23,03,Department of Public Health And Medical Services,,,
homa,2022_23,03,Preventive and promotive health services,"Community health
services",96334870.0,68340710.0
homa,2022_23,03,Preventive and promotive health services,Disease control services,165414104.0,79724595.0
homa,2022_23,03,Preventive and promotive health services,"Facility infrastructure
improvement services",140000000.0,109310867.0
homa,2022_23,03,Preventive and promotive health services,Sub total,401748974.0,257376172.0
homa,2022_23,03,Curative and rehabilitative health services,"Routine medical health
services",222222783.0,180116044.0
homa,2022_23,03,Curative and rehabilitative health services,"Medical emergency
response services",4000000.0,
homa,2022_23,03,Curative and rehabilitative health services,"Facility infrastructure
improvement services",570209681.0,37692656.0
homa,2022_23,03,Curative and rehabilitative health services,Sub total,796432464.0,217808700.0
kajiado,2022_23,03,Preventive & Promotive Health Services,,36339986.0,14309793.0
kajiado,2022_23,03,"Reproductive Maternal Neo-natal Child &Ado-
lescent Health-RMNC",,3961400.0,1862700.0
kajiado,2022_23,03,Primary Health Care Services,,14933720.0,1145230.0
kajiado,2022_23,03,Curative and Rehabilitative,,280126551.0,240399316.0
kajiado,2022_23,03,Hospital Services,,8050750.0,5621830.0
kajiado,2022_23,03,Emergency Response services,,6329705.0,3547700.0
kajiado,2022_23,03,Public Health and Sanitation,,,
kajiado,2022_23,03,Development Expenditure,,,
kajiado,2022_23,03,Preventive & Promotive Health Services,,115708945.25,24591964.0
kajiado,2022_23,03,"Reproductive Maternal Neo-natal Child &Ado-
lescent Health-RMNC",,27266415.0,22022683.0
kajiado,2022_23,03,Primary Health Care Services,,78692530.25,2569281.0
kajiado,2022_23,03,Curative and Rehabilitative,,195551331.0,
kajiado,2022_23,03,Hospital Services,,195551331.0,
kakamega,2022_23,03,Health Services,,,
kericho,2022_23,03,"DEPARTMENT:
HEALTH SERVICES",,,
kericho,2022_23,03,Curative Health,"Administration
and Planning",1467116166.0,768406091.0
kericho,2022_23,03,Curative Health,"Hospital(curative)
Services",,
kericho,2022_23,03,"Preventive and
Promotive Health","Preventive Medi-
cine and Promo-
tive Health",1104362375.0,792750943.0
kericho,2022_23,03,"Preventive and
Promotive Health",,2571478541.0,1561157034.0
kiambu,2022_23,03,Health Services,,,
kiambu,2022_23,03,Health Services,"Health curative ser-
vices",603006903.0,524122880.0
kiambu,2022_23,03,Health Services,"General Adminis-
tration and Support
Services",4131533024.0,4001388703.0
kiambu,2022_23,03,Health Services,"Preventive and Pro-
motive Services",43900000.0,15081370.0
kiambu,2022_23,03,Health Services,,,
kiambu,2022_23,03,Health Services,"Pharmaceutical and
Non-Pharmaceutical
supplies",96000000.0,9998003.0
kiambu,2022_23,03,Health Services,Sub-Total,4874439927.0,4550590956.0
kirinyaga,2022_23,03,Medical Services and Public Health,,,
kirinyaga,2022_23,03,"Curative and
Rehabilitative
Services",,2111605163.0,1323071250.0
kirinyaga,2022_23,03,"Children
Services",,4784000.0,417706.0
kisii,2022_23,03,"County Health
Services",Medical Services,3068380553.0,1864409412.0
kisii,2022_23,03,"County Health
Services",Public Health,41350000.0,
kisii,2022_23,03,"County Health
Services",Sub-Total,3109730553.0,1864409412.0
kwale,2022_23,03,Public Health(0401053060),,5839657.0,1835662.0
kwale,2022_23,03,"Maternal New Born And Child
Health(0401023060)",,22171888.0,
makueni,2022_23,03,"Curative
healthcare
services","Curative
healthcare
services",233962800.0,
makueni,2022_23,03,"Preventive
and promo-
tive health-
care services","Preventive
and promo-
tive health-
care services",169606500.0,27497689.0
makueni,2022_23,03,"Preventive
and promo-
tive health-
care services",,3403915337.0,1749787318.0
meru,2022_23,03,"Disaster Management,
Rescue & Emergency
Services","Disaster Management,
Rescue & Emergency
Services",25016780.0,2164900.0
meru,2022_23,03,"Department: Health
Services",,,
meru,2022_23,03,Curative Health,Curative Health,782489137.0,116074949.0
meru,2022_23,03,"Preventive and
Promotive Health","Preventive and Promo-
tive Health",147886442.0,26300651.0
migori,2022_23,03,"Disaster
Management
Services",Disaster Management Services,21800000.0,6505490.0
migori,2022_23,03,Health-Medical services,,,
migori,2022_23,03,"Curative, Rehabili-
tative and Referral
services",Hospital Services,192773590.0,86263040.0
migori,2022_23,03,"Maternal Child
Health Services",Maternal Health Services,2512000.0,
migori,2022_23,03,"Preventive,
promotive Health
services and
Disease Control","Preventive, promotive Health services and
Disease Control",40560000.0,14990400.0
migori,2022_23,03,Health - Public health & Nutrition Services,,,
migori,2022_23,03,"Preventive,
promotive Health
services and
Disease Control","Preventive, promotive Health services and
Disease Control",49341541.0,25034904.0
mombasa,2022_23,03,"3017 Health
Services",Curative/Clinical Health Services,231789182.0,599004585.0
mombasa,2022_23,03,"3017 Health
Services","Preventive and Promotive Services
Unit",86072683.0,
mombasa,2022_23,03,"3017 Health
Services",Special Programs,51796920.0,1170000.0
muranga,2022_23,03,"Curative
Program","402054010 Free Primary
HealthCare",614020000.0,452444575.0
nandi,2022_23,03,"Preventive & Promotive
Health Services",,2914245923.0,2095185640.0
narok,2022_23,03,Health and Sanitation,Referral Services,432151700.0,195777667.0
narok,2022_23,03,Health and Sanitation,"Health Policy,
Planning and
Financing",2473145566.0,1947889835.6
nyamira,2022_23,03,Curative health services,,,
nyamira,2022_23,03,Curative health services,,,
nyamira,2022_23,03,Curative health services,,,
nyeri,2022_23,03,Health Services,,,
samburu,2022_23,03,401004217,"Maternal Health
Services",54089842.0,48449215.6
samburu,2022_23,03,402004217,"Provision Of
Essential Health
Services In All The
Levels",24914162.0,15266054.8
tana,2022_23,03,"Early Child
care services","ECDE quality educa-
tion standards service",2265000.0,1338700.0
tana,2022_23,03,"Early Child
care services","ECDE Access and
Retention Services",20700000.0,20450000.0
tana,2022_23,03,"Early Child
care services",Sub Total,22965000.0,21788700.0
tana,2022_23,03,"Curative and
Rehabilitative",Medical Supplies,142650000.0,102498793.0
tana,2022_23,03,"Curative and
Rehabilitative",Medical Services,31200000.0,27679783.0
tana,2022_23,03,"Curative and
Rehabilitative",Ambulance services,8700000.0,8341220.0
tana,2022_23,03,"Public works
and services",Sub Total,14652000.0,8000000.0
turkana,2022_23,03,"General Administration,
Planning and support
services",Health Facilities,484003789.0,67106059.0
turkana,2022_23,03,"Support to Health
Programs","HIV & AIDS, including com-
munity-based HIV interventions",606000.0,105000.0
turkana,2022_23,03,"Support to Health
Programs",Nutrition,542500.0,
turkana,2022_23,03,"Support to Health
Programs",Reproductive health,480000.0,
turkana,2022_23,03,"Support to Health
Programs",Disease surveillance,750000.0,
turkana,2022_23,03,"Support to Health
Programs",EPI/outreaches,500000.0,
turkana,2022_23,03,"Support to Health
Programs",Health promotion,75530390.0,34047945.0
turkana,2022_23,03,"Support to Health
Programs",Environmental health services,600000.0,45000.0
turkana,2022_23,03,"Support to Health
Programs","Emergency preparedness &
disaster response",600000.0,
turkana,2022_23,03,"Support to Health
Programs",mainstreaming,350000.0,
turkana,2022_23,03,"Support to Health
Programs",Community Health Services,130568000.0,74486925.0
turkana,2022_23,03,Laboratory Services,Blood Transfusion Services,1400000.0,
turkana,2022_23,03,Laboratory Services,Rehabilitative Services,500000.0,245000.0
turkana,2022_23,03,Laboratory Services,Referrals & Emergency Services,24000000.0,
turkana,2022_23,03,Laboratory Services,Medical Supplies,364263000.0,228167303.0
turkana,2022_23,03,"Health Information
and Management",Policy & Planning Services,,
turkana,2022_23,03,"Health Information
and Management",Rehabilitation & Treatment,1700000.0,294000.0
vihiga,2022_23,03,"Administration,
Planning and Sup-
port Service",Healthcare Financing,11831862.0,4588595.35
vihiga,2022_23,03,"Promotive and Pre-
ventive Healthcare
Services",,9340000.0,4398800.0
vihiga,2022_23,03,"Promotive and Pre-
ventive Healthcare
Services",Public Health Services,4120000.0,1131600.0
vihiga,2022_23,03,"Promotive and Pre-
ventive Healthcare
Services",Community Health Strategy,2000000.0,1600700.0
vihiga,2022_23,03,"Promotive and Pre-
ventive Healthcare
Services",Reproductive Healthcare,2700000.0,1666500.0
vihiga,2022_23,03,"Promotive and Pre-
ventive Healthcare
Services",Disease Surveillance and Emergency,20000.0,
vihiga,2022_23,03,"Curative And Re-
habilitative Health
Services",,96800000.0,47618613.0
vihiga,2022_23,03,"Curative And Re-
habilitative Health
Services",Medical services,96300000.0,47315313.0
vihiga,2022_23,03,"Child and Maternal
Health Care",,52094828.0,24029815.7
vihiga,2022_23,03,"Child and Maternal
Health Care",Antenatal and Post Natal healthcare,2600000.0,233600.0
vihiga,2022_23,03,"Child and Maternal
Health Care",Antenatal and Post Natal Healthcare,10520000.0,5064150.0
vihiga,2022_23,03,"Child and Maternal
Health Care","Newborn, Child and Adolescent
Health",500000.0,371500.0
vihiga,2022_23,03,"Child and Maternal
Health Care",Nutrition Services,38474828.0,18360565.7
baringo,2022_23,04,"County Health
Services","Curative and Rehabili-
tative Services",,
baringo,2022_23,04,"County Health
Services","Preventive and Promo-
tive Health Services",,
baringo,2022_23,04,"County Health
Services","Health/preventive
services",,
baringo,2022_23,04,"County Health
Services",Medical Drugs,176085998.0,142515851.0
busia,2022_23,04,"CP 30: Child care
and Protection",,,
busia,2022_23,04,"CP 55: Preventive
and Promotive
Health Services",,,
busia,2022_23,04,"CP 55: Preventive
and Promotive
Health Services",,,
busia,2022_23,04,"CP 55: Preventive
and Promotive
Health Services",,,
isiolo,2022_23,04,Health services,,,
isiolo,2022_23,04,Medical Services,,1371432068.0,1346023439.0
kakamega,2022_23,04,DEVELOPMENT EXPENDITURE BUDGET,,,
kericho,2022_23,04,Department: Health Services,,,
kericho,2022_23,04,Curative Health,"Administration and
Planning",1527229294.0,1361862890.0
kericho,2022_23,04,Curative Health,"Hospital(curative)
Services",,
kericho,2022_23,04,"Preventive and
Promotive Health","Preventive Medi-
cine and Promotive
Health",1100839902.0,1060173459.0
kericho,2022_23,04,"Preventive and
Promotive Health",,2628069196.0,2422036349.0
kericho,2022_23,04,"Preventive and
Promotive Health",,,
kirinyaga,2022_23,04,Medical Services and Public Health,,,
kirinyaga,2022_23,04,"Curative and
Rehabilitative
Services","040301 Curative
and Rehabilitative
Services",2116310238.0,2114819096.0
kirinyaga,2022_23,04,"Curative and
Rehabilitative
Services",,,
kirinyaga,2022_23,04,"Disaster Manage-
ment","020401 Fire Fight-
ing and Emergency
Services",2222083.0,2222083.0
kitui,2022_23,04,"Health Promotion
andDisease Control",,2092132.0,1585557.0
kitui,2022_23,04,"Health Promotion
andDisease Control",,,213521.0
kitui,2022_23,04,Medical Services,,1254884100.0,1244895173.0
kitui,2022_23,04,Medical Services,,8300000.0,8276400.0
kitui,2022_23,04,Medical Services,,628958332.0,628878292.0
kitui,2022_23,04,Medical Services,,66611.0,
kitui,2022_23,04,Public Health,,4837591.0,4535448.0
kitui,2022_23,04,Public Health,,2223000.0,2167558.0
kitui,2022_23,04,Public Health,,2955000.0,2110408.0
kitui,2022_23,04,Budgetary Supplies,,54713395.0,53930117.0
laikipia,2022_23,04,"Laikipia
County Ward
Development
Fund",,993640.0,993640.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,19340000.0,9930485.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,36205271.0,39827807.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,,
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,282595561.0,301686549.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,30000000.0,29033112.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,12000000.0,10518561.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,7800000.0,7494893.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,6200000.0,7440016.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,,
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,12040400.0,13052200.0
laikipia,2022_23,04,"Curative And
Rehabilitee
Health",,9000000.0,6537174.0
laikipia,2022_23,04,"Preventive
Health Services",,3000000.0,2699900.0
laikipia,2022_23,04,"Preventive
Health Services",,5000000.0,4142704.0
laikipia,2022_23,04,"Preventive
Health Services",,15000000.0,12732945.0
laikipia,2022_23,04,"Preventive
Health Services",,438181232.0,445096345.0
laikipia,2022_23,04,"Early Child-
hood Devel-
opment (ECD)
And Childcare
Facilities",,50000000.0,50000000.0
laikipia,2022_23,04,Social Services,,4500000.0,4499998.0
laikipia,2022_23,04,Social Services,,,
laikipia,2022_23,04,Social Services,,,
laikipia,2022_23,04,Social Services,,23403136.0,23208606.0
lamu,2022_23,04,Department Medical of Services,,,
lamu,2022_23,04,Medical Services,Sub Total,1084879789.0,1061755225.0
lamu,2022_23,04,"Programme 4:
Environmental
Health and sani-
tation","Sub-programme 2.1:
Public Health andLi-
cencing",,
mandera,2022_23,04,Health Services,"Administrative
Services",1773676734.0,1682085221.0
mandera,2022_23,04,Health Services,Medical Services,935924104.0,853822216.0
mandera,2022_23,04,Health Services,"Public health and
sanitation",131186458.0,84826152.0
mandera,2022_23,04,Health Services,,2840787296.0,2620733589.0
marsabit,2022_23,04,Health Services,,,
marsabit,2022_23,04,Health Services,,,
marsabit,2022_23,04,"Health
Services",,1434001743.0,1415077715.53
marsabit,2022_23,04,"Health
Services",,,
marsabit,2022_23,04,"Health
Services",,1434001743.0,1415077715.53
meru,2022_23,04,"Disaster Management,
Rescue & Emergency
Services","Disaster Management,
Rescue & Emergency
Services",25016780.0,24687098.0
meru,2022_23,04,Department: Health Services,,,
meru,2022_23,04,Curative Health,Curative Health,782489136.69,739726020.6
meru,2022_23,04,"Preventive and Promo-
tive Health","Preventive and Promo-
tive Health",147886442.0,133782745.4
migori,2022_23,04,"Department of Education, Gender, Sports, Youth Development and Culture","Childcare support ser-
vices",4971942.0,1950001.0
migori,2022_23,04,Department of Health-Medical services,,,
migori,2022_23,04,"Curative, Rehabil-
itative and Refer-
ral services",Hospital Services,272327838.0,249092733.0
migori,2022_23,04,"Donor support
services",,,
migori,2022_23,04,"Preventive, pro-
motive Health
services andDis-
ease Control","Preventive, promotive
Health services andDis-
ease Control",22212400.0,19357400.0
migori,2022_23,04,"Preventive, pro-
motive Health
services andDis-
ease Control",Sub Total,1826564877.0,1662276671.0
migori,2022_23,04,"Curative, rehabili-
tative and Referral
services","Essential Health Prod-
ucts andTechnologies",152693385.0,91062986.0
migori,2022_23,04,"Preventive, pro-
motive Health
services andDis-
ease Control","Preventive, promotive
Health services andDis-
ease Control",43408541.0,38265357.0
migori,2022_23,04,"Preventive, pro-
motive Health
services andDis-
ease Control",Sub Total,447636792.0,317851125.0
nairobi,2022_23,04,"HIV/AIDS prevention
and control unit",,98400.0,98400.0
nairobi,2022_23,04,"Malaria control &
Other Communicable
Diseases unit","Reproductive Health & Maternal
Health (RMNCAH)",72919650.0,62487983.0
nairobi,2022_23,04,"Reproductive Health,
Maternal Health (RM-
NCAH)",,72919650.0,62487983.0
nairobi,2022_23,04,"Reproductive Health,
Maternal Health (RM-
NCAH)",Environmental / Public Health,218919577.0,117868474.0
nairobi,2022_23,04,"Environmental Public
Health",,218919577.0,117868474.0
nairobi,2022_23,04,"Environmental Public
Health",County Referral Hospitals,209007941.0,124933778.0
nairobi,2022_23,04,"Health Centres &
dispensaries","Administration/Human Resource for
Health",4196312288.0,2023147.0
nairobi,2022_23,04,Administration unit,"Health Policy, Planning & Financing",11319800.0,27637841.0
nairobi,2022_23,04,"Rescue and Rehabil-
itation of Children
Services",,3526949.0,2067618.0
nakuru,2022_23,04,Department of Health Services,,,
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services","SP 2.1 Primary
Healthcare",1270605.0,
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services","SP 2.2 Environ-
mental health and
sanitation",2000000.0,
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services","SP 2.3 human
resource",17049940.0,
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services","SP 2.5 Health
promotive",1000000.0,471600.0
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services",SP 2.7 Nutrition,10000000.0,6328313.0
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services","SP 2.8 Reproduc-
tive health",1750000.0,
nakuru,2022_23,04,"Programme 2
health preventive
and Promotive
services","SP 2.9 immuni-
sation",1825775.0,489600.0
nakuru,2022_23,04,"Programme 3
Health curative
And Rehabilitative
services","SP 3.1 Provision
of essential health
services in all",1226659650.0,1079537146.0
nakuru,2022_23,04,"Programme 3
Health curative
And Rehabilitative
services","SP 3.3 Human
resource",322427403.0,381130266.0
nakuru,2022_23,04,"Programme 3
Health curative
And Rehabilitative
services",Sub Total,6042315980.0,5283537015.0
nakuru,2022_23,04,"Programme 3
Health curative
And Rehabilitative
services",,,
nyandarua,2022_23,04,Health Services,,,
nyandarua,2022_23,04,"Curative
Services",,300951600.0,300868212.0
nyandarua,2022_23,04,"Curative
Services",,309588776.0,122403029.0
nyandarua,2022_23,04,"Curative
Services",,,
siaya,2022_23,04,"County Health Services
-",,,
siaya,2022_23,04,"County Health Services
-",,1490768146.0,1052311763.3
