"Pro-
gramme",Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Solid waste management,,"500,000",-,"500,000",-,72,0
,Solid waste management,"500,000",-,"500,000",-,72,0
"Lands, Physical planning and Urban Development",,"97,784,996","15,655,450","82,129,546",16.0,73,0
,"Lands, Physical planning and Urban Develop-
ment","97,784,996","15,655,450","82,129,546",16.0,73,0
"Sub Total for Water, Lands and Physical Planning",,"583,105,370","32,868,674","550,236,696",5.6,73,0
"Roads, Public Works and Transport",,,,,,73,0
General administration and support services,,"105,668,668","20,082,631","85,586,037",19.0,73,0
,General administration and support services,"105,668,668","20,082,631","85,586,037",19.0,73,0
Rural road Works,,"663,598,381",-,"663,598,381",-,73,0
,Rural road Works,"663,598,381",-,"663,598,381",-,73,0
Public Works,,"19,717,010",-,"19,717,010",-,73,0
,Public Works,"19,717,010",-,"19,717,010",-,73,0
Energy,,"14,800,000","691,435","14,108,565",4.7,73,0
,Energy,"14,800,000","691,435","14,108,565",4.7,73,0
"Sub Total Roads, Public Works and Transport",,"803,784,059","20,774,065","783,009,994",2.6,73,0
"Sports, Youth and Gender Affairs",,,,,,73,0
General administration and support services,,"43,421,119","9,356,906","34,064,213",21.5,73,0
,General administration and support services,"43,421,119","9,356,906","34,064,213",21.5,73,0
Sports Development,,"28,897,335",-,"28,897,335",-,73,0
,Sports Infrastructure Development,"14,495,017",-,"14,495,017",-,73,0
,Sports Talent Development,"14,402,318",-,"14,402,318",-,73,0
Social Empowerment,,"66,848,338",-,"66,848,338",-,73,0
,Social Empowerment,"66,848,338",-,"66,848,338",-,73,0
Social Protection,,"6,061,000",-,"6,061,000",-,73,0
,Social Protection,"6,061,000",-,"6,061,000",-,73,0
ICT Services,,"4,505,438",-,"4,505,438",-,73,0
,ICT Services,"4,505,438",-,"4,505,438",-,73,0
"Sub Total for Sports, Youth and Gender Affairs",,"149,733,230","9,356,906","140,376,324",6.2,73,0
Trade and Tourism,,,,,,73,0
General administration and support services,,"37,889,225","8,601,770","29,287,455",22.7,73,0
,General administration and support services,"37,889,225","8,601,770","29,287,455",22.7,73,0
Tourism Development,,"66,844,549",-,"66,844,549",-,73,0
,Tourism Development,"66,844,549",-,"66,844,549",-,73,0
Trade and enterprise development,,"12,636,724",-,"12,636,724",-,73,0
,Trade and enterprise development,"12,636,724",-,"12,636,724",-,73,0
Culture and Heritage Preservation,,"3,282,000",-,"3,282,000",-,73,0
,Culture and Heritage Preservation,"3,282,000",-,"3,282,000",-,73,0
Sub Total for Trade and Tourism,,"120,652,498","8,601,770","112,050,728",7.1,73,0
County Public Service Board,,,,,,73,0
General administration and support services,,"51,152,913","10,527,599","40,625,314",20.6,73,0
,General administration and support services,"51,152,913","10,527,599","40,625,314",20.6,73,0
Sub Total for County Public Service Board,,"51,152,913","10,527,599","40,625,314",20.6,73,0
Livestock and Fisheries,,,,,,73,0
General administration and support services,,"93,464,981","21,263,711","72,201,270",22.8,73,0
,General administration and support services,"93,464,981","21,263,711","72,201,270",22.8,73,0
Livestock Development,,"98,590,077",-,"98,590,077",-,73,0
,Livestock Production,"93,800,719",-,"93,800,719",-,73,0
,Livestock Extension and Training Services,"4,789,358",-,"4,789,358",-,73,0
Cooperatives development,,"19,283,384","496,950","18,786,434",2.6,73,0
,Cooperatives development,"19,283,384","496,950","18,786,434",2.6,73,0
Veterinary Services,,"68,783,980","498,000","68,285,980",0.7,73,0
,Disease Surveillance and control,"56,097,780","498,000","55,599,780",0.9,73,0
,A I Services,"12,686,200",-,"12,686,200",-,73,0
Sub Total for Livestock and Fisheries,,"280,122,422","22,258,661","257,863,761",7.9,73,0
Public Service Management,,,,,,73,0
General administration and support services,,"214,635,980","22,142,683","192,493,297",10.3,73,0
,General administration and support services,"214,635,980","22,142,683","192,493,297",10.3,73,0
Public Service Management,,"47,927,166","160,000","47,767,166",0.3,73,0
,SP 4.1 Human Resource Management,"495,000","10,000","485,000",2.0,73,0
,Coordination of government functions,"47,057,166","150,000","46,907,166",0.3,73,0
,Citizen participation and Civic Education,"375,000",-,"375,000",-,73,0
