Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,"Variance
(Kshs.)",Absorption (%)
"Sub-pro-
gramme 7",Legal Services,"45,007,076",-,,,199,0,"45,007,076",-
TOTAL,,"404,429,339","496,800",,,199,0,"403,932,539",0.1
"Education, Youth, and Social Welfare",,,,,,199,0,,
"Sub-pro-
gramme 1",Headquarter Administrative services,"466,224,476",-,,,199,0,"466,224,476",-
"Sub-pro-
gramme 2",Gender and Social Services,"18,819,436","2,791,166",,,199,0,"16,028,270",14.8
"Sub-pro-
gramme 3",Basic Education,"5,000,000",,,,199,0,,-
"Sub-pro-
gramme 4",Youth Development Services,"51,102,833",,,,199,0,,-
TOTAL,,"541,146,745","2,791,166",,,199,0,"482,252,746",0.5
"Energy, Lands, Housing And Urban Development",,,,,,199,0,,
"Sub-pro-
gramme 1",Headquarter Administrative services,"61,807,195","297,600",,,199,0,"61,509,595",0.5
"Sub-pro-
gramme 2",County Electrification,"91,883,648",-,,,199,0,"91,883,648",-
"Sub-pro-
gramme 3",Housing and Urban Development,"757,500,000",-,,,199,0,"757,500,000",-
"Sub-pro-
gramme 4",Machakos Municipality,"8,000,000",-,,,199,0,"8,000,000",-
"Sub-pro-
gramme 5",Mavoko Municipality,"8,000,000",-,,,199,0,"8,000,000",-
"Sub-pro-
gramme 6",Kangundo Tala Municipality,"8,000,000",-,,,199,0,"8,000,000",-
"Sub-pro-
gramme 7",Lands and Physical Planning,"20,000,000",-,,,199,0,-,-
TOTAL,,"955,190,843","297,600",,,199,0,"934,893,243",0.03
County Administration and Decentralized Units,,,,,,199,0,,
"Sub-pro-
gramme 1","General Administration and support
services","509,467,120","945,000",,,199,0,"508,522,120",0.2
"Sub-pro-
gramme 2",Civic Engagement,"500,000",-,,,199,0,"500,000",-
"Sub-pro-
gramme 3","Administration and Co-ordination
Services","2,550,000","216,400",,,199,0,"2,333,600",8.5
"Sub-pro-
gramme 4",Solid Waste Management,"10,698,339",-,,,199,0,"10,698,339",-
