Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"Total Expenditure of Programme
1","1,428,323,470","88,638,213","625,523,522",12.4%,259,0
"Programme 2: Livestock
Resource Management and
Development","Programme 2: Livestock
Resource Management and
Development",-,,-,,259,0
,"SP 2.1 Livestock Production and
Management","302,693,764",-,,,259,0
,"SP 2.2 Promotion of Value Addi-
tion of Livestock and Livestock
Products","58,406,236",-,,,259,0
,"SP 2.3 Livestock Extension Ser-
vice Delivery","58,460,590",-,,,259,0
,"SP 2.4 Food Safety and Livestock
Products Development","18,100,000",-,,,259,0
,"SP 2.5 Livestock Disease Man-
agement and Control","100,766,826",-,,,259,0
,"Total Expenditure of Programme
2","538,427,416",-,,,259,0
"Programme 3: Fisheries
Development","Programme 3: Fisheries Devel-
opment",-,,-,,259,0
,SP 3.1 Aquaculture development,"21,000,000",,"10,500,000",0.0%,259,0
,"SP 3.2 Development of capture
fisheries resources","7,742,140",,"3,871,070",0.0%,259,0
,"SP 3.3 Fish quality assurance,
value addition and marketing","5,124,280",,"2,562,140",0.0%,259,0
,"Total Expenditure of Programme
3","33,866,420",-,,,259,0
"Programme 4: Crop Develop-
ment and Management","Programme 4: Crop Develop-
ment and Management",-,,-,,259,0
,"SP 4.1 Extension, Research and
Training","12,616,012",,"6,308,006",0.0%,259,0
,"SP 4.2 Crop Production and
Food Security","767,203,234",,"383,601,617",0.0%,259,0
,"SP 4.3 Farm land utilization,
Conservation and Mechanization","11,550,574",,"5,775,287",0.0%,259,0
,"SP 4.4 Agribusiness Develop-
ment and Marketing","8,040,460",,"4,020,230",0.0%,259,0
,SP 4.5 Agri-nutrition,"1,510,114",,"755,057",0.0%,259,0
"DEPARTMENT: EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,259,0
"Program 1: ADMINISTRA-
TION AND PLANNING
SERVICES","Program 1: ADMINISTRATION
AND PLANNING SERVICES",-,,-,,259,0
,SP 1.1: Administration,"1,202,227,006",,"601,113,503",0.0%,259,0
,SP 1.2: Personnel services,"666,963,186","54,478,739","279,002,854",16.3%,259,0
,SP 1.3: Financial services,-,,-,,259,0
,Total Expenditure Prog 1,"1,869,190,192","54,478,739","880,116,357",5.8%,259,0
"PROGRAMME 2: PROMO-
TION OF EARLY CHILD-
HOOD EDUCATION AND
DEVELOPMENT","PROGRAMME 2: PROMO-
TION OF EARLY CHILD-
HOOD EDUCATION AND
DEVELOPMENT",-,,-,,259,0
,"SP 2.1. Promotion of Early
Childhood Education","202,579,692",,"101,289,846",0.0%,259,0
,SP 2.2. Bursaries,"486,985,134",,"243,492,567",0.0%,259,0
,SP 2.3. Education development,"38,622,352",,"19,311,176",0.0%,259,0
,Total Expenditure Prog 2,"728,187,178",-,,,259,0
"PROGRAMME 3. VOCA-
TIONAL TRAINING AND
SKILLS UPGRADING","PROGRAMME 3. VOCATION-
AL TRAINING AND SKILLS
UPGRADING",-,,-,,259,0
,SP 3.1. Vocational Training,"193,700,800",,"96,850,400",0.0%,259,0
,SP 3.2. Vocational Development,"154,099,828",,"77,049,914",0.0%,259,0
,Total Expenditure Prog 3,"347,800,628",-,,,259,0
"Programme 4: INFORMA-
TION AND COMMUNICA-
TION SERVICES","Programme 4: INFORMATION
AND COMMUNICATION
SERVICES",-,,-,,260,0
,"SP 4.1 Public Communication &
Media Services","40,582,874",,"20,291,437",0.0%,260,0
,Total Expenditure Prog 4,"40,582,874",-,,,260,0
"Programme 5: ICT INFRA-
STRUCTURE DEVELOP-
MENT","Programme 5: ICT INFRA-
STRUCTURE DEVELOPMENT",-,,-,,260,0
,"SP 5.1 Hardware & Software
Platforms","25,336,000",,"12,668,000",0.0%,260,0
,SP 5.2 Network Infrastructure,"13,600,000",,"6,800,000",0.0%,260,0
,SP 5.3 e-Government Services,"5,368,000",,"2,684,000",0.0%,260,0
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,260,0
"PROGRAMME 1: ADMIN-
ISTRATION, PLANNING
AND SUPPORT SERVICES","PROGRAMME 1: ADMINIS-
TRATION, PLANNING AND
SUPPORT SERVICES",-,,-,,260,0
,SP 1.1: Administration Services,"763,388,192",,"381,694,096",0.0%,260,0
,SP 1.2: Personnel Services,"1,105,544,378","132,073,634","420,698,555",23.9%,260,0
,SP 1.3: Financial Services,-,,-,,260,0
,Total Expenditure Prog 1,"1,868,932,570","132,073,634","802,392,651",14.1%,260,0
"PROGRAMME 2: PUBLIC
FINANCE MANAGEMENT","PROGRAMME 2: PUBLIC
FINANCE MANAGEMENT",-,,-,,260,0
,"SP 2.1: Budget Formulation Co-
ordination And Management","128,814,124",,"64,407,062",0.0%,260,0
,SP 2.2: Resource Mobilization,"165,260,240",,"82,630,120",0.0%,260,0
,SP 2.3: Internal Audit,"69,289,042",,"34,644,521",0.0%,260,0
,SP 2.4: Procurement,"36,240,586",,"18,120,293",0.0%,260,0
,"SP 2.5: Public Finance And
Accounting","53,072,762",,"26,536,381",0.0%,260,0
,SP 2.6: Debt Management,"195,085,812",,"97,542,906",0.0%,260,0
,"SP 2.7: External Resource Mobi-
lization","23,847,976",,"11,923,988",0.0%,260,0
,Total Expenditure Prog 2,"671,610,542",-,,,260,0
"PROGRAMME 3: ECO-
NOMIC AND FINANCIAL
POLICY FORMULATION
AND MANAGEMENT","PROGRAMME 3: ECONOMIC
AND FINANCIAL POLICY
FORMULATION AND MAN-
AGEMENT",-,,-,,260,0
,SP 3.1: Fiscal Planning,"55,920,602",,"27,960,301",0.0%,260,0
,"SP 3.2: Monitoring & Evaluation
/ Statistical Data Management","19,253,494",,"9,626,747",0.0%,260,0
,SP 3.3: KDSP Programme,"465,430,414",,"232,715,207",0.0%,260,0
DEPARTMENT: NAKURU MUNICIPAL BOARD,,,,,,260,0
"Programme 1: Administra-
tion, Planning and Support","Programme 1: Administration,
Planning and Support",-,,-,,260,0
,"SP 1.1 Administration and
Planning","46,762,964",,"23,381,482",0.0%,260,0
,SP 1.2 Personnel Services,"33,336,864","1,812,405","14,856,027",10.9%,260,0
,SP 1.3 Financial Services,"1,200,000",,"600,000",0.0%,260,0
,Total Expenditure Prog 1,"81,299,828","1,812,405","38,837,509",4.5%,260,0
"Programme 2: Nakuru
Municipality Urban Planning
and Development","Programme 2: Nakuru Mu-
nicipality Urban Planning and
Development",-,,-,,260,0
,"SP 2.1 Infrastructure Develop-
ment and Urban Planning","1,683,611,184",,"841,805,592",0.0%,260,0
,"SP 2.2 Nakuru Municipality
Environmental Management","3,000,000",,"1,500,000",0.0%,260,0
,"SP 2.3 Trade Markets and Invest-
ments","4,000,000",,"2,000,000",0.0%,260,0
,"SP 2.4 Nakuru Municipality
Social Services","7,377,328",,"3,688,664",0.0%,261,0
"DEPARTMENT: PUBLIC SERVICE, TRAINING AND DEVOLUTION",,,,,,261,0
"Programme 1: Administra-
tion, Planning and Support
Service","Programme 1: Administration,
Planning and Support Service","404,715,754",,"202,357,877",0.0%,261,0
,SP 1.1 Administration Services,"1,086,591,792","128,517,709","414,778,187",23.7%,261,0
,SP 1.2 Personal Services,"1,000,000",,"500,000",0.0%,261,0
,SP 1.3 Financial Services,"7,100,000",,"3,550,000",0.0%,261,0
,"SP 1.4 Co-ordination of Public
and Special Community Pro-
gramme","4,000,000",,"2,000,000",0.0%,261,0
,"SP 1.5 Mainstream Workplace
HIV/ AIDS, Alcohol & Drug
Abuse Control","170,238,590",,"85,119,295",0.0%,261,0
,"SP 1.6 Construction And Reha-
bilitation Of Sub-County And
Ward Offices","1,673,646,136","128,517,709","708,305,359",15.4%,261,0
,Total Expenditure,-,,-,,261,0
Programme 2: Legal Services,Programme 2: Legal Services,"21,150,000",,"10,575,000",0.0%,261,0
,"SP 2.1. Legal Services And Poli-
cies Formulation","11,250,000",,"5,625,000",0.0%,261,0
,"SP 2.2. Co-Ordination Of Coun-
ty Compliance & Enforcement
Agents","32,400,000",-,,,261,0
,Total Expenditure,-,,-,,261,0
"Programme 3: Human
Resource Management And
Development","Programme 3: Human Resource
Management And Development","10,000,000",,"5,000,000",0.0%,261,0
,SP 3.1 Performance Contracting,"10,000,000",,"5,000,000",0.0%,261,0
,"SP 3.2 Performance Appraisal
System","141,207,262",,"70,603,631",0.0%,261,0
,"SP 3.3 Staff Development
Through Capacity Building &
Training","161,207,262",-,,,261,0
,Total Expenditure,-,,-,,261,0
"Programme 4: Disaster Man-
agement And Humanitarian
Assistance","Programme 4: Disaster Man-
agement And Humanitarian
Assistance","11,000,000",,"5,500,000",0.0%,261,0
,"SP 4.1: Disaster Management
and Humanitarian Assistance",-,,-,,261,0
DEPARTMENT: OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,261,0
"Programme 1: Administra-
tion, Planning and Support
Services","Programme 1: Administration,
Planning and Support Services",-,,-,,261,0
,"SP 1.1 Administration and
Planning","402,212,716",,"201,106,358",0.0%,261,0
,SP 1.2 Personnel Services,"233,235,914","26,338,108","90,279,849",22.6%,261,0
,"Total Expenditure of Programme
1","635,448,630","26,338,108","291,386,207",8.3%,261,0
"Programme 2: Management
of County Affairs","Programme 2: Management of
County Affairs",-,,-,,261,0
,"SP 2.1. County Executive Ser-
vices","22,593,262",,"11,296,631",0.0%,261,0
,"SP 2.2. Policy Direction and
Coordination","175,633,182",,"87,816,591",0.0%,261,0
,SP 2.3. County Policing Services,"6,777,978",,"3,388,989",0.0%,261,0
,"SP 2.4. Leadership and Gover-
nance","4,518,652",,"2,259,326",0.0%,261,0
,"Total Expenditure of Programme
2","209,523,074",-,,,261,0
"Programme 3: Coordination
and Supervisory Service","Programme 3: Coordination and
Supervisory Service",-,,-,,262,0
,"SP 3.1. Organisation of County
Business","34,341,370",,"17,170,685",0.0%,262,0
,SP 3.2. Special Programmes,"21,296,630",,"10,648,315",0.0%,262,0
DEPARTMENT: INFRASTRUCTURE,,,,,,262,0
"PROGRAM 1. Administra-
tion, Planning and Support
Services.","PROGRAM 1. Administration,
Planning and Support Services.",-,,-,,262,0
,SP 1.1.Administrative services.,"102,910,820",,"51,455,410",0.0%,262,0
,SP 1.2: Personnel services.,"285,489,604","26,619,927","116,124,875",18.6%,262,0
,SP 1.3: Financial Services.,-,,-,,262,0
,"TOTAL EXPENDITURE PRO-
GRAMME 1.","388,400,424","26,619,927","167,580,285",13.7%,262,0
"PROGRAM 2. Infrastructure,
Development & Maintenance.","PROGRAM 2. Infrastructure,
Development & Maintenance.",-,,-,,262,0
,SP 2.1: Roads Rehabilitation,"4,735,709,520",,"2,367,854,760",0.0%,262,0
,SP 2.2: Transport,"6,320,000",,"3,160,000",0.0%,262,0
,SP 2.3: Public Works,"42,520,000",,"21,260,000",0.0%,262,0
,SP 2.4: Street Lighting,"207,220,000",,"103,610,000",0.0%,262,0
,"TOTAL EXPENDITURE PRO-
GRAMME 2.","4,991,769,520",-,,,262,0
"PROGRAM 3. Firefighting &
Disaster Management.","PROGRAM 3. Firefighting &
Disaster Management.",-,,-,,262,0
,"SP 3.1: Firefighting and Emer-
gency Services","15,320,000",,"7,660,000",0.0%,262,0
TOTAL,,"20,348,120,121","505,043,892","19,843,076,229",2.5%,262,0
