Programme,"Sub-pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index
,709123510,Civic Education,-,-,-,-,103,0
,709133510,"Public Financial Management
Services","450,520,000","109,103,311","341,416,689",24.2,103,0
,709143510,Economic Planning Services,-,-,-,-,103,0
,709153510,"County Pensions and Retire-
ment Services",-,-,-,-,103,0
710003510,,Public financial management,"4,000,000",-,"4,000,000",-,103,0
,710013510,Administrative Services,-,-,-,-,103,0
,710033510,County Debt Management,-,-,-,-,103,0
,710043510,Audit Services,"4,000,000",-,"4,000,000",-,103,0
,710063510,Accounting Services,-,-,-,-,103,0
711003510,,"Economic Planning and Co-
ordination ion","55,836,173",-,"55,836,173",-,103,0
,711013510,Monitoring and Evaluation,"29,799,922",-,"29,799,922",-,103,0
,711023510,"Economic Policy and County
Development Plans","10,046,251",-,"10,046,251",-,103,0
,711043510,"County Development Stake-
holders Forums","6,900,000",-,"6,900,000",-,103,0
,711053510,"County Baseline Surveys on
County Development Indica-
tors","7,000,000",-,"7,000,000",-,103,0
,711073510,"Capacity building and Support
to Departments","2,090,000",-,"2,090,000",-,103,0
,711093510,"County Strategic Plan and Per-
formance Management Plan",-,-,-,-,103,0
712003510,,Cohesion and Peace Building,"94,663,959","150,000","94,513,959",0.2,103,0
,712013510,"Administrative and Civic Edu-
cation Services","94,663,959","150,000","94,513,959",0.2,103,0
,712023510,"Conflict Management and
Resolution",-,-,-,-,103,0
713003510,,"County Governance and Co-
ordination Affairs","25,000,000",-,"25,000,000",-,103,0
,713013510,County Governance,-,-,-,-,103,0
,713023510,Coordination Affairs,-,-,-,-,103,0
,713033510,"Intergovernmental Services
(Deputy Governor Services)","25,000,000",-,"25,000,000",-,103,0
714003510,,Inter-governmental relations,-,-,-,-,103,0
,714013510,"Formation of Northern Fron-
tier Counties Forum for peace
& dev",-,-,-,-,104,0
,714023510,"Baseline Survey on shared
resources with neighbouring
Counties",-,-,-,-,104,0
,714033510,"InterCounty programmes tar-
geting shared resources water,
pasture",-,-,-,-,104,0
,714043510,Disputes resolution funds,-,-,-,-,104,0
715003510,,"County Exchange pro-
grammes",-,-,-,-,104,0
,715013510,"Women Exchange pro-
grammes",-,-,-,-,104,0
,715023510,Youth Exchange Programmes,-,-,-,-,104,0
,715033510,Elders Exchange programmes,-,-,-,-,104,0
,715043510,"Emergency and relief Support
Service",-,-,-,-,104,0
,715053510,County Public Services,-,-,-,-,104,0
716003510,,"County Devolved Adminis-
trative Affairs","24,692,234","1,585,600","23,106,634",6.4,104,0
,716013510,"Devolved Administrative Af-
fairs","24,692,234","1,585,600","23,106,634",6.4,104,0
717003510,,Annual Conferences,-,-,-,-,104,0
,717013510,"The annual people conference
on County cohesion",-,-,-,-,104,0
718003510,,"Peace and unity Building Ini-
tiatives",-,-,-,-,104,0
,718013510,"Cultural Festivals, exhibitions
& public Civic Education",-,-,-,-,104,0
,718073510,"Community sensitization pro-
grammes: County structures",-,-,-,-,104,0
,718083510,"Interfaith programmes: lead-
ers seminars on peace & co-
hesion",-,-,-,-,104,0
