Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
sports,306023710,"71,251,560","357,700","70,893,860",0.5,168,0
"Gender, Culture and Social Services Head-
quarters",307013710,"37,278,230","197,900","37,080,330",0.5,168,0
"Gender, Culture and Social Services Head-
quarters",307023710,"19,046,258","1,025,300","18,020,958",5.4,168,0
"Gender, Culture and Social Services Head-
quarters",308013710,"9,863,054","156,400","9,706,654",1.6,168,0
"Gender, Culture and Social Services Head-
quarters",308023710,"1,580,000","313,000","1,267,000",19.8,168,0
Sub-total Sports Gender and Culture,,"199,186,730","5,384,833","193,801,897",2.7,168,0
County Treasury,,,,,,168,0
"General Administration And Planning Head-
quarters",701013710,"261,225,334","27,645,364","233,579,970",10.6,168,0
Accounts Headquarters,704013710,"55,777,754","6,398,450","49,379,304",11.5,169,0
Economic Affairs Headquarters,710013710,"226,569,344","3,799,400","222,769,944",1.7,169,0
Economic Affairs Headquarters,710023710,"14,241,472","561,248","13,680,224",3.9,169,0
Budgetary Supplies Headquarters,712013710,"173,370,546","32,060,523","141,310,023",18.5,169,0
Economic Affairs Headquarters,712023710,"13,387,930","1,406,272","11,981,658",10.5,169,0
Internal Audit Headquarters,712033710,"8,274,100","1,572,200","6,701,900",19.0,169,0
Accounts Headquarters,712053710,"14,723,824","5,771,235","8,952,589",39.2,169,0
Sub-total County Treasury,,"767,570,304","79,214,692","688,355,612",10.3,169,0
County Public Service Board,,,,,,169,0
"General Administration And Planning Head-
quarters",701013710,"18,591,540","1,398,742","17,192,798",7.5,169,0
board services,713013710,"7,759,284","361,625","7,397,659",4.7,169,0
board services,713023710,"6,605,268","506,994","6,098,274",7.7,169,0
board services,714013710,"5,033,614","326,000","4,707,614",6.5,169,0
Sub-total County Public Service Board,,"37,989,706","2,593,361","35,396,345",6.8,169,0
County Assembly,,,,,,169,0
"General Administration And Planning Head-
quarters",701013710,"384,862,314","53,603,759","331,258,555",13.9,169,0
Legislative Department Headquarters,715013710,"622,536,746","122,088,123","500,448,623",19.6,169,0
Sub-total County Assembly,,"1,007,399,060","175,691,882","831,707,178",17.4,169,0
Kitui Municipality,,,,,,169,0
General Administration and Planning,201013710,"15,762,428",-,"15,762,428",0.0,169,0
"General Administration and Planning- Head-
quarters",201013710,"33,995,000","7,492,750","26,502,250",22.0,169,0
"Environment, Culture, Recreation and Com-
munity Development",207013710,"36,394,964","2,675,100","33,719,864",7.4,169,0
"Planning, Development Control, Transport
and Infrastructure - Headquarters",207013710,"18,835,000","2,181,065","16,653,935",11.6,169,0
Finance,207023710,"34,065,000","4,013,335","30,051,665",11.8,169,0
"Trade, Commerce, and Industrialisation",207033710,"14,734,842","811,199","13,923,643",5.5,169,0
"Planning, Development Control, Transport
and Infrastructure",209013710,"151,882,400","68,202,886","83,679,514",44.9,169,0
Sub-total Kitui Municipality,,"305,669,634","85,376,335","220,293,299",27.9,169,0
Mwingi Town Administration,,,,,,169,0
"General Administration and Planning- Head-
quarters",109013710,"12,846,240","337,550","12,508,690",2.6,169,0
"General Administration and Planning- Head-
quarters",201013710,"62,650,500","4,811,744","57,838,756",7.7,169,0
"Planning, Development Control, Transport
and Infrastructure - Headquarters",207013710,"15,826,798","523,458","15,303,340",3.3,169,0
"Planning, Development Control, Transport
and Infrastructure - Headquarters",207023710,"940,400","253,550","686,850",27.0,169,0
"Planning, Development Control, Transport
and Infrastructure - Headquarters",207033710,"5,195,100",-,"5,195,100",0.0,169,0
"General Administration and Planning- Head-
quarters",706013710,"4,816,250","271,555","4,544,695",5.6,169,0
General Administration and Planning,1001013710,"11,008,842","293,200","10,715,642",2.7,169,0
Sub-total Mwingi Town Administration,,"113,284,130","6,491,057","106,793,073",5.7,169,0
Livestock Apiculture and Fisheries,,,,,,169,0
"General Administration And Planning Head-
quarters",101013710,"63,782,780","1,030,122","62,752,658",1.6,169,0
Aquaculture Devt,105013710,"2,630,346","55,280","2,575,066",2.1,169,0
Livestock Devt,106013710,"31,605,882","333,750","31,272,132",1.1,169,0
Livestock Devt,106023710,"32,440,438","511,400","31,929,038",1.6,169,0
"Sub-total Livestock Apiculture and Fisher-
ies",,"130,459,446","1,930,552","128,528,894",1.5,169,0
Lands and Physical Planning,,,,,,169,0
