Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Internal Audit,Internal Audit,"3,862,600","500,000","3,362,600",12.9,86,0
Special Program,Special Program,"170,940,000","94,259,569","76,680,431",55.1,86,0
"General Administration
and Support Services","General Administration
and Support Services","1,437,914,215","439,401,427","998,512,788",30.6,86,0
Donor Coordination,Donor Coordination,"16,780,548","2,280,000","14,500,548",13.6,86,0
,Sub Total,"1,888,634,883","564,508,996","1,324,125,887",29.9,86,0
"Gender, Social Service
and Sport",,,,,,86,0
"General Administration
and Support Services","General Administration
and Support Services","101,411,832","31,012,290","70,399,542",30.6,86,0
Social Protection,Social Protection,"1,025,000",-,"1,025,000",-,86,0
Cinemas,Cinemas,"3,763,600",-,"3,763,600",-,86,0
,Sub Total,"106,200,432","31,012,290","75,188,142",29.2,86,0
Water and Irrigation,,,,,,86,0
"General Administration
and Support Services","General Administration
and Support Services","289,834,613","35,635,000","254,199,613",12.3,86,0
Irrigation Schemes,Irrigation Scheme,"35,000,000",-,"35,000,000",-,86,0
Water Supply Service,Water Infrastructure,"878,000,000","73,551,480","804,448,520",,86,0
,Sub Total,"1,202,834,613","109,186,480","1,093,648,133",9.1,86,0
"Lands, Housing and
Urban Planning",,,,,,86,0
"Urban Sanitation and
Development","Urban Sanitation and
Development","900,000","700,000","200,000",77.8,86,0
"Urban Planning and Di-
saster Management","Urban Planning and Di-
saster Management","11,614,626","5,000,000","6,614,626",43,86,0
"General Administration
and Support Services","General Administration
and Support Services","293,036,738","39,419,379","253,617,359",13.5,86,0
Lands,Lands,"34,000,000","1,400,000","32,600,000",4.1,86,0
Housing,Housing,"22,574,997","7,900,000","14,674,997",35,86,0
