Description (Program and Sub Program),"Approved Bud-
get FY 2021/22","Actual Pay-
ments","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Administration Support Services,"10,000,000",-,"10,000,000",0.0,355,0
Transport Department,"10,250,000",-,"10,250,000",0.0,355,0
Disaster Management,"10,250,000",-,"10,250,000",0.0,355,0
,"89,950,000","4,500,088","85,449,912",5.0,355,0
Street Lighting Services,"89,950,000","4,500,088","85,449,912",5.0,355,0
,,,,,355,0
"Lands, Housing And Physical Planning",,,,,355,0
Administration,"134,716,241","698,910","134,017,331",0.5,355,0
Land Policy And Management,"134,716,241","698,910","134,017,331",0.5,355,0
Physical Planning Section,"376,013,563",-,"376,013,563",0.0,355,0
Crop Development and Management,"277,959,803",-,"277,959,803",0.0,355,0
Land Policy and Management,"98,053,760",-,"98,053,760",0.0,355,0
Survey Section,"1,000,000",-,"1,000,000",0.0,355,0
Land Policy and Management,"1,000,000",-,"1,000,000",0.0,355,0
,,,,,355,0
"Water, Environment, Energy And Natural Resources",,,,,355,0
Administration,"182,952,491","2,409,568","180,542,923",1.3,355,0
Water Supply Services,"182,952,491","2,409,568","180,542,923",1.3,355,0
Environment Section,"46,100,000",-,"46,100,000",0.0,355,0
Rural Electrification,"28,100,000",-,"28,100,000",0.0,355,0
Environmental Management and Protection,"18,000,000",-,"18,000,000",0.0,355,0
Water Section,"297,220,888",-,"297,220,888",0.0,355,0
Water Supply Services,"297,220,888",-,"297,220,888",0.0,355,0
Energy Section,"10,000,000",-,"10,000,000",0.0,355,0
Tourism Development and Marketing,"10,000,000",-,"10,000,000",0.0,355,0
,,,,,355,0
Health Services,,,,,355,0
Administration,"2,253,837,616","462,377,834","1,791,459,782",20.5,355,0
334,,,,,355,0
,Kshs.,Kshs.,Kshs.,Percentage,356,0
Administration And Support Services,"2,001,837,616","462,377,834","1,539,459,782",23.1,356,0
Health Infrastructure,"3,000,000",-,"3,000,000",0.0,356,0
Curative Health Services,"249,000,000",-,"249,000,000",0.0,356,0
Clinical Services,"214,059,005",-,"214,059,005",0.0,356,0
Clinical Services,"214,059,005",-,"214,059,005",0.0,356,0
Prevention And Health Promotion,"5,000,000",-,"5,000,000",0.0,356,0
Public Health Services,"5,000,000",-,"5,000,000",0.0,356,0
,,,,,356,0
"Agriculture, Livestock And Fisheries",,,,,356,0
Administration-,"238,250,651","59,087,601","179,163,050",24.8,356,0
Crop Development and Management,"3,600,000",-,"3,600,000",0.0,356,0
Administration Support Services,"234,650,651","59,087,601","175,563,050",25.2,356,0
Livestock,"5,000,000",-,"5,000,000",0.0,356,0
Crop Development and Management,"5,000,000",-,"5,000,000",0.0,356,0
Agriculture,"442,072,377","23,701,180","418,371,197",5.4,356,0
Livestock Resource Management and Development,"2,500,000",-,"2,500,000",0.0,356,0
Crop Development And Management,"439,572,377","23,701,180","415,871,197",5.4,356,0
Chebororwa Training Center,"991,238",-,"991,238",0.0,356,0
Agricultural Training Services - Chebororwa,"991,238",-,"991,238",0.0,356,0
Agricultural Machinery Service,"36,551,699","294,000","36,257,699",0.8,356,0
Agricultural Mechanization Services,"36,551,699","294,000","36,257,699",0.8,356,0
,,,,,356,0
"Trade, Cooperatives, Tourism And Wildlife",,,,,356,0
Administration-,"90,075,353","20,061,565","70,013,788",22.3,356,0
Administration and Support Services,"90,075,353","20,061,565","70,013,788",22.3,356,0
Trade Department,"74,122,114",-,"74,122,114",0.0,356,0
Trade Development and Investment,"29,850,000",-,"29,850,000",0.0,356,0
Market Services,"44,272,114",-,"44,272,114",0.0,356,0
,,,,,356,0
"Education, Social Cultural, Youth And Sports",,,,,356,0
Administration,"272,474,665","61,376,417","211,098,248",22.5,356,0
Administration and Support Services,"267,474,665","61,376,417","206,098,248",22.9,356,0
Basic Education,"5,000,000",-,"5,000,000",0.0,356,0
Education Department,"253,900,000","4,034,575","249,865,425",1.6,356,0
Basic Education,"241,900,000","4,034,575","237,865,425",1.7,356,0
Early Childhood Education and Training,"12,000,000",-,"12,000,000",0.0,356,0
Department Of Culture,"21,986,715","7,689,480","14,297,235",35.0,356,0
Administration And Support Services,"16,000,000","7,689,480","8,310,520",48.1,356,0
Community Development Services,"5,986,715",-,"5,986,715",0.0,356,0
Social Service Department,"76,230,172",-,"76,230,172",0.0,356,0
Social Development Services,"76,230,172",-,"76,230,172",0.0,356,0
,"5,500,000","149,500","5,350,500",2.7,356,0
Social Development Services,"5,500,000","149,500","5,350,500",2.7,356,0
,,,,,356,0
County Public Service Board,,,,,356,0
Headquarters,"66,049,506","1,605,949","64,443,557",2.4,356,0
Administration And Support Services,"66,049,506","1,605,949","64,443,557",2.4,356,0
,,,,,356,0
County Assembly,,,,,356,0
Headquarters,"807,791,808","138,892,359","668,899,449",17.2,356,0
County Planning And Economic Policy Management,"807,791,808","138,892,359","668,899,449",17.2,356,0
,,,,,356,0
Budget And Economic Planning,,,,,356,0
,"83,163,087","8,325,580","74,837,507",10.0,356,0
County Planning And Economic Policy Management,"83,163,087","8,325,580","74,837,507",10.0,356,0
,"10,600,000",-,"10,600,000",0.0,356,0
County Planning And Economic Policy Management,"10,600,000",-,"10,600,000",0.0,356,0
,"15,000,000",-,"15,000,000",0.0,356,0
County Planning And Economic Policy Management,"15,000,000",-,"15,000,000",0.0,356,0
,Kshs.,Kshs.,Kshs.,Percentage,357,0
,"42,150,000",-,"42,150,000",0.0,357,0
County Planning And Economic Policy Management,"42,150,000",-,"42,150,000",0.0,357,0
,,,,,357,0
Devolution And Public Administration,,,,,357,0
,"278,754,666","10,202,915","268,551,751",3.7,357,0
Administration Support Services,"152,513,277","10,202,915","142,310,362",6.7,357,0
Administration And Support Services,"126,241,389",-,"126,241,389",0.0,357,0
,,,,,357,0
Youth And Sports Development,,,,,357,0
Administration,"174,554,023","20,465,840","154,088,183",11.7,357,0
Administration And Support Services,"174,454,023","20,465,840","153,988,183",11.7,357,0
"Management And Development Of Sports And Sports Facil-
ities","100,000",-,"100,000",0.0,357,0
,"119,954,597",-,"119,954,597",0.0,357,0
Administration and Support Services,"51,900,000",-,"51,900,000",0.0,357,0
Youth Training and Development,"68,054,597",-,"68,054,597",0.0,357,0
,"101,423,638",-,"101,423,638",0.0,357,0
Tourism Development and Marketing,"64,000,000",-,"64,000,000",0.0,357,0
Administration and Support Services,"31,023,638",-,"31,023,638",0.0,357,0
Management and Development of Sports and Sports Facilities,"6,400,000",-,"6,400,000",0.0,357,0
,,,,,357,0
Cooperatives And Enterprise Development,,,,,357,0
Administration,"48,535,077","1,062,978","47,472,099",2.2,357,0
Weights And Measurements,"1,000,000",-,"1,000,000",0.0,357,0
Cooperatives Development and Marketing,"47,535,077","1,062,978","46,472,099",2.2,357,0
,"40,400,000",-,"40,400,000",0.0,357,0
Weights and Measurements,"40,400,000",-,"40,400,000",0.0,357,0
,,,,,357,0
Livestock Development And Fisheries,,,,,357,0
Administration,"61,790,589","1,105,740","60,684,849",1.8,357,0
Crop Development and Management,"61,790,589","1,105,740","60,684,849",1.8,357,0
,"7,000,000",-,"7,000,000",0.0,357,0
Fisheries Development,"7,000,000",-,"7,000,000",0.0,357,0
,"116,537,098",-,"116,537,098",0.0,357,0
Livestock Resource Management and Development,"103,340,000",-,"103,340,000",0.0,357,0
Agribusiness Development,"13,197,098",-,"13,197,098",0.0,357,0
,,,,,357,0
Physical Planning And Urban Development,,,,,357,0
Administration,"36,551,322",-,"36,551,322",0.0,357,0
Housing Development,"36,551,322",-,"36,551,322",0.0,357,0
,"10,890,000","688,576","10,201,424",6.3,357,0
Housing Development,"10,890,000","688,576","10,201,424",6.3,357,0
,"53,554,130",-,"53,554,130",0.0,357,0
Housing Development,"53,554,130",-,"53,554,130",0.0,357,0
,,,,,357,0
Eldoret Municipality,,,,,357,0
Administration,"152,789,998","2,391,118","150,398,880",1.6,357,0
Housing Development,"152,789,998","2,391,118","150,398,880",1.6,357,0
,"50,000",-,"50,000",0.0,357,0
Disaster Management,"50,000",-,"50,000",0.0,357,0
Grand Total,"9,677,712,285","1,100,077,676","7,988,299,072",11.4,357,0
