Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Promotion of Culture and Heritage Services,"Heritage and Library
Services","14,667,800",,"14,667,800",0.0%,368,0
,Sub Total,"791,768,628","71,260,840","720,507,788",9.0%,368,0
"Agriculture, Livestock and Fisheries",,,,,,368,0
Agriculture Services,Agriculture,"218,473,480","52,899,716","165,573,764",24.2%,368,0
"Livestock Resources Management and De-
velopment",Livestock/Veterinary,"707,873,981","150,000","707,723,981",0.0%,368,0
Fisheries Development and Management,Fisheries,"15,436,400","100,000","15,336,400",0.6%,368,0
Irrigation Management Services,Irrigation,"50,734,400",-,"50,734,400",0.0%,368,0
,Sub Total,"992,518,261","53,149,716","939,368,545",5.4%,368,0
"ICT and E-Government, Trade, Industri-
alization and Cooperative Development",,,,,,368,0
Trade Services,Trade,"204,458,180","34,291,945","170,166,235",16.8%,368,0
Industry Service,Industrialization,"6,322,260",-,"6,322,260",0.0%,368,0
Cooperative Service,Cooperative,"22,892,740",-,"22,892,740",0.0%,368,0
ICT Infrastructure,ICT Services,"23,450,000",-,"23,450,000",0.0%,368,0
,Sub Total,"257,123,180","34,291,945","222,831,235",13.3%,368,0
"Public Works, Housing and Physical
Planning",,,,,,368,0
Land Policy,Lands,"69,374,621","8,108,325","61,266,296",11.7%,368,0
Physical Planning,Physical Planning,"162,398,600","500,000","161,898,600",0.3%,368,0
Public Works,Public Works,"96,155,900",-,"96,155,900",0.0%,368,0
,Sub Total,"327,929,121","8,608,325","319,320,796",2.6%,368,0
"Public Services, Special Programs and
Decentralization Unit",,,,,,368,0
"Service Delivery and Performance Manage-
ment",Public Services,"499,448,217","130,671,743","368,776,474",26.2%,368,0
Decentralization Unit,Decentralised units,"82,050,640",,"82,050,640",0.0%,368,0
Public Participation Service,Public Participation,"14,614,000",,"14,614,000",0.0%,368,0
"Conflict, Prevention, Management and Res-
olution",Conflicts Resolution,"17,191,851","6,000,000","11,191,851",34.9%,368,0
"County Executive Services- Intergovern-
mental Relation",Intergovernmental,"8,636,624","500,000","8,136,624",5.8%,368,0
Special Program and Disaster Management,Disaster Management,"75,519,800","250,000","75,269,800",0.3%,368,0
Performance Appraisal Service,"Performance Apprais-
al","14,808,000","500,000","14,308,000",3.4%,368,0
Governance and Ethics,Governance/ ethics,"7,337,600","250,000","7,087,600",3.4%,368,0
,Sub Total,"719,606,732","138,171,743","581,434,989",19.2%,368,0
County Public Service Board,,,,,,368,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","83,595,808","12,224,791","71,371,017",14.6%,368,0
,Sub Total,"83,595,808","12,224,791","71,371,017",14.6%,368,0
WAJWASCO,,,,,,368,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","846,109,130","61,450,810","784,658,320",7.3%,368,0
,Sub Total,"846,109,130","61,450,810","784,658,320",7.3%,368,0
Municipality,,,,,,368,0
"General Administration and support ser-
vices","General Administra-
tion and Support Ser-
vices","357,685,264","94,418,291","263,266,973",26.4%,368,0
,Sub Total,"357,685,264","94,418,291","263,266,973",26.4%,368,0
Grand Total,,"11,585,555,785","1,261,794,336","9,660,183,763",10.9%,368,0
