Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"General administration
and support services","General administration
and support services","60,187,035","4,749,150","55,437,885",7.9,230,0
"Environmental and natural
resource conservation and
management","Natural resource man-
agement","1,500,000",-,"1,500,000",-,230,0
,"Climate change adop-
tion and mitigation","1,500,000",-,"1,500,000",-,230,0
,"Forestry conservation
and development","500,000",-,"500,000",-,230,0
,"Disaster risk manage-
ment services","700,000",-,"700,000",-,230,0
,Fire response services,"600,000",-,"600,000",-,230,0
,Sub-total,"108,647,035","4,749,150","103,897,885",4.4,230,0
"Finance and Economic
Planning",,,,,-,230,0
"Public financial manage-
ment",Accounting services,"188,598,214",-,"188,598,214",-,230,0
"General administrative and
support service","General administration
planning and support
services","405,067,358","42,255,072","362,812,286",10.4,230,0
"Public financial manage-
ment",Audit services,"15,140,000",-,"15,140,000",-,230,0
"Public financial manage-
ment","Supply chain manage-
ment","18,207,570",-,"18,207,570",-,230,0
"Public financial manage-
ment",Resource mobilization,"56,753,148",-,"56,753,148",-,230,0
"Economic policy and
County planning","Budget coordination
and management","9,275,000",-,"9,275,000",-,230,0
,"Policy and plans devel-
opment","71,455,604","5,971,173","65,484,431",8.4,230,0
,"Community develop-
ment","2,936,705",-,"2,936,705",-,230,0
"General administrative and
support service","General administration
planning and support
services","23,215,449",-,"23,215,449",-,230,0
,Sub-total,"790,649,048","48,226,245","742,422,803",6.1,230,0
Health-Medical Services,,,,,-,230,0
"Planning and administra-
tive support services","Health management in-
formative system","6,888,000",-,"6,888,000",-,231,0
,"Administrative and
support services","1,189,592,436","260,870,722","928,721,714",21.9,231,0
,"Infrastructure develop-
ment","104,600,000",-,"104,600,000",-,231,0
,"Standards, quality as-
surance & regulations","2,592,000",-,"2,592,000",-,231,0
"Preventive and promotive
health services","Human nutrition and
dietetics","2,200,000",-,"2,200,000",-,231,0
,"Family& reproductive
health","5,300,000",-,"5,300,000",-,231,0
,"Non-communicable
diseases (NCDs)","3,040,000",-,"3,040,000",-,231,0
,"Maternal child and ado-
lescence health services","2,900,000",-,"2,900,000",-,231,0
"Curative, rehabilitative and
referral services","Pharmaceutical and
non-pharmaceutical
commodities","156,692,500",-,"156,692,500",-,231,0
,"Emergency and referral
services","6,276,000",-,"6,276,000",-,231,0
,Malaria Control,"1,390,000",-,"1,390,000",-,231,0
Pending bills,Pending bills,"56,887,167",-,"56,887,167",-,231,0
,Sub-total,"1,538,358,103","260,870,722","1,277,487,381",17.0,231,0
Health Public Nutrition,,,,,-,231,0
"Planning and administra-
tive support services (Public
Health)","Health management in-
formative system","7,267,520",-,"7,267,520",-,231,0
,"Administrative and
support services","262,839,958",-,"262,839,958",-,231,0
,"Standards, quality as-
surance & regulations","25,656,000",-,"25,656,000",-,231,0
"Preventive and promotive
health services","Community health ser-
vices","23,210,000",-,"23,210,000",-,231,0
,"Sanitation and environ-
mental health services","5,100,000",-,"5,100,000",-,231,0
,"Human nutrition and
dietetics","2,400,000",-,"2,400,000",-,231,0
,"HIV and AIDS manage-
ment","2,940,000",-,"2,940,000",-,231,0
,Disease surveillance,"20,050,000",-,"20,050,000",-,231,0
,Health promotion,"1,700,000",-,"1,700,000",-,231,0
,"Family& reproductive
health","12,500,000",-,"12,500,000",-,231,0
,"Non-communicable
diseases (NCDs)","1,560,000",-,"1,560,000",-,231,0
,"Maternal child and ado-
lescence health services","2,400,000",-,"2,400,000",-,231,0
"Curative, rehabilitative and
referral services","Pharmaceutical and
non-pharmaceutical
commodities","112,000,000",-,"112,000,000",-,231,0
,Malaria Control,"2,880,000",-,"2,880,000",-,231,0
,Tuberculosis Control,"2,200,000",-,"2,200,000",-,231,0
External funding,Donor funds,"19,438,750",-,"19,438,750",-,231,0
,Conditional grants,"193,557,872",-,"193,557,872",-,231,0
Pending bills,Pending bills,"38,092,938",-,"38,092,938",-,231,0
,Sub-total,"735,793,038",-,"735,793,038",-,231,0
"Lands, Housing and Phys-
ical Planning",,,,,-,231,0
"Land resources develop-
ment and management ser-
vices","Land survey and map-
ping services",-,-,-,-,231,0
"General administration
planning and support ser-
vices","Administration support
services","190,475,016","7,925,007","182,550,009",4.2,232,0
"General administration
planning and support ser-
vices","Administration support
services","52,500,000","1,329,106","51,170,894",2.5,232,0
Migori municipality,"Administrative support
services","9,000,000",-,"9,000,000",-,232,0
Rongo municipality,"Administrative support
services","9,000,000",-,"9,000,000",-,232,0
Awendo municipality,"Administrative support
services","9,000,000",-,"9,000,000",-,232,0
Kehancha municipality,"Administrative support
services","10,000,000",-,"10,000,000",-,232,0
,Sub-total,"279,975,016","9,254,113","270,720,903",3.3,232,0
"Public Service Manage-
ment",,,,,-,232,0
"Human capital manage-
ment and development",Human capital strategy,"5,020,000",-,"5,020,000",-,232,0
Pending bills,Pending bills,"80,000,000",-,"80,000,000",-,232,0
"Sub County administration
services","Devolved units devel-
opment services","14,150,000",-,"14,150,000",-,232,0
"General administration
and support services","General administration
and support services","493,266,920","47,999,692","445,267,228",9.7,232,0
"County security and com-
pliance enforcement ser-
vices","Support and adminis-
tration services","40,450,000","625,820","39,824,180",1.5,232,0
"Human capital manage-
ment and development","Information and re-
cords management","2,900,000",-,"2,900,000",-,232,0
"Human capital manage-
ment and development
(Public service board)",Human capital strategy,"27,700,000","308,000","27,392,000",1.1,232,0
,"Public service board
services","21,500,000","595,000","20,905,000",2.8,232,0
"Human capital manage-
ment and development","Information and re-
cords management","2,800,000",-,"2,800,000",-,232,0
"General administration
and support services","General administration
services","65,500,000","4,670,214","60,829,786",7.1,232,0
"General administration
and support services (In-
formation communication
technology)","General administration
and support services","18,500,000",-,"18,500,000",-,232,0
"Information communica-
tion and technology devel-
opment","ICT infrastructure and
connectivity","40,000,000",-,"40,000,000",-,232,0
,"E-governance and ICT
capacity training","6,500,000",-,"6,500,000",-,232,0
,Sub-total,"818,286,920","54,198,726","764,088,194",6.6,232,0
"Roads, Transport and
Public Works",,,,,-,232,0
"Road development, main-
tenance and management","Road network improve-
ment","950,648,991","188,000","39,812,000",0.0,232,0
,Mechanization services,"37,120,000",-,"37,120,000",-,232,0
"Policy, general administra-
tion, planning and support
service","General administration,
planning and support
service","90,974,494","8,467,671","82,506,823",9.3,232,0
,Sub-total,"1,078,743,485","8,655,671","1,070,087,814",0.8,232,0
"Trade Tourism and Coop-
erative Development",,,,,-,232,0
"Trade and markets promo-
tion and development","Trade development and
promotion of SMEs ser-
vices","2,820,000",-,"2,820,000",-,232,0
"Policy, planning and ad-
ministrative support",Administrative support,"184,319,025","8,389,942","175,929,083",4.6,232,0
