Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorp-
tion Rate
(%)",page_number,table_index
"Pre-primary education,
Vocational Education and
Training",,"235,000,000","35,111,675","199,888,325",14.9,133,0
,Early Childhood Development,"235,000,000","35,111,675","199,888,325",14.9,133,0
,Vocational Training Centres,-,-,-,-,133,0
"Culture Gender & Social
Service Development",,"6,000,000",-,"6,000,000",-,133,0
,"Culture, Gender, and Social services","6,000,000",-,"6,000,000",-,133,0
,Sub-Total,"1,205,172,007","141,186,197","1,063,985,810",11.7,133,0
Youth & Sports,,,,,,133,0
"Promotion and develop-
ment of sports",,"275,257,813","29,916,153","245,341,660",10.9,133,0
,"General administration and support
services","275,257,813","29,916,153","245,341,660",10.9,133,0
Youth affairs,,"11,526,320",-,"11,526,320",-,133,0
,Youth affairs,"11,526,320",-,"11,526,320",-,133,0
,Sub-Total,"286,784,133","29,916,153","256,867,980",10.4,133,0
"Lands, Physical Planning & Housing",,,,,,133,0
"Land Management and
Physical Planning; & Hous-
ing Development",,"472,070,216","40,882,572","431,187,644",8.7,133,0
,"General administration and support
services","107,329,827","29,583,924","77,745,903",27.6,133,0
,"Land Management and Physical
Planning","284,740,389",-,"284,740,389",-,133,0
,Housing Development,"80,000,000","11,298,648","68,701,352",14.1,133,0
"Municipal Administration
& Urban Development",,"22,589,438",-,"22,589,438",-,133,0
,"Municipal Administration and Ur-
ban Development","22,589,438",-,"22,589,438",-,133,0
,Sub-Total,"494,659,654","40,882,572","453,777,082",8.3,133,0
"Trade, Tourism, Industry & Co-Operative",,,,,,133,0
112,,,,,,133,0
