Department,Programme,Sub-Programme,"Approved Bud-
get (Kshs.)","Actual Expen-
diture (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Total,,,"78,180,777","2,518,000","75,662,777",3.2,45,0
"Medical Services
and Public Health",Curative Services,Curative Services,"183,391,102",-,"183,391,102",-,45,0
,"Health care financ-
ing – transfers to
health facilities","Health care financing
– transfers to health
facilities","184,408,000","39,364,000","145,044,000",21.3,45,0
,"Health Infrastruc-
ture",Health Infrastructure,"240,407,763",-,"240,407,763",-,45,0
,"Operation & Main-
tenance","Administrative ser-
vices","30,031,842",-,"30,031,842",-,45,0
,"Preventive & Pro-
motive Services","Preventive & Promo-
tive Services","88,129,352","120,500","88,008,852",0.1,45,0
,"Reproductive
Health Services","Reproductive Health
Services","82,760,607",-,"82,760,607",-,45,0
,Salaries & Wages,"Compensation to Em-
ployees","1,219,500,000","73,190,613","1,146,309,387",6.0,45,0
,"Staff Medical Insur-
ance",Policy Development,"3,000,000",-,"3,000,000",-,45,0
Total,,,"2,031,628,666","112,675,113","1,918,953,553",5.5,45,0
"Education and Vo-
cational Training","Early Childhood
Development & Ed-
ucation",Development,"206,510,454","7,104,210","199,406,244",3.4,45,0
,"Operations & Main-
tenance","Use of Goods & Ser-
vices","8,859,590","260,000","8,599,590",2.9,45,0
,"Policy, Planning &
General Adminis-
trative services","Bursaries & Support
Services","56,496,660",-,"56,496,660",-,45,0
,,"Other Transfers (Sup-
port to Polytechnic)","47,000,000",-,"47,000,000",-,45,0
,,Revolving Fund,"20,000,000",-,"20,000,000",-,45,0
Total,,,"338,866,704","7,364,210","331,502,494",2.2,45,0
"Water, Sanitation,
and Environment","Development of
Water Supply for
Domestic & Com-
mercial purposes","Cash Transfer (BIDP
Programme)","60,000,000",-,"60,000,000",-,45,0
,,"Hydrogeological
Surveys, Drilling &
Equipping of bore-
holes & other civil
works","4,185,106",-,"4,185,106",-,45,0
,,Spring protection,"1,000,000",-,"1,000,000",-,45,0
,,"Water harvesting &
storage","91,000,000",-,"91,000,000",-,45,0
,,"Water supply infra-
structure","108,600,000",-,"108,600,000",-,45,0
,"Environmental &
natural resources
protection & con-
servation",Development,"9,100,000",-,"9,100,000",-,45,0
,,"Other Recurrent Ex-
penditure","1,525,000",-,"1,525,000",-,45,0
,,"Policy planning & ad-
ministrative services","1,000,000",-,"1,000,000",-,45,0
,,"Use of Goods & Ser-
vices","8,235,000",-,"8,235,000",-,45,0
,"Irrigation Develop-
ment","Irrigation infrastruc-
ture","1,000,000",-,"1,000,000",-,45,0
,"Operations & Main-
tenance","Other Recurrent Ex-
penditure","9,500,000",-,"9,500,000",-,45,0
,,"Support to Bomet Wa-
ter Company (Grants)","80,000,000","40,000,000","40,000,000",50.0,46,0
,,"Use of Goods & Ser-
vices","20,540,000","576,000","19,964,000",2.8,46,0
,"Policy planning &
administrative ser-
vices","County Water Master
Plan documentation","3,500,000",-,"3,500,000",-,46,0
,,"County water policy
& bill","1,000,000",-,"1,000,000",-,46,0
,"Wastewater man-
agement","Resource mobilization
for proposed Sotik
sewerage project","100,000",-,"100,000",-,46,0
Total,,,"400,285,106","40,576,000","359,709,106",10.1,46,0
"Agriculture, Live-
stock and Veterinary
Services","Crop Development
& Management",Crop Management,"379,822,372",-,"379,822,372",-,46,0
,,"Food & Nutrition Se-
curity","33,000,000",-,"33,000,000",-,46,0
,"Livestock, Fisheries
& Veterinary Ser-
vices","Livestock Develop-
ment","13,000,000",-,"13,000,000",-,46,0
,,Veterinary Services,"36,976,320",-,"36,976,320",-,46,0
,"Operations & Main-
tenance","Other Recurrent Ex-
penditure","2,000,000","500,000","1,500,000",25.0,46,0
,,"Use of Goods & Ser-
vices","14,590,000","2,719,455","11,870,545",18.6,46,0
Total,,,"479,388,692","3,219,455","476,169,237",0.7,46,0
"Roads, Public
Works, and Trans-
port","County Transport
Infrastructure",Development,"16,500,000",-,"16,500,000",-,46,0
,"Development &
Maintenance of
other Public works",Development,"188,000,000",-,"188,000,000",-,46,0
,"Operations & Main-
tenance","Other Recurrent Ex-
penditure","52,500,000",-,"52,500,000",-,46,0
,,"Use of Goods & Ser-
vices","31,173,772",-,"31,173,772",-,46,0
,"Roads Construction
& Maintenance",Development,"455,601,064",-,"455,601,064",-,46,0
Total,,,"743,774,836",-,"743,774,836",-,46,0
"Trade, Energy, Tour-
ism and Industry
and Investment","Industry Develop-
ment","Equipping of Jua Kali
sheds","1,140,000",-,"1,140,000",-,46,0
,,"Industrial Develop-
ment & Support","4,400,000",-,"4,400,000",-,46,0
,"Energy Develop-
ment","Installation & Mainte-
nance of Floodlight &
street lights","11,200,000",-,"11,200,000",-,46,0
,,"Low-Cost Energy Ser-
vices","800,000",-,"800,000",-,46,0
,"Operations & Main-
tenance","Other Recurrent Ex-
penditure","2,050,000",-,"2,050,000",-,46,0
,,"Use of Goods & Ser-
vices","10,073,901",-,"10,073,901",-,46,0
,"Tourism Develop-
ment","Development of The
Tourism Niche Prod-
ucts","5,000,000",-,"5,000,000",-,46,0
,,"Tourism promotion &
exhibition","490,000",-,"490,000",-,46,0
,Trade Development,"Fair Trade & Consum-
er Protection Practices","700,000",-,"700,000",-,46,0
,,Market Development,"14,300,000",-,"14,300,000",-,46,0
Total,,,"50,153,901",-,"50,153,901",-,46,0
