Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"0401004210
P1 Preventive
and Promotive
Health Services","0401044210 SP2 Environmental
and health promotion","115,099,435","13,979,535","101,119,900",12.1,299,0
,0402014210 SP1 Nutrition,"15,014,900",,"15,014,900",0.0,299,0
,"0401054210 SP3 Communicable
Disease Control","94,936,472","18,285,282","76,651,190",19.3,299,0
,"0401064210 SP4 Non-communica-
ble Disease Prevention and Control","35,472,158","11,842,164","23,629,995",33.4,299,0
,"0401074210 SP5 Reproductive,
Maternal, Neonatal, child and
Adolescent Health","64,730,924","16,056,054","48,674,870",24.8,299,0
,Subtotal,"325,253,889","60,163,035","265,090,854",18.5,299,0
"0402004210 P2
Curative Health","0402044210 SP1 County Hospital
and Referral Services","570,109,230","164,309,921","405,799,309",28.8,299,0
,"0402054210 SP2 Free Primary
Health Services","305,601,826","2,315,358","303,286,468",0.8,299,0
,Subtotal,"875,711,056","166,625,279","709,085,777",19.0,299,0
"0403004210
P3 General
Administration
Planning and
Support Services","0403014210 SP1 Health Infrastruc-
ture Development","153,988,340",-,"153,988,340",0.0,300,0
,"0403034210 SP2 Human Resource
Management and Development","72,050,220","15,304,763","56,745,457",21.2,300,0
,"0403044210 SP3 Monitoring and
Evaluation, Research and Devel-
opment","5,137,284",-,"5,137,284",0.0,300,0
,"0403054210 SP4 Health Policy,
Planning, and Financing","24,438,093","610,900","23,827,193",2.5,300,0
,"0403064210 SP5 Health Standards
and Quality Assurance Services","90,987,595","21,402,944","69,584,651",23.5,300,0
,Subtotal,"346,601,532","37,318,607","309,282,925",10.8,300,0
"Department Lands, Housing, Physical Planning and Urban Development",,,,,,300,0
"0101004210
P1 General
Administration
Planning and
Support Services","0101014210 SP1 Administration,
Planning and Support Services","101,169,114",,"101,169,114",0.0,300,0
,Subtotal,"101,169,114",-,"101,169,114",0.0,300,0
"0102004210
P2 Land policy
Planning and
Housing","0102014210 SP1 Land Use Plan-
ning","6,021,006",,"6,021,006",0.0,300,0
,"0102034210 SP2 Land Survey and
Mapping","8,826,752",,"8,826,752",0.0,300,0
,"0102044210 SP3 Housing Manage-
ment Services","882,166",,"882,166",0.0,300,0
,Subtotal,"15,729,924",-,"15,729,924",0.0,300,0
"0106004210 P3
Urban Centres
Administration","0106014210 SP1 Urban Centre
Management","75,885,282",,"75,885,282",0.0,300,0
,Subtotal,"75,885,282",-,"75,885,282",0.0,300,0
"Department Roads, Transport and Public works",,,,,,300,0
"0201004210
P1 General
Administration
Planning and
Support Services","0201014210 SP1 General Admin-
istration Planning and Support
Services","141,705,480","67,200","141,638,280",0.0,300,0
,"0201034210 SP2 Firefighting
Services","68,987,226",-,"68,987,226",0.0,300,0
,"0201044210 SP3 Design, Imple-
mentation and Supervision of
Public Buildings","11,325,634","50,400","11,275,234",0.4,300,0
"0202004210 P2
Roads and public
Infrastructure
Development",Subtotal,"222,018,340","117,600","221,900,740",0.1,300,0
,"0202014210 SP1 Construction,
Rehabilitation and Maintenance of
Roads and Bridges","166,349,542","504,244","165,845,298",0.3,300,0
,"0202024210 SP2 Design, supervi-
sion and rehabilitation of County
Buildings","10,354,650",,"10,354,650",0.0,300,0
,"0202034210 SP3 Street Lights
Management","46,039,954","3,865,402","42,174,552",8.4,300,0
,"0202044210 SP4 Public Road
Transport and Parking","7,438,881",,"7,438,881",0.0,300,0
,Subtotal,"230,183,027","4,369,646","225,813,381",1.9,300,0
"Department Tourism, Trade, Enterprise Development and Cooperatives",,,,,,300,0
"0301004210
P1 General
Administration
Planning and
Support Services","0301014210 SP1 General Admin-
istration Planning and Support
Services","23,122,923","803,184","22,319,739",3.5,300,0
,Subtotal,"23,122,923","803,184","22,319,739",3.5,300,0
