Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Health/Preventive Services,-,-,-,-,-,35,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,35,0
,Support Service,-,-,-,-,35,0
"Curative & Rehabilitative
Services",-,"153,297,872",-,"153,297,872",-,35,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,35,0
,Support Service,"153,297,872",-,"153,297,872",-,35,0
,"Support to County Hospitals
(FIF)",-,-,-,-,35,0
"Preventive & Promotive
Health Services",-,"390,302,096","10,920,246","379,381,850",2.8,35,0
,Infrastructure Development,"390,302,096","10,323,603","379,978,493",2.6,35,0
,"Compensation for User Fees For-
gone",-,"596,643","- 596,643",-,35,0
,Primary Health Care,-,-,-,-,35,0
"General Administration Ser-
vices",-,"75,090,000","3,306,966","71,783,034",4.4,35,0
,"General Administration, Plan-
ning & Support Services","75,090,000","3,306,966","71,783,034",4.4,35,0
"Early Childhood Develop-
ment Education",-,"230,084,664","9,751,071","220,333,593",4.2,35,0
,"Early Childhood Development
Education",-,-,-,-,35,0
,"General Administration, Plan-
ning & Support Services","227,084,664","9,751,071","217,333,593",4.3,35,0
,Support Service,"3,000,000",-,"3,000,000",-,35,0
Vocational Training,-,-,-,-,-,35,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,35,0
"General Administration,
Planning & Support Services",-,"1,800,000",-,"1,800,000",-,35,0
,General Administration Services,"1,800,000",-,"1,800,000",-,35,0
Special Programmes,-,-,-,-,-,36,0
,Secondary Schools Bursary,-,-,-,-,36,0
,"Capitation Allocation on VTC -
Grant",-,-,-,-,36,0
,School Feeding Programme,-,-,-,-,36,0
P1 Office Of The Clerk,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
"General Administration,
Planning & Support Services",-,"466,237,836","10,880,976","455,356,860",2.3,36,0
,Support Service,"364,737,836","10,880,976","353,856,860",3.0,36,0
,General Administrative Services,"101,500,000",-,"101,500,000",-,36,0
P3 Governor’s Office,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
P4 Deputy Governor,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
County Secretary,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
"Tiaty Sub County (Adminis-
tration)",-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
Baringo North Sub County,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
Baringo Central Sub County,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
Baringo South Sub County,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
Mogotio Sub County,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
Eldama Ravine Sub County,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
County Public Service Board,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
General Administration,-,"147,737,654","11,759,298","135,978,356",8.0,36,0
,General Administration,-,"30,100","- 30,100",-,36,0
,"General Administration, Plan-
ning & Support Services","147,737,654","11,729,198","136,008,456",7.9,36,0
,Support Service,-,-,-,-,36,0
,Internal Audit Services,-,-,-,-,36,0
,Emergency Fund,-,-,-,-,36,0
Treasury Accounts,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
KDSP Programme,-,-,-,-,-,36,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,36,0
"Economic Planning, Bud-
get, Monitoring & Evaluation
Services",-,"101,650,000","23,121,993","78,528,007",22.7,36,0
,"General Administration, Plan-
ning & Support Services","101,650,000","23,121,993","78,528,007",22.7,36,0
,"Monitoring & Evaluation Ser-
vices",-,-,-,-,37,0
,"Budget Process & Public Partici-
pation Services",-,-,-,-,37,0
"Revenue Services Develop-
ment Services",-,"238,508,107","557,000","237,951,107",0.2,37,0
,"General Administration, Plan-
ning & Support Services",-,-,-,-,37,0
,Support Service,-,-,-,-,37,0
,Infrastructural Development,"238,508,107","557,000","237,951,107",0.2,37,0
"Civic Education Develop-
ment Services",-,"700,000",-,"700,000",-,37,0
,"Civic Education Development
Services","700,000",-,"700,000",-,37,0
"Inter & Intra -Governmen-
tal Relations Services",-,"7,000,000","1,864,800","5,135,200",26.6,37,0
,"General Administration, Plan-
ning & Support Services","7,000,000","1,864,800","5,135,200",26.6,37,0
,,"3,383,474,273","752,072,171","2,631,402,102",22.2,37,0
,General Administrative Services,"57,229,600","6,961,995","50,267,605",12.2,37,0
,County Secretary,"173,540,370","6,217,839","167,322,531",3.6,37,0
,Deputy Governor,"34,086,339","5,069,670","29,016,669",14.9,37,0
,Legal Services,-,-,-,-,37,0
,"Public Administration & Devolu-
tion Services","3,049,266,167","717,977,226","2,331,288,941",23.5,37,0
,Communication Services,"600,000",-,"600,000",-,37,0
,"Mogotio Sub County Adminis-
tration Services","4,362,377","1,066,000","3,296,377",24.4,37,0
,"Baringo Central Sub County Ad-
ministration Services","4,758,027","896,100","3,861,927",18.8,37,0
,"Baringo North Sub County Ad-
ministration Services","5,086,222","890,000","4,196,222",17.5,37,0
,"Baringo South Sub County Ad-
ministration Services","5,144,000","1,150,151","3,993,849",22.4,37,0
,"Tiaty Sub County Administration
Services","5,278,159","744,500","4,533,659",14.1,37,0
,"County Public Service Board Ser-
vices","39,270,600","9,846,150","29,424,450",25.1,37,0
,"Eldama Ravine Sub County Ad-
ministration Services","4,852,412","1,252,540","3,599,872",25.8,37,0
-,,"387,244,447","10,047,045","377,197,402",2.6,37,0
,"Legislative Representation &
Oversight Services","387,244,447","10,047,045","377,197,402",2.6,37,0
-,,-,-,-,-,37,0
,General Administrative Services,-,-,-,-,37,0
-,,"93,830,507",-,"93,830,507",-,37,0
,ICT Development,"15,630,507",-,"15,630,507",-,37,0
,Infrastructure Development,"78,200,000",-,"78,200,000",-,37,0
,,"24,867,453","3,244,150","21,623,303",13.0,37,0
,"General Administration, Plan-
ning & Support Services","24,867,453","3,244,150","21,623,303",13.0,37,0
,,"143,672,971","8,380,710","135,292,261",5.8,37,0
,"General Administration, Plan-
ning & Support Services","92,572,971","8,380,710","84,192,261",9.1,37,0
,Support Service,"51,100,000",-,"51,100,000",-,37,0
,Gender Mainstreaming,-,-,-,-,37,0
Sports Development,-,"7,175,571",-,"7,175,571",-,37,0
,"General Administration, Plan-
ning & Support Services","7,175,571",-,"7,175,571",-,37,0
,Support Service,-,-,-,-,37,0
-,,"3,500,000",-,"3,500,000",-,37,0
,"Conservation of Cultural Heri-
tage","3,500,000",-,"3,500,000",-,38,0
-,,"59,916,879","10,015,523","49,901,356",16.7,38,0
,"General Administration, Plan-
ning & Support Services","59,916,879","10,015,523","49,901,356",16.7,38,0
-,,"881,213,390",-,"881,213,390",-,38,0
,"General Administration, Plan-
ning & Support Services","871,213,390",-,"871,213,390",-,38,0
,Support Service,-,-,-,-,38,0
,"Water Harvesting Storage &
Flood Control","10,000,000",-,"10,000,000",-,38,0
-,,"37,658,442",-,"37,658,442",-,38,0
,"General Administration, Plan-
ning & Support Services","37,658,442",-,"37,658,442",-,38,0
-,,"43,946,822",-,"43,946,822",-,38,0
,"General Administration ,Plan-
ning & Support Services","5,000,000",-,"5,000,000",-,38,0
,Support Service,"38,946,822",-,"38,946,822",-,38,0
-,,"5,175,000",-,"5,175,000",-,38,0
,"Pipeline Extensions & Rehabilita-
tion, Drilling & Equipping Bore-
hole","5,175,000",-,"5,175,000",-,38,0
-,,"2,800,000",-,"2,800,000",-,38,0
,"Protection of Wildlife Within
Their Habitat","2,800,000",-,"2,800,000",-,38,0
-,,"23,934,809","2,003,190","21,931,619",8.4,38,0
,General Administrative Services,"23,934,809","2,003,190","21,931,619",8.4,38,0
-,,"1,677,500",-,"1,677,500",-,38,0
,Protection of Rivers & Streams,"500,000",-,"500,000",-,38,0
,Soil & Water Conservation,"1,177,500",-,"1,177,500",-,38,0
-,,-,-,-,-,38,0
,"County Forest Conservation &
Management",-,-,-,-,38,0
,Grand Total,"9,947,339,707","1,002,390,653","8,944,949,054",10.1,38,0
