Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)",Absorption (%),page_number,table_index
General Administration,Administration Services,"629,206,011.98","17,971,372.55","611,234,639.43",2.86%,223,0
Total,,"629,206,011.98","17,971,372.55","611,234,639.43",2.86%,223,0
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,223,0
General Administration,General Administration,"596,913,586.00","163,057,876.60","433,855,709.40",27.32%,223,0
"Early Childhood De-
velopment Education(-
ECDE)","Early Childhood Develop-
ment Education(ECDE)","227,350,000.00",,"227,350,000.00",0.00%,224,0
"'Technical and Vocation
Education","'Technical and Vocation Ed-
ucation","62,086,170.00",,"62,086,170.00",0.00%,224,0
"'Gender Mainstreaming
and Social Services","'Gender Mainstreaming and
Social Services","47,000,000.00",,"47,000,000.00",0.00%,224,0
PWD Empowerment,PWD Empowerment,"5,000,000.00",,"5,000,000.00",0.00%,224,0
Total,,"938,349,756.00","163,057,876.60","775,291,879.40",17.38%,224,0
"DEPARTMENT:
HEALTH SERVICES",,,,,,224,0
General Administration,General Administration,"2,580,582,239.00","648,410,568.05","1,932,171,670.95",25.13%,224,0
Curative Health,Curative Health,"742,176,169.00",,"742,176,169.00",0.00%,224,0
"Preventive and Promo-
tive Health","Preventive and Promotive
Health","208,548,409.26",,"208,548,409.26",0.00%,224,0
Total,,"3,531,306,817.26","648,410,568.05","2,882,896,249.21",18.36%,224,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,224,0
General Administration,General Administration,"65,718,847.00","17,313,048.65","48,405,798.35",26.34%,224,0
Lands & Public Works,Lands & Public Works,"143,000,000.00",,"143,000,000.00",0.00%,224,0
"Physical Planning,
House & Urban Devel-
opment","Physical Planning, House &
Urban Development","291,890,200.00",,"291,890,200.00",0.00%,224,0
Meru Municipality,Meru Municipality,"48,500,000.00",,"48,500,000.00",0.00%,224,0
Total,,"549,109,047.00","17,313,048.65","531,795,998.35",3.15%,224,0
DEPARTMENT: PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,224,0
General Administration,General Administration,"14,557,523.74",,"14,557,523.74",0.00%,224,0
"Coordination of County
Government Functions
Sub County","Coordination of County
Government Functions Sub
County","20,818,688.90",,"20,818,688.90",0.00%,224,0
"County Office Accom-
modation and Enforce-
ment Services","County Office Accommoda-
tion and Enforcement Ser-
vices","51,515,122.43","465,000.00","51,050,122.43",0.90%,224,0
Human Resource,Human Resource,"703,482,797.00","106,163,202.35","597,319,594.65",15.09%,224,0
"Office of the County
Attorney",Office of the County Attorney,"78,691,400.00",,"78,691,400.00",0.00%,224,0
"Towns Management &
Administration","Towns Management & Ad-
ministration","4,527,200.00",,"4,527,200.00",0.00%,224,0
Total,,"873,592,732.07","106,628,202.35","766,964,529.72",12.21%,224,0
"DEPARTMENT: 'ROADS, TRANSPORT & ENERGY",,,,,,224,0
"General Administra-
tion-Roads","General Administra-
tion-Roads","999,016,917.00","10,150,871.60","988,866,045.40",1.02%,224,0
Energy,Energy,"101,764,597.00",,"101,764,597.00",0.00%,224,0
Total,,"1,100,781,514.00","10,150,871.60","1,090,630,642.40",0.92%,224,0
"DEPARTMENT: 'TRADE, TOURISM & COOPERATIVES DEVELOPMENT",,,,,,224,0
Headquarters,Headquarters,"62,893,762.00","13,205,787.40","49,687,974.60",21.00%,224,0
"Co-operatives Develop-
ment",Co-operatives Development,"42,000,000.00",,"42,000,000.00",0.00%,224,0
Tourism Development,Tourism Development,"47,000,000.00",,"47,000,000.00",0.00%,224,0
Trade Development,Trade Development,"105,350,000.00",,"105,350,000.00",0.00%,224,0
Total,,"257,243,762.00","13,205,787.40","244,037,974.60",5.13%,224,0
DEPARTMENT: 'YOUTH AFFAIRS & SPORTS,,,,,,224,0
General Administration,General Administration,"37,869,071.00","8,637,884.60","29,231,186.40",22.81%,224,0
Youth Affairs,Youth Affairs,"91,150,000.00","10,000,000.00","81,150,000.00",10.97%,224,0
Sports Development,Sports Development,"37,000,000.00",-,"37,000,000.00",0.00%,224,0
"Arts and Culture Devel-
opment","Arts and Culture Develop-
ment","27,426,211.28",-,"27,426,211.28",0.00%,224,0
