Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,Programme S,ub- Programme
"SP8:Monitoring and Evalua-
tion",,"1,000,000",,"1,000,000",-,55,0,,
"PROGRAMME 4: EDU-
CATIONAL SUPPORT
SCHEME",,,,-,-,55,0,,
"Sp1: Education support and
bursary scheme",,"350,000,000","100,000,000","250,000,000",28.6,55,0,,
TOTAL Education,,"1,655,012,577","259,424,035","1,395,588,542",15.7,55,0,,
"Trade, Energy, and Industri-
alization",,,,-,-,55,0,,
"Trade and Enterprise Devel-
opment",,"1,900,000",,"1,900,000",-,55,0,,
"Market Infrastructure Devel-
opment",,"25,541,750",,"25,541,750",-,55,0,,
"Energy Development and
Management",,"22,780,506",,"22,780,506",-,55,0,,
Salaries and emoluments,,"25,063,211","4,228,061","20,835,150",16.9,55,0,,
"General Administration,
Planning and Support Ser-
vices",,"31,523,605","800,000","30,723,605",2.5,55,0,,
CEF,,"30,846,000",,"30,846,000",-,55,0,,
Supplier’s Credit,,"3,235,741",,"3,235,741",-,55,0,,
Total Expenditure Trade,,"140,890,813","5,028,061","135,862,752",3.6,55,0,,
,,,,-,-,55,0,,
"LANDS AND URBAN
PLANNING",,,,-,-,55,0,,
"Programme 1: General Ad-
ministration, Planning and
Support services",,,,-,-,55,0,,
"SP 1: Institutional account-
ability, efficiency, and effec-
tiveness in service delivery",,"52,944,141","5,318,483","47,625,658",1,55,0,,
"SP 2: Human resource devel-
opment and management",,"5,745,622",,"5,745,622",-,55,0,,
"Programme 2: Land Re-
source Survey/Mapping and
Management",,,-,-,-,55,0,,
SP 1: Land acquisition,,"17,700,000",,"17,700,000",-,55,0,,
"SP 2: Survey of government
land quality control of survey
activities",,"4,000,000",,"4,000,000",-,55,0,,
"Programme 3: County Phys-
ical Planning and Infrastruc-
ture",,,,-,-,55,0,,
"SP 1: Physical Planning and
Urban Development",,-,,-,-,55,0,,
"SP 2: Infrastructural develop-
ment",,-,,-,-,55,0,,
Total Land,,,,-,-,55,0,,
HOUSING DEPARTMENT,,,,-,-,55,0,,
"Programme 1 General Ad-
ministration, Planning and
Support services",,,,-,-,56,0,,
SP 1: salaries and emoluments,,"8,054,246","1,344,085","6,710,161",16.7,56,0,,
SP 2: Administrative Services,,"11,189,854","570,800","10,619,054",5.1,56,0,,
"SP 3: Research and Develop-
ment",,"6,260,298",,"6,260,298",-,56,0,,
"SP 4: Human resource devel-
opment and management",,"939,045",,"939,045",-,56,0,,
"Programme 2 Housing de-
velopment and Human Set-
tlement",,,-,-,-,56,0,,
SP 1: Estate Management,,"2,175,650",,"2,175,650",-,56,0,,
SP 2: Housing Development,,"8,000,000",,"8,000,000",-,56,0,,
sp3: Housing Grant,,"50,000,000",,"50,000,000",-,56,0,,
Total Housing,,,,-,-,56,0,,
"BUNGOMA MUNICIPAL-
ITY",,,,-,-,56,0,,
"Programme I: Urban Econ-
omy, General Administra-
tion, Planning and Support
services",,,,-,-,56,0,,
"SP 1.1: Human Resource
Capacity Development and
Management",,"3,898,202",,"3,898,202",-,56,0,,
"SP 1.2: General Administra-
tion and Support Services",,"5,091,815","552,500","4,539,315",10.9,56,0,,
"SP 1.3: Planning and Financial
Management",,"2,178,239",,"2,178,239",-,56,0,,
