Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.)
"Tourism and Culture
Development Promo-
tion Services","Tourism Development and Pro-
motion Services",,,,0.0,92,0,"19,000,000",-,"19,000,000"
,Sub total,,,,0.0,92,0,"19,000,000",-,"19,000,000"
"Social Development and
Empowerment Services","Gender and Women Empower-
ment",,,,0.0,92,0,"2,000,000",-,"2,000,000"
,Youth Empowerment,,,,0.0,92,0,"9,000,000",,"9,000,000"
,Sub total,,,,0.0,92,0,"11,000,000",-,"11,000,000"
"Management and De-
velopment of Sports and
Sports Facilities","Sports Infrastructure Develop-
ment Services",,,,0.0,92,0,"130,300,000",-,"130,300,000"
,"Sports Management and Talent
Development",,,,0.0,92,0,"15,000,000",-,"15,000,000"
,Sub total,,,,0.0,92,0,"145,300,000",-,"145,300,000"
"Department of Roads, Transport and Public Works",,,,,,92,0,,,
"General Administration,
Planning and Support
Services","Human Resource and Support
Services",,,,8.4,92,0,"35,581,848","3,000,000","32,581,848"
,"Roads and Transport Services Op-
erations",,,,0.0,92,0,"9,623,712",-,"9,623,712"
,Sub total,,,,6.6,92,0,"45,205,560","3,000,000","42,205,560"
"Public works and main-
tenance services",Quality control and Enforcement,,,,0.0,92,0,"567,470",-,"567,470"
,Plant and Machinery maintenance,,,,0.0,92,0,"3,523,540",-,"3,523,540"
,Sub total,,,,0.0,92,0,"4,091,010",-,"4,091,010"
"Road Development and
Maintenance Services","Road Development and Rehabili-
tation services",,,,0.0,92,0,"599,499,400",-,"599,499,400"
,Road maintenance,,,,0.0,92,0,"230,000,006",-,"230,000,006"
,"Plant and Machinery Purchase
and maintenance",,,,0.0,92,0,"80,000,000",--,"80,000,000"
,Sub total,,,,0.0,92,0,"909,499,406",-,"909,499,406"
Transport Services,Development of Jetties,,,,0.0,92,0,"11,862,940",,"11,862,940"
,Sub total,,,,0.0,92,0,"11,862,940",-,"11,862,940"
Department of Energy and Mining,,,,,,92,0,,,
Energy Services,Electrical Power Services,,,,0.0,92,0,"23,000,000",-,"23,000,000"
,Solar Power Services,,,,0.0,92,0,"48,900,000",-,"48,900,000"
,"Low-Cost Energy Technologies
Promotion Services",,,,0.0,92,0,"5,000,000",-,"5,000,000"
,Sub total,,,,0.0,92,0,"76,900,000",-,"76,900,000"
"Mineral Resource Devel-
opment and Marketing
Services","Construction mineral develop-
ment and marketing services",,,,0.0,92,0,"3,800,000",-,"3,800,000"
,Sub total,,,,0.0,92,0,"3,800,000",-,"3,800,000"
"General Administration,
Planning and Support
Services",Administrative Support Services,,,,11.2,92,0,"17,884,228","2,000,000","15,884,228"
,"Development of Policies, Plans,
Regulations, and Legislations",,,,-,92,0,-,-,-
,Sub total,,,,11.2,92,0,"17,884,228","2,000,000","15,884,228"
Department of Education and ICT,,,,,,92,0,,,
"General Administration
and Quality Assurance
Service",General administration Services,,,,0.0,92,0,"33,446,350",-,"33,446,350"
,Quality Assurance Services,,,,20.3,92,0,"511,468,564","104,000,000","407,468,564"
,Sub total,,,,19.1,92,0,"544,914,914","104,000,000","440,914,914"
"ECDE and Vocational
Training Services",EYE Services,,,,0.0,92,0,"65,000,000",-,"65,000,000"
,Vocational Training Services,,,,0.0,92,0,"39,100,000",-,"39,100,000"
,Sub total,,,,0.0,92,0,"104,100,000",-,"104,100,000"
ICT Services,Information Services,,,,-,93,0,-,-,-
,ICT Infrastructure Development,,,,0.0,93,0,"26,000,000",-,"26,000,000"
,Sub total,,,,0.0,93,0,"26,000,000",-,"26,000,000"
Department of Health Services,,,,,,93,0,,,
"Policy planning and ad-
ministrative support
service","Policy, Planning and Monitoring
Services",,,,0.0,93,0,"3,771,000",-,"3,771,000"
,Administrative Support Services,,,,29.7,93,0,"1,923,223,195","571,948,988","1,351,274,207"
,Sub total,,,,29.7,93,0,"1,926,994,195","571,948,988","1,355,045,207"
"Preventive and promo-
tive health services",Community health services,,,,0.0,93,0,"63,650,000",-,"63,650,000"
,Disease control services,,,,0.0,93,0,"47,250,000",-,"47,250,000"
,"Facility infrastructure improve-
ment services",,,,0.0,93,0,"117,000,000",-,"117,000,000"
,Sub total,,,,0.0,93,0,"227,900,000",-,"227,900,000"
"Curative and rehabilita-
tive health services",Routine medical health services,,,,0.0,93,0,"224,173,731",-,"224,173,731"
,"Medical emergency response ser-
vices",,,,0.0,93,0,"18,000,000",-,"18,000,000"
,"Facility infrastructure improve-
ment services",,,,0.0,93,0,"283,300,000",-,"283,300,000"
,Sub total,,,,0.0,93,0,"525,473,731",-,"525,473,731"
"Research and develop-
ment service",Research and surveillance services,,,,0.0,93,0,"2,000,000",-,"2,000,000"
,Capacity development services,,,,0.0,93,0,"3,000,000",-,"3,000,000"
,Sub total,,,,0.0,93,0,"5,000,000",-,"5,000,000"
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,93,0,,,
"General Administration
Services","General administrative support
services",,,,5.5,93,0,"36,675,033","2,000,000","34,675,033"
,General office operations,,,,-,93,0,-,-,-
,Sub total,,,,5.5,93,0,"36,675,033","2,000,000","34,675,033"
"Lands and Physical plan-
ning",Spatial planning Services,,,,0.0,93,0,"35,000,000",-,"35,000,000"
,Survey and Valuation Services,,,,0.0,93,0,"17,999,978",-,"17,999,978"
,"Land Banking and Inventorization
Services",,,,-,93,0,-,-,-
,Sub total,,,,0.0,93,0,"52,999,978",-,"52,999,978"
"Housing and Urban De-
velopment",Housing improvement services,,,,0.0,93,0,"5,857,914",-,"5,857,914"
,Urban Development Services,,,,0.0,93,0,"75,809,978",-,"75,809,978"
,Sub total,,,,0.0,93,0,"81,667,892",-,"81,667,892"
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,93,0,,,
"Planning and
Administrative services","Administrative and Support Ser-
vices",,,,53.2,93,0,"126,008,571","67,000,000","59,008,571"
,"Policy Development and Imple-
mentation Services",,,,0.0,93,0,"6,519,327",-,"6,519,327"
,Sub total,,,,50.6,93,0,"132,527,898","67,000,000","65,527,898"
"Trade, Cooperative and
Entrepreneurship Devel-
opment Service","Cooperative Development Ser-
vices",,,,0.0,93,0,-,-,-
,"Enterprise Development and Pro-
motion Services",,,,0.0,93,0,"12,700,000",-,"12,700,000"
,"Trade Infrastructure Development
Services",,,,0.0,93,0,"40,000,000",-,"40,000,000"
,Sub total,,,,0.0,93,0,"52,700,000",-,"52,700,000"
"Industrial Development
and Investment Services","Value Chain Development Ser-
vices",,,,0.0,93,0,"31,200,000",-,"31,200,000"
,Financial and Investment Services,,,,0.0,93,0,-,-,-
,Sub total,,,,0.0,93,0,"31,200,000",-,"31,200,000"
"Department of Water, Environment and Natural Resources",,,,,,93,0,,,
"General Administrative
Services",Administrative Support Services,,,,11.8,94,0,"58,420,102","6,913,400","51,506,702"
,Policy and Planning Services,,,,0.0,94,0,"55,680,308",-,"55,680,308"
,Sub total,,,,6.1,94,0,"114,100,410","6,913,400","107,187,010"
"Water Supply and Man-
agement Services",Urban Water Supply Services,,,,0.0,94,0,"19,980,000",-,"19,980,000"
,Rural Water Supply Services,,,,0.0,94,0,"251,320,000",-,"251,320,000"
,Industrial water Supply services,,,,0.0,94,0,-,-,-
,"Maintenance of Water Supply Ser-
vices",,,,0.0,94,0,"6,000,000",-,"6,000,000"
,Sub total,,,,0.0,94,0,"277,300,000",-,"277,300,000"
"Environmental Protec-
tion and Management
Services","Pollution and Waste Management
services",,,,0.0,94,0,"21,000,000",-,"21,000,000"
,Forestry Development Services,,,,0.0,94,0,"13,500,000",-,"13,500,000"
,Climate Change Services,,,,0.0,94,0,"10,500,000",-,"10,500,000"
,Sub total,,,,0.0,94,0,"45,000,000",-,"45,000,000"
"Department of Finance, Economic Planning and Service Delivery",,,,,,94,0,,,
"General administration
and support services","Staff Remuneration and Welfare
Support Services",,,,5.5,94,0,"224,042,613","12,257,812","211,784,801"
,"General Logistics, Coordination,
and Asset Management Services",,,,0.0,94,0,"16,177,300",-,"16,177,300"
,"Devolution and Service Delivery
Support Services",,,,0.0,94,0,"15,975,642",-,"15,975,642"
,Sub total,,,,4.8,94,0,"256,195,555","12,257,812","243,937,743"
"Planning, budgeting,
and development coor-
dination services","Economic planning and develop-
ment services",,,,0.0,94,0,"14,914,518",-,"14,914,518"
,Resource Allocation Services,,,,0.0,94,0,"11,989,000",-,"11,989,000"
,"Public Participation Facilitation
Services",,,,0.0,94,0,"33,934,700",-,"33,934,700"
,Sub total,,,,0.0,94,0,"60,838,218",-,"60,838,218"
"Strategy and service de-
livery management ser-
vices","Monitoring and evaluation ser-
vices",,,,0.0,94,0,"4,687,200",-,"4,687,200"
,"Strategy and service delivery im-
provement services",,,,0.0,94,0,"14,711,911",-,"14,711,911"
,Sub total,,,,0.0,94,0,"19,399,111",-,"19,399,111"
"Resource mobilization
services","External Resources Mobilization
Services",,,,0.0,94,0,"18,232,248",-,"18,232,248"
,"Internal Revenue Generation Ser-
vices",,,,0.0,94,0,"53,221,280",-,"53,221,280"
,Sub total,,,,0.0,94,0,"71,453,528",-,"71,453,528"
"Financial management
services","Accounting and Financial Report-
ing Services",,,,0.0,94,0,"20,524,530",-,"20,524,530"
,Audit and Advisory Services,,,,0.0,94,0,"8,956,997",-,"8,956,997"
,Emergency Management Services,,,,0.0,94,0,"100,000,000",-,"100,000,000"
,Sub total,,,,0.0,94,0,"129,481,527",-,"129,481,527"
Executive Services (Office of the Governor),,,,,,94,0,,,
"Public service adminis-
tration support services","Human resource management and
development services",,,,23.6,94,0,"495,883,030","116,879,800","379,003,230"
,Legal Services,,,,0.0,94,0,"5,150,000",-,"5,150,000"
,Sub total,,,,23.3,94,0,"501,033,030","116,879,800","384,153,230"
"Governance and coordi-
nation services","Executive management and liaison
services",,,,0.0,94,0,"89,820,108",-,"89,820,108"
,"Field coordination and adminis-
tration services",,,,0.0,94,0,"77,285,900",-,"77,285,900"
,Sub total,,,,0.0,94,0,"167,106,008",-,"167,106,008"
"Strategy and service de-
livery improvement ser-
vices",Strategy and advisory services,,,,0.0,95,0,"1,283,730",-,"1,283,730"
,Efficiency monitoring services,,,,0.0,95,0,"15,600,550",-,"15,600,550"
,"Information and communication
services",,,,0.0,95,0,"9,185,000",-,"9,185,000"
,Disaster management services,,,,0.0,95,0,"10,090,100",-,"10,090,100"
,Sub total,,,,0.0,95,0,"36,159,380",-,"36,159,380"
County Public Service Board,,,,,,95,0,,,
"Policy, Planning and Ad-
ministration Services",Policy and Planning Services,,,,0.0,95,0,"2,533,400",-,"2,533,400"
,Administrative Support Services,,,,0.0,95,0,"50,022,100",-,"50,022,100"
,"Facility Improvement & Capacity
Strengthening Services",,,,0.0,95,0,"5,000,000",-,"5,000,000"
,Sub total,,,,0.0,95,0,"57,555,500",-,"57,555,500"
"Personnel Sourcing and
Management Services","Recruitment, Selection, and De-
ployment Services",,,,0.0,95,0,"12,906,736",-,"12,906,736"
,"Human Resource Advisory Ser-
vices",,,,0.0,95,0,"8,275,000",-,"8,275,000"
,Capacity Development Services,,,,0.0,95,0,"4,182,500",-,"4,182,500"
,Sub total,,,,0.0,95,0,"25,364,236",-,"25,364,236"
"Performance Manage-
ment Services","Performance Contracting and Ap-
praisal Services",,,,0.0,95,0,"785,000",-,"785,000"
,Sub total,,,,0.0,95,0,"785,000",-,"785,000"
County Assembly Service Board,,,,,,95,0,,,
Legislative Services,Members welfare Support services,,,,9.0,95,0,"300,212,940","27,129,525","273,083,415"
,"Legislative development and ap-
proval services",,,,0.0,95,0,"105,545,286",-,"105,545,286"
,Sub total,,,,6.7,95,0,"405,758,226","27,129,525","378,628,701"
"Oversight and Control
Services",Capacity building services,,,,0.0,95,0,"8,000,000",-,"8,000,000"
,Report writing services,,,,20.0,95,0,"25,000,000","5,000,000","20,000,000"
,"Public participation and education
services",,,,32.1,95,0,"14,000,000","4,500,000","9,500,000"
,Sub total,,,,20.2,95,0,"47,000,000","9,500,000","37,500,000"
"Ward Representation
Services",Staff welfare support services,,,,0.0,95,0,"66,628,836",,"66,628,836"
,Ward operations and maintenance,,,,0.0,95,0,"19,661,760",-,"19,661,760"
,Sub total,,,,0.0,95,0,"86,290,596",-,"86,290,596"
"Policy, Planning and
Administrative support
services",Administrative support services,,,,14.8,95,0,"292,382,983","43,370,475","249,012,508"
,Financial Management Services,,,,0.0,95,0,"197,962,400",-,"197,962,400"
,"Assembly infrastructure develop-
ment Services",,,,0.0,95,0,"122,283,800",--,"122,283,800"
,Sub total,,,,7.1,95,0,"612,629,183","43,370,475","569,258,708"
Homa Bay Municipal Board,,,,,,95,0,,,
"Policy, Planning, Gen-
eral Administration and
Support Services",Policy and Planning Services,,,,0.0,95,0,"4,013,000",-,"4,013,000"
,"Administration and Support Ser-
vices",,,,0.0,95,0,"18,049,013",-,"18,049,013"
,Sub total,,,,0.0,95,0,"22,062,013",-,"22,062,013"
"Urban development ser-
vices","Land Use Planning and Manage-
ment",,,,0.0,95,0,"43,216,000",-,"43,216,000"
,"Infrastructure Development Ser-
vices",,,,0.0,95,0,"56,784,000",-,"56,784,000"
,"Environmental Management Ser-
vices",,,,0.0,95,0,"26,135,430",-,"26,135,430"
,Sub total,,,,0.0,95,0,"126,135,430",-,"126,135,430"
Grand Total,,,,,11.5,95,0,"8,683,608,185","999,747,699","7,663,860,486"
