Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs,) Absorption (%),page_number,table_index,Variance (Kshs),Absorption (%)
"P2: General Administration, Plan-
ning and Support Services","SP2.1 General Admin-
istration and Support
Services","23,376,139","1,523,316",,,80,0,"21,852,823",6.5
"P3: Water Supply and sewerage
Services","SP3.1: Domestic water
supply","105,192,628","6,854,924",,,80,0,"98,337,703",6.5
P4:Irrigation and civil works,"SP4.1: Irrigation and
civil works","65,453,191","4,265,286",,,80,0,"61,187,905",6.5
Sub Total,,"233,761,396","15,233,165",,,80,0,"218,528,231",6.5
YOUTH EMPOWERMENT AND SPORTS,,,,,,80,0,,
"P1: Youth Development and Em-
powerment Services","SP5.1:Youth Develop-
ment and Empower-
ment Services","37,767,254","581,858",,,80,0,"37,185,396",1.5
"P2: Management and develop-
ment of Sport and Sport facilities","SP5.1: Community
Sports programme","30,213,803","465,486",,,80,0,"29,748,317",1.5
"P3: General Administration Plan-
ning and Support Services","SP3.1: General Admin-
istration services","7,553,451","116,372",,,80,0,"7,437,079",1.54
Sub Total,,"75,534,508","1,163,716",,,80,0,"74,370,792",1.5
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,80,0,,
"P1: Financial Management Ser-
vices","SP1.1: Revenue Man-
agement Services","5,472,057","99,861",,,80,0,"5,372,195",1.8
,"SP1.2: Revenue Man-
agement Services","24,527,943","447,619",,,80,0,"24,080,325",1.8
Sub Total,,"30,000,000","547,480",,,80,0,"29,452,520",1.8
COUNTY ASSEMBLY,,,,,,80,0,,
"P: 1: General Administration
Planning and Support Services","SP: 1: General Admin-
istration Planning and
Support Services","306,132,471","45,904,976",,,80,0,"260,227,495",15
P: 1: Legislation,SP: 1: Legislation,"492,937,302","52,850,246",,,80,0,"440,087,056",10.7
Sub Total,,"799,069,773","98,755,222",,,80,0,"700,314,551",12.4
Grand Total,,"6,898,114,500","840,572,566",,,80,0,"6,057,541,934",12.2
