Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,Approved Budget (Kshs),Variance
702044110,"Production of County
Newspaper and Newsletter",,-,,-,343,0,"1,606,662","1,606,662"
,"Donor/ Investor engage-
ment",,"586,140",,4.4,343,0,"13,275,924","12,689,784"
703014110,"Public-Private Partnership
Initiatives (PPPs)",,-,,-,343,0,"1,248,200","1,248,200"
703024110,"Political and Intergovern-
mental Advisory Services",,-,,-,343,0,"2,042,124","2,042,124"
703034110,Legal Advisory Services,,-,,-,343,0,"1,248,200","1,248,200"
703044110,"Security and cross border
Advisory Services",,"364,340",,29.2,344,0,"1,248,200","883,860"
703054110,"Oil And Gas Advisory Ser-
vice",,"221,800",,17.8,344,0,"1,248,200","1,026,400"
703064110,"Gender and Partnership Ad-
visory Services",,-,,-,344,0,"1,248,200","1,248,200"
703074110,Special Interest groups,,-,,-,344,0,"1,248,200","1,248,200"
703084110,"Climate Change advisory
services",,-,,-,344,0,"1,248,200","1,248,200"
703094110,"Education and youth Advi-
sory services",,-,,-,344,0,"1,248,200","1,248,200"
703104110,"Culture, Arts and Heritage
advisory services",,-,,-,344,0,"1,248,200","1,248,200"
,"Security and Peace Build-
ing",,"5,141,600",,2.1,344,0,"242,737,460","237,595,861"
704014110,"Community Cohesion and
Resettlement",,"841,680",,4.2,344,0,"20,260,751","19,419,071"
704024110,"Operationalization of peace
building structures and in-
stitutions",,"3,869,120",,5.9,344,0,"65,679,345","61,810,226"
704034110,"Resettlement Infrastructural
Programme",,-,,-,344,0,"118,664,912","118,664,912"
704044110,"Cross Border peace divi-
dends programme",,"430,800",,1.1,344,0,"38,132,452","37,701,652"
,"Government Communica-
tion and Media relations",,"3,267,597",,4.6,344,0,"70,923,767","67,656,170"
705014110,"Acquiring & development
of communication systems/
equipment",,"299,800",,2.9,344,0,"10,450,000","10,150,200"
705024110,Bills,,-,,-,344,0,"33,000,000","33,000,000"
705034110,Policies,,"2,967,797",,27.3,344,0,"10,870,000","7,902,203"
705044110,"Development and Imple-
mentation of ICT Policy
and Regulations",,-,,-,344,0,"4,603,767","4,603,767"
705054110,"Acquisition of Information
Systems and Equipment",,-,,-,344,0,"12,000,000","12,000,000"
,"Revenue Collection Sys-
tems",,"1,516,200",,1.0,344,0,"147,079,652","145,563,452"
706024110,"Feasibility Study on Reve-
nue Base",,"1,516,200",,19.0,344,0,"8,000,774","6,484,574"
706034110,"Awareness and Campaigns
on Revenue.",,-,,-,344,0,"7,074,000","7,074,000"
706044110,"Motorbikes for Revenue
Officers 30 No.",,-,,-,344,0,"13,900,000","13,900,000"
706054110,"Strengthening Revenue
Systems",,-,,-,344,0,"43,866,048","43,866,048"
706064110,"Revenue Forecast and Rev-
enue Budget Preparation",,-,,-,344,0,"4,238,830","4,238,830"
706074110,"Completion of Lokiriama
Revenue Centre",,-,,-,344,0,"70,000,000","70,000,000"
,"Accountability and Trans-
parency",,"6,062,540",,3.6,344,0,"166,495,001","160,432,461"
707014110,Internal Audit,,-,,-,344,0,"7,500,000","7,500,000"
707024110,Procurement systems,,-,,-,344,0,"5,000,000","5,000,000"
707044110,IFMIS training,,"1,388,500",,16.3,344,0,"8,495,001","7,106,501"
707064110,"Financial Reporting/Re-
search and Development",,"4,674,040",,10.3,344,0,"45,500,000","40,825,960"
707074110,"Modern Fencing, Gate and
Parking Yards for County
Treasury Office",,-,,-,344,0,"100,000,000","100,000,000"
,"Social and Financial Secu-
rity",,"990,600",,7.9,344,0,"12,514,655","11,524,055"
708014110,"Assurance and Insurance of
Govt. Assets",,-,,-,345,0,"2,367,783","2,367,783"
708024110,"Liability and Debt Manage-
ment",,"360,000",,10.2,345,0,"3,541,858","3,181,858"
708034110,"Turkana SACCO Seed Cap-
ital",,"630,600",,9.5,345,0,"6,605,014","5,974,414"
,"Planning and Policy formu-
lation",,"5,770,300",,3.2,345,0,"182,757,038","176,986,738"
709014110,"Economic Policy formula-
tion and Dissemination",,"832,300",,6.4,345,0,"12,909,537","12,077,237"
709024110,"CIDP review and Dissemi-
nation",,-,,-,345,0,"1,782,877","1,782,877"
709034110,"Budget preparation and
Dissemination",,"4,938,000",,4.4,345,0,"112,815,048","107,877,048"
709054110,"County Budget and Eco-
nomic Forums",,-,,-,345,0,"41,335,165","41,335,165"
709064110,"Public Participation and
Access to Information",,-,,-,345,0,"9,800,000","9,800,000"
709074110,Waste Management,,-,,-,345,0,"2,040,156","2,040,156"
709104110,Sector Plans Devt,,-,,-,345,0,"2,074,255","2,074,255"
,"Development coordination
Programme",,"888,556",,8.1,345,0,"10,908,765","10,020,209"
710014110,Donor scan/Mapping,,"713,556",,19.0,345,0,"3,750,749","3,037,193"
710024110,"Establishment of develop-
ment committees",,"175,000",,5.5,345,0,"3,205,208","3,030,208"
710034110,"Training of the develop-
ment committees",,-,,-,345,0,"1,984,446","1,984,446"
710044110,"Formulation and Develop-
ment of TCPSB Boardroom
ICT Infrastructure",,-,,-,345,0,"1,968,362","1,968,362"
,Monitoring and Evaluation,,-,,-,345,0,"18,776,748","18,776,748"
711014110,"Soft wares( E-ProMIS, GIS
e.t.c)",,-,,-,345,0,"12,192,598","12,192,598"
711024110,"Field visits, data collection
and Reporting",,-,,-,345,0,"2,349,621","2,349,621"
711034110,"Training and Knowledge
management",,-,,-,345,0,"2,371,789","2,371,789"
711044110,"Devolved Monitoring and
Evaluation Committees",,-,,-,345,0,"1,862,740","1,862,740"
,"Public Participation and
Access to Information",,"2,390,300",,8.1,345,0,"29,656,119","27,265,819"
712014110,"Construction of Citizen Re-
source Centre",,"630,600",,12.6,345,0,"4,986,024","4,355,424"
712024110,Web site Development,,"591,000",,7.1,345,0,"8,370,674","7,779,674"
712034110,"Social Budgeting and Gen-
eration of SIR Reports",,-,,-,345,0,"2,492,453","2,492,453"
712044110,Intergovernmental Relation,,"748,300",,6.3,345,0,"11,860,000","11,111,700"
712054110,"Strategy Development, Re-
view, Support and Opera-
tionalization",,"420,400",,21.6,345,0,"1,946,968","1,526,568"
,County Statistical Unit,,-,,-,345,0,"31,130,995","31,130,995"
713014110,"Soft wares, databases and
tools",,-,,-,345,0,"19,080,995","19,080,995"
713024110,Capacity Development,,-,,-,345,0,"6,107,460","6,107,460"
713044110,"Project Mgt Information
System",,-,,-,345,0,"5,942,540","5,942,540"
,"Service Delivery- ISO Cer-
tification",,"609,900",,4.8,345,0,"12,765,582","12,155,682"
714014110,Service Charter,,"609,900",,12.3,345,0,"4,964,629","4,354,729"
714024110,"Development of County
Filing Systems",,-,,-,345,0,"5,356,880","5,356,880"
714034110,"Procedure Manual and
Training",,-,,-,346,0,"2,444,073","2,444,073"
,"County Internship Pro-
gramme",,"546,000",,2.6,346,0,"21,160,099","20,614,099"
715014110,"County Internship Pro-
gramme",,"546,000",,2.6,346,0,"21,160,099","20,614,099"
,"Operationalization of De-
centralized Units",,"185,000",,0.1,346,0,"133,022,394","132,837,394"
717014110,"Operationalization of De-
centralized Units",,-,,-,346,0,"15,105,000","15,105,000"
717024110,"Decentralized County Pol-
icy",,"185,000",,0.3,346,0,"70,417,394","70,232,394"
717034110,Coordinated development,,-,,-,346,0,"15,000,000","15,000,000"
717044110,"Policy sensitisation and dis-
semination",,-,,-,346,0,"32,500,000","32,500,000"
,"Mainstream Public Sector
Integrity programme & Ac-
countability",,"371,665",,5.7,346,0,"6,572,328","6,200,663"
718014110,"Mainstream Public Sector
Integrity programme & Ac-
countability",,-,,-,346,0,"1,358,825","1,358,825"
718024110,"Public Evaluation on Coun-
ty Public Service Board
Performance &Cus",,-,,-,346,0,"2,063,640","2,063,640"
718034110,"Human Resource Confer-
ence & Symposium",,"371,665",,21.5,346,0,"1,724,709","1,353,044"
718044110,"Exit Meetings Per Depart-
ment",,-,,-,346,0,"1,425,154","1,425,154"
,Disaster Risk Reduction,,"1,657,160",,14.2,346,0,"11,667,654","10,010,494"
719014110,"Turkana County Drought
and Disater Contigency
Fund (CDDCF)",,"457,160",,18.9,346,0,"2,417,341","1,960,181"
719024110,Turkana Multi hazard/Risk,,"164,000",,10.3,346,0,"1,600,000","1,436,000"
719034110,"Assessment and stake hold-
er capacity mapping",,"758,800",,13.7,346,0,"5,519,959","4,761,159"
719044110,"Regular Assessments of
Food,Flood and Conflict
Security",,"277,200",,13.0,346,0,"2,130,354","1,853,154"
,Human resource,,"2,100,375",,16.8,346,0,"12,487,654","10,387,279"
720014110,Scheme of service,,"386,800",,22.8,346,0,"1,697,226","1,310,426"
720024110,Performance Appraisal,,"406,000",,13.9,346,0,"2,923,266","2,517,266"
720034110,"Enhancing Leadership In
County Public Service",,"211,400",,16.4,346,0,"1,285,407","1,074,007"
720044110,"Review and Development
of HR Policies",,"308,000",,24.4,346,0,"1,263,171","955,171"
720054110,"Human Resource Develop-
ment/Career Progression",,"230,175",,17.0,346,0,"1,351,206","1,121,031"
720064110,"Performance Management
Monitoring",,"189,950",,21.8,346,0,"870,096","680,146"
720074110,"Development of Database
Filing System",,"196,375",,18.8,346,0,"1,046,421","850,046"
720084110,"County Public Service
Pre-Retirement Sensitiza-
tion",,-,,-,346,0,"981,562","981,562"
720094110,"Evaluation of Different
Cadres of Employees(Pro-
motion,Re-Designation)",,"171,675",,16.1,346,0,"1,069,299","897,624"
,"Quality management sys-
tem programming",,"972,200",,17.4,346,0,"5,590,876","4,618,676"
723014110,"Quality Management Sys-
tems Development & Es-
tablishment",,"371,600",,16.0,346,0,"2,323,475","1,951,875"
723024110,"QMS Audit /Routine In-
spection",,"378,000",,24.2,347,0,"1,562,286","1,184,286"
723034110,"Documentation/Record
Management For QMS",,"222,600",,13.1,347,0,"1,705,115","1,482,515"
,Budgetary Supply,,"1,744,900",,1.6,347,0,"112,185,942","110,441,042"
724014110,"Budget Formulation, Co-or-
dination and Management",,"1,744,900",,2.5,347,0,"69,679,889","67,934,989"
724024110,"Public Participation in Bud-
geting",,-,,-,347,0,"34,100,000","34,100,000"
724034110,"County Budget and Eco-
nomic Forum",,-,,-,347,0,"8,406,053","8,406,053"
,Resource Mobilisation,,-,,-,347,0,"6,188,053","6,188,053"
725014110,Resource Mobilisation,,-,,-,347,0,"6,188,053","6,188,053"
,Governors Press Service,,-,,-,347,0,"7,392,958","7,392,958"
727014110,Governors Press support,,-,,-,347,0,"7,392,958","7,392,958"
,"Governance and Public par-
ticipation",,"706,380",,0.9,347,0,"74,961,363","74,254,983"
728014110,Civic education Programme,,-,,-,347,0,"2,000,000","2,000,000"
728024110,"Public Participation and ac-
cess to information",,"706,380",,1.1,347,0,"65,461,363","64,754,983"
728034110,County Dialogue Forum,,-,,-,347,0,"2,000,000","2,000,000"
