Programme,Sub-Programme,Approved Budget,Actual Payments,Variance,Expenditure %,page_number,table_index
"Department of Lands, Physical Planning and Housing",Survey and Mapping,"5,390,000","262,732","5,127,268",4.9,229,0
Infrastructure,,"2,299,393,628","42,043,456","2,257,350,172",1.8,229,0
Infrastructure,"Rehabilitation of Roads, Drainage and Bridges","2,291,793,628","41,890,956","2,249,902,672",1.8,229,0
Infrastructure,"Rehabilitation and construction of Transport ter-
minals","100,000",-,"100,000",0,229,0
Infrastructure,"Design, Supervision and Rehabilitation of County
Buildings","2,750,000",-,"2,750,000",0,229,0
Infrastructure,Firefighting and Emergency Services,"4,750,000","152,500","4,597,500",3.2,229,0
Infrastructure,,"95,050,000","47,500,000","47,550,000",50,229,0
Infrastructure,"Installation, Maintenance and Rehabilitation of
lighting","95,050,000","47,500,000","47,550,000",50,229,0
Infrastructure,,"492,269,093","12,628,965","479,640,128",2.6,229,0
Infrastructure,Administration & Personnel,"492,269,093","12,628,965","479,640,128",2.6,229,0
Infrastructure,System Support,-,-,-,,229,0
Infrastructure,,"14,892,500","172,800","14,719,700",1.2,229,0
Infrastructure,Functional & Technical Support Centre-Help Desk,"14,892,500","172,800","14,719,700",1.2,229,0
Infrastructure,,"16,600,000",-,"16,600,000",0,229,0
Infrastructure,Networking Infrastructure,"16,600,000",-,"16,600,000",0,229,0
Infrastructure,Hardware & Software Platforms,-,-,-,,229,0
Infrastructure,,-,-,-,,229,0
Infrastructure,Administration and Support Services,-,-,-,,229,0
Infrastructure,,"10,000,000",-,"10,000,000",0,229,0
Infrastructure,"Construction & Maintenance of Non Residential
County Buildings","10,000,000",-,"10,000,000",0,229,0
Infrastructure,"Installation, Rehabilitation & Maintenance of
Lighting Facilities",-,-,-,,229,0
Infrastructure,,"10,000,000",-,"10,000,000",0,229,0
Infrastructure,Fire Fighting,"10,000,000",-,"10,000,000",0,229,0
Infrastructure,,-,-,-,,229,0
Infrastructure,E-Government Services,-,-,-,,229,0
Infrastructure,,"10,000,000",-,"10,000,000",0,229,0
Infrastructure,Education Developments,"10,000,000",-,"10,000,000",0,229,0
Infrastructure,,"85,152,126",-,"85,152,126",0,229,0
Infrastructure,Revitalization of Youth Programme,"85,152,126",-,"85,152,126",0,229,0
Infrastructure,,"96,307,999","1,646,600","94,661,399",1.7,229,0
Infrastructure,Administration Services,"96,307,999","1,646,600","94,661,399",1.7,229,0
"Trade, Cooperatives and Tourism",,"13,840,000","735,000","13,105,000",5.3,229,0
"Trade, Cooperatives and Tourism",Enhance Marketing Co-operatives,"13,840,000","735,000","13,105,000",5.3,229,0
"Trade, Cooperatives and Tourism",SACCO members' empowerment,-,-,-,,229,0
"Trade, Cooperatives and Tourism",,"12,410,000","100,000","12,310,000",0.8,229,0
"Trade, Cooperatives and Tourism",Business Development Services for MSE's,"10,980,000",-,"10,980,000",0,229,0
"Trade, Cooperatives and Tourism",Producer Business Groups,-,-,-,,229,0
"Trade, Cooperatives and Tourism",Consumer protection,"1,430,000","100,000","1,330,000",7,229,0
"Trade, Cooperatives and Tourism",,"239,590,748","14,859,250","224,731,498",6.2,229,0
"Trade, Cooperatives and Tourism",Rehabilitation of existing markets,"239,590,748","14,859,250","224,731,498",6.2,229,0
"Trade, Cooperatives and Tourism","Development of Retail and Wholesale Market in
Nakuru",-,-,-,,229,0
"Trade, Cooperatives and Tourism",,(Kshs.),(Kshs.),(Kshs.),,230,0
"Trade, Cooperatives and Tourism",,"720,000",-,"720,000",0,230,0
"Trade, Cooperatives and Tourism","Establish & Management of County Tourism In-
formation Centre","720,000",-,"720,000",0,230,0
Department of Health Services,,"451,484,867",-,"451,484,867",0,230,0
Department of Health Services,Community Health Strategy,-,-,-,,230,0
Department of Health Services,Environmental Health and Sanitation Program,"2,300,000",-,"2,300,000",0,230,0
Department of Health Services,Health Promotive Services,"449,184,867",-,"449,184,867",0,230,0
Department of Health Services,,"2,602,690,878","102,470,595","2,500,220,283",3.9,230,0
Department of Health Services,"Provision of Essential Health Services in all the
Levels.","2,602,690,878","102,470,595","2,500,220,283",3.9,230,0
Department of Health Services,,"3,768,702,475","9,235,578","3,759,466,897",0.2,230,0
Department of Health Services,Health Infrastructure Development,"2,000,000",-,"2,000,000",0,230,0
Department of Health Services,Human Resources for health,"3,766,702,475","9,235,578","3,757,466,897",0.2,230,0
Department of Health Services,Research and Development,-,-,-,,230,0
Department of Health Services,,"900,568,153","4,488,203","896,079,950",0.5,230,0
Department of Health Services,Administration,"900,568,153","4,488,203","896,079,950",0.5,230,0
Department of Education Culture ICT and,,"117,308,408","222,450","117,085,958",0.2,230,0
Department of Education Culture ICT and,Promotion of Early Childhood Education,"92,361,886","123,050","92,238,836",0.1,230,0
Department of Education Culture ICT and,Bursaries,-,-,-,,230,0
Department of Education Culture ICT and,Promotion of Quality Youth Empowerment,"24,946,522","99,400","24,847,122",0.4,230,0
Department of Education Culture ICT and,,"10,414,075",-,"10,414,075",0,230,0
Department of Education Culture ICT and,Education Emergency Kitty,"10,414,075",-,"10,414,075",0,230,0
Department of Education Culture ICT and,,"20,000,000",-,"20,000,000",0,230,0
Department of Education Culture ICT and,Infrastructure Improvement,"20,000,000",-,"20,000,000",0,230,0
Department of Education Culture ICT and,,"79,835,808","70,200","79,765,608",0.1,230,0
Department of Education Culture ICT and,ICT Infrastructure and Connectivity,"79,835,808","70,200","79,765,608",0.1,230,0
Department of Finance and Economic Planning,,"544,683,611","13,759,290","530,924,321",2.5,230,0
Department of Finance and Economic Planning,"Budget Formulation Coordination and manage-
ment","45,431,751","6,439,200","38,992,551",14.2,230,0
Department of Finance and Economic Planning,Resource Mobilization,"68,979,717","2,380,890","66,598,827",3.5,230,0
Department of Finance and Economic Planning,Internal Audit,"35,189,523","3,203,900","31,985,623",9.1,230,0
Department of Finance and Economic Planning,Procurement,"13,610,497","1,072,700","12,537,797",7.9,230,0
Department of Finance and Economic Planning,Public finance and Accounting,"16,669,300","473,600","16,195,700",2.8,230,0
Department of Finance and Economic Planning,Debt Management,"364,802,823","189,000","364,613,823",0.1,230,0
Department of Finance and Economic Planning,,"198,711,833","1,786,400","196,925,433",0.9,230,0
Department of Finance and Economic Planning,Fiscal Planning,"192,256,477","1,286,400","190,970,077",0.7,230,0
Department of Finance and Economic Planning,"Monitoring & Evaluation /Statistical Data Man-
agement","6,455,356","500,000","5,955,356",7.7,230,0
Public Service Management,,"1,533,429,096","45,660,804","1,487,768,292",3,230,0
Public Service Management,Administration Services,"1,533,429,096","45,660,804","1,487,768,292",3,230,0
Public Service Management,Financial Services,-,-,-,,230,0
Public Service Management,"Co-Ordination of Public and Special Community
Programmes",-,-,-,,230,0
Public Service Management,ICT Support Services,-,-,-,,230,0
Public Service Management,,"72,176,746","4,110,500","68,066,246",5.7,230,0
Public Service Management,Legal Service to County Government & Public,"20,288,457","4,110,500","16,177,957",20.3,230,0
Public Service Management,Rehabilitation of Sub-County Offices,"51,888,289",-,"51,888,289",0,230,0
County Assembly,,"21,250,000","606,971","20,643,030",2.9,230,0
County Assembly,Public Sector Management,"21,250,000","606,971","20,643,030",2.9,230,0
County Assembly,,(Kshs.),(Kshs.),(Kshs.),,231,0
County Assembly,,"654,569,247","61,178,129","593,391,118",9.3,231,0
County Assembly,Procedures and Committee Services,"654,569,247","61,178,129","593,391,118",9.3,231,0
County Assembly,County Ward Offices,-,-,-,,231,0
County Assembly,Hansard Services,-,-,-,,231,0
County Assembly,,"599,839,279","15,021,552","584,817,727",2.5,231,0
County Assembly,Finance and Budget,"599,839,279","15,021,552","584,817,727",2.5,231,0
Office of the Governor and Deputy Governor,,"299,361,442","1,522,300","297,839,142",0.5,231,0
Office of the Governor and Deputy Governor,"Administration and Coordination of County Af-
fairs","299,361,442","1,522,300","297,839,142",0.5,231,0
Office of the Governor and Deputy Governor,,"33,522,400",-,"33,522,400",0,231,0
Office of the Governor and Deputy Governor,"County Planning and Development Coordination
Services",-,-,-,,231,0
Office of the Governor and Deputy Governor,Organisation of County Business,"33,522,400",-,"33,522,400",0,231,0
Office of the Governor and Deputy Governor,,"80,976,716",-,"80,976,716",0,231,0
Office of the Governor and Deputy Governor,"Economic, Social and Political Advisory Services","80,976,716",-,"80,976,716",0,231,0
"Environment, Water Energy and Natural Resources",,"252,071,636","17,315,391","234,756,245",6.9,231,0
"Environment, Water Energy and Natural Resources",Administration,"252,071,636","17,315,391","234,756,245",6.9,231,0
"Environment, Water Energy and Natural Resources",,"14,457,014","786,226","13,670,788",5.4,231,0
"Environment, Water Energy and Natural Resources",Pollution Control & Monitoring,"14,457,014","786,226","13,670,788",5.4,231,0
"Environment, Water Energy and Natural Resources",,"4,450,000","203,280","4,246,720",4.6,231,0
"Environment, Water Energy and Natural Resources",Forest Resources Management & Climate Change,"4,450,000","203,280","4,246,720",4.6,231,0
"Environment, Water Energy and Natural Resources",,"1,123,805,502","67,204,296","1,056,601,206",6,231,0
"Environment, Water Energy and Natural Resources",Water Provision & Drilling of Boreholes,"1,123,805,502","67,204,296","1,056,601,206",6,231,0
"Environment, Water Energy and Natural Resources",Water Resources & Sewerage Services,-,-,-,,231,0
"Environment, Water Energy and Natural Resources",,"25,561,890","284,100","25,277,790",1.1,231,0
"Environment, Water Energy and Natural Resources",Rehabilitation of Council Houses,"15,561,890","284,100","15,277,790",1.8,231,0
"Environment, Water Energy and Natural Resources",Housing Technology Transfer,"10,000,000",-,"10,000,000",0,231,0
"Culture, Youth, Gender and Social services",,"77,940,000","1,440,759","76,499,241",1.8,231,0
"Culture, Youth, Gender and Social services",Cultural Development Services,-,-,-,,231,0
"Culture, Youth, Gender and Social services","Promotion of Culture, Arts and Talents","11,180,000","1,073,860","10,106,140",9.6,231,0
"Culture, Youth, Gender and Social services",Social Development Programs,"33,880,000","262,400","33,617,600",0.8,231,0
"Culture, Youth, Gender and Social services","Rehabilitation of Social Halls, Libraries, Parks and
Academies","32,880,000","104,499","32,775,501",0.3,231,0
"Culture, Youth, Gender and Social services",,-,-,-,,231,0
"Culture, Youth, Gender and Social services",Rehabilitation of Stadia,-,-,-,,231,0
"Culture, Youth, Gender and Social services",,"10,000,000",-,"10,000,000",0,231,0
"Culture, Youth, Gender and Social services","Strategic Project Monitoring and interven-
tion(Ending Drought Emergency)","10,000,000",-,"10,000,000",0,231,0
"Culture, Youth, Gender and Social services",,-,-,-,,231,0
"Culture, Youth, Gender and Social services",Electric Fence Installation Initiative,-,-,-,,231,0
"Culture, Youth, Gender and Social services",Grand Total,"19,177,271,055","535,330,688","18,641,940,367",2.8,231,0
