Programme,Sub-Programme,"Approved Esti-
mates","Actual Expen-
diture as of 31st
March 2022","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,"SP 1 - (General Administration, Plan-
ning and Support Services)","70,503,713.00","35,879,637.40","34,624,075.60",50.89,597,0
,SP 2 -(Water Supply Services),"116,099,707.00","10,840,367.00","105,259,340.00",9.34,597,0
,"SP 3 -(Environment & Natural Re-
source Development)","31,181,280.00","12,261,470.00","18,919,810.00",39.32,597,0
,SP 4 -(Ward Specific),"168,285,083.00","699,930.00","167,585,153.00",0.42,597,0
TOTAL,,"386,069,783.00","59,681,404.40","326,388,378.60",15.46,597,0
"Programme 11 - YOUTH, SPORTS, TOURISM, GEN-
DER AND SOCIAL SERVICES.",,,,,,597,0
,"SP 1 - (General Administration, Plan-
ning and Support Services)","51,503,500.00","25,859,410.30","25,644,089.70",50.21,597,0
,SP 2-(Tourism Development),"3,478,413.00","551,400.00","2,927,013.00",15.85,597,0
,"SP 3-(Gender, Youths and sports De-
velopment)","50,803,279.00","13,479,300.00","37,323,979.00",26.53,597,0
,"SP 4(Culture and Social Develop-
ment)","1,939,718.00","874,500.00","1,065,218.00",45.08,597,0
,SP 5-(Ward Specific),"41,878,198.00",-,"41,878,198.00",-,597,0
TOTAL,,"149,603,108.00","40,764,610.30","108,838,497.70",27.25,597,0
"Programme 12 - COUNTY PUBLIC SERVICE, ICT AND
DECENTRALISED UNITS",,,,,,597,0
,"SP 1 - (General Administration, Plan-
ning and Support Services)","233,433,139.00","196,364,284.00","37,068,855.00",84.12,597,0
,SP 2-(Human Resource),"1,944,000.00","1,487,932.70","456,067.30",76.54,597,0
,SP 3-(Legal Services),"9,362,000.00","1,053,200.00","8,308,800.00",11.25,597,0
,SP 4 - (Records Management),"1,144,000.00","868,951.90","275,048.10",75.96,597,0
,SP 5- (Communication Services),"1,140,000.00","764,261.55","375,738.45",67.04,597,0
,"SP 6 - (ICT Infrastructure Connec-
tivity)","2,716,422.00","849,250.00","1,867,172.00",31.26,597,0
,SP 7 - (Field Administration),"15,167,680.00","7,853,996.70","7,313,683.30",51.78,597,0
,SP 8-(Mortgage),"80,000,000.00","80,000,000.00",-,100.00,597,0
TOTAL,,"344,907,241.00","289,241,876.85","55,665,364.15",83.86,597,0
"Programme 13 -SPECIAL PROGRAMMES AND DI-
RECTORATES",,,,,,597,0
,"SP 1 - (General Administration, Plan-
ning and Support Services)","14,134,126.00","8,121,599.40","6,012,526.60",57.46,597,0
,SP 2 -(Dairy Development),-,-,-,-,597,0
