Programme S,ub0Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure As of 31st
March 2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index,Programme,Sub0Programme
,,"25,757,646","1,214,200","200,000",,0.8,-,300,0,"Co-operative
Development
and Marketing","Co-operative
Development and
Marketing"
,,-,,,,-,-,300,0,,"Capacity Building
To Co-operative
Societies"
,,"1,650,000","44,413,851",-,"14,041,918",-,31.6,300,0,,"Promotion of
Co-operative Mar-
keting and Value
Chain"
,,"1,100,000",,"84,000",,7.6,-,300,0,"Co-operative
Development
and Marketing","Co-operative Fi-
nancial Services"
,,"1,662,000","1,104,276","50,000",,3.0,-,300,0,,"Promotion and
Growth of Co-op-
erative Societies"
,,"2,416,000",,,,-,-,300,0,,"Co-operative Audit
Support Services"
,,"374,588,632","552,236,475","183,732,374","145,319,643",49.0,26.3,300,0,Subtotal,
,,,,,,,,300,0,Finance and Revenue Management,
,,"246,784,017","83,088,990","207,372,462",,84.0,-,300,0,"Resource Mobili-
sation","Revenue Manage-
ment"
,,"40,229,746","43,931,500","25,235,983","472,800",62.7,1.1,300,0,"County
Treasury","Budget Formula-
tion, Coordination
and Implementa-
tion Section"
,,"9,741,708","800,000","2,446,800",,25.1,-,300,0,,"Supply Chain
Management
Section"
,,"26,901,846","117,445,544","6,865,238","18,924,132",25.5,16.1,300,0,,Accounts Services
,,"16,700,000","500,000","801,000",,4.8,-,300,0,,Audit Section
,,"151,106,931","5,000,000","6,549,756",,4.3,-,300,0,,"Human Resource
Management and
Support Services"
,,"35,150,326","20,293,885","2,593,597",,7.4,-,300,0,"Economic
Planning
& External
Resource
Mobilization","Economic Plan-
ning and Statistical
Services"
,,"800,000",-,"186,800",,23.4,-,300,0,,"External Resource
Mobilisation"
,,"527,414,574","271,059,919","252,051,636","19,396,932",47.8,7.2,300,0,Subtotal,
,,,,,,,,300,0,"Public Service, Quality Management and ICT",
,,"301,341,321","47,925,375","224,459,542","2,786,697",74.5,5.8,300,0,"Public Service &
Quality Manage-
ment","General Adminis-
tration and Support
Services"
,,"245,000",,,,-,-,300,0,,"Quality Manage-
ment"
,,"5,869,500",,"286,190",,4.9,-,300,0,,"Training, Research
and Development"
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",301,0,,
,,"52,152,968",,"12,234,448",,23.5,-,301,0,ICT,"ICT General
Administration and
Support Services"
,,"5,018,554","5,262,277","76,500",,1.5,-,301,0,,ICT Infrastructure
,,"1,925,000",,,,-,-,301,0,,"Closed Circuit
Television"
,,"366,552,343","53,187,652","237,056,680","2,786,697",64.7,5.2,301,0,Subtotal,
,,,,,,,,301,0,"Tourism, Youth, Sports and Culture",
,,"102,131,897",,"48,818,901",,47.8,-,301,0,"General Ad-
ministration and
Planning","General Adminis-
trative and Support
Services"
,,"1,082,320",,"632,214",,58.4,-,301,0,"Heritage &
Culture",Heritage & Culture
,,"775,970",,"10,835",,1.4,-,301,0,"Liquor
Management","Liquor Manage-
ment"
,,"1,056,574","11,328,064",,,-,-,301,0,"Tourism
Development
and Marketing","Tourism Develop-
ment and Market-
ing"
,,"750,000","40,550,768","400,000",,53.3,-,301,0,"Management
of Recreational
Facilities","Management
of Recreational
Services"
,,"1,966,115","183,335","450,000",,22.9,-,301,0,Entertainment,Machawood
,,"1,120,000","183,335","500,000",,44.6,-,301,0,"County
Beautification","County Image
Directorate"
,,-,,,,-,-,301,0,"Youth
Development","Youth Develop-
ment"
,,"1,449,952","59,793,457",,,-,-,301,0,"Stadium
Management","Stadium Manage-
ment"
,,"1,364,765","2,478,500","200,000",,14.7,-,301,0,"Youth
Empowerment","Youth Empower-
ment"
,,"20,920,000","12,473,000",,,-,-,301,0,"Sports
Promotion",Sports Promotion
,,"132,617,593","126,990,459","51,011,950",-,38.5,-,301,0,Subtotal,
,,,,,,,,301,0,"Trade, Economic Planning and Industrialization",
,,"69,990,210",,"26,621,309",,38.0,-,301,0,"General Ad-
ministration and
Support Services","Headquarter
Administration
Services"
,,"724,028","91,460,907","720,000",,99.4,-,301,0,"Trade
Development","Trade Develop-
ment"
,,"1,566,765","30,000,000","458,000",,29.2,-,301,0,,"Business and En-
terprise Develop-
ment"
,,-,"56,500,000",,,-,-,301,0,"Industrial
Development","Industrialisation
and Innovation"
,,"56,000",,,,-,-,301,0,"Investment
Promotion","Investment Facili-
tation and Support"
,,"2,845,783",,"2,550,125",,89.6,-,301,0,"Hygiene and
Sanitation","Hygiene and San-
itation"
,,"71,661,923",,"9,063,769",,12.6,-,301,0,Legal Services,Legal Services
,,"146,844,709","177,960,907","39,413,203",-,26.8,-,301,0,Subtotal,
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Develop-
ment Ex-
penditure",302,0,,
,,,,,,,,302,0,"Education, Skills, Training & Social Welfare",
,,"428,971,858","76,674,798","247,641,168",,57.7,-,302,0,"General Ad-
ministration and
Support Service","Head Quarter
Administrative
Services"
,,-,"13,150,000",-,,-,-,302,0,Basic Education,Basic Education
,,"19,000,000","136,635,790",-,,-,-,302,0,"Youth
Development
Services","Youth Develop-
ment Services"
,,"9,500,000","10,000,000","99,000",,1.0,-,302,0,"Gender and
Social Services","Gender and Social
Services"
,,"457,471,858","236,460,588","247,740,168",-,54,-,302,0,Subtotal,
,,,,,,,,302,0,"Energy, Lands, Housing and Urban Development",
,,"54,201,941","3,380,352","24,905,078",,45.9,-,302,0,"General Ad-
ministration and
Support Service","Head Quarter
Administrative
Services"
,,"17,809,205","95,330,321","6,369,033","18,815,516",35.8,19.7,302,0,"County
Electrification","County Electrifi-
cation"
,,"99,241,682","48,583,678","14,960,564",,15.1,-,302,0,"Housing
and Urban
Development","Housing and Ur-
ban Development"
,,"5,400,000",,"4,750,000",,88.0,-,302,0,,"Machakos Munic-
ipality"
,,"7,400,000",,"3,066,839",,41.4,-,302,0,,"Mavoko Munici-
pality"
,,"4,400,000",,"1,317,070",,29.9,-,302,0,,"Kangundo Tala
Municipality"
,,"188,452,828","147,294,351","55,368,584","18,815,516",29.4,12.8,302,0,Subtotal,
,,,,,,,,302,0,County Administration and Decentralized Units,
,,"471,727,905","28,049,678","351,919,793",,74.6,-,302,0,"General Ad-
ministration and
Support Services","General Adminis-
tration and Support
Services"
,,"1,200,000",,"330,000",,27.5,-,302,0,"Civic
Engagement",Civic Engagement
,,"1,828,214",,"250,000",,13.7,-,302,0,"Administration
and
Coordination
Services","Administration
and Co0Ordination
Services"
,,"1,000,000","2,100,000","600,000",,60.0,-,302,0,"Solid Waste
Management","Solid Waste Man-
agement"
,,"17,750,096","10,248,122","672,400",,3.8,-,302,0,"Forensics and
Inspectorate
Services","Inspectorate Ser-
vices and Manage-
ment"
,,"493,506,215","40,397,800","353,772,193",-,71.7,-,302,0,Subtotal,
,,"1,189,846,181","318,500,000",-,,-,-,302,0,,County Assembly
,,"1,189,846,181","318,500,000",-,-,-,-,302,0,Subtotal,
,,"8,820,397,657","3,790,354,573","4,554,476,813","350,550,290",51.6,9.2,302,0,Grand Total,
