Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q3
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index,col_6
,"Personnel Remuneration
and Welfare Services","16,700,000","6,889,200","9,810,800",41.3,122,0,
,Sub total,"16,700,000","6,889,200","9,810,800",41.3,122,0,
,GRAND TOTAL,"75,709,179","8,889,200","66,819,979",11.7,122,0,
"Department of Education, Human Capital Development And Vocational Training",,,,,,122,0,
"General Administration and Quality As-
surance Service","General administration
Services","19,560,000","1,000,000","18,560,000",5.1,122,0,
,"Quality Assurance
Services","960,040,000","528,792,500","431,247,500",55.1,122,0,
,Sub total,"979,600,000","529,792,500","449,807,500",54.1,122,0,
EYE and Vocational Training Services,EYE Services,"87,271,146","2,328,882","84,942,264",2.7,122,0,
,"Vocational Training
Services","28,528,854",,"28,528,854",-,122,0,
,Sub total,"115,800,000","2,328,882","113,471,118",2.7,122,0,
ICT Services,Information Services,-,-,-,-,122,0,
,"ICT Infrastructure Devel-
opment",-,-,-,-,122,0,
,Sub total,-,-,-,-,122,0,
,GRAND TOTAL,"1,095,400,000","532,121,382","563,278,618",48.6,122,0,
Department of Public Health And Medical Services,,,,,,122,0,
,,A,B,C=A-B,D=B/A*100,123,0,
"Policy planning and administrative sup-
port service","Policy, Planning and
Monitoring Services","6,121,000",-,"6,121,000",-,123,0,
,"Administrative Support
Services","1,877,041,493","1,184,424,609","692,616,884",63.1,123,0,
,Sub total,"1,883,162,493","1,184,424,609","698,737,884",62.9,123,0,
Preventive and promotive health services,"Community health
services","96,334,870","68,340,710","27,994,160",70.9,123,0,
,Disease control services,"165,414,104","79,724,595","85,689,509",48.2,123,0,
,"Facility infrastructure
improvement services","140,000,000","109,310,867","30,689,133",,123,0,
,Sub total,"401,748,974","257,376,172","144,372,802",64.1,123,0,
Curative and rehabilitative health services,"Routine medical health
services","222,222,783","180,116,044","42,106,739",81.1,123,0,
,"Medical emergency
response services","4,000,000",-,"4,000,000",-,123,0,
,"Facility infrastructure
improvement services","570,209,681","37,692,656","532,517,025",6.6,123,0,
,Sub total,"796,432,464","217,808,700","578,623,764",27.3,123,0,
Research and development service,"Research and surveillance
services","2,000,000",-,"2,000,000",-,123,0,
,"Capacity development
services","3,000,000",-,"3,000,000",-,123,0,
,Sub total,"5,000,000",-,"5,000,000",-,123,0,
,GRAND TOTAL,"3,086,343,931","1,659,609,481","1,426,734,450",53.8,123,0,
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,123,0,
General Administration Services,"General administrative
support services","32,830,157","28,956,959","3,873,198",88.2,123,0,
,"Operation and Mainte-
nance Services","9,000,000","7,594,483","1,405,517",84.4,123,0,
,Sub total,"41,830,157","36,551,442","5,278,715",87.4,123,0,
Lands and Physical planning,County spatial planning,"24,843,038","3,654,856","21,188,182",14.7,123,0,
,"Symbio city change
project","4,998,500",-,"4,998,500",-,123,0,
,"Survey and Demarcation
of Markets",-,-,-,-,123,0,
,Land Banking,-,,-,-,123,0,
,Inventorization of public,"3,000,000","2,000,000","1,000,000",66.7,123,0,
,"Preparation of Valuation
roll","25,000,000","5,000,000","20,000,000",20.0,123,0,
,Sub total,"57,841,538","10,654,856","47,186,682",18.4,123,0,
,,A,B,C=A-B,D=B/A*100,124,0,
Housing and Urban Development,"Housing improvement
services","3,000,000",-,"3,000,000",-,124,0,
,"Smart Settlement service
AMBTC Promotion
services","1,500,000",-,"1,500,000",-,124,0,
,"Delineation and establish-
ment of Urban areas(Ur-
ban Institutional Grants)",-,-,-,-,124,0,
,"Slum Upgrading Pro-
gramme KISIP","150,000,000",-,"150,000,000",-,124,0,
,"Affordable housing pro-
gramme",-,-,-,-,124,0,
,"Urban lakefront planning
and development","10,000,000",-,"10,000,000",,124,0,
,Sub total,"164,500,000",-,"164,500,000",-,124,0,
,,"264,171,695","47,206,298","216,965,397",17.9,124,0,
"Department of Trade, Tourism, Industrialization, and Enterprise Development",,,,,,124,0,
Planning and Administrative services,"Administrative and Sup-
port Services","165,434,653","55,587,388","109,847,265",33.6,124,0,
,"Policy Development and
Implementation Services","7,500,000",-,"7,500,000",-,124,0,
,Sub total,"172,934,653","55,587,388","117,347,265",32.1,124,0,
"Trade, Cooperative and Entrepreneurship
Development Service","Enterprise Development
Services",-,,-,-,124,0,
,"Cooperative Development
and Promotion Services","3,000,000",-,"3,000,000",-,124,0,
,"Trade Infrastructure De-
velopment Services","67,642,221","43,652,877","23,989,344",64.5,124,0,
,Sub total,"70,642,221","43,652,877","26,989,344",61.8,124,0,
"Tourism And Industrial Development
Services","Value Chain Develop-
ment Services","102,467,778",-,"102,467,778",-,124,0,
,Tourism Development,"8,657,778",-,"8,657,778",-,124,0,
,Sub total,"111,125,556",-,"111,125,556",-,124,0,
,,"354,702,430","99,240,265","255,462,165",28.0,124,0,
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,,124,0,
General Administrative services,"Administrative Support
Services","64,325,962","21,123,308","43,202,654",32.8,124,0,
,"Policy and Planning
Services","43,710,970",,"43,710,970",-,124,0,
,Sub total,"108,036,932","21,123,308","86,913,624",19.6,124,0,
Water Supply and Management Services,"Urban Water Supply
Services","28,080,000","14,678,024","13,401,976",52.3,124,0,
,"Rural Water Supply
Services","161,525,086","24,168,168","137,356,918",15.0,124,0,
,"Maintenance of Water
Supply Services","5,000,000","700,876","4,299,124",14.0,124,0,
,Sub total,"194,605,086","39,547,068","150,758,894",20.3,124,0,
,,,,,,124,0,99
,,A,B,C=A-B,D=B/A*100,125,0,
Energy Services,Electrical Power Services,"34,600,000","20,852,500","13,747,500",60.3,125,0,
,Solar Power Services,"23,800,000",,"23,800,000",,125,0,
,"Low-Cost Energy Tech-
nological Promotional
Services",-,-,-,,125,0,
,,"58,400,000","20,852,500","37,547,500",35.7,125,0,
"Environmental Protection and Manage-
ment Services","Pollution and Waste Man-
agement services","16,300,000","9,315,668","6,984,332",57.2,125,0,
,"Forestry Development
Services","5,000,000",-,"5,000,000",-,125,0,
,Climate Change Services,"16,000,000",-,"16,000,000",-,125,0,
,Sub total,"37,300,000","9,315,668","27,984,332",25.0,125,0,
,,"398,342,018","90,838,544","303,204,350",22.8,125,0,
Department of Finance and Economic Planning,,,,,,125,0,
"General administration and support ser-
vices","Staff Remuneration and
Welfare Support Services","445,823,580","203,389,566","242,434,014",45.6,125,0,
,"General Logistics,
Coordination and Asset
Management Services","68,239,904","20,796,690","47,443,214",30.5,125,0,
,"Devolution and Service
Delivery Support Services","74,093,396","42,728,291","31,365,105",57.7,125,0,
,Sub total,"588,156,880","266,914,547","321,242,333",45.4,125,0,
"Planning, budgeting and development
coordination services","Economic planning and
development services","7,443,600",-,"7,443,600",-,125,0,
,"Resource allocation
services","10,143,100",-,"10,143,100",-,125,0,
,"Public Participation facili-
tation services","30,000,000","4,620,000.0","25,380,000",15.4,125,0,
,Sub total,"47,586,700","4,620,000","42,966,700",9.7,125,0,
"Strategy and service delivery manage-
ment services","Monitoring and evalua-
tion services",-,,-,-,125,0,
,"Strategy and service deliv-
ery improvement services",-,,-,-,125,0,
,Sub total,-,-,-,-,125,0,
Resource mobilisation services,"External Resources Mo-
bilization Services","10,080,000","500,000","9,580,000",5.0,125,0,
,"Internal Revenue Genera-
tion Services","24,173,396","10,599,982","13,573,414",43.8,125,0,
,Sub total,"34,253,396","11,099,982","23,153,414",32.4,125,0,
,"Accounting and Financial
Reporting Services","22,000,000",,"22,000,000",-,125,0,
,"Audit and Advisory
Services","6,000,000",-,"6,000,000",-,125,0,
,,A,B,C=A-B,D=B/A*100,126,0,
,Sub total,"100,000,000","250,000","99,750,000",0.3,126,0,
,GRAND TOTAL,"769,996,976","282,884,529","487,112,447",36.7,126,0,
Executive Office of the Governor,,,,,,126,0,
"Public service administration support
services","Human resource man-
agement and development
services","443,059,207","310,191,887","132,867,320",70.0,126,0,
,"Planning And Monitoring
Services","2,000,000",,,,126,0,
,Legal Services,"5,000,000",,"5,000,000",-,126,0,
,Sub total,"450,059,207","310,191,887","139,867,320",68.9,126,0,
Governance and coordination services,"Executive management
and liaison services","141,982,096","61,804,000","80,178,096",43.5,126,0,
,"Field coordination and
administration services","14,000,000","3,612,138","10,387,862",25.8,126,0,
,Sub total,"155,982,096","65,416,138","90,565,958",41.9,126,0,
"Strategy and service delivery improve-
ment services","Strategy and advisory
services","10,000,000","4,000,000","6,000,000",40.0,126,0,
,"Efficiency monitoring
services","10,000,000","3,000,000","7,000,000",30.0,126,0,
,"Information and commu-
nication services","6,150,000","2,500,000","3,650,000",40.7,126,0,
,"Disaster management
services",-,-,-,-,126,0,
,"Compliance and manage-
ment services",-,-,-,-,126,0,
Communication and Public Engagement,Sub total,"26,150,000","9,500,000","16,650,000",36.3,126,0,
,"Communication and
Information Services","14,662,331","5,837,862","8,824,469",39.8,126,0,
,"Public Participation and
Stakeholder Management
services","4,000,000",,"4,000,000",-,126,0,
,"Inter-governmental Rela-
tions and Liaison Services","5,000,000",,"5,000,000",-,126,0,
,Sub total,"23,662,331","5,837,862","17,824,469",24.7,126,0,
,,,,0,,126,0,
"Field Administration And Devolution
Support Services","Field Administration and
Coordination Services","43,248,669","21,250,000","21,998,669",49.1,126,0,
,"Devolution Support
Services","2,000,000",,"2,000,000",,126,0,
,"Disaster and Human
Services","14,000,000",,"14,000,000",,126,0,
,Sub total,"59,248,669","21,250,000","37,998,669",35.9,126,0,
,GRAND TOTAL,"715,102,303","412,195,887","302,906,416",57.6,126,0,
County Public Service Board,,,,,,126,0,
,,A,B,C=A-B,D=B/A*100,127,0,
"Policy, Planning and Administration Ser-
vices","Policy and Planning
Services","2,508,400","2,000,000","508,400",79.7,127,0,
,"Administrative Support
Services","39,878,547","28,199,849","11,678,698",70.7,127,0,
,"Facility Improvement &
Capacity Strengthening
Services","6,000,000",-,"6,000,000",-,127,0,
,Sub total,"48,386,947","30,199,849","18,187,098",62.4,127,0,
"Personnel Sourcing and Management
Services","Recruitment, Selection
and Deployment Services","20,320,076",,"20,320,076",-,127,0,
,"Human Resource Adviso-
ry Services","5,665,000","4,000,000","1,665,000",70.6,127,0,
,"Capacity Development
Services","2,014,924","1,000,000","1,014,924",49.6,127,0,
,Sub total,"28,000,000","5,000,000","23,000,000",17.9,127,0,
Performance Management Services,"Performance Contracting
and Appraisal Services","8,500,000","5,000,000","3,500,000",58.8,127,0,
,"Performance Enhance-
ment Services","6,000,000",-,"6,000,000",-,127,0,
,Sub total,"14,500,000","5,000,000","9,500,000",34.5,127,0,
,GRAND TOTAL,"90,886,947","40,199,849","50,687,098",44.2,127,0,
County Assembly Service Board,,,,,,127,0,
Legislative Services,"Members' welfare Support
services","273,108,870","121,601,071","151,507,799",44.5,127,0,
,"Legislative development
and approval services","245,045,286","158,473,144","86,572,142",64.7,127,0,
,Sub total,"518,154,156","280,074,215","238,079,941",54.1,127,0,
Oversight and Control Services,Capacity building services,"7,000,000",-,"7,000,000",-,127,0,
,Report writing services,"22,000,000","29,124,575","-7,124,575",132.4,127,0,
,"Public participation and
education services","11,000,000","15,036,152","-4,036,152",136.7,127,0,
,Sub total,"40,000,000","44,160,727","-4,160,727",110.4,127,0,
Ward Representation Services,"Staff welfare support
services","66,628,836","35,339,980","31,288,856",53.0,127,0,
,"Ward operations and
maintenance","17,284,320","8,843,792","8,440,528",51.2,127,0,
,Sub total,"83,913,156","44,183,772","39,729,384",52.7,127,0,
"Policy, Planning and Administrative","Administrative support
services","297,124,937","206,643,289","90,481,648",69.5,127,0,
Support Services,"Financial Management
Services","176,430,938","118,460,948","57,969,990",67.1,127,0,
,"Assembly infrastructure
development Services","82,254,927","3,800,000","78,454,927",4.6,127,0,
,Sub total,"555,810,802","328,904,237","226,906,565",59.2,127,0,
