"Pro-
gramme","Programme and Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,"Administration Planning support
service (0502013060)","12,134,731","283,846,398","5,711,135","109,366,867",47,39,264,0
,,"460,118,409","283,846,398","426,829,273","109,366,867",,,264,0
,"Scholarship and Bursary
(0504013060)","400,000,000",-,"400,000,000",-,100,,264,0
,,"400,000,000",-,"400,000,000",-,,,264,0
,"Infrastructure development
(0503023060) & (0501043060)",,"118,397,548","6,264,001","22,450,034",,19,264,0
,,-,"118,397,548","6,264,001","22,450,034",-,19,264,0
,"Early Childhood Development
(0501043060)","66,817,400","292,947,750","25,957,873","21,341,345",39,7,264,0
,,"66,817,400","292,947,750","25,957,873","21,341,345",,,264,0
Total,,"926,935,809","695,191,696","859,051,147","153,158,246",-,-,264,0
Kwale - Water and Urban Planning and Decentralised Units,,,,,,,,264,0
3070,"Construction & Maintenance of
water pipeline supply systems
(1001023060)",,"144,800,000",,,,-,264,0
,"Development of Borehole water
supply system (1001033060)",,"96,125,844",,,,-,264,0
,"Development/Construction of
surface water supply systems (
1001043060)",,"221,987,050",,,,-,264,0
,"Community Water Project (
1001063060)",,"34,516,685","500,001","7,454,200",,22,264,0
,Personnel Services (1002013060),"35,426,928",,"29,903,082",,84,,264,0
,"Administration Services
(1002023060)","61,299,807","690,856,693","36,617,822","527,077,095",60,76,264,0
Total,,"96,726,735","1,188,286,272","67,020,905","534,531,295",1,45,264,0
Kwale - Infrastructure and Public Works,,,,,,,,264,0
3071,"Administration Services
(0305023060)",,"385,850,468",,-,,-,264,0
,"Rehabilitation of Roads, Drainage
and Bridges (0202013060)",,"51,387,050",,-,,-,264,0
,Personnel Services (0305013060),"67,225,905",,"45,087,652",,67,,264,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",265,0
,"Installation of Street Lighting Fa-
cilities (0203013060)","104,938,145","308,252,522","54,476,039","47,317,050",52,15,265,0
Total,,"172,164,050","745,490,040","99,563,691","47,317,050",58,6,265,0
Kwale- Public Service and Administration,,,,,,,,265,0
3072,Personnel services {0305013060},"3,560,605","8,481,050","1,408,470",,40,-,265,0
,"Administration services
{0305023060}","20,921,809",,"17,730,782",,85,,265,0
,"Local area network installation
and ICT support {0308013060}","21,067,499","16,049,218","7,598,936","4,535,414",36,28,265,0
,Tourism Promotion {0304013060},"5,110,934","20,883,345","1,333,780",,26,-,265,0
Total,,"50,660,847","45,413,613","28,071,968","4,535,414",55,10,265,0
Kwale- County Public Service Board,,,,,,,,265,0
3073,"Human resource planning
(706013060)","14,714,312",-,"9,619,057",-,65,-,265,0
,"Transformation of service delivery
in public service (706023060)","5,000,000",-,"2,246,900",-,45,-,265,0
,"Compensation to employees
(706043060)","29,298,166",-,"17,895,725",-,61,-,265,0
,"Human resource planning
(706053060)","4,000,000",-,"2,488,550",-,62,-,265,0
,Staff rationalisation (706063060),"2,281,505",-,"2,127,950",-,93,-,265,0
Total,,"55,293,983",-,"34,378,181",-,62,-,265,0
Kwale- Public Service and Administration,,,,,,,,265,0
3074,"704043060General Administra-
tion","26,786,369","20,936,933","20,656,570",,77,,265,0
,704013060(Audit Services),"183,229,195",,"159,148,682",,87,,265,0
,Sub Total,"210,015,564","20,936,933","179,805,252",-,86,,265,0
,"708033060County compliance
and enforcement","14,285,200",-,"2,857,563",,20,,265,0
,Sub Total,"14,285,200",-,"2,857,563",-,-,,265,0
