Department,Program,Sub Program,Budget in Kshs,col_4,Expenditure in Kshs,col_6,Rate of Absorption,col_8,page_number,table_index
Health,"Curative
healthcare
services","Curative
healthcare
services","233,962,800",-,-,-,-,-,312,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","3,000,346,037","677,805,770","1,722,289,629","63,262,155",57.4,9.3,312,0
,"Preventive
and promo-
tive health-
care services","Preventive
and promo-
tive health-
care services","169,606,500","26,534,121","27,497,689",-,16.2,-,312,0
Health Total,,,"3,403,915,337","704,339,891","1,749,787,318","63,262,155",51.4,9.0,312,0
"Land, Physi-
cal Planning
& Mining","Urban plan-
ning","Urban plan-
ning","12,958,186","32,478,511",-,"1,497,500",-,4.6,312,0
,"Environment
management
and protec-
tion","Environment
management
and protec-
tion","46,162,296","166,843,881","29,467,280","2,243,300",63.8,1.3,312,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","127,273,205","4,031,500","43,233,124",-,34.0,-,312,0
,"Land Survey
& Mapping","Land Survey
& Mapping","6,766,920","26,054,766","665,739",-,9.8,-,312,0
,"Mining
mapping &
development","Mining
mapping &
development","3,100,000",-,"250,000",-,8.1,-,312,0
"Land, Physical Planning & Mining Total",,,"196,260,607","229,408,658","73,616,143","3,740,800",37.5,1.6,312,0
"Sand Au-
thority","General Ad-
ministration
& planning",": General Ad-
ministration
& Planning","71,222,376","35,618,448","27,238,272",,38.2,-,312,0
Sand Authority Total,,,"71,222,376","35,618,448","27,238,272",,38.2,-,312,0
"Transport &
Infrastruc-
ture","Infrastructure
development","Infrastructure
development","7,386,000","12,000,000",-,,-,-,312,0
,"Energy Infra-
structure &
development","Energy Infra-
structure &
development","26,731,892","72,616,376","13,975,711","6,802,240",52.3,9.4,312,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","112,224,497",-,"62,336,501",-,55.5,-,312,0
,"Road trans-
port","Road trans-
port","28,678,560","473,078,437",-,,-,-,312,0
Transport & Infrastructure Total,,,"175,020,949","557,694,813","76,312,211","6,802,240",43.6,1.2,312,0
"Water and
sanitation","Environment
management
and protec-
tion","Environment
management
and protec-
tion",,-,,-,-,-,312,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","116,253,911","12,000,000","59,144,868",-,50.9,-,312,0
,"Irrigation
infrastructure
development","Irrigation
infrastructure
development",,-,,-,-,-,312,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,313,0
,"Water in-
frastructure
Development","Piped water
supply infra-
structure","4,070,000","358,949,047","530,000","14,151,890",13.0,3.9,313,0
,,"Groundwater
development","4,972,322","61,169,501","300,000","7,394,003",6.0,12.1,313,0
,,"Water har-
vesting and
storage","4,850,000","121,937,322","712,446","14,181,220",14.7,11.6,313,0
Water and sanitation Total,,,"130,146,233","554,055,870","60,687,313","35,727,113",46.6,6.4,313,0
"Wote Munic-
ipality","Wote Munici-
pality","Wote Munici-
pality","43,176,365","72,053,857","4,783,722","39,512,058",11.1,54.8,313,0
Wote Municipality Total,,,"43,176,365","72,053,857","4,783,722","39,512,058",11.1,54.8,313,0
"Agriculture,
Livestock
and Food
Security","Agribusiness
and informa-
tion manage-
ment","Agribusiness
and informa-
tion manage-
ment","2,404,369","160,855,936","262,500",,10.9,-,313,0
,"Cooperative
development
and manage-
ment","Cooperative
development
and manage-
ment",-,"10,000,000",-,,-,-,313,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","261,188,746","191,783,560","142,756,600",,54.7,-,313,0
,"Land, Crop
development
& produc-
tivity","Land, Crop
development
& produc-
tivity","3,445,000","232,530,562","632,500",,18.4,-,313,0
,"Livestock
Production,
Management
and Develop-
ment","Livestock
Production,
Management
and Develop-
ment","22,458,450","53,927,723","250,000",,1.1,-,313,0
"Agriculture, Livestock and Food Security
Total",,,"289,496,564","649,097,782","143,901,600",,49.7,-,313,0
"Trade,
Industry,
Tourism and
Coopera-
tives","Cooperative
development
and manage-
ment","Cooperative
development
and manage-
ment",-,"900,000",-,-,-,-,313,0
,"Industrial
development
and promo-
tion","Industrial
development
and promo-
tion","350,000","5,000,000",-,-,-,-,313,0
,"Tourism de-
velopment &
promotion","Tourism de-
velopment &
promotion","350,000","5,000,000",-,-,-,-,313,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,314,0
,"Trade devel-
opment &
promotion","Entrepre-
neurial
development
and training",,-,,-,-,-,314,0
,,"Fairtrade and
consumer
protection",,-,,-,-,-,314,0
,,"Local markets
development",,-,,-,-,-,314,0
,,"Trade
marketing &
promotion","7,637,500","31,798,355","1,175,490",-,15.4,-,314,0
"Trade, Industry, Tourism and Cooperatives
Total",,,"8,337,500","42,698,355","1,175,490",-,14.1,-,314,0
"County
Education
and Civic
Education","ICT Infra-
structure
& Systems
Development","ICT Infra-
structure
& Systems
Development","23,569,429","15,226,490","1,408,110",-,6.0,-,314,0
,"Early
childhood
education","Early
childhood
education","14,120,429","111,167,241","14,300","1,243,651",0.1,1.1,314,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","402,841,625","5,000,000","210,940,281",-,52.4,-,314,0
,"Sports Devel-
opment","Sports Devel-
opment",,-,-,-,-,-,314,0
,"Support to
education","Support to
education","38,994,429","17,263,975","15,008,177",,38.5,-,314,0
,"Technical
training &
non-formal
education","Technical
training &
non-formal
education","1,268,929","64,586,600",-,"1,333,940",-,2.1,314,0
,"Youth De-
velopment
Support &
Empower-
ment","Youth Devel-
opment",,-,,-,-,-,314,0
"County Education and Civic Education
Total",,,"480,794,842","213,244,306","227,370,868","2,577,591",47.3,1.2,314,0
"Gender,
Culture
and Social
Services","Gender &
Social Devel-
opment","Gender &
Social Devel-
opment","17,419,307","16,917,260","200,000","1,999,208",1.1,11.8,314,0
,"General ad-
ministration
& planning","General ad-
ministration
& planning","65,889,061",-,"23,987,717",-,36.4,-,314,0
,"Sports Devel-
opment","Sports Devel-
opment","2,040,000","47,985,452",-,-,-,-,314,0
,"Youth De-
velopment
Support &
Empower-
ment","Youth Devel-
opment","2,500,000","26,500,000",-,"369,500",-,1.4,314,0
"Gender, Culture and Social Services Total",,,"87,848,368","91,402,712","24,187,717","2,368,708",27.5,2.6,314,0
"County
Attorneys
Office","Legal & advi-
sory services","Legal & advi-
sory services","25,493,375",-,"1,223,409",-,4.8,-,314,0
