Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,"Enhanced Child Par-
ticipation","700,000",-,"375,000",-,54,-,503,0
"Social
Development
and Protection",Women empowerment,"1,050,000",-,"503,100",-,48,-,503,0
,"Gender and Leader-
ship","10,450,000",-,"140,000",-,1,-,503,0
,Youth Empowerment,-,"37,000,000",,,,-,503,0
"Sports
Training and
Competitions",county Sports leagues,"5,193,447",-,"2,335,921",-,45,-,503,0
,"Sports equipment and
support","2,000,000",-,"1,665,600",-,83,-,503,0
,Sub-Total,"24,393,447","37,000,000","6,137,736",-,25,-,503,0
"Culture and art
development","Culture Promotion
and Development","10,750,000",-,"5,799,534",-,54,-,503,0
,"Empowerment/Capac-
ity building of cultural
practitioners","5,200,000",-,"701,325",-,13,-,503,0
,Sub-Total,"15,950,000",-,"6,500,859",-,41,-,503,0
"General
administration,
support and
planning","General adminis-
tration, support and
planning","7,340,000",-,"5,698,800",-,78,-,503,0
,Sub-Total,"7,340,000",-,"5,698,800",-,78,-,503,0
,Grand Total,"47,683,447","37,000,000","18,337,395",-,38,-,503,0
"Education, Vocational training and
ECDE",,,,,,,,503,0
"Early Child
care services","ECDE quality educa-
tion standards service","2,265,000",-,"1,338,700",-,59,-,503,0
,"ECDE Access and
Retention Services","20,700,000","13,000,000","20,450,000",-,99,-,503,0
,Sub Total,"22,965,000","13,000,000","21,788,700",-,95,-,503,0
"Vocational
Training
Services","VTC quality standards
training services","2,855,000",-,"1,799,094",-,63,-,503,0
,"Free VTC education
and training","11,256,327","50,000,000","5,656,327",-,50,-,503,0
,Sub Total,"14,111,327","50,000,000","7,455,421",-,53,-,503,0
"General
Administration,
Planning
and support
services","General Administra-
tion, Planning and
support services","157,574,329",-,"58,206,853",-,37,-,503,0
,Sub-Total,"157,574,329",-,"58,206,853",-,37,-,503,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",504,0
"VTC access
and retention
of training",Development,,"40,000,000",,-,,-,504,0
,Development,,,,-,,-,504,0
,Sub Total,-,"40,000,000",-,-,,-,504,0
,Grand Total,"194,650,656","103,000,000","87,450,974",-,45,-,504,0
Health and Sanitation,,,,,,,,504,0
"Curative and
Rehabilitative",Medical Supplies,"142,650,000",-,"102,498,793",-,72,-,504,0
,Medical Services,"31,200,000","5,000,000","27,679,783",-,89,-,504,0
,Ambulance services,"8,700,000",-,"8,341,220",-,96,-,504,0
"Preventive and
Promotive","Preventive and Pro-
motive","16,400,000",-,"12,411,178",-,76,-,504,0
,"Licensing and control
of undertaking","9,045,859",-,"8,840,310",-,98,-,504,0
,"Licensing and control
of undertaking","5,800,000",-,"1,276,860",-,22,-,504,0
,Sub Total,"213,795,859","5,000,000","161,048,144",-,75,-,504,0
"General
Administration,
Planning
and support
services","General Administra-
tion, Planning and
support services","962,950,719","45,000,000","483,273,708",-,50,-,504,0
,"General Administra-
tion, Planning and
support services","4,932,532",,"2,142,160",-,43,-,504,0
,Development,-,"120,000,000",-,-,,-,504,0
,Sub Total,"967,883,251","165,000,000","485,415,868",-,94,-,504,0
,Grand Total,"1,181,679,110","170,000,000","646,464,012",-,169,-,504,0
Special Programme,,,,,,,,504,0
"Drought
management
(Preparedness,
Response,
Mitigation and
Recovery",Drought contingency,"1,500,000",-,"995,500",-,66,,504,0
,"Disaster Risk Manage-
ment Fund","133,325,095",-,"62,165,375",-,47,-,504,0
"Social
protection and
response to
other disasters","Food distribution and
rations","500,000",-,"411,600",-,82,-,504,0
,"Capacity building
to respond to fire
outbreaks and other
disasters","500,000",-,-,-,0,-,504,0
,"Resettlement
of victims","1,000,000",-,"1,000,000",-,100,-,504,0
,Sub-Total,"136,825,095",-,"64,572,475",-,47,-,504,0
"General
Administration,
Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","7,972,672",-,"5,838,505",-,73,-,504,0
,Sub-Total,"7,972,672",-,"5,838,505",-,73,-,504,0
,Grand Total,"144,797,767",-,"70,410,980",-,49,-,504,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",505,0
Roads and public works,,,,,,,,505,0
"County Roads
Development","Monitoring and Eval-
uation","1,849,133",,"733,360",,40,-,505,0
,Routine maintenance,"3,628,330","71,250,000","482,300","1,064,307",13,-,505,0
,Opening of new roads,"1,877,733","97,000,000","753,200",-,40,-,505,0
,"Grading, Murmuring
and tarmacking","1,645,000",,"589,000",-,36,-,505,0
,Sub-Total,"9,000,196","168,250,000","2,557,860","1,064,307",28,-,505,0
"County
Housing
Development
and
Urbanisation",Housing Development,"7,482,780",,"779,244",,10,-,505,0
,Urbanisation,"2,402,000","20,000,000","470,555",-,20,-,505,0
,Sub Total,"9,884,780","20,000,000","1,249,799",-,13,-,505,0
"Public works
and services","Public works and
services","14,652,000","154,000,000","8,000,000",-,55,-,505,0
,Sub Total,"14,652,000","154,000,000","8,000,000",-,55,-,505,0
"General
Administration
and Support
Services","General Adminis-
tration and Support
Services","34,451,763",,"8,366,391",-,24,-,505,0
,Sub-Total,"34,451,763",-,"8,366,391",-,24,-,505,0
"county
Headquarters",county Headquarters,-,"232,356",-,-,,-,505,0
,county Headquarters,,"175,000,000",,,,-,505,0
"Housing
Development",Urbanisation,,"10,000,000",,-,,-,505,0
,Urbanisation,,"10,000,000",,-,,-,505,0
,Sub Total,-,"195,232,356",-,-,,-,505,0
,Grand Total,"67,988,739","537,482,356","20,174,050","1,064,307",30,0.002,505,0
"Water, Environment and Natural
Resources",,,,,,,,505,0
"Environment
Management","Environmental Pro-
tection","33,552,415",,"10,995,001",,33,-,505,0
,"Environmental Pro-
tection","9,863,077","50,000,000","7,678,050",-,78,-,505,0
,"Control of Air Pollu-
tion","2,795,484",,"2,031,800",,73,-,505,0
,"Solid Waste Manage-
ment","11,098,615",,"5,621,200",,51,-,505,0
,Sub-Total,"57,309,591","50,000,000","26,326,051",-,46,-,505,0
"General
administration,
planning
support","General administra-
tion, planning support","42,154,270",,"2,076,005",-,5,-,505,0
,Sub-Total,"42,154,270",-,"2,076,005",-,5,,505,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",506,0
Water Services,"Water Management
services","11,208,476",,"1,546,404",,14,-,506,0
,"Water Sanitation &
Hygiene","3,767,316","351,500,000","2,134,212",-,57,-,506,0
,"Storm Water Manage-
ment","3,010,744",,"634,100",-,21,-,506,0
"Energy
Development",Energy,"1,970,640",,"1,086,800",-,55,-,506,0
,Sub-Total,"19,957,176","351,500,000","5,401,516",-,27,-,506,0
,Grand Total,"119,421,037","401,500,000","33,803,572",-,28,-,506,0
Public service and administration,,,,,,,-,506,0
"General
Administration,
support and
planning","General Adminis-
tration, support and
planning","1,211,397,609",-,"780,015,333",-,64,-,506,0
"Human
Resource &
Development","Performance manage-
ment system","4,200,000",-,"1,572,894",-,37,-,506,0
,"Human resource
development","211,629,351",-,"252,486,500",-,119,-,506,0
"County
Administration",Administration,"37,100,000","30,000,000","35,687,760",-,96,-,506,0
,Enforcement,"4,500,000",-,"3,613,200",,80,-,506,0
"Citizen
Participation",Citizen Participation,"6,100,000",-,"3,279,247",-,54,-,506,0
,Sub Total,"1,474,926,960","30,000,000","1,076,654,934",-,73,-,506,0
Programme 2,Sub-programme,-,"15,000,000",,-,,-,506,0
,Sub Total,-,"15,000,000",-,-,,-,506,0
Grand Total,,"1,474,926,960","45,000,000","1,076,654,934",-,73,-,506,0
Lands and physical planning,,,,,,,,506,0
"General
Administra-
tion, Planning
and support
services","General Administra-
tion, Planning and
support services","1,356,000",-,"57,250",-,4,-,506,0
"Land Policy
and Planning",Physical Planning,"20,638,245",-,"10,190,154",-,49,-,506,0
,"Survey, Mapping and
GIS","5,277,817","30,000,000","382,429",-,7,-,506,0
,Land Administration,"7,174,500",-,"6,947,267",-,97,-,506,0
,Grand Total,"34,446,562","30,000,000","17,577,100",-,51,-,506,0
Hola Municipality,,,,,,,,506,0
"General Ad-
ministration
and Support
Services","General Adminis-
tration and Support
Services","36,450,000",-,"21,535,977",,59,-,506,0
,Sub-Total,"36,450,000",-,"21,535,977",-,59,,506,0
Grand Total,,"5,448,899,768","2,492,304,150","3,330,904,009","246,239,016",61.1,9.9,506,0
