Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorp-
tion Rate
(%)",page_number,table_index
,Medical services,"96,300,000.00","47,315,313.00","48,984,687.00",49,574,0
,County referral services,"500,000.00","303,300.00","196,700.00",61,574,0
"Child and Maternal
Health Care",,"52,094,828.00","24,029,815.70","28,065,012.30",46,574,0
,Antenatal and Post Natal healthcare,"2,600,000.00","233,600.00","2,366,400.00",9,574,0
,Antenatal and Post Natal Healthcare,"10,520,000.00","5,064,150.00","5,455,850.00",48,574,0
,"Newborn, Child and Adolescent
Health","500,000.00","371,500.00","128,500.00",74,574,0
,Nutrition Services,"38,474,828.00","18,360,565.70","20,114,262.30",48,574,0
"Administration,
Planning and Sup-
port Service",,"241,316,859.00","141,861,969.90","99,454,889.10",59,574,0
,Administrative Service,"241,316,859.00","141,861,969.90","99,454,889.10",59,574,0
"Vocational Educa-
tion and Training",,"145,594,092.00","83,397,611.40","62,196,480.60",57,574,0
,Youth Polytechnic Development,"145,594,092.00","83,397,611.40","62,196,480.60",57,574,0
"Early Childhood
Development",,"246,918,085.00","150,341,681.70","96,576,403.30",61,574,0
,ECD Development,"246,918,085.00","150,341,681.70","96,576,403.30",61,574,0
"Administration,
Planning and Sup-
port Service",,"1,048,479,453.00","509,857,661.35","538,621,791.65",49,574,0
,Administrative Service,"1,014,694,780.00","498,513,326.35","516,181,453.65",49,574,0
,County Administration,"12,047,533.00","3,924,435.00","8,123,098.00",33,574,0
,County Radio Information Services,"21,737,140.00","7,419,900.00","14,317,240.00",34,574,0
"Coordination of
Policy Formulation
Implementation of
Vision 2030",,"5,000,000.00",-,"5,000,000.00",-,574,0
,Emergency & Disaster Fund,"5,000,000.00",-,"5,000,000.00",-,574,0
"Public Finance
Management",,"253,484,227.00","67,835,635.00","185,648,592.00",27,574,0
,Public Finance Management,"86,952,520.00","51,869,900.00","35,082,620.00",60,574,0
,Accounting Services,"123,619,752.00","1,146,685.00","122,473,067.00",1,574,0
,Audit Services,"4,414,440.00","3,410,170.00","1,004,270.00",77,574,0
,Budget Formulation Coordination,"8,777,515.00","5,377,480.00","3,400,035.00",61,574,0
,Resource Mobilisation,"23,110,000.00","2,022,500.00","21,087,500.00",9,574,0
,Budget Expenditure Management,"6,610,000.00","4,008,900.00","2,601,100.00",61,574,0
"County Planning
Services",,"6,866,845.00","1,634,100.00","5,232,745.00",24,574,0
,Monitoring and Evaluation,"2,666,845.00",-,"2,666,845.00",-,574,0
,"Coordination of Policy Formulation
and Plans","4,200,000.00","1,634,100.00","2,565,900.00",39,574,0
"Management and
Administration of
County Services",,"50,969,999.00","26,198,775.40","24,771,223.60",51,574,0
,County Executive,"27,199,999.00","13,067,623.40","14,132,375.60",48,574,0
,County Secretary,"10,170,000.00","6,239,531.00","3,930,469.00",61,574,0
,Legal Services,"13,600,000.00","6,891,621.00","6,708,379.00",51,574,0
"Administration,
Planning and Sup-
port Service",,"59,041,842.00","32,722,719.65","26,319,122.35",55,574,0
,Administrative Service,"59,041,842.00","32,722,719.65","26,319,122.35",55,574,0
903004860,,"45,600,000.00","5,934,200.00","39,665,800.00",13,574,0
,Promotion of Sports,"32,150,000.00","1,812,200.00","30,337,800.00",6,574,0
,Promotion of Culture and Heritage,"13,450,000.00","4,122,000.00","9,328,000.00",31,574,0
