Programme,Sub Programme,"Approved Budget
(Kshs)","Actual Expenditure
as of 31st March 2023
(Kshs)",Absorption (%),page_number,table_index
705003260,Leadership Development Programme,-,-,-,487,0
704003260,"General Administration and Management of County
Affairs","22,600,000","16,418,000",72.6,487,0
,Special Programmes Unit,"3,436,280",-,-,487,0
704003260,"General Administration and Management of County
Affairs","1,716,000",-,-,487,0
705003260,Leadership Development Programme,"1,720,280",-,-,487,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,487,0
,Service Delivery Unit,"562,000",-,-,487,0
704003260,"General Administration and Management of County
Affairs","562,000",-,-,487,0
,Industrialisation,-,-,-,487,0
705003260,Leadership Development Programme,-,-,-,487,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,487,0
704003260,"General Administration and Management of County
Affairs",-,-,-,487,0
,ICT,"5,472,500",-,-,487,0
704003260,"General Administration and Management of County
Affairs","5,472,500",-,-,487,0
703003260,"Decentralised Infrastructure development pro-
gramme",-,-,-,487,0
,,"1,859,001",-,-,487,0
704003260,"General Administration and Management of County
Affairs","1,859,001",-,-,487,0
,,"1,360,000",-,-,487,0
704003260,"General Administration and Management of County
Affairs","1,360,000",-,-,487,0
,,"13,620,000",-,-,487,0
704003260,"General Administration and Management of County
Affairs","13,620,000",-,-,487,0
,Headquarters,"24,101,855","5,400,000",22.4,487,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","24,101,855","5,400,000",22.4,487,0
701003260,General Administration support services,-,-,-,487,0
707003260,Treasury Development Programme,-,-,-,487,0
,County Emergency Fund,"30,000,000",-,-,487,0
701003260,General Administration support services,-,-,-,487,0
707003260,Treasury Development Programme,-,-,-,487,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","30,000,000",-,-,487,0
,Equalisation of Wards Infrastructure,-,-,-,487,0
707003260,Treasury Development Programme,-,-,-,487,0
,Planning,"20,305,000",-,-,487,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","20,305,000",-,-,487,0
707003260,Treasury Development Programme,-,-,-,487,0
,Gratuity Fund,-,-,-,487,0
706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,487,0
,County Executive Administration,"50,000,000","29,000,000",58.0,487,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","50,000,000","29,000,000",58.0,488,0
701003260,General Administration support services,-,-,-,488,0
,Internal Audit Services,"6,180,000",-,-,488,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","6,180,000",-,-,488,0
,Revenue Management,"25,046,250",-,-,488,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","25,046,250",-,-,488,0
701003260,General Administration support services,-,-,-,488,0
,Procurement,"3,844,462",-,-,488,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","3,844,462",-,-,488,0
,Accounting Services,"9,825,320",-,-,488,0
701003260,General Administration support services,-,-,-,488,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","9,825,320",-,-,488,0
,Kenya Devolution Support Programme,-,-,-,488,0
701003260,General Administration support services,-,-,-,488,0
706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,488,0
,,"361,014,458",-,-,488,0
707003260,Treasury Development Programme,"262,388,851",-,-,488,0
706003260,"General Administration, Planning, Internal Audit &
Support Services","98,625,607",-,-,488,0
,Headquarters,"26,845,000","3,000,000",11.2,488,0
104003260,Agricultural Development Programme,"20,500,000","3,000,000",14.6,488,0
102003260,Development programme,-,-,-,488,0
101003260,Administration Planning and Support Services,"6,345,000",-,-,488,0
,Livestock,"10,910,000",-,-,488,0
101003260,Administration Planning and Support Services,"9,210,000",-,-,488,0
102003260,Development programme,-,-,-,488,0
105003260,Livestock and Fisheries Development,"1,700,000",-,-,488,0
104003260,Agricultural Development Programme,-,-,-,488,0
,Fisheries,"545,000",-,-,488,0
105003260,Livestock and Fisheries Development,-,-,-,488,0
101003260,Administration Planning and Support Services,"545,000",-,-,488,0
102003260,Development programme,-,-,-,488,0
,Veterinary,"12,712,250",-,-,488,0
105003260,Livestock and Fisheries Development,"5,600,000",-,-,488,0
104003260,Agricultural Development Programme,-,-,-,488,0
102003260,Development programme,-,-,-,488,0
101003260,Administration Planning and Support Services,"7,112,250",-,-,488,0
,Agribusiness Project (EU Grant),"15,624,929",-,-,488,0
105003260,Livestock and Fisheries Development,"15,624,929",-,-,488,0
101003260,Administration Planning and Support Services,-,-,-,488,0
104003260,Agricultural Development Programme,-,-,-,488,0
102003260,Development programme,-,-,-,488,0
,Kenya Climate Smart Agric Program,"313,757,537","124,522,005",39.7,488,0
104003260,Agricultural Development Programme,-,-,-,488,0
105003260,Livestock and Fisheries Development,"313,757,537","124,522,005",39.7,488,0
1001003260,Water and Irrigation Development Programme,-,-,-,488,0
,Water,"25,563,197","17,921,715",70.1,488,0
105003260,Livestock and Fisheries Development,"25,563,197","17,921,715",70.1,488,0
104003260,Agricultural Development Programme,-,-,-,488,0
,Headquarters,-,-,-,488,0
101003260,Administration Planning and Support Services,-,-,-,488,0
105003260,Livestock and Fisheries Development,-,-,-,488,0
,Veterinary,-,-,-,488,0
101003260,Administration Planning and Support Services,-,-,-,489,0
105003260,Livestock and Fisheries Development,-,-,-,489,0
,Fisheries,-,-,-,489,0
101003260,Administration Planning and Support Services,-,-,-,489,0
105003260,Livestock and Fisheries Development,-,-,-,489,0
,Headquarters,"80,871,250",-,-,489,0
1002003260,"General Administration, Support and Support Ser-
vices","11,871,250",-,-,489,0
1001003260,Water and Irrigation Development Programme,"69,000,000",-,-,489,0
,Water Services,-,-,-,489,0
1002003260,"General Administration, Support and Support Ser-
vices",-,-,-,489,0
1001003260,Water and Irrigation Development Programme,-,-,-,489,0
,Bulk Water Project,"15,000,000",-,-,489,0
1001003260,Water and Irrigation Development Programme,"15,000,000",-,-,489,0
,Ambulance services,"971,396,430","300,208,691",30.9,489,0
1001003260,Water and Irrigation Development Programme,"971,396,430","300,208,691",30.9,489,0
,Public Health and Sanitation,"25,000,000",-,-,489,0
1001003260,Water and Irrigation Development Programme,"25,000,000",-,-,489,0
,Promotion of primary healthcare,"500,000",-,-,489,0
1001003260,Water and Irrigation Development Programme,"500,000",-,-,489,0
1002003260,"General Administration, Support and Support Ser-
vices",-,-,-,489,0
,Headquarters,"59,555,018",-,-,489,0
501003260,"General Administration, Planning and Support ser-
vices","16,055,018",-,-,489,0
1001003260,Water and Irrigation Development Programme,-,-,-,489,0
502003260,"Early Childhood Education and Youth Training De-
velopment Programme","43,500,000",-,-,489,0
,Polytechnics,"22,420,000",-,-,489,0
502003260,"Early Childhood Education and Youth Training De-
velopment Programme","20,000,000",-,-,489,0
501003260,"General Administration, Planning and Support ser-
vices","2,420,000",-,-,489,0
,Early Childhood Development,"1,225,000",-,-,489,0
502003260,"Early Childhood Education and Youth Training De-
velopment Programme",-,-,-,489,0
301003260,"General Administration and support services pro-
gramme",-,-,-,489,0
501003260,"General Administration, Planning and Support ser-
vices","1,225,000",-,-,489,0
,Library services,"520,000",-,-,489,0
502003260,"Early Childhood Education and Youth Training De-
velopment Programme",-,-,-,489,0
501003260,"General Administration, Planning and Support ser-
vices","520,000",-,-,489,0
,Education Fund,"130,000,000","111,586,455",85.8,489,0
502003260,"Early Childhood Education and Youth Training De-
velopment Programme",-,-,-,489,0
501003260,"General Administration, Planning and Support ser-
vices","130,000,000","111,586,455",85.8,489,0
,Energy,-,-,-,489,0
501003260,"General Administration, Planning and Support ser-
vices",-,-,-,489,0
502003260,"Early Childhood Education and Youth Training De-
velopment Programme",-,-,-,489,0
,Headquarters,"158,654,486","58,602,548",36.9,489,0
402003260,Health Development Programme,"69,732,800","54,000,000",77.4,489,0
706003260,"General Administration, Planning, Internal Audit &
Support Services",-,-,-,489,0
401003260,Administration and Support Services,"88,921,686","4,602,548",5.2,489,0
704003260,"General Administration and Management of County
Affairs",-,-,-,490,0
,Wesu Hospital,"462,500",-,-,490,0
401003260,Administration and Support Services,"462,500",-,-,490,0
,Moi Referral Hospital,"1,830,600",-,-,490,0
401003260,Administration and Support Services,"1,830,600",-,-,490,0
,Mwatate Hospital,-,-,-,490,0
401003260,Administration and Support Services,-,-,-,490,0
,,-,-,-,490,0
401003260,Administration and Support Services,-,-,-,490,0
,,"37,500",-,-,490,0
401003260,Administration and Support Services,"37,500",-,-,490,0
,,-,-,-,490,0
401003260,Administration and Support Services,-,-,-,490,0
,,-,-,-,490,0
401003260,Administration and Support Services,-,-,-,490,0
,,"566,000",-,-,490,0
401003260,Administration and Support Services,"566,000",-,-,490,0
,,"750,000",-,-,490,0
401003260,Administration and Support Services,"750,000",-,-,490,0
,,"80,175,000","80,175,000",100.0,490,0
401003260,Administration and Support Services,"80,175,000","80,175,000",100.0,490,0
402003260,Health Development Programme,-,-,-,490,0
,Headquarters,"13,277,722","9,277,722",69.9,490,0
302003260,Trade Development programme.,"5,000,000","1,000,000",20.0,490,0
301003260,"General Administration and support services pro-
gramme","8,277,722","8,277,722",100.0,490,0
,Trade,"700,000",-,-,490,0
301003260,"General Administration and support services pro-
gramme","700,000",-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
,Sports,-,-,-,490,0
301003260,"General Administration and support services pro-
gramme",-,-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
,Gender,-,-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
301003260,"General Administration and support services pro-
gramme",-,-,-,490,0
,Cooperative,"2,061,335",-,-,490,0
301003260,"General Administration and support services pro-
gramme","2,061,335",-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
,Youth Development,-,-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
301003260,"General Administration and support services pro-
gramme",-,-,-,490,0
,Culture,-,-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
301003260,"General Administration and support services pro-
gramme",-,-,-,490,0
,Markets,"1,630,879",-,-,490,0
301003260,"General Administration and support services pro-
gramme","1,630,879",-,-,490,0
,,"800,000",-,-,490,0
301003260,"General Administration and support services pro-
gramme","800,000",-,-,490,0
302003260,Trade Development programme.,-,-,-,490,0
,Weights and Measures,"625,452",-,-,490,0
301003260,"General Administration and support services pro-
gramme","625,452",-,-,491,0
,,-,-,-,491,0
302003260,Trade Development programme.,-,-,-,491,0
301003260,"General Administration and support services pro-
gramme",-,-,-,491,0
,Liquor Control and Licensing Fund,"3,350,000",-,-,491,0
301003260,"General Administration and support services pro-
gramme","3,350,000",-,-,491,0
,,"3,484,630",-,-,491,0
302003260,Trade Development programme.,"2,000,000",-,-,491,0
301003260,"General Administration and support services pro-
gramme","1,484,630",-,-,491,0
,Headquarters,"26,176,831","3,420,825",13.1,491,0
703003260,"Decentralised Infrastructure development pro-
gramme","2,500,000",-,-,491,0
701003260,General Administration support services,"23,676,831","3,420,825",14.4,491,0
,Headquarters,"35,545,000",-,-,491,0
101003260,Administration Planning and Support Services,"35,545,000",-,-,491,0
,ICT,-,-,-,491,0
101003260,Administration Planning and Support Services,-,-,-,491,0
103003260,Infrastructure Development programme,-,-,-,491,0
,Roads,"131,999,503",-,-,491,0
102003260,Development programme,"83,400,000",-,-,491,0
103003260,Infrastructure Development programme,-,-,-,491,0
101003260,Administration Planning and Support Services,"48,599,503",-,-,491,0
,Housing,-,-,-,491,0
101003260,Administration Planning and Support Services,-,-,-,491,0
102003260,Development programme,-,-,-,491,0
103003260,Infrastructure Development programme,-,-,-,491,0
,Public Works,"6,636,000",-,-,491,0
101003260,Administration Planning and Support Services,"4,836,000",-,-,491,0
103003260,Infrastructure Development programme,-,-,-,491,0
102003260,Development programme,"1,800,000",-,-,491,0
,Defunct Local Authorities,-,-,-,491,0
302003260,Trade Development programme.,-,-,-,491,0
103003260,Infrastructure Development programme,-,-,-,491,0
,Headquarters,"22,763,000",-,-,491,0
1003003260,Natural Resources Support Programme,-,-,-,491,0
301003260,"General Administration and support services pro-
gramme",-,-,-,491,0
102003260,Development programme,"6,000,000",-,-,491,0
101003260,Administration Planning and Support Services,"16,763,000",-,-,491,0
,Mwatate Municipal Administration,"32,785,880","10,571,576",32.2,491,0
101003260,Administration Planning and Support Services,-,-,-,491,0
102003260,Development programme,"32,785,880","10,571,576",32.2,491,0
1003003260,Natural Resources Support Programme,-,-,-,491,0
,,"23,770,000",-,-,491,0
101003260,Administration Planning and Support Services,"2,770,000",-,-,491,0
1003003260,Natural Resources Support Programme,-,-,-,491,0
102003260,Development programme,"21,000,000",-,-,491,0
,,"32,485,000","22,268,800",68.6,491,0
101003260,Administration Planning and Support Services,"32,485,000","22,268,800",68.6,491,0
102003260,Development programme,-,-,-,491,0
,Environment and Natural Resources,-,-,-,491,0
101003260,Administration Planning and Support Services,-,-,-,491,0
1003003260,Natural Resources Support Programme,-,-,-,491,0
,,"63,500,000","6,730,570",10.6,491,0
102003260,Development programme,"63,500,000","6,730,570",10.6,491,0
