Program,Sub Program,Revised Estimates,col_3,Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"Promotion of Live-
stock Production
Value Chains","10,562,054.00","12,500,000.00","161,988.85",-,1.5,,229,0
106005068,,"1,100,000.00",-,-,-,-,,229,0
,"Agriculture input
Access",-,-,-,-,,,229,0
,"Agriculture Credit
Access","1,100,000.00",-,-,-,-,,229,0
107005068,,"1,000,000.00","2,000,000.00",-,-,-,,229,0
,"Promotion value
addition","500,000.00","2,000,000.00",-,-,-,,229,0
,"Promotion of
Agribusiness","500,000.00",-,-,-,-,,229,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",230,0
203005068,,-,-,"(230,034.00)",-,,,230,0
,"Administrative
services",-,-,"(230,034.00)",-,,,230,0
701005068,,"6,900,000.00",-,"587,300.00",-,8.5,,230,0
,"Human Resource
development
services","6,900,000.00",-,"587,300.00",-,8.5,,230,0
707005068,,"1,300,000.00",-,-,-,-,,230,0
,"Management In-
formation System","1,300,000.00",-,-,-,-,,230,0
,,"205,806,927.00","498,775,932.00","140,575,350.00","74,838,368.00",68.3,15.0,230,0
Vote,"Policy Planning &
Administration",,,,,,,230,0
Program,"Sustainable Access
to Safe Water",,,,,,,230,0
101005069,,"386,315,031.00",-,"196,087,485.00",-,50.8,,230,0
,"Environment
Conservation Of
Natural Resources","386,315,031.00",-,"196,087,485.00",-,50.8,,230,0
208005069,,"11,385,000.00",-,"679,280.00",-,6.0,,230,0
,ICT Services,"11,385,000.00",-,"679,280.00",-,6.0,,230,0
502005069,,"3,680,000.00",-,"857,550.00",-,23.3,,230,0
,"Youth Polytechnics
Services","3,680,000.00",-,"857,550.00",-,23.3,,230,0
504005069,,"2,270,000.00",-,"396,800.00",-,17.5,,230,0
,"Gender & Disabili-
ty Mainstreaming","2,270,000.00",-,"396,800.00",-,17.5,,230,0
,"Social Dev. Facil-
ities",0,-,-,-,,,230,0
505005069,,"208,349,001.00","62,249,894.00","102,770,800.00",-,49.3,-,230,0
,"Early Child Edu-
cation","208,349,001.00","62,249,894.00","102,770,800.00",-,49.3,-,230,0
517005069,,"2,610,000.00","61,453,192.00","218,200.00","22,275,000.00",8.4,36.2,230,0
,"Sports Manage-
ment","2,610,000.00","61,453,192.00","218,200.00","22,275,000.00",8.4,36.2,230,0
701005069,,"970,000.00",-,-,-,-,,230,0
,Sports Academy,"970,000.00",-,-,-,-,,230,0
,,"615,579,032.00","123,703,086.00","301,010,115.00","22,275,000.00",48.9,18.0,230,0
Vote,"ECD Equipping/
Teaching Materials",,,,,,,230,0
Program,"ECD Feeding
Programme",,,,,,,230,0
101005070,,"39,455,912.00",-,"6,375,684.00",-,16.2,,230,0
,"Routine Nutrition-
al Survey","39,455,912.00",-,"6,375,684.00",-,16.2,,230,0
105005070,"Skill Gap Analysis
in Youth Polytech-
nics","23,025,884.00",-,"5,662,402.00",-,24.6,,230,0
,,-,-,-,-,,,230,0
,,Recurrent,Development,Recurrent,Development,"Recur-
rent
Expen-
diture","Devel-
opment
Expendi-
ture",231,0
,"Youth Training and
Legislation","23,025,884.00",-,"5,662,402.00",-,24.6,,231,0
205005070,,"1,400,000.00",-,"9,000.00",-,0.6,,231,0
,"Human Resource
development
services","1,400,000.00",-,"9,000.00",-,0.6,,231,0
206005070,Administration,"200,000.00",-,-,-,-,,231,0
,"Social Responsi-
bility Including
Civic and Public
Engagement","200,000.00",-,-,-,-,,231,0
301005070,"General Admin-
istration and
Support services","6,493,322.00",-,"21,000.00",-,0.3,,231,0
,,"6,493,322.00",-,"21,000.00",-,0.3,,231,0
