Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q3 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"0207010 SP 1: General
Administration, Planning
And Support Services",5317000100 Headquarters,"1,014,711,402","319,655,202","695,056,200",31.5,385,0
"0211015310 sp 5.1
Construction Roads &
Drainages & Maintenance",5317000200 Roads,"1,683,566,420","930,000","1,682,636,420",0.1,385,0
"0212015310 sp 6.1
Transport Facilities &
Traffic Management",5317000300 Transport,"760,722,444","141,834,205","618,888,239",18.6,385,0
,5317000400 Public Works,"62,218,517",-,"62,218,517",-,385,0
"0213015310 sp 7.1 Public
Streetlighting Installations
& Maintenances",5317000800 Electrical,"384,000,208",-,"384,000,208",-,385,0
"0213025310 sp 7.2 Motor
Vehicle, Machinery &
Plant Maintenance","5317000900 Garage/Trans-
portaion","15,800,097",-,"15,800,097",-,385,0
"0213035310 sp 7.3 Institu-
tional Buildings Mainte-
nance",5317001000 Building Works,"13,786,878",-,"13,786,878",-,385,0
,"5317001200 Road Mainte-
nance Levy","1,127,000,000","927,334,931","199,665,069",82.3,385,0
,"Total 5317000000 PUBLIC
WORKS, TRANSPORT &
INFRASTRUCTURE","5,061,805,966","1,389,754,338","3,672,051,628",27.5,385,0
"0508005310 General
administration, planning
and support services","0508025310 sp 8.2 General
Administration & Support
Services","1,909,625,209","1,274,795,309","634,829,900",66.8,386,0
"0509005310 P9
Education services","0509015310 sp 9.1 Quality
Assurance and Co-curric-
ulum","339,228","146,300","192,928",43.1,386,0
,"0509025310 sp 9.2 Early
Childhood Development
Centres","449,841,331","111,817,283","338,024,048",24.9,386,0
,"0509035310 sp 9.3 Technical
and Vocational Training","76,005,445","1,139,700","74,865,745",1.5,386,0
"0902005310 2.1
Social Services","0902015310 General Admin-
istration & Support Services","180,943,809","127,902,201","53,041,608",70.7,386,0
,"0902025310 Sp.2.2 Gender
and Community Empow-
erment","760,026",-,"760,026",-,386,0
,"0902035310 Sp2.3 Devel-
opment and promotion of
culture/ heritage",-,-,-,-,386,0
,"0902045310 Sp2.4 Devel-
opment and promotion of
sports","350,163,678","94,647,045","255,516,634",27.0,386,0
,"0902055310 Sp2.5 Youth
Empowerment and Promo-
tion","43,955,077","1,367,800","42,587,277",3.1,386,0
,"0902065310 Sp 2.6 Social
welfare and care for the Aged","35,579,142","2,185,700","33,393,442",6.1,386,0
,"0902075310 Sp 2.7 Promo-
tion of Library and Informa-
tion Services","2,999,990",-,"2,999,990",-,386,0
,"0902085310 Sp.2 8 Rescue
and Rehabilitation of Chil-
dren Services","23,339,366","1,948,842","21,390,524",8.4,386,0
,"Total 5318000000 EDUCA-
TION, YOUTH AFFAIRS,
SPORTS, CULTURE &
SOCIAL SERVICES","3,073,552,301","1,615,950,179","1,457,602,122",52.6,386,0
"0301000 P.1 General
Administration Planning
and Support Services","0301010 SP1 General Ad-
ministration Planning and
Support Services","223,072,543","200,293,317","22,779,226",89.8,386,0
"0310005310 P.10
Cooperative Development
and Audit Services","0310015310 sp 10.1 Cooper-
ative Development Services","4,292,326","1,606,400","2,685,926",37.4,386,0
,"0310025310 sp 10.2 Cooper-
ative Audit Services","2,420,819","90,000","2,330,819",3.7,386,0
"0311005310 P.11 Tourism
Promotion and Marketing","0311015310 sp 11.1 Tourism
Development","6,155,512","1,085,300","5,070,212",17.6,386,0
"0312005310 P.12 Trade
Development and
Market Services","0312015310 sp 12.1 Trade
Development","222,115,357","33,031,544","189,083,813",14.9,386,0
,"0312025310 sp 12.2 Market
Services","225,839,758","1,887,300","223,952,458",0.8,386,0
,"0313025310 sp 13.2 Weights
& Measures Services","34,509,044","223,900","34,285,144",0.6,387,0
,"0313035310 sp 13.3 Trade
Licensing Services","39,813,397","896,000","38,917,397",2.3,387,0
,"0313045310 sp 13.4 Betting
& Gaming Services","7,312,220","188,400","7,123,820",2.6,387,0
,"Total 5319000000 TRADE,
COMMERCE, TOURISM &
COOPERATIVES","765,530,976","239,302,161","526,228,815",31.3,387,0
"0701000 P1 General
Administration Planning
and Support Services","0701010 SP.1.1 General Ad-
ministration Planning and
Support Services","848,890,631","250,235,174","598,655,457",29.5,387,0
"0710000 P 5: Public
Service Transformation","0710010 S.P.5.1 Human
Resource Management","1,414,653,983","692,831,618","721,822,365",49.0,387,0
,"0710020 S.P.5.2 Human
Resource Development","95,959,112","26,413,867","69,545,245",27.5,387,0
"0723005310 P
23 Performance
Management and Public
Service Delivery","0723015310 sp 23.1
Performance Contracting
management","8,296,507","645,800","7,650,707",7.8,387,0
,"0723025310 sp 23.2 Gov-
ernance Monitoring and
Evaluation","4,947,176","409,500","4,537,676",8.3,387,0
,"0723035310 sp 23.3 Quality
Management Systems and
ISO certification","2,340,488","39,600","2,300,888",1.7,387,0
,"Total 5320000000 PUBLIC
SERVICE MANAGEMENT","2,375,087,897","970,575,559","1,404,512,338",40.9,387,0
"0106000 P 6 General
Administration Planning
and Support Services","0106010 SP.6.1 Administra-
tion, Planning & Support
Services","202,305,718","104,686,570","97,619,148",51.7,387,0
"P;0119005310:Urban
Agriculture Promotion
& Regulation","019015310: Crop Develop-
ment and Management","23,150,531","1,223,979","21,926,552",5.3,387,0
,"0119025310: Fisheries De-
velopment and Management","23,006,605","114,050","22,892,555",0.5,387,0
,"0119035310: Livestock
Resources management and
development","18,053,575","428,000","17,625,575",2.4,387,0
,"5321000800 Agricultur-
al Development Support
Project","71,030,327","32,017,925","39,012,402",45.1,387,0
"0116005310 P.10:Animal
Health, Safety and
Quality Assurance","0116015310 sp 10.1 Animal
Research, Diseases, Pest
Control & Quality Assurance","27,539,330","508,022","27,031,308",1.8,387,0
"0117005310
P.11:Aforestation","0117015310 sp 11.1 Forestry
Services",-,-,-,-,387,0
"0118015310 Food Systems
and Surveillance","0118015310 sp18:1 Food
Systems and Surveillance
Services","4,444,791","226,300","4,218,491",5.1,387,0
"Total 5321000000
AGRICULTURE,
LIVESTOCK
DEVELOPMENT,
FISHERIES & FORESTRY",,"369,530,877","139,204,846","230,326,031",37.7,388,0
,,-,-,-,-,388,0
"1001015310 Sp1 General
Administration & Support
Services",5323000100 Headquarters,"641,652,551","252,153,263","389,499,288",39.3,388,0
"1002035310 sp 2.3 Solid
waste management","5323000300 Solid Waste
Management Section","2,915,827,449","34,271,020","2,881,556,430",1.2,388,0
"1002045310 sp 2.4
Beautification, Recreation
and Greening Services","5323000200 Parks & Open
Spaces Section","110,950,000",-,"110,950,000",-,388,0
"1002055310 sp 2.5
Environment Planning
Management Services","5323000400 Environmental
Monitoring Compliance &
Enforcement","35,000,000",-,"35,000,000",-,388,0
"1004055310 sp 4.5 Energy
& Natural resources","5323000500 Energy & Natu-
ral resources department","191,640,956",-,"191,640,956",-,388,0
"0117015310 sp 11.1
Forestry Services","5321000700 Forestry De-
partment","10,623,549",-,"10,623,549",-,388,0
,"Total 5323000000 EN-
VIRONMENT, WATER,
ENERGY & NATURAL
RESOURCES","3,905,694,505","286,424,283","3,619,270,222",7.3,388,0
,,-,-,-,-,388,0
"0102045310 SP4 Urban
Renewal",5324000200 Urban Renewal,"17,198,128","582,320","16,615,808",3.4,388,0
,"5324000300 Housing Devel-
opment","221,500,000",-,"221,500,000",-,388,0
"0113015310 sp 7.1
Building services research
and information","5324000400 Building Ser-
vices Department","15,233,423",-,"15,233,423",-,388,0
"Total 5324000000
URBAN RENEWAL
AND HOUSING",,"253,931,551","582,320","253,349,231",0.2,388,0
"0214005310 P8: Ward
Development","0214015310 sp 8.1 Ward De-
velopment & Administration","1,565,278,256","194,684,996","1,370,593,260",12.4,388,0
,"D5325 WARD DEVELOP-
MENT PROGRAMMES","1,565,278,256","194,684,996","1,370,593,260",12.4,388,0
"0313015310 sp 13.1 Liquor
Licensing & Regulation","0313015310 sp 13.1 Liquor
Licensing & Regulation","250,000,000","105,147,114","144,852,886",42.1,388,0
,"Total 5327000000 LIQUOR
LICENSING BOARD","250,000,000","105,147,114","144,852,886",42.1,388,0
"07220001 Legislation,
Oversight and
Representation","07220001 Legislation, Over-
sight and Representation","3,485,288,302","1,242,470,048","2,242,818,254",35.6,388,0
,Total COUNTY ASSEMBLY,"3,485,288,302","1,242,470,048","2,242,818,254",35.6,388,0
,"5328000100 Nairobi Metro-
politan Services","5,236,639,977","4,557,232,909","679,407,068",87.0,388,0
