Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expenditure as of
31st March 2023
(Kshs.)","Absorption
Rate (%)",page_number,table_index,col_5,col_4
,SP 6.5 Tractor Hire Services,"5,000,000",-,-,62,0,,
,"SP 6.8 Operational Development
(CFF)","10,300,000",-,-,62,0,,
,NARIGP,"332,916,544","152,274,184",45.7,62,0,,
,ASDSP II,"30,756,000",-,-,62,0,,
,Ward Based Projects,"11,058,000",-,-,62,0,,
Sub Total,,"1,232,138,834","438,958,027",35.6,62,0,,
Department of Health and Sanitation,,,,,62,0,,
"Programme1: General Admin-
istration and Planning, and
Support Services","SP 1: Health Administration Plan-
ning and Support Services","412,857,131","46,313,750",11.2,62,0,,
,Human Resources,"2,416,604,147","1,572,924,345",65.1,62,0,,
,SP3.Health Infrastructure,"191,976,917","20,082,956",10.5,62,0,,
"Programme 2: Preventive Pro-
motive and Rehabilitative",SP 2: Health Promotion Services,"6,000,000",-,-,62,0,,
,SP 3: Disease Surveillance,"2,746,938",-,-,62,0,,
,SP 4: Community Health Services,"78,072,000",-,-,62,0,,
,Capacity Building of CHVs,"10,000,000",-,-,62,0,,
,Retooling of CHV Kits,"10,000,000",-,-,62,0,,
,HIV/AIDS Awareness.,"300,000",-,-,62,0,,
Programme 3: Curative,SP 3: Routine Medical Services,"424,865,820",-,-,63,0,,
,SP 3: Blood Bank Services,"10,000,000",-,-,63,0,,
,Referral Strategy,"987,751",-,-,63,0,,
"Programme 5: Maternal and
Child Health",SP 5: Maternity Services,"52,969,787",-,-,63,0,,
,SP 5: Immunization Services,"1,500,000",-,-,63,0,,
,Sanitation Management,"8,000,916",-,-,63,0,,
Sub-Total,,"3,626,881,407","1,639,321,050",45.2,63,0,,
Department of Roads & Public Works,,,,,63,0,,
"Transport Infrastructure De-
velopment and Management","Transport Infrastructure Develop-
ment and Management","964,151,137","66,179,354",6.9,63,0,,
"Public Safety and Transport
Operations","Public Safety and Transport Opera-
tions","6,820,194",-,-,63,0,,
"Building Standards and Other
Civil Works","Building Standards and Other Civil
Works","2,423,736",-,-,63,0,,
"General Administration, Plan-
ning and Support Services","General Administration, Planning
and Support Services","163,963,787","94,695,594",57.8,63,0,,
,Sub-Total,"1,137,358,854","160,874,948",14.1,63,0,,
Department of Water & Tourism,,,,,63,0,,
"Programme 1: General Admin-
istration Planning and Support
Services",SP. Human Resources Management,"64,736,155","34,794,576",53.7,63,0,,
,"SP. Policy and Legal Framework
Formulation","800,000",-,-,63,0,,
,"SP. Marking of International/National
Events","3,900,000",-,-,63,0,,
,SP. Annual Devolution Conference,"3,000,000",-,-,63,0,,
"Programme 2: Water and Sew-
erage Services Management",SP Water Services Provision,"342,748,647","74,704,299",21.8,63,0,,
,"SP. Stakeholders Engagement (Water
Users Association)","4,800,000",-,-,63,0,,
,SP. Sub-County Operations,"3,200,000",-,-,63,0,,
,"SP. Routine Maintenance of Water
Supplies","2,400,000",-,-,63,0,,
,"SP. Office Operation and Mainte-
nance","87,378,695","33,202,432",38.0,63,0,,
"Programme 3: Integrated Solid
Waste Management",SP. Dumpsite Management,"12,850,705",-,-,63,0,,
,"SP. Garbage Collection and Trans-
portation","225,877,107","150,658,618",66.7,63,0,,
Sub-Total,,"751,691,309","293,359,924",39.0,63,0,,
Department of Education & Vocational,,,,,63,0,,
"Programme 1: Policy, Planning
and General Administration",SP 1: Salaries and Allowances,"1,021,542,129","696,422,834",68.2,63,0,,
,SP 2: Policy Formulation,"3,000,000",-,-,63,0,,
,"SP3: Administration and Support
Services","30,656,647","25,404,147",82.9,63,0,,
,SP7: Pre-Feasibility Studies,"2,000,000",-,-,63,0,,
,SP8: Good Governance,"2,000,000",-,-,63,0,,
"Programme 2: Early Childhood
Education Development","Sp1: Quality Assurance and Stan-
dards","2,000,000",-,-,64,0,,
,Sp2: Curriculum,"2,000,000",-,-,64,0,,
,Sp3:Llearning Materials,"3,000,000",-,-,64,0,,
,SP5: Monitoring and Evaluation,"3,000,000",-,-,64,0,,
,"SP 5: Capacity Building for ECDE
Teachers","4,000,000",-,-,64,0,,
,SP6 : Infrastructure Development,"134,417,000",-,-,64,0,,
,SP7: Pending Bills,"69,644,139","30,544,895",43.9,64,0,,
"Programme 3: Vocational Edu-
cation and Training",Sp1: Tuition Support Grant,"30,000,000",-,-,64,0,,
,"Sp4: Quality Assurance and Stan-
dards","2,000,000",-,-,64,0,,
,"SP5: Joint Vocational Training Grad-
uation","3,500,000",-,-,64,0,,
,"SP6: Capacity Building for VTC
Instructors","3,500,000",-,-,64,0,,
,SP7: Monitoring and Evaluation,"3,000,000",-,-,64,0,,
"Programme 4: Education Sup-
port Programme","Sp1: Education Support and Bursary
Scheme","524,000,000","200,000,000",38.2,64,0,,
Sub-Total,,"1,843,259,915","952,371,876",51.7,64,0,,
Department of Trade & Industrialization,,,,,64,0,,
"Market Infrastructure Devel-
opment",Market Infrastructure Development,"7,000,000",-,-,64,0,,
"Energy Development and
Management","Energy Development and Manage-
ment","168,746,000","11,803,316",7.0,64,0,,
Salaries and Emoluments,Salaries and Emoluments,"23,722,331","16,517,637",69.6,64,0,,
"General Administration, Plan-
ning and Support Services","General Administration, Planning
and Support Services","41,039,855","21,222,093",51.7,64,0,,
CEF,CEF,"32,495,000",-,-,64,0,,
Supplier’s Credit,Supplier’s Credit,"15,870,671",-,-,64,0,,
Sub-Total,,"288,873,857","49,543,046",17.2,64,0,,
Department of Lands & Urban Planning,,,,,64,0,,
"Programme 1: General Ad-
ministration, Planning and
Support services","SP 1: Institutional accountability,
efficiency and effectiveness in service
delivery","66,696,902","30,262,094",45.4,64,0,,
,"SP 2: Human Resource Development
and Management","3,200,000",-,-,64,0,,
"Programme 2: Land Resource
Survey/Mapping and Manage-
ment",SP 1: Ward-Based Projects,"45,707,653",-,-,64,0,,
"Programme 3: County Physical
Planning and Infrastructure","SP 1: Physical Planning and Urban
Development","10,027,709","4,321,324",43.1,64,0,,
Sub-Total,,"125,632,264","34,583,418",27.5,64,0,,
Department of Housing,,,,,64,0,,
"Programme 1 General Ad-
ministration, Planning and
Support Services",SP 1: Salaries and Emoluments,"9,165,048","6,176,042",67.4,64,0,,
,SP 2: Administrative Services,"19,947,071","9,549,686",47.9,64,0,,
,SP 3: Research and Development,"7,927,456",-,-,64,0,,
,"SP 4: Human Resource Development
and Management","1,000,000",-,-,64,0,,
"Programme 2 Housing Devel-
opment and Human Settlement",SP 1: Estate Management,"9,705,281","1,737,722",17.9,64,0,,
,,,,,64,0,39,
,SP 2: Housing Development,"163,349,791",-,-,65,0,,
Sub-Total,,"211,094,647","17,463,450",8.3,65,0,,
Department of Bungoma Municipality,,,,,65,0,,
"Programme I: Urban Economy,
General Administration, Plan-
ning and Support Services","SP 1.1: Human Resource Capacity
Development and Management","13,802,313","5,830,170",42.2,65,0,,
,"SP 1.2: General Administration and
Support Services (Inclusive of per-
sonnel emoluments)","14,290,922","8,796,505",61.6,65,0,,
,"SP 1.3: Planning and Financial Man-
agement","3,250,000",-,-,65,0,,
,"SP 1.4: Institutional Accountability,
Leadership, Efficiency and Effective-
ness","4,500,000",-,-,65,0,,
"Programme III: Urban Infra-
structure Development and
Management","SP 3.1: Urban Transport and Infra-
structure","315,642,530",-,--,65,0,,
Sub-Total,,"351,485,765","14,626,675",4.2,65,0,,
Department of Kimilili Municipality,,,,,65,0,,
"Programme 1: General Ad-
ministration, Planning and
Support services","SP1: General Administration Plan-
ning and Support Services (Inclusive
of salary)","27,079,833","13,226,850",48.8,65,0,,
,SP2: Administration and HR Services,"11,136,000",-,-,65,0,,
"Programme 2: Urban Infra-
structure Development and
Management","Infrastructure. Housing and Public
works","567,006,389",-,-,65,0,,
,,"605,222,222","13,226,850",2.2,65,0,,
Sub-Total,,"1,293,434,898","79,900,393",6.2,65,0,,
Department of Finance & Planning,,,,,65,0,,
"Economic Development
Planning and Coordination
Services","Economic Development Planning
and Coordination Services","131,466,381",,87.8,65,0,,"115,489,598"
"Monitoring and Evaluation
Services",Monitoring and Evaluation Services,"57,370,773",,88.2,65,0,,"50,580,703"
Public Finance Management,Public Finance Management,-,,-,65,0,,-
"General Administration, Plan-
ning, Policy Coordination and
Support Services","General Administration, Planning,
Policy Coordination and Support
Services","1,288,879,290",,64.5,65,0,,"831,103,867"
Ward Based Projects,Ward Based Projects,"155,867,884",,22.5,65,0,,"35,132,572"
Sub-Total,,"1,633,584,328",,63.2,65,0,,"1,032,306,739"
Department of Public Administration,,,,,65,0,,
"Public Service Management
and Administration","General Administration, Planning
and Support services","525,392,013","226,231,196",43.1,65,0,,
,"Public Participation, Civic Education
and outreach services","14,000,000",-,-,65,0,,
,"General Administration, Planning
and Support services","134,451,013","78,338,578",58.3,65,0,,
,"Kenya Devolution Support Pro-
gramme","52,805,780","14,927,682",28.3,65,0,,
,"ICT and Information Management
Services","32,270,522","5,573,800",17.3,65,0,,
Sub-Total,,"758,919,328","325,071,256",42.8,66,0,,
"Department Gender, Youth & Sports",,,,,66,0,,
"Programme 1: General Ad-
ministration, Planning and
Support services",SP 1. 2. Compensation to employees,"46,089,943","26,813,016",58.2,66,0,,
,1.8 General Administration,"56,692,714","52,975,930",93.4,66,0,,
"Programme 2: Cultural Devel-
opment and Management","SP 2. 1Development Historical and
cultural sites","20,000,000",-,-,66,0,,
,"SP 2. 2. Promotion of Communities’
Culture","8,600,000","8,600,000",100.0,66,0,,
,"SP 2.3 Sports and Cultural Associa-
tion","7,500,000","7,500,000",100.0,66,0,,
,SP2.4 Liquor and Licensing,"2,000,000",-,-,66,0,,
"Programme:3.0 Gender
Equality and Empowerment of
Vulnerable Groups",Sp3.1 Gender Equality Framework,"1,000,000",-,-,66,0,,
,Sp3.2 Gender Empowerment,"4,200,000",-,-,66,0,,
,Sp3.3Gender Mainstreaming,"1,000,000",-,-,66,0,,
"Programme4.0 Sports Facility
Development and Management",Sp 4.1Development of Sports Facility,"178,268,504","95,957,458",53.8,66,0,,
"Programme5.0 Sports Talent
Development and Management","5.1Sports and Talent development
established","6,000,000",-,-,66,0,,
"Programme6.0 Youth Develop-
ment and Management",sp.6.1 Youth Development Services,"11,000,000",-,-,66,0,,
Sub-Total,,"342,351,161","191,846,404",56.0,66,0,,
Department of Public Service Board,,,,,66,0,,
"Programme 1: General Ad-
ministration, Planning and
Support services",SP 1. 1 Administrative service,"35,375,761","22,671,128",64.1,66,0,,
"Programme 2: (Human
Resource Management and
Development)","SP 2. 1 Human Resource Manage-
ment","8,390,850","4,496,446",53.6,66,0,,
"Programme 3:Governors and
National Values",SP 3. 1Quality Assurance,"4,760,856",-,-,66,0,,
,"SP 3. 2 Ethics Governors and Na-
tional","5,518,738",-,-,66,0,,
"Programme 4: Service Delivery
and Organisational Transfor-
mation",Construction of Office Block,"10,000,000","3,346,658",33.5,66,0,,
Sub-Total,,"64,046,205","30,514,231",47.6,66,0,,
Department of Governor’s & Deputy Governor's,,,,,66,0,,
"General Administration, Plan-
ning and Support Services","General Administration, Planning
and Support Services","464,718,284","368,803,435",79.4,66,0,,
"County Executive Committee
Affairs",County Executive Committee Affairs,"25,021,324",-,-,66,0,,
"County Strategic and Service
Delivery Coordination","County Strategic and Service Deliv-
ery Coordination","52,679,536",-,-,66,0,,
"General Administration, Plan-
ning and Support Services","General Administration, Planning
and Support Services","7,821,258","6,048,203",77.3,66,0,,
"County Strategic and Service
Delivery Coordination","County Strategic and Service Deliv-
ery Coordination","4,070,063","3,485,823",85.6,66,0,,
,Sub-Total,"554,310,465","378,337,461",68.3,66,0,,
County Assembly,,,,,66,0,,
"General Administration and
Support Services","General Administration and Support
Services","955,118,257","505,931,296",53.0,66,0,,
