Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 31st
March 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"P3: ECDE and
Tertiary Education
(Polytechnics)","SP3.1: ECDE and
Tertiary Education
(Polytechnics)","236,569,487","21,027,757","98,557,223",-,41.7,-,100,0
Sub Total,,"430,126,340","38,232,285","179,194,950",-,41.7,-,100,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Development
Expenditure",101,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,,,101,0
"P1: General Adminis-
tration, Planning and
Support Services","SP1.1 General Ad-
ministration and
Support Services","13,616,671","7,155,097","11,022,844",-,81.0,-,101,0
"P2: Physical
Planning and Urban
Development","SP2.1: Physical
Planning and
Urban Planning","24,968,540","13,120,118","20,212,307",-,81.0,-,101,0
,"SP2.2: Survey and
mapping","15,842,673","8,324,785","12,824,817",-,81.0,-,101,0
Sub Total,,"54,427,884","28,600,000","44,059,968",-,81.0,-,101,0
YOUTH EMPOWERMENT AND SPORTS,,,,,,,,101,0
"P1: Youth Develop-
ment and Empower-
ment Services","SP5.1: Youth
Development and
Empowerment
Services","10,932,280","23,325,000","3,909,034","5,932,100",35.8,25.4,101,0
"P2: Management
and Development
of Sports and
Sports Facilities","SP5.1: Community
Sports programme","8,745,824","18,660,000","3,127,227","4,745,680",35.8,25.4,101,0
"P3: General
Administration
Planning and
Support Services","SP3.1: General
Administration
services","2,186,456","4,665,000","781,807","1,186,420",35.8,25.4,101,0
Sub Total,,"21,864,560","46,650,000","7,818,068","11,864,200",35.8,25.4,101,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,,,101,0
"P1: General Adminis-
tration, Planning and
Support Services","SP1.1: Revenue
Management
Services","5,700,059","1,459,215","315,875",-,5.5,-,101,0
,"SP1.2: Revenue
Management
Services","25,549,941","6,540,785","1,415,876",-,5.5,-,101,0
Sub Total,,"31,250,000","8,000,000","1,731,751",-,5.5,-,101,0
EMBU - EMBU MUNICIPAL BOARD,,,,,,,,101,0
"P1: General Adminis-
tration Planning and
Support Services","SP: 1: General
Administration
Planning and Sup-
port Services","1,103,586","2,936,100","75,010",-,6.8,-,101,0
"P2: Road Transport
Infrastructure and
Public Works","SP2.1: Road
Transport Infra-
structure","16,195,852","43,089,209","1,100,824",-,6.8,-,101,0
,"SP2.2: Public
Works","243,362","647,466","16,541",-,6.8,-,101,0
Sub Total,,"17,542,800","46,672,775","1,192,375",-,6.8,-,101,0
