Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 31st March
2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"P: Economic
Policy and County
Planning","SP: Monitoring and
Evaluation Services","2,850,000",-,"784,000",-,27.5,-,516,0
,"SP: Economic
Development, Planning
and Coordination
Services","3,200,000",-,"1,252,700",-,39.1,-,516,0
,"SP: County Statistics
Services","1,900,000",-,"1,235,400",-,65,-,516,0
"P: Financial
Management
Services","SP: Supply Chain
Management Services","1,900,000",-,"972,060",-,51.2,-,516,0
,SP: Audit Services,"4,200,000",-,"1,356,100",-,32.3,-,516,0
,"SP: Budget
Formulation and
Coordination","3,650,000",-,"1,379,180",-,37.8,-,516,0
,"SP: Accounting
Services","3,100,000",-,"2,073,194",-,66.9,-,516,0
"P: General
Administration,
Planning and
Support Services","SP: General
Administration and
Support Services",,"6,000,000",,-,-,-,516,0
,"SP: Human Resource
Management Services","275,002,505",-,"151,110,912",-,54.9,-,516,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",517,0
"P: Resource
Mobilisation","SP: Revenue
Administration","14,300,000",-,"4,368,250",-,30.5,-,517,0
Sub Total,,"310,102,505","6,000,000","164,531,796",-,53.1,-,517,0
Water Services and Irrigation,,,,,,,,517,0
"P: Water Supply
Services","SP: Domestic Water
Services","40,765,250","61,500,000","25,701,734","21,434,714",63,34.9,517,0
,"SP: Water Storage
Services","1,382,760",-,"392,050",-,28.4,-,517,0
,"SP: Irrigation and
Drainage Services","6,069,390","48,000,000","2,443,950","11,491,306",40.3,23.9,517,0
Sub Total,,"48,217,400","109,500,000","28,537,734","32,926,020",59.2,30.1,517,0
County Public Service Board,,,,,,,,517,0
"P: Economic
Policy and County
Planning","SP: Monitoring and
Evaluation Services","122,000",-,-,-,-,-,517,0
"P: Financial
Management
Services","SP: Monitoring and
Evaluation Services","1,157,870",-,"557,370",-,48.1,-,517,0
"P: General
Administration,
Planning and
Support Services","SP: General
Administration and
Support Services","22,763,000",-,"9,664,546",-,42.5,-,517,0
"P: Human
Resource
Management and
Development","SP: County Public
Service Board Services","1,304,280",-,"485,360",-,37.2,-,517,0
Sub Total,,"25,347,150",-,"10,707,276",-,42.2,-,517,0
"Energy, Housing and ICT",,,,,,,,517,0
"P: Energy
Resource
Development &
Management","SP: Energy Resource
Development &
Management",,"20,000,000",,-,-,-,517,0
"P: General
Administration
Planning and
Support Services","SP: General
Administration
Services","19,759,380",-,"13,907,550",-,70.4,-,517,0
"P: ICT
Infrastructure
Development","SP: ICT Infrastructure
Development","17,790,185",-,"6,976,909",-,39.2,-,517,0
Sub Total,,"37,549,565","20,000,000","20,884,459",-,55.6,-,517,0
Public Health and Sanitation,,,,,,,,517,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",518,0
"P: Preventive and
Promotive Health
Services","SP: Health Promotion
and Disease Control","330,073,150","110,638,298","184,801,809",-,56,-,518,0
,"SP: Environmental
Health services","26,667,000",-,"5,225,250",-,19.6,-,518,0
,"SP: HIV and AIDS
Support Services","2,500,000",-,"147,080",-,5.9,-,518,0
,"SP: Reproductive
Maternal and
Childhealth Services","2,500,000",-,"150,000",-,6,-,518,0
,"SP: Disease
Surveillance","5,000,000",-,"1,033,840",-,20.7,-,518,0
Sub Total,,"366,740,150","110,638,298","191,357,979",-,52.2,-,518,0
"Youth, Sports, Culture and Tourism",,,,,,,,518,0
"P: Culture, Arts
and Social Services","SP: Culture and Arts
Promotion","5,306,370","15,250,000","196,900","5,997,186",3.7,39.3,518,0
,"SP: Gender, PWDs and
Social Services","5,602,200",-,"2,992,500",-,53.4,-,518,0
"P: Sports
Development and
Promotion","SP: County Football
League and Clubs
Development","2,989,480",-,"269,600",-,9,-,518,0
,"SP: Athletics
Championships and
Other Games","5,365,910",-,"500,600",-,9.3,-,518,0
,"SP: Talent Search and
Promotion","25,278,800","2,680,800","16,418,628",,65,-,518,0
"P: Tourism
Development and
Promotion","SP: Tourism Branding
and Marketing","1,386,490",-,"25,000",-,1.8,-,518,0
,"SP: Miss Tourism
Tharaka Nithi","1,997,550",-,"486,600",-,24.4,-,518,0
Sub Total,,"47,926,800","17,930,800","20,889,828","5,997,186",43.6,33.4,518,0
"Livestock, Veterinary and Fisheries Development",,,,,,,,518,0
"P: Livestock and
Fisheries Resource
Management and
Development","SP: Livestock Policy
Development and
Capacity Building","71,375,598","12,500,000","47,439,932","511,676",66.5,4.1,518,0
,"SP: Veterinary Services
and Disease Prevention","11,131,180","16,500,000","91,500","2,560,000",0.8,15.5,518,0
,"SP: Fisheries
Development and
Promotion","3,936,216","16,630,100",-,-,-,-,518,0
Sub Total,,"86,442,994","45,630,100","47,531,432","3,071,676",55,6.7,518,0
County Assembly,,,,,,,,518,0
"P: General
Administration,
Finance and
Planning","SP: Finance
Management Services","85,996,446",-,"28,424,187",-,33.1,-,518,0
,"SP: Management of
County Assembly
Affairs","166,740,655","30,000,000","95,949,620","2,134,514",57.5,7.1,518,0
,"SP: Administrative
Services","9,467,500",-,"6,124,681",-,64.7,-,518,0
,"SP: Housing loans to
public servants","30,000,000",-,"30,000,000",-,100,-,518,0
"P: County
Legislation and
Oversight Services","SP: County Assembly
Legislation","132,347,581",-,"66,787,819",-,50.5,-,518,0
,"SP: Coordination &
Supervisory Services","8,540,000",-,"4,217,605",-,49.4,-,518,0
,"SP: Procedure &
Oversight Services","113,801,473",-,"50,477,700",-,44.4,-,518,0
