Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure as of 31st March 2023,col_5,Absorption Rate (%),col_7,page_number,table_index
713004213,,"9,233,880.00",0,"2,666,122.50",0,29%,,461,0
,"General Adminis-
tration (Economic
Planning and ICT)","9,233,880.00",0,"2,666,122.50",0,29%,,461,0
,Sub-Total,"886,628,687.00","66,521,681.00","532,211,987.00","10,874,100.00",60%,16%,461,0
"4214-Samburu - Agriculture, Livestock and Fisheries",,,,,,,,461,0
101004214,,"210,128,106.00",0,"104,965,181.00",0,50%,,461,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",462,0
,"Administration,
Planning and Sup-
port Services","210,128,106.00",0,"104,965,181.00",0,50%,,462,0
103004214,,"58,031,505.00","75,929,306.00","15,656,835.85","14,675,600.00",27%,19%,462,0
,"Promotion of Value
Addition of Live-
stock and Livestock
Products","18,647,757.00","53,929,306.00","4,297,348.30","13,500,000.00",23%,25%,462,0
,"Promotion of Dairy
Production, Breed-
ing and Disease
control","20,387,478.00",0,"5,372,746.55",0,26%,,462,0
,"Livestock market-
ing and rangeland
management","10,146,085.00",0,"2,887,082.10",0,28%,,462,0
,"Livestock Diseases
management and
Control","8,850,185.00","22,000,000.00","3,099,658.90","1,175,600.00",35%,5%,462,0
104004214,,"4,047,082.00","4,068,000.00","481,618.40","1,668,000.00",12%,41%,462,0
,"Development of
capture fisheries
resources","4,047,082.00","4,068,000.00","481,618.40","1,668,000.00",12%,41%,462,0
105004214,,"49,303,666.00","235,689,890.00","33,906,201.75","122,625,416.00",69%,52%,462,0
,"Crop Production
and Food security","12,934,548.00",0,"6,942,563.70",0,54%,,462,0
,"Agricultural Exten-
sion Research and
Training","36,369,118.00","235,689,890.00","26,963,638.05","122,625,416.00",74%,52%,462,0
,Sub-Total,"321,510,359.00","315,687,196.00","155,009,837.00","138,969,016.00",48%,44%,462,0
4215-Samburu - Environment and Natural Resources,,,,,,,,462,0
101004215,,0,0,0,0,,,462,0
,"Administration,
Planning and Sup-
port Services",0,0,0,0,,,462,0
1001004215,,"48,647,404.00","411,171,733.00","27,846,511.25","170,387,464.00",57%,41%,462,0
,Administration,"48,647,404.00","411,171,733.00","27,846,511.25","170,387,464.00",57%,41%,462,0
1002004215,,"46,130,190.00","52,500,000.00","8,739,780.50","13,788,134.00",19%,26%,462,0
,"Forests Conserva-
tion and Manage-
ment","7,199,216.00","16,000,000.00","3,407,970.00",0,47%,0%,462,0
,"Pollution control&
monitoring","38,930,974.00","36,500,000.00","5,331,810.50","13,788,134.00",14%,38%,462,0
1003004215,,"12,787,348.00",0,"3,866,127.00",0,30%,,462,0
,"Control of soil
erosion","5,179,514.00",0,"511,000.00",0,10%,,462,0
,Mining Services,"2,267,702.00",0,"116,250.00",0,5%,,462,0
,"Water Catchment
and Protection
Services","5,340,132.00",0,"3,238,877.00",0,61%,,462,0
1004004215,,"99,641,339.00",0,"60,144,299.25",0,60%,,462,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",463,0
,"Water and sanita-
tion services","94,406,742.00",0,"59,844,699.25",0,63%,,463,0
,"Storm water man-
agement","5,234,597.00",0,"299,600.00",0,6%,,463,0
,Sub-Total,"207,206,281.00","463,671,733.00","100,596,718.00","184,175,598.00",49%,40%,463,0
"4216-Samburu - Education, Youth Affairs and Sport",,,,,,,,463,0
101004216,,0,0,0,0,,,463,0
,"Administration,
Planning and Sup-
port Services",0,0,0,0,,,463,0
501004216,,"165,634,758.00",0,"158,280,892.80",0,96%,,463,0
,"Bursary Manage-
ment Services",0,0,0,0,,,463,0
,"General Admin-
istration Planning
and Support
Services","165,634,758.00",0,"158,280,892.80",0,96%,,463,0
502004216,,"349,058,839.00","121,870,132.00","220,770,806.10","99,343,032.00",63%,82%,463,0
,"Promotion of
Early Childhood
Education","349,058,839.00","121,870,132.00","220,770,806.10","99,343,032.00",63%,82%,463,0
,"Promotion of youth
empowerment",0,0,0,0,,,463,0
503004216,,0,0,0,0,,,463,0
,"Sports Develop-
ment, Training &
Competition",0,0,0,0,,,463,0
504004216,,"9,471,986.00","14,500,000.00","6,937,874.10","19,430,125.50",73%,134%,463,0
,"SP1 Revitalization
of Youth Polytech-
nics","9,471,986.00","14,500,000.00","6,937,874.10","19,430,125.50",73%,134%,463,0
,Sub-Total,"524,165,583.00","136,370,132.00","385,989,573.00","118,773,158.00",74%,87%,463,0
4217-Samburu - Health Services,,,,,,,,463,0
101004217,,0,0,0,0,,,463,0
,"Administration,
Planning and Sup-
port Services",0,0,0,0,,,463,0
401004217,,"293,783,897.00","14,000,000.00","255,678,290.10",0,87%,0%,463,0
,"Non-Communi-
cable Disease &
prevention control","35,152,682.00",0,"31,531,823.40",0,90%,,463,0
,"Maternal Health
Services","54,089,842.00",0,"48,449,215.60",0,90%,,463,0
,"Communicable
Disease Control","85,175,188.00",0,"76,997,694.65",0,90%,,463,0
,"Health Promotive
Services","119,366,185.00","14,000,000.00","98,699,556.45",0,83%,0%,463,0
402004217,,"699,709,113.00","44,804,001.00","593,336,953.55",0,85%,0%,463,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",464,0
,"County Referral
Services","508,312,101.00","44,804,001.00","482,898,761.45",0,95%,0%,464,0
,"Free Primary
Healthcare","166,482,850.00",0,"95,172,137.30",0,57%,,464,0
,"Provision Of
Essential Health
Services In All The
Levels","24,914,162.00",0,"15,266,054.80",0,61%,,464,0
403004217,,"189,593,882.00","330,377,673.00","157,435,401.35","87,169,044.00",83%,26%,464,0
,"Health Standards
and Quality Assur-
ance Services","81,060,204.00",0,"73,417,831.00",0,91%,,464,0
,"Research And
Development","8,519,002.00",0,"4,666,542.80",0,55%,,464,0
,"Health Infrastruc-
ture development","8,788,504.00",0,"5,084,579.50",0,58%,,464,0
,"Human Resources
for health","71,238,943.00",0,"63,287,629.05",0,89%,,464,0
,"Health Policy, Plan-
ning & Financing","19,987,229.00","330,377,673.00","10,978,819.00","87,169,044.00",55%,26%,464,0
1003004217,,0,0,0,0,,,464,0
,"Water Catchment
and Protection
Services",0,0,0,0,,,464,0
,Sub-Total,"1,183,086,892.00","389,181,674.00","1,006,450,645.00","87,169,044.00",85%,22%,464,0
"4218-Samburu - Physical Planning, Housing and Urban Development",,,,,,,,464,0
101004218,,"94,429,859.00",0,"29,846,157.20",0,32%,,464,0
,"Administration,
Planning and Sup-
port Services","94,429,859.00",0,"29,846,157.20",0,32%,,464,0
102004218,,"19,934,159.00","28,069,989.00","8,297,657.80","9,705,968.00",42%,35%,464,0
,"Housing manage-
ment services","912,043.00",0,"343,652.35",0,38%,,464,0
,"GIS Data Base
creation",0,0,0,0,,,464,0
,Spatial planning,"7,428,266.00",0,"1,268,979.75",0,17%,,464,0
,"Survey And Map-
ping","11,593,850.00","28,069,989.00","6,685,025.70","9,705,968.00",58%,35%,464,0
106004218,,"32,163,000.00","95,694,559.00","8,070,274.00",0,25%,0%,464,0
,"Urban center man-
agement","32,163,000.00","95,694,559.00","8,070,274.00",0,25%,0%,464,0
,Sub-Total,"146,527,018.00","123,764,548.00","46,214,089.00","9,705,968.00",32%,8%,464,0
"4219-Samburu - Public Works, County Roads and Water",,,,,,,,464,0
101004219,,0,0,0,0,,,464,0
,"Administration,
Planning and Sup-
port Services",0,0,0,0,,,464,0
201004219,,"70,706,024.00",0,"30,870,087.00",0,44%,,464,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",465,0
,"Administrative
services","57,077,548.00",0,"23,170,913.60",0,41%,,465,0
,"Design, implemeta-
tion and super-
vision of public
buildings","11,930,486.00",0,"7,123,400.00",0,60%,,465,0
,"Firefighting
services","1,697,990.00",0,"575,773.40",0,34%,,465,0
202004219,,"45,533,895.00","256,518,424.00","10,184,985.00","92,738,548.00",22%,36%,465,0
,"Street lights man-
agement","16,447,732.00",0,"5,131,752.70",0,31%,,465,0
,"Rehabilitation of
Roads, Drainage
and Bridges","13,059,780.00",0,"3,035,976.05",0,23%,,465,0
,"Public Road trans-
port and parking","7,853,125.00","256,518,424.00","1,723,256.25","92,738,548.00",22%,36%,465,0
,"Design, supervi-
sion and rehabil-
itation of County
Buildings","8,173,258.00",0,"294,000.00",0,4%,,465,0
1001004219,,0,0,0,0,,,465,0
,Administration,0,0,0,0,,,465,0
1002004219,,0,0,0,0,,,465,0
,"Pollution control&
monitoring",0,0,0,0,,,465,0
1004004219,,0,0,0,0,,,465,0
,"Storm water man-
agement",0,0,0,0,,,465,0
,"Water and sanita-
tion services",0,0,0,0,,,465,0
,Sub-Total,"116,239,919.00","256,518,424.00","41,055,072.00","92,738,548.00",35%,36%,465,0
"4220-Samburu - Trade, Tourism and Co-operative Development",,,,,,,,465,0
301004220,,"28,184,640.00","235,958,952.00","11,476,329.95","173,338,360.00",41%,73%,465,0
,"General adminis-
tration","28,184,640.00","235,958,952.00","11,476,329.95","173,338,360.00",41%,73%,465,0
302004220,,"28,236,026.00","2,000,000.00","12,901,586.05",0,46%,0%,465,0
,"SACCO members'
empowerment",0,0,0,0,,,465,0
,"Enhance Marketing
Co-operatives","28,236,026.00","2,000,000.00","12,901,586.05",0,46%,0%,465,0
303004220,,0,0,0,0,,,465,0
,"Business Develop-
ment Services for
MSE's",0,0,0,0,,,465,0
304004220,,"121,712,245.00",0,"55,084,110.65",0,45%,,465,0
,"Tourism and
Infrastructure
Development",0,0,0,0,,,465,0
,"Tourism Training
& capacity Building",0,0,0,0,,,465,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",466,0
,"Establish & Man-
agement of County
Tourism Informa-
tion Centre","121,712,245.00",0,"55,084,110.65",0,45%,,466,0
305004220,,"26,806,084.00",0,"5,271,110.35",0,20%,,466,0
,"Domestic trade
development","26,286,084.00",0,"5,182,210.35",0,20%,,466,0
,"Market develop-
ment and promo-
tion of fair trade
services","520,000.00",0,"88,900.00",0,17%,,466,0
306004220,,"11,570,856.00","5,500,000.00","3,173,484.00","991,130.00",27%,18%,466,0
,"General Admin-
istration Planning
and Support
Services","11,570,856.00","5,500,000.00","3,173,484.00","991,130.00",27%,18%,466,0
,Sub-Total,"216,509,851.00","243,458,952.00","87,906,621.00","174,329,490.00",41%,72%,466,0
"4221-Samburu - Gender, Culture and Social Services",,,,,,,,466,0
502004221,,0,0,0,0,,,466,0
,"Promotion of youth
empowerment",0,0,0,0,,,466,0
503004221,,"41,720,532.00","8,223,012.00","25,272,377.00","14,400,825.00",61%,175%,466,0
,"Sports Develop-
ment, Training &
Competition","41,720,532.00","8,223,012.00","25,272,377.00","14,400,825.00",61%,175%,466,0
901004221,,"28,794,158.00","16,500,000.00","18,408,672.65","7,515,032.00",64%,46%,466,0
,"General Admin-
istration Planning
and Support
Services","28,794,158.00","16,500,000.00","18,408,672.65","7,515,032.00",64%,46%,466,0
902004221,,"33,337,666.00",0,"17,452,580.00",0,52%,,466,0
,"Comunity
Mobilization and
Development","6,261,580.00",0,"100,000.00",0,2%,,466,0
,"Development
and Promotion of
Culture","8,036,086.00",0,"1,399,060.00",0,17%,,466,0
,"Social Welfare and
Gender","18,070,000.00",0,"15,487,220.00",0,86%,,466,0
,"Conservation of
Heritage","970,000.00",0,"466,300.00",0,48%,,466,0
903004221,,"4,540,000.00",0,"4,114,400.00",0,91%,,466,0
,"Development and
management for
sports facilities","4,540,000.00",0,"4,114,400.00",0,91%,,466,0
904004221,,"16,473,194.00",0,"5,020,216.35",0,30%,,466,0
,"General Admin-
istration Planning
and Support Ser-
vices (Sports)","16,473,194.00",0,"5,020,216.35",0,30%,,466,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",467,0
,Sub-Total,"124,865,550.00","24,723,012.00","70,268,246.00","21,915,857.00",56%,89%,467,0
4210-Samburu - County Assembly,,,,,,,,467,0
707004210,,"535,331,727.00","423,168,888.45","131,000,000.00","128,061,579.00",0.24,0.30,467,0
,"Legislative, Over-
sight and Represen-
tation","535,331,727.00","423,168,888.45","131,000,000.00","128,061,579.00",24%,30%,467,0
,,,,,,,,467,0
,Grand Total,"4,794,780,850.00","2,476,995,276.45","2,909,263,361.00","992,212,357.00",61%,40%,467,0
,,Grand Total,,"4,794,780,850",,"2,476,995,276",,467,0
