Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 31st
March 2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
Administration,Administration,"93,400,304","23,210,790","46,421,063.40","4,039,586.20",49.7,17.4,475,0
"Veterinary
Services","Veterinary Ser-
vices","22,297,256","14,610,539","6,629,730","1,780,617.40",29.7,12.2,475,0
"Crop
Management",Crop Management,"152,500,084","261,699,479","12,115,802.55","215,581,999.90",7.9,82.4,475,0
"Fisheries
Development
and
Management","Fisheries Develop-
ment and Manage-
ment","18,365,662","46,310,142","2,276,710","752,700",12.4,1.6,475,0
,Sub- Total,"286,563,306.00","345,830,950.00","67,443,305.95","222,154,903.50",23.5,64.2,475,0
"Water, Irrigation, Environment and Natural Resources",,,,,,,,475,0
Administration,Administration,"40,100,652",,"6,138,361",,15.3,-,475,0
Water Services,Water Services,"37,180,000","330,019,142","16,088,844.55","110,397,969.20",43.3,33.5,475,0
Forestry,Forestry,"3,970,000",,"2,164,590.60",,54.5,-,475,0
,Sub- Total,"81,250,652.00","330,019,142.00","24,391,796.15","110,397,969.20",30.0,33.5,475,0
"Education, Youth Affairs, Gender and Social Services",,,,,,,,475,0
"Administration
Services","Administration
Services","249,316,154",,"90,666,064.80",,36.4,-,475,0
"ECD
Programmes",ECD Programmes,"13,049,382","169,469,912","10,177,599","20,577,643",78.0,12.1,475,0
"Youth
Polytechnics
and Youth
Training","Youth Polytechnics
and Youth Train-
ing","5,243,584","40,489,249","1,727,735","14,933,054",32.9,36.9,475,0
Sports,Sports,"16,563,609","75,072,246","8,496,900","4,637,240",51.3,6.2,475,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",476,0
"Social
Resources",Social Resources,"26,029,585","59,203,058","10,308,425","33,575,962",39.6,56.7,476,0
,Sub -Total,"310,202,314.00","344,234,465.00","121,376,723.80","73,723,898.50",39.1,21.4,476,0
County Health Services,,,,,,,,476,0
"General Ad-
ministration
and Planning
Services","General Adminis-
tration and Plan-
ning Services","1,566,493,146",,"90,137,365.30",,5.8,-,476,0
"Curative
Healthcare
Services","Curative Health-
care Services","203,883,249","321,457,940","168,221,030.75","24,409,870.80",82.5,7.6,476,0
"Preventive,
Promotive and
Rehabilitative
Services","Preventive, Pro-
motive and Reha-
bilitative Services","83,755,896",,"76,009,346.00",,90.8,-,476,0
"Facility
Improvement
Fund","Facility Improve-
ment Fund","109,000,700",,"1,250,000",,1.1,-,476,0
HIV Services,HIV Services,"18,794,100",,"6,664,447",,35.5,-,476,0
TB Services,TB Services,"76,446,751",,"52,220,214",,68.3,-,476,0
"Nutrition
Services",Nutrition Services,"58,578,536",,"607,267",,1.0,-,476,0
"Environmental
Health Services","Environmental
Health Services","50,158,116",,"850,000",,1.7,-,476,0
,Sub -Total,"2,167,110,494.00","321,457,940.00","395,959,670.05","24,409,870.80",18.3,7.6,476,0
"Lands, Physical Planning, Urban Development and Housing",,,,,,,,476,0
"Physical Plan-
ning",Physical Planning,"45,553,982","26,708,391","4,760,624","5,850,000",10.5,21.9,476,0
"Land Survey
and Mapping","Land Survey and
Mapping","17,394,581","39,721,053","5,036,333","32,900,005.95",29.0,82.8,476,0
Housing,Housing,"24,940,354","3,556,811","13,799,014.40",,55.3,-,476,0
"General
Administration,
Planning
and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","58,032,630","23,185,646","32,949,938.45",,56.8,-,476,0
,Sub -Total,"145,921,547.00","93,171,901.00","56,545,909.85","38,750,005.95",38.8,41.6,476,0
"Roads, Public Works, Energy and Transport",,,,,,,,476,0
"General Ad-
ministration
Services","General Adminis-
tration Services","959,795",,,,-,-,476,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",477,0
"Road
Development,
Maintenance
and
Management","Road Develop-
ment, Mainte-
nance and Man-
agement","88,987,924","673,940,099","30,117,571.85","191,231,287.95",33.8,28.4,477,0
"County
Government
Buildings
Services","County Govern-
ment Buildings
Services","627,241",,,,-,-,477,0
,Sub - Total,"90,574,960.00","673,940,099.00","30,117,571.85","191,231,287.95",33.3,28.4,477,0
Enterprise and Industrial Development,,,,,,,,477,0
"General Ad-
ministration
and Planning
Services","General Adminis-
tration and Plan-
ning Services","130,371,895",,"66,601,192.10",,51.1,-,477,0
"Trade
Development
and Investment
Services","Trade Develop-
ment and Invest-
ment Services","3,751,705",,"2,418,984.80",,64.5,-,477,0
"Promotion of
Fair- Trade
Practices","Promotion of Fair-
Trade Practices","6,197,000",,"2,244,348",,36.2,-,477,0
"Cooperative
Extension
Services","Cooperative Ex-
tension Services","5,805,000",,"1,785,883",,30.8,-,477,0
"Market
Services",Market Services,"8,894,400","225,437,182","3,211,074","40,416,571.90",36.1,17.9,477,0
,Sub-Total,"155,020,000.00","225,437,182.00","76,261,481.90","40,416,571.90",49.2,17.9,477,0
"Tourism, Culture, Sports and Arts",,,,,,,,477,0
ICT,ICT,"7,595,000","17,380,187","2,719,240.95",,35.8,-,477,0
Tourism,Tourism,,"12,369,528",,"7,699,916.90",,62.2,477,0
"General
Administration,
Planning
and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","73,805,000",,"12,675,533.20",,17.2,-,477,0
"Communication
Services","Communication
Services","24,100,000",,"8,122,990",,33.7,-,477,0
,Sub-Total,"105,500,000.00","29,749,715.00","23,517,764.15","7,699,916.90",22.3,25.9,477,0
Grand Total,,"5,800,069,254","2,823,176,298","1,857,557,370","800,781,116",32.0,28.4,477,0
