Programme Description,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index
Cooperative Services,"8,010,098","1,804,460","6,205,638",22.5,145,0
Trade Development,"21,643,445","3,069,600","18,573,845",14.2,145,0
Trade Development,"20,331,019","3,019,200","17,311,819",14.9,146,0
Enterprise Development,"1,312,427","50,400","1,262,027",3.8,146,0
,"1,564,528","1,019,800","544,728",65.2,146,0
"Local Tourism Promotion and Wildlife Man-
agement","1,564,528","1,019,800","544,728",65.2,146,0
"General Administration, Planning and Sup-
port Services","1,436,548,642","1,244,076,479","192,472,163",86.6,146,0
General Administration and Support Services,"1,436,548,642","1,244,076,479","192,472,163",86.6,146,0
Preventive & Promotive Health Services,"36,339,986","14,309,793","22,030,193",39.4,146,0
"Reproductive Maternal Neo-natal Child &Ado-
lescent Health-RMNC","3,961,400","1,862,700","2,098,700",47.0,146,0
"Communicable and Non-Communicable
diseases","3,387,261","1,726,915","1,660,346",51.0,146,0
Primary Health Care Services,"14,933,720","1,145,230","13,788,490",7.7,146,0
Disease Surveillance and Response,"2,992,125","1,220,700","1,771,425",40.8,146,0
Environmental Health and Sanitation Services,"11,065,480","8,354,248","2,711,232",75.5,146,0
Curative and Rehabilitative,"280,126,551","240,399,316","39,727,235",85.8,146,0
Hospital Services,"8,050,750","5,621,830","2,428,920",69.8,146,0
Health Products and Technologies,"265,746,096","231,229,786","34,516,310",87.0,146,0
Emergency Response services,"6,329,705","3,547,700","2,782,005",56.0,146,0
Public Health and Sanitation,-,-,-,-,146,0
Preventive and Promotive,-,-,-,-,146,0
"General Administration, Planning and Sup-
port Services","338,126,529","300,130,160","37,996,369",88.8,146,0
Headquarters Administrative Services,"338,126,529","300,130,160","37,996,369",88.8,146,0
,"29,503,553","19,672,856","9,830,697",66.7,146,0
Early Childhood Development and Education,"29,503,553","19,672,856","9,830,697",66.7,146,0
,"4,830,000","2,328,100","2,501,900",48.2,146,0
Technical Vocational Training,"4,830,000","2,328,100","2,501,900",48.2,146,0
"General Administration and Policy Coordi-
nation","777,956,598","647,367,985","130,588,613",83.2,146,0
Headquarters Administrative Services,"777,956,598","647,367,985","130,588,613",83.2,146,0
Executive Committee Affairs,"23,541,121","12,336,648","11,204,473",52.4,146,0
Information Communication Services,"23,541,121","12,336,648","11,204,473",52.4,146,0
"Public Services Coordination and Manage-
ment",-,-,-,-,146,0
Human Resource Management,-,-,-,-,146,0
Public Financial Management,"125,482,454","57,979,421","67,503,033",46.2,146,0
Resource Mobilization,"24,612,454","16,891,949","7,720,505",68.6,146,0
Accounting services,"14,562,000","9,325,800","5,236,200",64.0,146,0
Supply Chain Management Services,"59,231,000","9,838,990","49,392,010",16.6,146,0
Budget,"15,280,000","11,661,600","3,618,400",76.3,146,0
Internal Audit,"11,797,000","10,261,082","1,535,918",87.0,146,0
"ICT, Special Programmes and Service Deliv-
ery",-,-,-,-,146,0
,"18,701,146","5,873,700","12,827,446",31.4,147,0
County Administration,"14,362,500","3,837,400","10,525,100",26.7,147,0
County Inspectorate,"4,338,646","2,036,300","2,302,346",46.9,147,0
,"102,592,500","58,703,217","43,889,283",57.2,147,0
"Human Resource Management and Develop-
ment","102,592,500","58,703,217","43,889,283",57.2,147,0
,"11,060,520","1,500,900","9,559,620",13.6,147,0
Citizen Participation,"11,060,520","1,500,900","9,559,620",13.6,147,0
,"116,677,715","103,023,275","13,654,441",88.3,147,0
"General Administration Planning and Support
Services-Office","116,677,715","103,023,275","13,654,441",88.3,147,0
,"50,150,102","27,512,823","22,637,279",54.9,147,0
County Executive Committee Affairs,"25,459,500","12,094,886","13,364,614",47.5,147,0
Intergovernmental Relations,"8,016,000","4,740,536","3,275,464",59.1,147,0
County Advisory Services,"7,830,000","3,421,196","4,408,804",43.7,147,0
Special Programmes,"8,844,602","7,256,205","1,588,397",82.0,147,0
,"626,046,271","361,383,895","264,662,376",57.7,147,0
"General Administration Planning and Support
Services-County Tr","626,046,271","361,383,895","264,662,376",57.7,147,0
,"29,681,892","19,367,740","10,314,152",65.3,147,0
Economic Planning,"14,975,973","8,178,302","6,797,671",54.6,147,0
Monitoring and Evaluation,"14,705,919","11,189,438","3,516,481",76.1,147,0
,"43,839,791","29,438,353","14,401,438",67.1,147,0
Gender,"43,839,791","29,438,353","14,401,438",67.1,147,0
,"8,186,255","2,455,500","5,730,755",30.0,147,0
Social Protection,"3,720,000","1,842,300","1,877,700",49.5,147,0
Disability Mainstreaming,"1,389,000",-,"1,389,000",-,147,0
Control of Alcohol and Substance Abuse,"3,077,255","613,200","2,464,055",19.9,147,0
,"3,879,648","1,777,000","2,102,648",45.8,147,0
Gender Mainstreaming,"3,879,648","1,777,000","2,102,648",45.8,147,0
,"3,814,610","2,633,800","1,180,810",69.0,147,0
Cultural Heritage,"1,193,286","435,000","758,286",36.5,147,0
Cultural Activities,"2,621,324","2,198,800","422,524",83.9,147,0
,"11,915,749","6,263,000","5,652,749",52.6,147,0
Sports Training and Competition,"11,915,749","6,263,000","5,652,749",52.6,147,0
,"29,192,582","29,484,738","- 292,156",101.0,147,0
Environment Management and Protection,"27,601,094","28,953,438","- 1,352,344",104.9,147,0
Natural Resource Management,"1,591,488","531,300","1,060,188",33.4,147,0
,"97,072,806","80,302,955","16,769,850",82.7,147,0
"General Administration Planning and Support
Services","97,072,806","80,302,955","16,769,850",82.7,147,0
,"49,006,569","11,263,296","37,743,273",23.0,147,0
Water Services,"33,312,500","7,748,796","25,563,704",23.3,147,0
Environmental Management and Public Health,-,-,-,-,148,0
,"34,628,070","21,845,394","12,782,676",63.1,148,0
"General Administration Planning and Support
Services","34,628,070","21,845,394","12,782,676",63.1,148,0
,"5,717,359","714,000","5,003,359",12.5,148,0
"Urban Infrastructural Development -Kajiado
Municipal","5,717,359","714,000","5,003,359",12.5,148,0
,"4,690,500",-,"4,690,500",-,148,0
"Environmental Management and
Public Health -Kajiado Municipal","4,690,500",-,"4,690,500",-,148,0
,-,-,-,-,148,0
Headquarters Administrative Services,-,-,-,-,148,0
Grand Total,"45,035,929","22,559,394","22,476,535",50.1,148,0
,-,-,-,-,148,0
"Environmental Management
and Public Health",-,-,-,-,148,0
,"51,327,798","36,069,043","15,258,755",70.3,148,0
"General Administration Planning and Support
Services","51,327,798","36,069,043","15,258,755",70.3,148,0
,"7,693,309",-,"7,693,309",-,148,0
"Urban Infrastructural Development
- Ngong Municipality","7,693,309",-,"7,693,309",-,148,0
,"2,250,000",-,"2,250,000",-,148,0
"Environmental Management and
Public Health -Ngong Municipality","2,250,000",-,"2,250,000",-,148,0
,-,-,-,-,148,0
Headquarters Administrative Services,-,-,-,-,148,0
Grand Total,"61,271,107","36,069,043","25,202,064",58.9,148,0
,-,-,-,-,148,0
Headquarters Administrative Services,-,-,-,-,148,0
,"120,198,141","92,017,092","28,181,050",76.6,148,0
"General Administration, Planning and Support
Services","120,198,141","92,017,092","28,181,050",76.6,148,0
Grand Total,"5,086,353,484","3,830,434,844","1,255,918,640",75.3,148,0
,,,,,148,0
Development Expenditure,,,,,148,0
"General Administration, Planning and Sup-
port Services","20,000,000.00",-,"20,000,000.00",-,148,0
Headquarters Administrative Services,"20,000,000.00",-,"20,000,000.00",-,148,0
Crop and Plant Husbandry,"242,454,402.00","89,854,530.00","152,599,872.00",37.1,148,0
Crop Development and Management.,"242,454,402.00","89,854,530.00","152,599,872.00",37.1,148,0
"Livestock Resources Management and Devel-
opment","-4,250,000.00",-,"-4,250,000.00",-,148,0
Livestock Market Development,"-5,000,000.00",-,"-5,000,000.00",-,148,0
Animal Disease Control,"750,000.00",-,"750,000.00",-,148,0
Land Policy and Planning,"30,000,000.00",-,"30,000,000.00",-,148,0
Physical Planning,"30,000,000.00",-,"30,000,000.00",-,149,0
"Information Communication and Technol-
ogy","7,100,000.00",-,"7,100,000.00",-,149,0
Information Communication and Technology,"7,100,000.00",-,"7,100,000.00",-,149,0
,"257,750,000.00",-,"257,750,000.00",-,149,0
Roads,"237,125,000.00",-,"237,125,000.00",-,149,0
Energy,"20,625,000.00",-,"20,625,000.00",-,149,0
,"38,645,356.00",-,"38,645,356.00",-,149,0
Urban Development,"38,645,356.00",-,"38,645,356.00",-,149,0
Trade Development,"7,675,000.00",-,"7,675,000.00",-,149,0
Trade Development,"2,550,000.00",-,"2,550,000.00",-,149,0
Enterprise Development,"5,125,000.00",-,"5,125,000.00",-,149,0
"General Administration, Planning and Sup-
port Services","7,500,000.00",-,"7,500,000.00",-,149,0
General Administration and Support Services,"7,500,000.00",-,"7,500,000.00",-,149,0
Preventive & Promotive Health Services,"115,708,945.25","24,591,964.00","91,116,981.25",21.3,149,0
"Reproductive Maternal Neo-natal Child &Ado-
lescent Health-RMNC","27,266,415.00","22,022,683.00","5,243,732.00",80.8,149,0
Primary Health Care Services,"78,692,530.25","2,569,281.00","76,123,249.25",3.3,149,0
Environmental Health and Sanitation Services,"9,750,000.00",-,"9,750,000.00",-,149,0
Curative and Rehabilitative,"195,551,331.00",-,"195,551,331.00",-,149,0
Hospital Services,"195,551,331.00",-,"195,551,331.00",-,149,0
"General Administration, Planning and Sup-
port Services","106,250,000.00","112,500,000.00","-6,250,000.00",105.9,149,0
Headquarters Administrative Services,"106,250,000.00","112,500,000.00","-6,250,000.00",105.9,149,0
,"141,250,000.00","492,783.00","140,757,217.00",0.3,149,0
Early Childhood Development and Education,"141,250,000.00","492,783.00","140,757,217.00",0.3,149,0
,"20,000,000.00",-,"20,000,000.00",-,149,0
Technical Vocational Training,"20,000,000.00",-,"20,000,000.00",-,149,0
,"35,000,000.00","30,000,000.00","5,000,000.00",85.7,149,0
"Human Resource Management and Develop-
ment","35,000,000.00","30,000,000.00","5,000,000.00",85.7,149,0
,"17,500,000.00","10,221,100.00","7,278,900.00",58.4,149,0
Intergovernmental Relations,"17,500,000.00","10,221,100.00","7,278,900.00",58.4,149,0
,"921,811,409.00","615,951,674.20","305,859,734.80",66.8,149,0
"General Administration Planning and Support
Services-County Tr","921,811,409.00","615,951,674.20","305,859,734.80",66.8,149,0
,"7,500,000.00","7,500,000.00",-,100.0,149,0
Gender,"7,500,000.00","7,500,000.00",-,100.0,149,0
,"53,042,462.50","5,000,000.00","48,042,462.50",9.4,149,0
Social Protection,"45,542,462.50",-,"45,542,462.50",-,149,0
Disability Mainstreaming,"7,500,000.00","5,000,000.00","2,500,000.00",66.7,149,0
,"3,700,000.00",-,"3,700,000.00",-,149,0
Sports Training and Competition,"3,700,000.00",-,"3,700,000.00",-,149,0
Environmental Management and Protection,"287,250,000.00",-,"287,250,000.00",-,150,0
Irrigation,"-4,500,000.00",-,"-4,500,000.00",-,150,0
,,-,,-,150,0
,-,-,-,-,150,0
Headquarters Administrative Services,-,-,-,-,150,0
,"120,198,141.00",-,"92,017,091.50",-,150,0
"General Administration, Planning
and Support Services","120,198,141.00",-,"92,017,091.50",-,150,0
Total,"120,198,141.00",-,"92,017,091.50",-,150,0
,-,-,-,-,150,0
"Environmental Management
and Public Health",-,-,-,-,150,0
,-,-,-,-,150,0
,-,-,-,-,150,0
,"51,327,797.75",-,"36,069,042.70",-,150,0
"General Administration Planning
and Support Services","51,327,797.75",-,"36,069,042.70",-,150,0
,"7,693,309.00",-,-,-,150,0
"Urban Infrastructural Development
- Ngong Municipality","7,693,309.00",-,-,-,150,0
,"2,250,000.00",-,-,-,150,0
"Environmental Management and
Public Health -Ngong Municipality","2,250,000.00",-,-,-,150,0
,-,-,-,-,150,0
Headquarters Administrative Services,-,-,-,-,150,0
Total,"61,271,106.75",-,"36,069,042.70",-,150,0
,-,-,-,-,150,0
"Environmental Management
and Public Health",-,-,-,-,150,0
,-,-,-,-,150,0
,"34,628,070.25",-,"21,845,393.90",-,150,0
"General Administration Planning
and Support Services","34,628,070.25",-,"21,845,393.90",-,150,0
,"5,717,359.00",-,"714,000.00",-,150,0
"Urban Infrastructural Development
-Kajiado Municipal","5,717,359.00",-,"714,000.00",-,150,0
,"4,690,500.00",-,-,-,150,0
"Environmental Management and
Public Health -Kajiado Municipal","4,690,500.00",-,-,-,150,0
,-,-,-,-,150,0
Headquarters Administrative Services,-,-,-,-,150,0
Total,"45,035,929.25",-,"22,559,393.90",-,150,0
Grand Total,"2,733,444,082.75","896,112,051.20","1,761,472,382.65",32.8,150,0
