Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
31st March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"Energy
Development
Program","103094010 Promotion of
Energy & Renewable Ener-
gy Sources","1,100,000",-,-,-,-,--,372,0
"Infrastructure
Development
Program","202014010 Construction of
Roads and Bridges","17,007,900",-,"6,350,381",-,37.3,--,372,0
,"202064010 Infrastructure
Development",-,"513,300,000",-,"48,178,828",-,9.4,372,0
Sub Total,,"21,758,800","513,300,000","7,317,551","48,178,828",33.6,9.4,372,0
"Commerce, Trade, Industry and Tourism",,,,,,,,372,0
Agro Marketing,102054010 Cooperatives,-,"29,705,000",-,"847,627",--,2.9,372,0
"Tourism
Program","110014010 Tourism Devel-
opment","4,060,000",-,"897,240",-,22.1,--,372,0
,"301014010 Tourism Promo-
tion and Marketing",-,"5,550,000",-,"920,694",--,16.6,372,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",373,0
"Trade
Development
Program","111014010 Trade & Enter-
prise Development","7,160,000",-,"3,045,440",-,42.5,--,373,0
,"302014010 Domestic Trade
Development","14,100,000","75,000,000","7,039,784",-,49.9,--,373,0
,"302024010 Fair Trade and
Consumer Protection","4,050,000",-,"87,000",-,2.1,--,373,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","16,283,307",-,"10,501,585",-,64.5,--,373,0
Sub Total,,"45,653,307","110,255,000","21,571,049","1,768,321",47.2,1.6,373,0
Education & Technical Training,,,,,,,,373,0
Ecde Programme,"501034010 Early Childhood
Development Education",-,"10,000,000",-,-,--,--,373,0
,"509014010 Early Child De-
velopment and Education","280,063,603",-,"204,087,245",-,72.9,-,373,0
"Polytechnics
Program","50714010 Revitalisation of
Youth Polytechnics","120,800,265","18,600,000","42,138,398","1,499,796",34.9,8.1,373,0
"Education
Intervention
Program","501054010 Motivation of
Primary and Secondary
School",-,"4,200,000",-,-,-,-,373,0
,"509024010 Motivation of
Primary and Secondary
Schools","264,700,000",-,"262,626,291",-,99.2,-,373,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","3,400,000",-,"2,037,140",-,59.9,-,373,0
Sub Total,,"668,963,868","32,800,000","510,889,074","1,499,796",76.4,4.6,373,0
Health And Sanitation,,,,,,,,373,0
"Infrastructure
Development
Program","10110410 Infrastructure
Development","1,615,000",-,"1,005,000",-,62.2,-,373,0
,"109024010 Infrastructure
Improvement Services",,"251,600,000",-,"4,106,498",-,1.6,373,0
Alcohol Program,"401014010 Alcoholic
Control and Reviewing of
Licences","10,010,000",-,"3,200,992",-,32.0,-,373,0
"Curative
Program","402054010 Free Primary
HealthCare","614,020,000","253,297,782","452,444,575","2,254,000",73.7,0.9,373,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
support Services","2,554,609,847","278,589,246","1,837,833,958","132,117,346",71.9,47.4,373,0
Sub Total,,"3,180,254,847","783,487,028","2,294,484,525","138,477,844",72.1,17.7,373,0
"Lands, Housing & Physical Planning",,,,,,,,373,0
"Land Policy
Succession and
Surveying","103014010 Land Policy and
Planning",-,"46,700,000",-,-,-,-,373,0
,103044010 Land Survey,-,"5,000,000",-,-,-,-,373,0
"Estate
Management","701034010 Public Trusts
and Estates Management",-,"12,000,000",-,"1,231,041",-,10.3,373,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
support Services","28,416,078",-,"9,456,092",-,33.3,-,373,0
Sub Total,,"28,416,078","63,700,000","9,456,092","1,231,041",33.3,1.9,373,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",374,0
County Public Service Board,,,,,,,,374,0
"National Values
and Governance
Program","706014010 General
Administration Planning
and support Services","38,509,490",-,"12,120,367",-,31.5,-,374,0
Sub Total,,"38,509,490",-,"12,120,367",-,31.5,-,374,0
"Youth, Culture, Gender, Social Services & Special Programs",,,,,,,,374,0
"Social Develop-
ment Program",102054010 Cooperatives,"5,460,000",-,"1,586,810",-,29.1,-,374,0
,"901014010 Social Welfare
and Vocational Rehabili-
tation","2,450,000",-,"1,032,380",-,42.1,-,374,0
,"902024010 Persons Living
With Disabilities",-,"20,000,000",-,-,-,-,374,0
,"711024010 Gender &
Social-Economic Empow-
erment",-,"188,000,000",-,"6,328,499",-,3.4,374,0
"General
Administration
and Support","706014010 General Ad-
ministration Planning and
support Services","43,241,970",-,"28,266,015",-,65.4,-,374,0
"Youth
Development
Program","711014010 Youth Develop-
ment Services","660,000",-,"31,300",-,4.7,-,374,0
,"903034010 Development
and Management of Sports
Facilities","7,420,000",-,"4,027,440",-,54.3,-,374,0
"Cultural
Development
Program","904014010 Development
and Promotion of Culture","3,074,115","10,000,000","515,200","670,320",16.8,6.7,374,0
Sub Total,,"62,306,085","218,000,000","35,459,145","6,998,819",56.9,3.2,374,0
Environment & Natural Resources,,,,,,,,374,0
"Waste Manage-
ment Program","101094010 Solid Waste
Managaemnt","6,224,872","63,100,285","3,645,375",-,58.6,-,374,0
,"102064010 Environmental
management & Protection",-,"9,900,000",-,-,-,-,374,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
support Services","11,254,440",-,"3,393,051",-,30.1,-,374,0
"Environmental
Governance","1001054010 Environmental
Leadership and Governance","5,700,000",-,"1,310,540",-,23.0,-,374,0
Sub Total,,"23,179,312","73,000,285","8,348,966",-,36.0,-,374,0
Public Service Administration,,,,,,,,374,0
"Human Resource
Development
Program","101064010 Human
Resource Management
and Development","14,810,000",-,"3,989,545",-,26.9,-,374,0
"Administration
and Support","706001410 General Ad-
ministration Planning and
Support Services","733,320,876",-,"317,870,580",-,43.3,-,374,0
Sub Total,,"748,130,876",-,"321,860,125",-,43.0,-,374,0
Water & Irrigation,,,,,,,,374,0
