Programme,Sub-Programme,"Approved Esti-
mates","Actual Expen-
diture as of 31st
March 2023","Absorption
Rate (%)",page_number,table_index
,Sub total,"163,731,463","69,570,608",42.5,397,0
"Information and Com-
munication Service",SP 4.1: Public Communication and Media Services,"16,361,200","1,383,300",8.5,397,0
,Sub total,"16,361,200","1,383,300",8.5,397,0
"ICT Infrastructure De-
velopment and e-Govern-
ment Services",SP 5.1: Network Infrastructure,-,-,-,397,0
,SP 5.2: Hardware and Software Platforms,-,-,-,397,0
,SP 5.3: e-Government Services,"8,334,587",-,-,397,0
,Sub total,"8,334,587",-,-,397,0
"Total Expenditure of
Vote",,"1,473,247,981","527,882,930",35.8,397,0
NAKURU CITY,,,,,397,0
"General Administration
Planning & Support
Services",SP 1.1 Administration and Planning,"31,864,465","1,070,700",3.4,397,0
,SP 1.2 Personnel Services,"13,553,051","7,806,036",57.6,397,0
,SP 1.3 Financial Services,"600,000","300,000",50.0,397,0
,Sub total,"46,017,516","9,176,736",19.9,397,0
"Programme 2: Nakuru
City Urban Planning and
Development","SP 2.1 Infrastructure Development and Urban Plan-
ning","49,397,727",-,-,397,0
,SP 2.2 Nakuru City Environmental Management,"11,712,512","567,400",4.8,397,0
,SP 2.3 Trade Markets and Investments,"950,016","824,500",86.8,397,0
,SP 2.4 Nakuru City Social Services,"1,752,145","118,600",6.8,397,0
,Sub total,"63,812,400","1,510,500",2.4,397,0
"Total Expenditure of
Vote",,"109,829,916","10,687,236",9.7,397,0
PUBLIC SERVICE TRAINING AND DEVOLUTION,,,,,397,0
"Administration, Planning
and Support service",Sub-programme 1.1(Administration service),"150,080,964","75,600,000",50.4,397,0
,Sub-programme 1.2(Personal Service),"654,880,126","406,115,762",62.0,397,0
,Sub-programme 1.3(Financial Service),"50,000",-,-,397,0
,"Sub-programme 1.4(Co-ordination of Public and Spe-
cial Community Programme)","3,500,000","1,250,000",35.7,397,0
,"Sub-programme 1.5(Mainstream Workplace HIV/
AIDS, Alcohol & Drug Abuse Control)","2,000,000",-,-,397,0
,"Sub-programme 1.6(Rehabilitation/Construction of
Sub County Offices)","49,880,408",-,-,397,0
,Sub total,"860,391,498","482,965,762",56.1,397,0
"Human Resource Man-
agement and Develop-
ment",Sub-programme 3.1 Performance Contracting,"4,000,000","1,500,000",37.5,398,0
,Sub-programme 3.2 Performance Appraisal System,"4,500,000","3,150,000",70.0,398,0
,"Sub-programme 3.3 Staff Development Through Ca-
pacity Building and Training","30,399,580","7,496,050",24.7,398,0
,Sub total,"38,899,580","12,146,050",31.2,398,0
"Disaster Management
and Humanitarian Assis-
tance","Sub-programme 4.1 Disaster Management and Hu-
manitarian Assistance","5,000,000",-,-,398,0
"Total Expenditure of
Vote",,"1,803,582,156","495,111,812",27.5,398,0
"AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,398,0
"Administration, Planning
and Support Services","SP 1.1: Administration, Planning and Support Services","232,487,980","20,424,488",8.8,398,0
,SP 1.2: Human Resources Services,"393,080,034","190,960,392",48.6,398,0
,Subtotal,"625,568,014","211,384,880",33.8,398,0
"Livestock Resource
Management And Devel-
opment",SP 2.1: Livestock Production and Management,"9,717,879","156,100",1.6,398,0
,"SP 2.2: Promotion of Value Addition of Livestock and
Livestock Products","9,000,000",-,-,398,0
,SP 2.3: Livestock Extension Service Delivery,"3,121,854",-,-,398,0
,"SP 2.4: Food Safety and Livestock Products Develop-
ment","13,902,317","2,427,930",17.5,398,0
,SP 2.5: Livestock Disease Management and Control,"16,084,029","7,716,000",48.0,398,0
,Sub total,"51,826,079","10,300,030",19.9,398,0
Fisheries Development,SP 3.1: Aquaculture Development,"2,115,282","835,780",39.5,398,0
,SP 3.2: Development of Capture Fisheries Resources,"3,829,790",-,-,398,0
,"SP 3.3: Fish Quality Assurance, Value Addition and
Marketing","1,286,269",-,-,398,0
,Sub total,"7,231,341","835,780",11.6,398,0
"Crop Development And
Management","SP 4.1: Agriculture Extension, Research and Training","15,453,147","4,434,183",28.7,398,0
,SP 4.2: Crop Production and Food Security,"241,439,000","1,067,171",0.4,398,0
,"SP 4.3: Farm Land Utilization, Conservation and Mech-
anization","3,257,429",-,-,398,0
,SP 4.4: Agribusiness Development and Marketing,"2,196,040",-,-,398,0
,SP 4.5: Agri-Nutrition,"611,345",-,-,398,0
,Sub total,"262,956,961","5,501,354",2.1,398,0
"Total Expenditure of
Vote",,"947,582,395","228,022,044",24.1,398,0
LANDS HOUSING AND PHYSICAL PLANNING,,,,,398,0
"Administration, Plan-
ning, Management and
Support Services",SP 1.1 Administration and financial service,"120,105,083","4,109,907",3.4,398,0
"Land Use Planning and
Survey",SP 2.1 Nakuru County Land use plan,"761,457,407",,-,398,0
,SP 2.2 Land Information Management System (LIM),"3,400,000","1,285,944",37.8,398,0
,SP 2.3 Urban Plan and Development,"1,925,000","550,000",28.6,398,0
,SP 2.4 Survey and Mapping f Nakuru County,"3,170,000",,-,398,0
,SP 2.5 Surveying of Urban Centers,"1,348,045","245,000",18.2,398,0
,"SP 2.6 Surveying of County Estate and Facilitation of
Lease Processing","1,500,000","265,000",17.7,398,0
,"SP 2.7 Establishment of a Survey Centre and Mapping
Centre","1,000,000","120,000",12.0,398,0
"Housing Development
and Management",SP 3.1 Maintenance of County Houses,"6,356,997","1,643,963",25.9,399,0
,"SP 3.2 Housing Technology Establishment of Five
Constituency Building Technology Centers","3,500,000",-,-,399,0
,SP 3.3 Development of Housing Infrastructure,"6,479,073",-,-,399,0
"Total Expenditure of
Vote",,"910,241,605","8,219,814",0.9,399,0
COUNTY PUBLIC SERVICE BOARD,,,,,399,0
"Administration And Hu-
man Resource Planning",SP1.1 Administration services,"70,349,524","30,334,351",43.1,399,0
,SP1.2 Financial services,"2,000,000","1,000,000",50.0,399,0
,SP1.3 Human Resource Planning,"4,000,000","1,500,000",37.5,399,0
,SP 1.4 Provision of Human Resource Planning,"3,000,000","2,000,000",66.7,399,0
"Total Expenditure of
Vote",,"79,349,524","34,834,351",43.9,399,0
WATER ENVIRONMENT ENERGY AND NATURAL RESOURCES,,,,,399,0
Administration,SP 1.1: Administrative services,"32,310,941","7,032,714",21.8,399,0
,SP 1.2: Human Resource,"216,813,857","138,547,916",63.9,399,0
,SP 1.3 Finance services,-,-,-,399,0
,Sub total,"249,124,798","145,580,630",58.4,399,0
"Water and Sewerage
management",SP 2.1 Provision of Water,"581,182,134","1,694,003",0.3,399,0
,SP 2.2 Provision of Sewerage,-,-,-,399,0
,Sub total,"581,182,134","1,694,003",0.3,399,0
"Environmental Manage-
ment",SP 3:1 Pollution control,"173,192,528","4,896,797",2.8,399,0
,SP 3:2 Solid Waste Management,-,-,-,399,0
,SP 3:3 Greening and Beautification,"74,742,923","1,395,196",1.9,399,0
,Sub total,"247,935,451","6,291,993",2.5,399,0
"County Energy, Planning,
Regulations, Operation &
Development",,"2,000,000",-,-,399,0
"Total Expenditure of
Vote",,"1,080,242,383","153,566,626",14.2,399,0
HEALTH,,,,,399,0
"Administration and
Planning",SP 1.1: Health Information System,"17,485,667",-,-,399,0
,SP 1.2: Governance and Leadership,"495,099,478","109,105,193",22.0,399,0
,SP 1.3: Human Resource Management,"3,943,340,192","2,596,838,266",65.9,399,0
,SP 1.4: Research and Development,"2,500,000",-,-,399,0
,SP 1.5: Health Infrastructure and Development,"10,833,333","40,000",0.4,399,0
,Sub total,"4,469,258,670","2,705,983,459",60.5,399,0
"Health Preventive and
Promotive Services",SP 2:1: Primary Health Care,"606,620,683","75,694,861",12.5,399,0
,SP 2.2: Environmental Health and Sanitation,"2,000,000",-,-,399,0
,SP 2:3: Human Resource,"17,049,940",-,-,399,0
,SP 2.4: Disease Surveillance and Emergency Response,"1,897,550",-,-,399,0
,SP 2.5: Health Promotive,"1,000,000",-,-,399,0
,SP 2:6: HIV Programme,"2,000,000","1,636,580",81.8,399,0
,SP 2:7: Nutrition,"29,980,932","3,956,767",13.2,399,0
,SP 2:8 Reproductive Health,"1,750,000",,-,399,0
,SP 2:9 Immunization,"1,825,775",,-,399,0
,Sub total,"664,124,880","81,288,207",12.2,399,0
"Health Curative and Re-
habilitative Services","SP 3:1: Provision of Essential Health Services at all
levels","1,865,973,897","748,083,909",40.1,400,0
,"SP 3.2: Elimination of communicable and non-commu-
nicable diseases","2,200,000",,-,400,0
,SP 3:3: Human Resource,"322,427,403","256,602,833",79.6,400,0
,Sub total,"2,190,601,300","1,004,686,743",45.9,400,0
"Total Expenditure of
Vote",,"7,323,984,850","3,791,958,409",51.8,400,0
NAIVASHA MUNICIPALITY,,,,,400,0
"Administration Planning
and Support Services",SP 1.1 Administration and Planning,"19,693,628","2,544,645",12.9,400,0
,SP 1.2 Personnel Services,"9,388,787","4,147,401",44.2,400,0
,SP 1.3 Financial Services,"600,000",-,-,400,0
,Sub total,"29,682,415","6,692,046",22.5,400,0
"Naivasha Municipal
Services",SP 2.1: Planning and Infrastructure,"310,805,177","229,163,581",73.7,400,0
,SP 2.2: Environmental Management and Sanitation,"900,000",-,-,400,0
,SP 2.3: Naivasha Social Services,"900,000",-,-,400,0
,"SP 2.4: Tourism, Investment and Trade","800,000",-,-,400,0
,Sub total,"313,405,177","229,163,581",73.1,400,0
"Total Expenditure of
Vote",,"343,087,592","235,855,627",68.7,400,0
"TRADE, COOPERATIVES, INDUSTRIALISATION AND TOURISM",,,,,400,0
Administration Planning,"SP 1.1 Administration, Planning and Support Services","32,663,822","11,505,649",35.2,400,0
,SP 1.2 Personnel Services,"60,750,956","26,931,971",44.3,400,0
,SP 1.3 Financial Services,-,-,-,400,0
,Sub total,"93,414,778","38,437,621",41.1,400,0
Cooperatives,SP 2.1 Management of Market Cooperatives,"5,175,000","225,000",4.3,400,0
,SP2.2SACCO Empowerment,"27,662,791",-,-,400,0
,SP 2.3 Cooperatives Leadership and Governance,"2,732,964","270,200",9.9,400,0
,Sp 2.4. Strengthening cooperatives,"1,248,547","623,800",50.0,400,0
,"Sp 2.5 Empowering youth, women and peds Participa-
tion in co-operatives","1,165,698",-,-,400,0
,Sub total,"37,985,000","1,119,000",2.9,400,0
"Commerce and Enter-
prises",SP 3.1. Business development services for SMEs,"3,195,108","552,100",17.3,400,0
,SP 3.2producer business groups,"2,000,000","58,600",2.9,400,0
,SP 3.3. SMES training,"1,974,892","240,000",12.2,400,0
,SP 3.4 Smes funding,"25,000,000",-,-,400,0
,"SP 3.5 Establishment of business incubation/enterprise
centres","6,300,000",-,-,400,0
,SP 3.6. Consumer protection,"7,475,000","401,050",5.4,400,0
,Sub total,"45,945,000","1,251,750",2.7,400,0
Market,SP 4.1. Market rehabilitation,"119,993,397","3,400",-,400,0
,SP 4.2 Development of new markets,"17,000,000",-,-,400,0
,SP 4.3. Market user delivery services,"15,350,000","3,415,300",22.2,400,0
,Sub total,"152,343,397","3,418,700",2.2,400,0
Tourism,SP 5.1. Promotion of local tourism,"4,000,000","139,300",3.5,400,0
,"SP 5.2. Management of county tourism information
centre","4,200,000","72,850",1.7,400,0
,Sub total,"8,200,000","212,150",2.6,400,0
"Alcoholic Drinks and
Control","SP 6.1 Inspection, Approval and Liquor Licensing","5,000,000",-,-,401,0
,SP 6.2. Liquor Enforcement and Compliance,"834,749","577,800",69.2,401,0
,SP 6.3 Research and Innovation,"1,000,251",-,-,401,0
,"SP 6.4 Treatment and Rehabilitation of Persons Depen-
dent on Alcoholic Drink",-,-,-,401,0
,"SP 6.5. Education and Training of Sub County and
Review Committee","1,040,000","288,960",27.8,401,0
,Sub total,"7,875,000","866,760",11.0,401,0
"Total Expenditure of
Vote",,"345,763,175","45,305,981",13.1,401,0
YOUTH GENDER CULTURE SPORTS AND SOCIAL SERVICES,,,,,401,0
"Administration Planning
and Support Services",SP 1.1 Administration,"143,009,026","6,263,403",4.4,401,0
,SP 1.2 Personnel Services,"107,438,027","37,790,575",35.2,401,0
,SP 1.3 Financial services,"4,017,250","677,500",16.9,401,0
,Sub total,"254,464,303","44,731,478",17.6,401,0
"Development of So-
cio-Cultural Diversity,
Economic Empowerment
and Responsible Gaming",SP 2.1. Cultural development activities,"10,000,000","3,608,984",36.1,401,0
,SP 2.2. Gender development activities,"16,750,000","1,923,900",11.5,401,0
,SP 2.3. Promotion of responsible gaming,"1,905,000","226,510",11.9,401,0
,SP 2.4. Social Development activities,"13,870,000","2,446,471",17.6,401,0
,SP 2.5. Social Cultural Development,"12,000,000",-,-,401,0
,Sub total,"54,525,000","8,205,865",15.0,401,0
"Management and De-
velopment Of Sports,
Recreation And Sports
Facilities",SP 3.1. Development of sports infrastructure,"42,823,107",-,-,401,0
,SP 3.2. Sporting Tournament,"7,080,000","2,692,700",38.0,401,0
,SP 3.3. Sports Funding,"39,220,000","17,152,120",43.7,401,0
,Subtotal,"89,123,107","19,844,820",22.3,401,0
"Youth Empowerment and
Participation",SP 4.1. Youth empowerment and participation,"29,040,406","3,325,367",11.5,401,0
,SP 4.2. Youth development,"5,000,000",-,-,401,0
,Subtotal,"34,040,406","3,325,367",9.8,401,0
"Total Expenditure of
Vote",,"432,152,816","76,107,531",17.6,401,0
OFFICE OF THE COUNTY ATTORNEY,,,,,401,0
"Human Resource Man-
agement and Develop-
ment",Sub-programme 1.1(Administration service),"3,800,000","161,130",4.2,401,0
,Sub-programme 1.2(Personal Service),"40,000","24,000",60.0,401,0
,Sub-programme 1.3(Financial Service),"500,000","88,000",17.6,401,0
"Provision of Advisory
Services",Sub-programme 2.1 Advising on legal matters,"5,000,000","250,000",5.0,401,0
,Sub-programme 2.2 Legal Services,"1,050,000",33,-,401,0
"Provision of Legal Ser-
vices",Sub-programme 3.1 Litigation,"201,900,000","20,000",-,401,0
,Sub-programme 3.2 Formulation and Review of Bills,"2,000,000","17,137",0.9,401,0
,"Sub-programme 3.3 Conveyance and Commercial
Transactions","1,000,000","30,000",3.0,401,0
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,402,0
"Administration, Planning
& Support",Administration & Planning,"125,872,444","49,593,646",39.4,402,0
,Personnel services,"112,200,860","58,196,271",51.9,402,0
"Management Of County
Affairs",County executive services,"42,797,454","4,000,000",9.3,402,0
,Policy direction & coordination,"76,600,368","2,854,000",3.7,402,0
,County policing services,"3,960,221","3,500,000",88.4,402,0
,Leadership & governance,"2,640,147","2,100,000",79.5,402,0
"Coordination & Supervi-
sory Services",Organisation of county business,"19,801,104","6,875,000",34.7,402,0
,Special programmes,"9,648,896","3,906,174",40.5,402,0
"Total Expenditure of
Vote",,"393,521,494","131,025,091",33.3,402,0
GRAND TOTAL,,"21,109,388,595","7,522,059,620",35.6,402,0
