Department,Programmes,Sub Programmes,"Approved Budget
2020/2021
(Kshs)","Actual payment
(Kshs)","Variance
(Kshs)","% Ab-
sorption",page_number,table_index
,,Office furniture and Fittings,"6,950,000","1,806,995","5,143,005",26.0,49,0
,Programme 1,"Policy planning and Admin-
istration","1,000,000",,,-,49,0
,Programme 2,"Development of water supply
for Domestic","355,082,407","84,917,149",,23.9,49,0
,Programme 3,Irrigation Development,"3,000,000",-,,-,49,0
,Programme 4,"Environmental and Natural
Resources protection","12,100,000",-,,-,49,0
,Programme 5,Water waste management,"1,000,000",-,,-,49,0
,Sub Total,,"476,432,407","137,047,999","52,119,150",28.8,49,0
EDUCATION AND VOCATIONAL TRAININGS,,,,,,,49,0
,"Operations and Main-
tenance",Use of Goods and Services,"25,155,546","8,425,030","16,730,516",33.5,49,0
,Development,,"344,758,274","32,869,740","311,888,534",9.5,49,0
ROADS PUBLIC WORKS AND TRANSPORT,,,,,,,49,0
,Use of goods and services,,"66,882,125","37,679,626","29,202,499",56.3,49,0
,Programme 1,"Policy Planning and Admin-
istration","2,500,000",-,"2,500,000",-,49,0
,Programme 2,"Roads construction and
maintenance","554,680,469","313,532,992","241,147,477",56.5,49,0
,Programme 3,"Development and Mainte-
nance of other Public works","97,000,000","27,344,456","69,655,544",28.2,49,0
,Programme 4,"County Transport Infrastruc-
ture","8,000,000",-,"8,000,000",-,49,0
,Sub Total,,"729,062,594","378,557,074","350,505,520",51.9,49,0
TRADE ENERGY TOURISM INDUSTRY AND INVESTMENT,,,,,,,49,0
,"Operations and Main-
tenance",Used of Goods and services,"20,700,000","7,361,981","13,338,019",35.6,49,0
,,P1. Trade Development,"31,000,000","6,920,813","24,079,187",22.3,49,0
,,P2. Energy Development,"15,000,000","3,999,495","11,000,505",26.7,49,0
,,P3. Tourism Development,"6,000,000","4,036,031","1,963,969",67.3,49,0
COUNTY ASSEMBLY,,,,,,,49,0
,,P4. Industry Development,"10,000,000","1,576,058","8,423,942",15.8,49,0
,"P1 County Assembly
Legislative Services",SP 1.2: Committee Services,"31,630,578","25,945,250","5,685,328",82.0,49,0
,,SP 2.2: Public Campaigns,"3,410,000","2,782,620","627,380",81.6,49,0
,"P2 Oversight Presen-
tation",SP 2.1: Public participation,"30,000,000","29,351,048","648,952",97.8,49,0
,,"SP 3.2: Administrative Ser-
vices","294,780,526","170,902,569","123,877,957",58.0,49,0
,Sub-Total,,"369,821,104","230,557,545","139,263,559",62.3,49,0
,Personal emoluments,Personal emoluments,"308,200,000","220,639,922","87,560,078",71.6,49,0
,,Operation & maintenance,"298,121,526","203,036,237","95,085,289",68.1,49,0
,,Development,"115,000,000","95,608,517","19,391,483",83.1,49,0
,,Personal emoluments,"2,557,830,374","1,847,637,230","710,193,144",72.2,49,0
,,Operation & maintenance,"2,266,993,714","958,761,137","1,308,232,577",42.3,49,0
,,Development,"2,523,031,188","757,631,571","1,765,399,617",30.0,49,0
TOTAL,,,"7,347,855,276","3,564,029,938","3,783,825,338",48.5,49,0
