Vote Code Title,Programme,Programme Code and Title,"Revised Budgets
(Kshs.)","Total Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,,"0119025310: Fisheries Develop-
ment and mangement","21,727,323","716,000","21,011,323",3,261,0
,,"0119035310: Livestock Resources
management and development","14,002,578","618,190","13,384,388",4,261,0
,"0116005310 P.10:-
Animal Health,
Safety and Quality
Assurance","0116015310 sp 10.1 Animal Re-
search, Diseases, Pest Control &
Quality Assuarance","52,161,224","1,701,045","50,460,179",3,261,0
,"0117005310
P.11:Aforestation","0117015310 sp 11.1 Forestry Ser-
vices","6,590,480","87,200","6,503,280",1,261,0
,"0118015310 Food
Systems and Sur-
veillance","0118015310 sp18:1 Food Systems
and Surveillance Services","6,067,800","83,550","5,984,250",1,261,0
,"5321000801 Ag-
ricultural Devel-
opment Support
Project","5321000801 Agricultural Develop-
ment Support Project","70,351,519",-,"70,351,519",-,261,0
,,"Total 5321000000 AGRICUL-
TURE, LIVESTOCK DEVEL-
OPMENT, FISHERIES & FOR-
ESTRY","371,360,054","135,237,490","236,122,564",36,261,0
"5323000000 ENVIRONMENT, WATER, ENERGY & NATURAL RESOURCES",,,,,,,261,0
,"1001005310 P1
General Adminis-
tration & Support
Services","1001015310 Sp1 General Admin-
istration & Support Services","34,030,940","21,676,452","12,354,488",64,261,0
,"1002005310 P2
Environment Man-
agement and Pro-
tection.","1002035310 sp 2.3 Solid waste
management",-,-,-,-,261,0
,,"1002045310 sp 2.4 Beautification,
Recreation and Greening Services",-,-,-,-,261,0
,,"1002055310 sp 2.5 Environment
planning Management Services",-,-,-,-,261,0
,"1004005310 P4
Water Resources
Management","1004055310 sp 4.5 Energy & Natu-
ral resources",-,-,-,-,261,0
,,"Total 5323000000 ENVIRO-
MENT,WATER,ENERGY &
NATURAL RESOURCES","34,030,940","21,676,452","12,354,488",64,261,0
5324000000 URBAN RENEWAL AND HOUSING,,,,,,,261,0
