Programme,Sub- Programme,"Approved Budge
(Kshs)","t Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
,,,,"16,478,900",0.7,268,0,"16,600,000","121,100"
Networking Infrastructure,Networking Infrastructure,,,"16,478,900",0.7,268,0,"16,600,000","121,100"
Hardware & Software Platforms,Hardware & Software Platforms,,,-,-,268,0,-,-
,,,,"10,000,000",-,268,0,"10,000,000",-
"Construction & Maintenance of
Non Residential County Buildings","Construction & Maintenance of
Non Residential County Buildings",,,"10,000,000",-,268,0,"10,000,000",-
"Installation, Rehabilitation &
Maintenance of Lighting Facilities","Installation, Rehabilitation &
Maintenance of Lighting Facilities",,,-,-,268,0,-,-
,,,,"10,000,000",-,268,0,"10,000,000",-
Fire Fighting,Fire Fighting,,,"10,000,000",-,268,0,"10,000,000",-
,,,,"8,987,200",10.1,268,0,"10,000,000","1,012,800"
Education Developments,Education Developments,,,"8,987,200",10.1,268,0,"10,000,000","1,012,800"
,,,,"69,677,606",18.2,268,0,"85,152,126","15,474,520"
Revitalization of Youth Programme,Revitalization of Youth Programme,,,"69,677,606",18.2,268,0,"85,152,126","15,474,520"
,,,,"77,506,766",19.5,268,0,"96,307,999","18,801,233"
Administration Services,Administration Services,,,"77,506,766",19.5,268,0,"96,307,999","18,801,233"
,,,,"12,812,800",7.4,268,0,"13,840,000","1,027,200"
Enhance Marketing Co-operatives,Enhance Marketing Co-operatives,,,"12,812,800",7.4,268,0,"13,840,000","1,027,200"
SACCO members' empowerment,SACCO members' empowerment,,,-,-,268,0,-,-
,,,,"12,099,000",2.5,268,0,"12,410,000","311,000"
"Business Development Services for
MSE's","Business Development Services for
MSE's",,,"10,769,000",1.9,268,0,"10,980,000","211,000"
Producer Business Groups,Producer Business Groups,,,-,-,268,0,-,-
Consumer protection,Consumer protection,,,"1,330,000",7.0,268,0,"1,430,000","100,000"
,,,,"217,112,588",9.4,268,0,"239,590,748","22,478,160"
Rehabilitation of existing markets,Rehabilitation of existing markets,,,"218,605,845",8.8,269,0,"239,590,748","20,984,903"
"Development of Retail and Whole-
sale Market in Nakuru","Development of Retail and Whole-
sale Market in Nakuru",,,"(1,493,256)",-,269,0,-,"1,493,256"
,,,,"718,005",0.3,269,0,"720,000","1,995"
"Establish & Management of Coun-
ty Tourism Information Centre","Establish & Management of Coun-
ty Tourism Information Centre",,,"718,005",0.3,269,0,"720,000","1,995"
,,,,"425,563,917",5.7,269,0,"451,484,867","25,920,950"
Community Health Strategy,Community Health Strategy,,,-,-,269,0,-,-
"Environmental Health and Sanita-
tion Program","Environmental Health and Sanita-
tion Program",,,"2,300,000",-,269,0,"2,300,000",-
Health Promotive Services,Health Promotive Services,,,"423,263,917",5.8,269,0,"449,184,867","25,920,950"
,,,,"2,475,543,679",4.9,269,0,"2,602,690,878","127,147,199"
"Provision of Essential Health Ser-
vices in all the Levels.","Provision of Essential Health Ser-
vices in all the Levels.",,,"2,475,543,679",4.9,269,0,"2,602,690,878","127,147,199"
,,,,"2,801,966,037",25.7,269,0,"3,768,702,475","966,736,438"
"Health Infrastructure Develop-
ment","Health Infrastructure Develop-
ment",,,"2,000,000",-,269,0,"2,000,000",-
Human Resources for health,Human Resources for health,,,"2,799,966,037",25.7,269,0,"3,766,702,475","966,736,438"
Research and Development,Research and Development,,,-,-,269,0,-,-
,,,,"803,486,019",10.8,269,0,"900,568,153","97,082,134"
Administration,Administration,,,"803,486,019",10.8,269,0,"900,568,153","97,082,134"
,,,,"116,618,037",0.6,269,0,"117,308,408","690,371"
"Promotion of Early Childhood Ed-
ucation","Promotion of Early Childhood Ed-
ucation",,,"91,958,415",0.4,269,0,"92,361,886","403,471"
Bursaries,Bursaries,,,-,-,269,0,-,-
"Promotion of Quality Youth Em-
powerment","Promotion of Quality Youth Em-
powerment",,,"24,659,622",1.2,269,0,"24,946,522","286,900"
,,,,"10,414,075",-,269,0,"10,414,075",-
Education Emergency Kitty,Education Emergency Kitty,,,"10,414,075",-,269,0,"10,414,075",-
,,,,"20,000,000",-,269,0,"20,000,000",-
Infrastructure Improvement,Infrastructure Improvement,,,"20,000,000",-,269,0,"20,000,000",-
,,,,"49,876,833",37.5,269,0,"79,835,808","29,958,975"
"ICT Infrastructure and Connec-
tivity","ICT Infrastructure and Connec-
tivity",,,"49,876,833",37.5,269,0,"79,835,808","29,958,975"
,,,,"488,076,616",10.4,269,0,"544,683,611","56,606,995"
"Budget Formulation Coordination
and management","Budget Formulation Coordination
and management",,,"30,271,876",33.4,269,0,"45,431,751","15,159,875"
Resource Mobilization,Resource Mobilization,,,"48,119,417",30.2,269,0,"68,979,717","20,860,300"
Internal Audit,Internal Audit,,,"23,943,063",32.0,269,0,"35,189,523","11,246,460"
Procurement,Procurement,,,"8,680,177",36.2,269,0,"13,610,497","4,930,320"
Public finance and Accounting,Public finance and Accounting,,,"12,448,260",25.3,269,0,"16,669,300","4,221,040"
Debt Management,Debt Management,,,"364,613,823",0.1,269,0,"364,802,823","189,000"
,,,,"162,647,006",18.1,269,0,"198,711,833","36,064,827"
Fiscal Planning,Fiscal Planning,,,"157,388,150",18.1,269,0,"192,256,477","34,868,327"
"Monitoring & Evaluation /Statisti-
cal Data Management","Monitoring & Evaluation /Statisti-
cal Data Management",,,"5,258,856",18.5,269,0,"6,455,356","1,196,500"
,,,,"1,178,128,744",23.2,269,0,"1,533,429,096","355,300,352"
Administration Services,Administration Services,,,"1,178,128,744",23.2,269,0,"1,533,429,096","355,300,352"
Financial Services,Financial Services,,,-,-,269,0,-,-
"Co-Ordination of Public and Spe-
cial Community Programmes","Co-Ordination of Public and Spe-
cial Community Programmes",,,-,-,269,0,-,-
ICT Support Services,ICT Support Services,,,-,-,269,0,-,-
,,,,"67,775,813",6.1,269,0,"72,176,746","4,400,933"
"Legal Service to County Govern-
ment & Public","Legal Service to County Govern-
ment & Public",,,"15,887,524",21.7,269,0,"20,288,457","4,400,933"
"Rehabilitation of Sub-County Of-
fices","Rehabilitation of Sub-County Of-
fices",,,"51,888,289",-,269,0,"51,888,289",-
,,,,"17,801,685",16.2,269,0,"21,250,000","3,448,316"
