Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
Sub Total,,"725,287,750.00","276,393,888.75","448,893,861.25",38.1%,144,0
"Curative and Rehabilitative
Services",040301 Curative and Rehabilitative Services,"2,267,957,747","1,436,247,772.90","831,709,974",63.3,144,0
Sub Total,,"2,267,957,747","1,436,247,773","831,709,974",63.3%,144,0
Basic Education,050101 General Administration,"215,696,229","175,869,714.95","39,826,514",81.5,144,0
,050102 Free Pre- Primary Education,"2,770,000","1,492,900.00","1,277,100",53.9,144,0
"State Education Function
Support",050203 Tertiary Education,"54,038,344","13,449,947.00","40,588,397",24.9,144,0
"Technical and Vocational
Training",050301 Village Polytechnique,"27,578,394","27,385,284.00","193,110",99.3,144,0
Sub Total,,"300,082,967","218,197,846","81,885,121",72.7%,144,0
"Livestock Resource Man-
agement and Development","010102 Livestock Extension and Capacity
Building Services","305,000","128,550.00","176,450",42.1,144,0
,010105 Livestock Production Management,"2,480,000","1,004,612.00","1,475,388",40.5,144,0
,"010106 Livestock Disease Management &
Control","1,200,000","342,165.00","857,835",28.5,144,0
"Crop Development and
Management",010202 Agricultural Extension Services,"1,500,000","1,374,068.00","125,932",91.6,144,0
,"010203 Agribusiness and Market Develop-
ment","320,000","106,425.00","213,575",33.3,144,0
,010206 Land and Crop Development,"1,331,000","401,208.00","929,792",30.1,144,0
,010207 Food Security Initiatives,"400,000","394,500.00","5,500",98.6,144,0
"Kamweti Agricultural
Training Centre",Extension and Training,,,-,,144,0
Fisheries Development,010402 Aquaculture Development,"200,000",-,"200,000",0.0,145,0
"Policy Strategy and Man-
agement of Agriculture",010801 Development of Agricultural Policy,"543,000","492,549.00","50,451",90.7,145,0
,"011001 General Administration and Plan-
ning","774,021,812","264,079,198.45","509,942,614",34.1,145,0
Sub Total,,"782,300,812","268,323,275","513,977,537",34.3%,145,0
Culture,090702 Social Welfare Services,"10,687,000","4,019,873.00","6,667,127",37.6,145,0
,091201 Gender Administration Services,"30,821,210","21,429,110.00","9,392,100",69.5,145,0
,091301 Gender and Social Development,"15,345,621","1,578,300.00","13,767,321",10.3,145,0
Youth,"090901 Youth Development and Empower-
ment Services","670,000","528,000.00","142,000",78.8,145,0
Sub Total,,"57,523,831","27,555,283","29,968,548",47.9%,145,0
Sports,090701 General Administration,"12,221,217","9,447,983.00","2,773,234",77.3,145,0
,"090801 Development of Sports and Sports
Facilities","30,840,000","6,579,530.00","24,260,470",21.3,145,0
,"091401 Management & Development of
Sports and Sports Facilities","825,000","254,000.00","571,000",30.8,145,0
,"091601Control & Campaign Against Drug &
Substance Abuse","1,549,000","1,549,000.00",-,100.0,145,0
,"091701 Preservation & Promotion of Heri-
tage and Culture","248,800","82,600.00","166,200",33.2,145,0
Children Services,091101 Child Community Support Services,"5,764,000","1,383,562.00","4,380,438",24.0,145,0
Sub Total,,"51,448,017","19,296,675","32,151,342",37.5%,145,0
"Trade Development and
Investment","030401 General Administration and Plan-
ning","37,773,441","33,476,246.00","4,297,195",88.6,145,0
,"030103 Capacity Building for Traders and
SME's","1,527,000","155,000.00","1,372,000",10.2,145,0
,"030104 promotion, Development & Growth
of Trade","354,000","329,400.00","24,600",93.1,145,0
,"030105 Fair Trade Practises and Consumer
Protection","205,000","168,600.00","36,400",82.2,145,0
"Tourism Development and
Marketing",030302 Tourism promotion and Marketing,"195,500","90,000.00","105,500",46.0,145,0
,"030304 International Tourism Promotion
and Marketing","310,000","64,000.25","246,000",20.6,145,0
,"030305 Promotion of Industrial Develop-
ment","1,268,500","75,800.00","1,192,700",6.0,145,0
,030306 Provision of Industrial Training,"140,000","15,000.00","125,000",10.7,145,0
"Cooperative Development
and Marketing",030101 General Administration & Planning,"40,136,868","5,375,413.00","34,761,455",13.4,145,0
,"030405 Cooperative Advisory and Extension
Services","295,000","62,500.00","232,500",21.2,145,0
,030406 Cooperative Education and Training,"542,000","228,400.00","313,600",42.1,145,0
,"030407 Cooperative Governance and Ac-
countability","159,000","50,000.00","109,000",31.4,145,0
Cooperative Audit Services,"030603 Inspections and Investigations for
Cooperatives","70,000","54,800.00","15,200",78.3,145,0
Sub Total,,"82,976,309","40,145,159","42,831,150",48.4%,145,0
Water Supply Services,090101 Water and Irrigation,"80,850,000","3,383,892.00","77,466,108",4.2,145,0
Energy Programme,090301 Energy Services,"405,000","318,440.00","86,560",78.6,145,0
"Cleaning and Waste Man-
agement","090502 Environment Management and Pro-
tection","675,800","598,800.00","77,000",88.6,145,0
Nema,090401 Waste Management Services,"101,508,439","71,715,330.00","29,793,109",70.6,145,0
Sub Total,,"183,439,239","76,016,462","107,422,777",41.4%,145,0
"Land and Physical Plan-
ning","010601 General Administration and Plan-
ning","35,333,028","20,262,705.00","15,070,323",57.3,145,0
,010604 County Spatial Planning,"1,510,000","556,300.00","953,700",36.8,145,0
,010605 Town Zoning and Mapping,"162,999,831","20,304,100.00","142,695,731",12.5,145,0
,010607 Survey and Mapping,"505,000","278,040.00","226,960",55.1,145,0
Housing Development,"010701 Improvement and Development of
Human Settlements","420,000","249,000.00","171,000",59.3,145,0
Sub Total,,"200,767,859","41,650,145","159,117,714",20.7%,145,0
Transport Management,"020301 General Administration and Plan-
ning","61,571,285","39,888,872.00","21,682,413",64.8,145,0
Disaster Management,"020401 Fire Fighting and Emergency Ser-
vices","4,507,000","625,863.00","3,881,137",13.9,145,0
"Roads Development Main-
tenance and Management","020601 Construction and Maintenance of
Roads and Bridges","366,900,724","86,381,914.00","280,518,810",23.5,145,0
