Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Total Actual Expendi-
ture (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,col_6
P2: Quality Assurance and Standards,SP2.1: Quality Assurance and standards,"68,849,118","41,943,563","26,905,556",60.9%,81,0,
"P3: ECDE and Tertiary Education
(Polytechnics)","SP3.1: ECDE and Tertiary Education
(Polytechnics)","137,698,237","83,887,125","53,811,111",60.9%,81,0,
Sub Total,,"344,245,592","209,717,814","134,527,779",60.9%,81,0,
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,81,0,
P1: Land Policy and Planning,"SP1.1: Spatial planning and urban Plan-
ning","9,699,190","1,841,390","7,857,800",19.0%,81,0,
,SP1.2: Survey and land Planning,"13,578,865","2,577,945","11,000,920",19.0%,81,0,
"P2: General Administration, Plan-
ning and Support Services","SP2.1 General Administration and sup-
port Services","19,398,379","3,682,779","15,715,600",19.0%,81,0,
"P3: Water Supply and sewerage Ser-
vices",SP3.1: Domestic water supply,"87,292,706","16,572,507","70,720,199",19.0%,81,0,
"P4: Environment Management and
Natural Resources Conservation",SP4.1: Environmental conservation,"9,699,190","1,841,390","7,857,800",19.0%,81,0,
"P5: Expansion and provision of Irri-
gation water",SP5.1: Supply of Irrigation water,"54,315,462","10,311,782","44,003,680",19.0%,81,0,
Sub Total,,"193,983,792","36,827,794","157,155,998",19.0%,81,0,
YOUTH EMPOWERMENT AND SPORTS,,,,,,81,0,
"P1: Youth Development and Empow-
erment Services","SP5.1: Youth Development and Em-
powerment Services","20,594,375","1,082,406","19,511,970",5.3%,81,0,
"P2: Management and development of
Sport and Sport facilities",SP5.1: Community Sports programme,"16,475,500","865,924","15,609,576",5.3%,81,0,
"P3: General Administration Plan-
ning and Support Services",SP3.1: General Administration services,"4,118,875","216,481","3,902,394",5.3%,81,0,
Sub Total,,"41,188,750","2,164,811","39,023,939",5.3%,81,0,
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,81,0,
P1: Financial Management Services,SP1.1: Revenue Management Services,"4,708,689","1,026,106","3,682,583",21.8%,81,0,
,SP1.2: Revenue Management Services,"21,106,221","4,599,415","16,506,806",21.8%,81,0,
Sub Total,,"25,814,910","5,625,521","20,189,389",21.8%,81,0,
COUNTY ASSEMBLY,,,,,,81,0,
"P: 1: General Administration Plan-
ning and Support Services","SP: 1: General Administration Planning
and Support Services","280,650,931","169,943,267","110,707,664",60.6%,81,0,
P: 1: Legislation,SP: 1: Legislation,"451,906,693","273,644,201","178,262,492",60.6%,81,0,
Sub Total,,"732,557,624","443,587,468","288,970,156",60.6%,81,0,
Grand Total,,"6,464,658,318","3,067,242,302","3,397,416,016",47.4%,81,0,
