Programme,"Sub Pro-
gramme",Description,"Approved Budget(K-
shs)","Actual Payments(K-
shs)",Variance(Kshs),"Absorption
(%)",page_number,table_index
,402035060,Reproductive Health,"137,797,510","33,600,361","104,197,149",24.4,159,0
403005060,,"General Administration, Opera-
tional Research and Planning","2,972,163,895","2,652,083,388","320,080,507",89.2,159,0
,403015060,"Health infrastructure and devel-
opment",-,-,-,-,159,0
,403025060,Health information System,-,-,-,-,159,0
,403035060,Governance and leadership,"73,044,000","27,378,846","45,665,154",37.5,159,0
,403045060,Human resource for Health,"2,899,119,895","2,624,704,542","274,415,353",90.5,159,0
404005060,,Preventive Health Care,-,-,-,-,159,0
,404015060,Primary healthcare Services,-,-,-,-,159,0
,404025060,Disease Control Services,-,-,-,-,159,0
405005060,,"Health Sector support Program
(DANIDA)","202,341,389","65,719,039","136,622,350",32.5,159,0
,405015060,Health Promotive Services,"202,341,389","65,719,039","136,622,350",32.5,159,0
406005060,,Maternal and Child Health,-,-,-,-,159,0
,406015060,Maternal and Child Health,-,-,-,-,159,0
407005060,,"Jaramogi Oginga Odinga Teach-
ing and Referral Hospital","369,070,349","128,989,351","240,080,998",34.9,159,0
,407015060,"Jaramogi Oginga Odinga Teach-
ing and Referral Hospital","369,070,349","128,989,351","240,080,998",34.9,159,0
408005060,,"Kisumu County Referral Hos-
pital","26,740,133","7,800,000","18,940,133",29.2,159,0
,408015060,Kisumu County Referral Hospital,"26,740,133","7,800,000","18,940,133",29.2,159,0
409005060,,"Medical and Bio-Medical Ser-
vices","338,848,000","56,489,203","282,358,797",16.7,159,0
,409015060,"County and Sub-County Hospital
Services","338,848,000","56,489,203","282,358,797",16.7,159,0
501005060,,Early Childhood Development.,"51,274,053","7,495,050","43,779,003",14.6,159,0
,501015060,"Promotion of early childhood ed-
ucation.","51,274,053","7,495,050","43,779,003",14.6,159,0
502005060,,"Youth Training and Develop-
ment","18,700,000","452,400","18,247,600",2.4,159,0
,502015060,Youth Polytechnics Services,"18,700,000","452,400","18,247,600",2.4,159,0
,502025060,Youth Training Facilities,-,-,-,-,159,0
504005060,,Gender and Social Dev.,"3,680,000","857,500","2,822,500",23.3,159,0
,504015060,"Gender & Disability Mainstream-
ing","2,755,000","857,500","1,897,500",31.1,159,0
,504025060,Social Dev. Facilities,-,-,-,-,159,0
,504035060,Child Protection & Rehabilitation,-,-,-,-,159,0
,504045060,Child Rescue Centre,-,-,-,-,159,0
,504055060,Betting Control Services,"925,000",-,"925,000",-,159,0
505005060,,"Early Child Education Manage-
ment","401,250,000","116,680,506","284,569,494",29.1,159,0
,505015060,Early Child Education,"401,250,000","116,680,506","284,569,494",29.1,159,0
506005060,,"Sports Management and Devel-
opment","114,329,971","3,292,420","111,037,551",2.9,159,0
,506015060,Sports Management,"112,768,352","3,074,820","109,693,532",2.7,159,0
,506025060,Talent Development,"1,561,619","217,600","1,344,019",13.9,159,0
507005060,,Sports Stadia Development,"2,288,600","651,500","1,637,100",28.5,159,0
,507015060,Sports Academy,"2,288,600","651,500","1,637,100",28.5,159,0
508005060,,Alcoholic Drinks,"1,350,000","28,320","1,321,680",2.1,159,0
,508015060,Alcoholic Drinks,"1,350,000","28,320","1,321,680",2.1,159,0
509005060,,"ECD Infrastructure and Devel-
opment",-,-,-,-,159,0
,509015060,"ECD Infrastructure and Develop-
ment",-,-,-,-,160,0
510005060,,Bursary and Scholarships,-,-,-,-,160,0
,510015060,Bursary and Scholarships,-,-,-,-,160,0
511005060,,"ECD Equipping/Teaching Ma-
terials",-,-,-,-,160,0
,511015060,"ECD Equipping/Teaching Mate-
rials",-,-,-,-,160,0
512005060,,ECD Feeding Programme,-,-,-,-,160,0
,512015060,ECD Feeding Programme,-,-,-,-,160,0
513005060,,ECD IMIS,-,-,-,-,160,0
,513015060,ECD IMIS,-,-,-,-,160,0
514005060,,Routine Nutritional Survey,-,-,-,-,160,0
,514015060,Routine Nutritional Survey,-,-,-,-,160,0
515005060,,"Pre-Primary Policy and Legis-
lation","21,568,878","16,544,717","5,024,161",76.7,160,0
,515015060,Primary Policy and Legislation,"21,568,878","16,544,717","5,024,161",76.7,160,0
516005060,,"Skill Gap Analysis in Youth
Polytechnics",-,-,-,-,160,0
,516015060,"Skill Gap Analysis in Youth Poly-
technics",-,-,-,-,160,0
517005060,,Youth Training and Legislation,"133,873,192","27,719,840","106,153,352",20.7,160,0
,517015060,Youth Training and Legislation,"133,873,192","27,719,840","106,153,352",20.7,160,0
701005060,,"General Administration and
Planning services","297,219,846","175,132,584","122,087,262",58.9,160,0
,701015060,"Administration and Formulation
of County policy",-,-,-,-,160,0
,701025060,"Development and Management
of County Administrative systems","25,010,078","17,869,103","7,140,975",71.4,160,0
,701035060,General Administration,"148,578,565","91,795,021","56,783,544",61.8,160,0
,701045060,Administration,-,-,-,-,160,0
,701055060,Financial Administration services,-,-,-,-,160,0
,701065060,"Human Resource development
services","87,673,823","62,543,476","25,130,347",71.3,160,0
,701075060,Fiscal Analysis services,-,-,-,-,160,0
,701085060,"Social Responsibility Including
Civic and Public Engagement","35,957,380","2,924,984","33,032,396",8.1,160,0
702005060,,"Management of County affairs
and Special Programmes","3,272,417","1,551,780","1,720,637",47.4,160,0
,702015060,"Emergency, Relief, Disaster Man-
agement and Control",-,-,-,-,160,0
,702025060,"Inter-Government Coordination
and protocol","3,272,417","1,551,780","1,720,637",47.4,160,0
703005060,,"Inter-Governmental relations,
Communication and Protocol","32,017,163","11,663,344","20,353,819",36.4,160,0
,703015060,"Governor’s Press Service and
Communication","18,855,443","9,173,769","9,681,674",48.7,160,0
,703025060,Internal Auditing Services,"13,161,720","2,489,575","10,672,145",18.9,160,0
704005060,,County Public Service Board,"821,235,226","376,836,559","444,398,667",45.9,160,0
,704015060,"General Administration and Sup-
port services","786,053,297","365,637,199","420,416,098",46.5,160,0
,704025060,"Human Resource Recruitment
and Development","26,316,588","8,765,880","17,550,708",33.3,160,0
,704035060,"Human Resource Audit and Staff
Rationalization","970,000","164,300","805,700",16.9,160,0
,704045060,"Promotion of Values and Princi-
ples","7,895,341","2,269,180","5,626,161",28.7,160,0
,704055060,Disciplinary Control,-,-,-,-,160,0
705005060,,Public Financial Management,"214,154,305","75,895,720","138,258,585",35.4,160,0
,705015060,Revenue Mobilization,"37,094,099","21,994,572","15,099,527",59.3,160,0
,705025060,assets management,"31,475,290","1,757,790","29,717,500",5.6,160,0
,705035060,"management of public financial
resources","9,750,000","1,743,300","8,006,700",17.9,160,0
,705045060,public debt management,-,-,-,-,160,0
,705055060,"Budget Formulation & Coordina-
tion Services","135,834,916","50,400,058","85,434,858",37.1,160,0
