Programme,Sub-Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index,Sub- Programme,"Variance
(Kshs.)",Absorption (%)
"Environment policy devel-
opment and coordination",,"113,073,653","92,684,807",,,124,0,"Planning Coordination Policy and Ad-
ministrative Services","20,388,846",81.97
Water supply services,,"437,426,643","56,950,135.47",,,124,0,Rural Water Supply,"380,476,508",13.02
,,"550,500,296","149,634,943",,,124,0,,"400,865,353",27.18
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,124,0,,,
"General Administration &
planning services.",,"274,980,529","149,709,127",,,124,0,Policy Development and Administration,"125,271,402",54.44
Basic Education,,"272,491,184","63,431,998",,,124,0,"Early Childhood Development Educa-
tion","209,059,186",23.28
"Gender and Social Devel-
opment",,"24,899,378","3,757,494",,,124,0,"Social Welfare Services/Social Infra-
structure Development","21,141,884",15.09
"Youth development and
empowerment services",,"56,907,040","483,005",,,124,0,Youth development (YP) Training,"56,424,035",0.85
,,"629,278,131","217,381,625",,,124,0,,"411,896,506",34.54
DEPARTMENT: HEALTH SERVICES,,,,,,124,0,,,
Curative Health,,"1,213,146,245","644,383,492",,,124,0,Administration and Planning,"568,762,753",53.12
Curative Health,,-,-,,,124,0,Hospital(curative)Services,-,-
"Preventive and Promotive
Health",,"1,281,534,216","809,128,696",,,124,0,"Preventive Medicine and Promotive
Health","472,405,520",63.14
,,"2,494,680,461","1,453,512,188",,,124,0,,"1,041,168,273",58.26
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,124,0,,,
"Administration and sup-
port services",,"61,128,784","19,789,947",,,124,0,General Administration and Planning,"41,338,837",32.37
"Housing Development and
Human Resource",,"50,808,299","7,947,726",,,124,0,Housing Development,"42,860,573",15.64
Land policy and planning,,"172,021,347","95,765,957",,,124,0,"Development Planning and Land Re-
forms","76,255,390",55.67
Land policy and planning,,"6,352,443","142,400",,,124,0,Land Use Planning,"6,210,043",2.24
,,"290,310,873","123,646,030",,,124,0,,"166,664,843",42.59
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,124,0,,,
"Transport Management
and safety",,"78,843,520","34,045,004",,,124,0,"General Administration Planning and
Support Services","44,798,516",43.18
"Infrastructure, Roads and
Transport",,"1,262,094,286","419,194,962",,,124,0,Rehabilitation of Road,"842,899,324",33.21
"Infrastructure, Roads and
Transport",,"16,330,335","67,271",,,124,0,"Maintenance of Roads and Bridges/Peri-
odic Maintenance","16,263,064",0.41
,,"1,357,268,141","453,307,237",,,124,0,,"903,960,904",33.40
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,124,0,,,
"Trade development and in-
vestment",,"40,283,406","23,244,187",,,124,0,"Fair trade Practices and Consumer
Protection (weight & measures)","17,039,219",57.70
"Trade development and in-
vestment",,"8,840,976","1,192,812",,,124,0,Administrative and Support Services.,"7,648,164",13.49
