Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Total,,"1,008,077,795","722,495,673","285,582,122",71.7,57,0
Public Administration & County Secretary,,,,,,57,0
Public Service Management and Administration,,,,,,57,0
"General administra-
tion, planning and sup-
port services","General administration, planning and support services","334,976,577","226,098,108","108,878,469",67.5,57,0
"Public Participation,
Civic Education and
outreach services","Public Participation, Civic Education and outreach ser-
vices","5,000,000",-,"5,000,000",0.0,57,0
,,"339,976,577","226,098,108","113,878,469",66.5,57,0
Office of the County Secretary and ICT,,,,,,57,0
"General administra-
tion, planning and sup-
port services","General administration, planning and support services","123,726,057","104,787,046","18,939,011",84.7,57,0
"Kenya Devolution Sup-
port Programme",Kenya Devolution Support Programme,"257,537,789","52,497,187","205,040,602",20.4,57,0
"ICT and information
management services",ICT and information management services,"17,890,473",-,"17,890,473",0.0,57,0
Total,,"399,154,319","157,284,232","241,870,087",39.4,57,0
Total Admin,,"739,130,896","383,382,341","355,748,556",51.9,57,0
Gender & Youth Sport,,,,,,57,0
,Administrative services,"54,970,614","58,340,737","(3,370,123)",106.1,57,0
,Payment of utilities,"1,040,000",-,"1,040,000",0.0,57,0
,Human Resources Management,"46,696,748","26,229,894","20,466,854",56.2,57,0
,Staff training,"2,000,000",-,"2,000,000",0.0,57,0
,DHRC Meeting,"1,000,000",-,"1,000,000",0.0,57,0
,Staff bonding,"1,200,000",-,"1,200,000",0.0,57,0
"Cultural Development
and management",Planning and Budgeting,"2,500,000",-,"2,500,000",0.0,57,0
,Development Historical and cultural sites,"5,925,672",-,"5,925,672",0.0,57,0
,Liquor and Licensing,"2,500,000",-,"2,500,000",0.0,57,0
"Gender Equality And
Empowerment Of
Vulnerable Groups",Gender equality framework,"6,500,000",-,"6,500,000",0.0,57,0
,Gender empowerment,"4,000,000",-,"4,000,000",0.0,57,0
,Gender mainstreaming,"2,000,000",-,"2,000,000",0.0,57,0
,Disability mainstreaming,"2,000,000",-,"2,000,000",0.0,57,0
"Sports Facility Devel-
opment and Manage-
ment",Development of sports facility,"178,616,377","114,542,181","64,074,196",64.1,57,0
"Sports talent devel-
opment and manage-
ment",Sports and talent development established,"4,850,004",-,"4,850,004",0.0,57,0
"Youth Development
and Management",Youth development services,"8,700,000",-,"8,700,000",0.0,57,0
Total,,"324,499,415","199,112,812","125,386,603",61.4,57,0
Public Service,,,,,,57,0
"General administration
and support services",Administrative services,"31,016,784","25,618,975","5,397,809",82.6,57,0
